Count,Name,Tag,Position X,Position Y
1,Attribute Definition,13,0.8105,21.5894
1,Attribute Definition,14,0.0048,24.3019
1,Attribute Definition,12,0.0000,18.7222
1,Attribute Definition,8,0.9391,-23.8669
1,Attribute Definition,10,0.0067,-18.8652
1,Attribute Definition,20,28.5500,31.1394
1,Attribute Definition,21,28.5500,26.0894
1,Attribute Definition,18,26.0750,33.6144
1,Attribute Definition,15,0.0000,31.1394
1,Attribute Definition,17,2.4750,33.6144
1,Attribute Definition,7,0.9500,-31.9106
1,Attribute Definition,11,0.0000,0.0000
1,Attribute Definition,9,0.4667,-21.3219
1,Attribute Definition,16,0.7249,32.8895
1,Attribute Definition,4,27.0250,-33.4356
1,Attribute Definition,19,27.8251,32.8895
1,Attribute Definition,2,28.5500,-31.9106
1,Attribute Definition,5,2.4750,-33.4356
1,Attribute Definition,1,28.5500,-25.9106
1,Attribute Definition,6,1.3967,-32.9889
1,Attribute Definition,3,28.1033,-32.9889
