Count,Name,Tag,Position X,Position Y
1,Attribute Definition,13,0.7206,32.5746
1,Attribute Definition,14,0.0000,35.7083
1,Attribute Definition,12,0.0303,30.1342
1,Attribute Definition,8,0.9500,-35.1244
1,Attribute Definition,10,0.0109,-29.9798
1,Attribute Definition,20,36.0000,42.1139
1,Attribute Definition,21,36.0000,38.0639
1,Attribute Definition,18,33.5250,44.5889
1,Attribute Definition,15,0.0179,42.4107
1,Attribute Definition,17,2.4750,44.5889
1,Attribute Definition,7,0.9500,-41.9861
1,Attribute Definition,9,0.4833,-32.5248
1,Attribute Definition,6,1.6749,-43.7362
1,Attribute Definition,11,0.0000,0.0000
1,Attribute Definition,19,35.2751,43.8640
1,Attribute Definition,16,0.7249,43.8640
1,Attribute Definition,4,33.5250,-44.4611
1,Attribute Definition,5,3.4250,-44.4611
1,Attribute Definition,2,36.0000,-41.9861
1,Attribute Definition,3,35.2751,-43.7362
1,Attribute Definition,1,36.0000,-37.9361
