s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
Time,"Pb1","Pb1-Pb2","Pb2","Pb3","Pb3-Pb4","Pb4","AHF","AHF-Extra","ACF","ACF-Extra","ACF-Extra2","FHF","FHF-Extra","FHF-Extra2","FCF","FCF-Extra"
 3.5712342E+003, 1.4759074E+002, 4.9508744E+002, 9.2659099E+002, 3.8302780E+001, 2.9259074E+001, 2.5178917E+001, 9.6885753E+001, 9.6885753E+001, 5.5456340E+001, 5.5456340E+001, 5.5456340E+001, 1.0296528E+002, 1.0296528E+002, 1.0296528E+002, 6.5127591E+001, 6.5127591E+001
 3.5856141E+003, 1.4834625E+002, 4.9693632E+002, 9.2725964E+002, 3.8431638E+001, 2.9326305E+001, 2.5220779E+001, 9.7258652E+001, 9.7258652E+001, 5.5633249E+001, 5.5633249E+001, 5.5633249E+001, 1.0335547E+002, 1.0335547E+002, 1.0335547E+002, 6.5391722E+001, 6.5391722E+001
 3.6000126E+003, 1.4913973E+002, 4.9876783E+002, 9.2792926E+002, 3.8554657E+001, 2.9393733E+001, 2.5262683E+001, 9.7653294E+001, 9.7653294E+001, 5.5811711E+001, 5.5811711E+001, 5.5811711E+001, 1.0377916E+002, 1.0377916E+002, 1.0377916E+002, 6.5622211E+001, 6.5622211E+001
 3.6144371E+003, 1.4997771E+002, 5.0058537E+002, 9.2859873E+002, 3.8670346E+001, 2.9461458E+001, 2.5304698E+001, 9.8053432E+001, 9.8053432E+001, 5.5984366E+001, 5.5984366E+001, 5.5984366E+001, 1.0415332E+002, 1.0415332E+002, 1.0415332E+002, 6.5853976E+001, 6.5853976E+001
 3.6288127E+003, 1.5086482E+002, 5.0238549E+002, 9.2926698E+002, 3.8778179E+001, 2.9529377E+001, 2.5346726E+001, 9.8455217E+001, 9.8455217E+001, 5.6167069E+001, 5.6167069E+001, 5.6167069E+001, 1.0453930E+002, 1.0453930E+002, 1.0453930E+002, 6.6094626E+001, 6.6094626E+001
 3.6432388E+003, 1.5179918E+002, 5.0417079E+002, 9.2993608E+002, 3.8900664E+001, 2.9597567E+001, 2.5388804E+001, 9.8874527E+001, 9.8874527E+001, 5.6347720E+001, 5.6347720E+001, 5.6347720E+001, 1.0495533E+002, 1.0495533E+002, 1.0495533E+002, 6.6329228E+001, 6.6329228E+001
 3.6576062E+003, 1.5278600E+002, 5.0594209E+002, 9.3060360E+002, 3.9027737E+001, 2.9665982E+001, 2.5430921E+001, 9.9311785E+001, 9.9311785E+001, 5.6524208E+001, 5.6524208E+001, 5.6524208E+001, 1.0536841E+002, 1.0536841E+002, 1.0536841E+002, 6.6572897E+001, 6.6572897E+001
 3.6720184E+003, 1.5383819E+002, 5.0770118E+002, 9.3126562E+002, 3.9137897E+001, 2.9734631E+001, 2.5473072E+001, 9.9744613E+001, 9.9744613E+001, 5.6715544E+001, 5.6715544E+001, 5.6715544E+001, 1.0583466E+002, 1.0583466E+002, 1.0583466E+002, 6.6817084E+001, 6.6817084E+001
 3.6864278E+003, 1.5497162E+002, 5.0945474E+002, 9.3191487E+002, 3.9257611E+001, 2.9803683E+001, 2.5515343E+001, 1.0019190E+002, 1.0019190E+002, 5.6908278E+001, 5.6908278E+001, 5.6908278E+001, 1.0631695E+002, 1.0631695E+002, 1.0631695E+002, 6.7056754E+001, 6.7056754E+001
 3.7008102E+003, 1.5619868E+002, 5.1120165E+002, 9.3256038E+002, 3.9377797E+001, 2.9872953E+001, 2.5557636E+001, 1.0064057E+002, 1.0064057E+002, 5.7107366E+001, 5.7107366E+001, 5.7107366E+001, 1.0675549E+002, 1.0675549E+002, 1.0675549E+002, 6.7308561E+001, 6.7308561E+001
 3.7152086E+003, 1.5751656E+002, 5.1294524E+002, 9.3320276E+002, 3.9515748E+001, 2.9942469E+001, 2.5599982E+001, 1.0111966E+002, 1.0111966E+002, 5.7303065E+001, 5.7303065E+001, 5.7303065E+001, 1.0719940E+002, 1.0719940E+002, 1.0719940E+002, 6.7580466E+001, 6.7580466E+001
 3.7296316E+003, 1.5891475E+002, 5.1468984E+002, 9.3384457E+002, 3.9653653E+001, 3.0012400E+001, 2.5642458E+001, 1.0162728E+002, 1.0162728E+002, 5.7502233E+001, 5.7502233E+001, 5.7502233E+001, 1.0766686E+002, 1.0766686E+002, 1.0766686E+002, 6.7828304E+001, 6.7828304E+001
 3.7440004E+003, 1.6036039E+002, 5.1643179E+002, 9.3448510E+002, 3.9771941E+001, 3.0082606E+001, 2.5684963E+001, 1.0214291E+002, 1.0214291E+002, 5.7712711E+001, 5.7712711E+001, 5.7712711E+001, 1.0818311E+002, 1.0818311E+002, 1.0818311E+002, 6.8106558E+001, 6.8106558E+001
 3.7584168E+003, 1.6184549E+002, 5.1817260E+002, 9.3512447E+002, 3.9895677E+001, 3.0153132E+001, 2.5727535E+001, 1.0268627E+002, 1.0268627E+002, 5.7922870E+001, 5.7922870E+001, 5.7922870E+001, 1.0866352E+002, 1.0866352E+002, 1.0866352E+002, 6.8392546E+001, 6.8392546E+001
 3.7728043E+003, 1.6336811E+002, 5.1991364E+002, 9.3576273E+002, 4.0027482E+001, 3.0224071E+001, 2.5770224E+001, 1.0327539E+002, 1.0327539E+002, 5.8143419E+001, 5.8143419E+001, 5.8143419E+001, 1.0921470E+002, 1.0921470E+002, 1.0921470E+002, 6.8665964E+001, 6.8665964E+001
 3.7872267E+003, 1.6492400E+002, 5.2165379E+002, 9.3639938E+002, 4.0179529E+001, 3.0295405E+001, 2.5813018E+001, 1.0390466E+002, 1.0390466E+002, 5.8375849E+001, 5.8375849E+001, 5.8375849E+001, 1.0981956E+002, 1.0981956E+002, 1.0981956E+002, 6.8956208E+001, 6.8956208E+001
 3.8016063E+003, 1.6651673E+002, 5.2339181E+002, 9.3702190E+002, 4.0344386E+001, 3.0367084E+001, 2.5855892E+001, 1.0455945E+002, 1.0455945E+002, 5.8607740E+001, 5.8607740E+001, 5.8607740E+001, 1.1043703E+002, 1.1043703E+002, 1.1043703E+002, 6.9284767E+001, 6.9284767E+001
 3.8160364E+003, 1.6816857E+002, 5.2512816E+002, 9.3763833E+002, 4.0501567E+001, 3.0439209E+001, 2.5898873E+001, 1.0524392E+002, 1.0524392E+002, 5.8854464E+001, 5.8854464E+001, 5.8854464E+001, 1.1105917E+002, 1.1105917E+002, 1.1105917E+002, 6.9619949E+001, 6.9619949E+001
 3.8304025E+003, 1.6989226E+002, 5.2686093E+002, 9.3825068E+002, 4.0657095E+001, 3.0511805E+001, 2.5941934E+001, 1.0593525E+002, 1.0593525E+002, 5.9106438E+001, 5.9106438E+001, 5.9106438E+001, 1.1167325E+002, 1.1167325E+002, 1.1167325E+002, 6.9930804E+001, 6.9930804E+001
 3.8448243E+003, 1.7170547E+002, 5.2858961E+002, 9.3886281E+002, 4.0811757E+001, 3.0584916E+001, 2.5985101E+001, 1.0668680E+002, 1.0668680E+002, 5.9363117E+001, 5.9363117E+001, 5.9363117E+001, 1.1236566E+002, 1.1236566E+002, 1.1236566E+002, 7.0253787E+001, 7.0253787E+001
 3.8592313E+003, 1.7364932E+002, 5.3031648E+002, 9.3947367E+002, 4.0977755E+001, 3.0658694E+001, 2.6028456E+001, 1.0747014E+002, 1.0747014E+002, 5.9629644E+001, 5.9629644E+001, 5.9629644E+001, 1.1316380E+002, 1.1316380E+002, 1.1316380E+002, 7.0620077E+001, 7.0620077E+001
 3.8736105E+003, 1.7582109E+002, 5.3203597E+002, 9.4008394E+002, 4.1122283E+001, 3.0732988E+001, 2.6071869E+001, 1.0827768E+002, 1.0827768E+002, 5.9899919E+001, 5.9899919E+001, 5.9899919E+001, 1.1395536E+002, 1.1395536E+002, 1.1395536E+002, 7.0954075E+001, 7.0954075E+001
 3.8880337E+003, 1.7834497E+002, 5.3375143E+002, 9.4069462E+002, 4.1297155E+001, 3.0807955E+001, 2.6115432E+001, 1.0911977E+002, 1.0911977E+002, 6.0188709E+001, 6.0188709E+001, 6.0188709E+001, 1.1475923E+002, 1.1475923E+002, 1.1475923E+002, 7.1317067E+001, 7.1317067E+001
 3.9024230E+003, 1.8139418E+002, 5.3546266E+002, 9.4130721E+002, 4.1478956E+001, 3.0883573E+001, 2.6159153E+001, 1.0999370E+002, 1.0999370E+002, 6.0482030E+001, 6.0482030E+001, 6.0482030E+001, 1.1560697E+002, 1.1560697E+002, 1.1560697E+002, 7.1693468E+001, 7.1693468E+001
 3.9168072E+003, 1.8500400E+002, 5.3716733E+002, 9.4191886E+002, 4.1672116E+001, 3.0959782E+001, 2.6202973E+001, 1.1093693E+002, 1.1093693E+002, 6.0790205E+001, 6.0790205E+001, 6.0790205E+001, 1.1648647E+002, 1.1648647E+002, 1.1648647E+002, 7.2107215E+001, 7.2107215E+001
 3.9312084E+003, 1.8935116E+002, 5.3886931E+002, 9.4253003E+002, 4.1867485E+001, 3.1036757E+001, 2.6246981E+001, 1.1197263E+002, 1.1197263E+002, 6.1104673E+001, 6.1104673E+001, 6.1104673E+001, 1.1745571E+002, 1.1745571E+002, 1.1745571E+002, 7.2509639E+001, 7.2509639E+001
 3.9456049E+003, 1.9526432E+002, 5.4056942E+002, 9.4314134E+002, 4.2056951E+001, 3.1114542E+001, 2.6291180E+001, 1.1304316E+002, 1.1304316E+002, 6.1438131E+001, 6.1438131E+001, 6.1438131E+001, 1.1857335E+002, 1.1857335E+002, 1.1857335E+002, 7.2957757E+001, 7.2957757E+001
 3.9600262E+003, 2.0277040E+002, 5.4226914E+002, 9.4373819E+002, 4.2276883E+001, 3.1193255E+001, 2.6335582E+001, 1.1422174E+002, 1.1422174E+002, 6.1812266E+001, 6.1812266E+001, 6.1812266E+001, 1.1965533E+002, 1.1965533E+002, 1.1965533E+002, 7.3447318E+001, 7.3447318E+001
 3.9744075E+003, 2.1007359E+002, 5.4396889E+002, 9.4428562E+002, 4.2513499E+001, 3.1272843E+001, 2.6380160E+001, 1.1554560E+002, 1.1554560E+002, 6.2214173E+001, 6.2214173E+001, 6.2214173E+001, 1.2084309E+002, 1.2084309E+002, 1.2084309E+002, 7.3983677E+001, 7.3983677E+001
 3.9888033E+003, 2.1692736E+002, 5.4567173E+002, 9.4480753E+002, 4.2768166E+001, 3.1353337E+001, 2.6424911E+001, 1.1707069E+002, 1.1707069E+002, 6.2657743E+001, 6.2657743E+001, 6.2657743E+001, 1.2216263E+002, 1.2216263E+002, 1.2216263E+002, 7.4575751E+001, 7.4575751E+001
 4.0032080E+003, 2.2339674E+002, 5.4738436E+002, 9.4532741E+002, 4.3092448E+001, 3.1435021E+001, 2.6469931E+001, 1.1883167E+002, 1.1883167E+002, 6.3148108E+001, 6.3148108E+001, 6.3148108E+001, 1.2365080E+002, 1.2365080E+002, 1.2365080E+002, 7.5234610E+001, 7.5234610E+001
 4.0176026E+003, 2.2940886E+002, 5.4910856E+002, 9.4584598E+002, 4.3428216E+001, 3.1517962E+001, 2.6515186E+001, 1.2089500E+002, 1.2089500E+002, 6.3673279E+001, 6.3673279E+001, 6.3673279E+001, 1.2533477E+002, 1.2533477E+002, 1.2533477E+002, 7.5949465E+001, 7.5949465E+001
 4.0320321E+003, 2.3500877E+002, 5.5084858E+002, 9.4637212E+002, 4.3745008E+001, 3.1602457E+001, 2.6560720E+001, 1.2324673E+002, 1.2324673E+002, 6.4267175E+001, 6.4267175E+001, 6.4267175E+001, 1.2718729E+002, 1.2718729E+002, 1.2718729E+002, 7.6731515E+001, 7.6731515E+001
 4.0464041E+003, 2.4022636E+002, 5.5260360E+002, 9.4691401E+002, 4.4087279E+001, 3.1688626E+001, 2.6606501E+001, 1.2588776E+002, 1.2588776E+002, 6.4900048E+001, 6.4900048E+001, 6.4900048E+001, 1.2920915E+002, 1.2920915E+002, 1.2920915E+002, 7.7580319E+001, 7.7580319E+001
 4.0608153E+003, 2.4517777E+002, 5.5437529E+002, 9.4745547E+002, 4.4455363E+001, 3.1776631E+001, 2.6652555E+001, 1.2874217E+002, 1.2874217E+002, 6.5562283E+001, 6.5562283E+001, 6.5562283E+001, 1.3153674E+002, 1.3153674E+002, 1.3153674E+002, 7.8504719E+001, 7.8504719E+001
 4.0752276E+003, 2.4994787E+002, 5.5616827E+002, 9.4800274E+002, 4.4852934E+001, 3.1866862E+001, 2.6699009E+001, 1.3177838E+002, 1.3177838E+002, 6.6287706E+001, 6.6287706E+001, 6.6287706E+001, 1.3416181E+002, 1.3416181E+002, 1.3416181E+002, 7.9486334E+001, 7.9486334E+001
 4.0896113E+003, 2.5447607E+002, 5.5797888E+002, 9.4855090E+002, 4.5289993E+001, 3.1959319E+001, 2.6745767E+001, 1.3499745E+002, 1.3499745E+002, 6.7047602E+001, 6.7047602E+001, 6.7047602E+001, 1.3696445E+002, 1.3696445E+002, 1.3696445E+002, 8.0551084E+001, 8.0551084E+001
 4.1040231E+003, 2.5892209E+002, 5.5980897E+002, 9.4908884E+002, 4.5678979E+001, 3.2054275E+001, 2.6792905E+001, 1.3830745E+002, 1.3830745E+002, 6.7854187E+001, 6.7854187E+001, 6.7854187E+001, 1.4000780E+002, 1.4000780E+002, 1.4000780E+002, 8.1699609E+001, 8.1699609E+001
 4.1184009E+003, 2.6317823E+002, 5.6165805E+002, 9.4962434E+002, 4.6170490E+001, 3.2151965E+001, 2.6840474E+001, 1.4170755E+002, 1.4170755E+002, 6.8733626E+001, 6.8733626E+001, 6.8733626E+001, 1.4319960E+002, 1.4319960E+002, 1.4319960E+002, 8.2865553E+001, 8.2865553E+001
 4.1328057E+003, 2.6736304E+002, 5.6352567E+002, 9.5016348E+002, 4.6633664E+001, 3.2252541E+001, 2.6888511E+001, 1.4520186E+002, 1.4520186E+002, 6.9643349E+001, 6.9643349E+001, 6.9643349E+001, 1.4644917E+002, 1.4644917E+002, 1.4644917E+002, 8.4108768E+001, 8.4108768E+001
 4.1472273E+003, 2.7148905E+002, 5.6541450E+002, 9.5070460E+002, 4.7091565E+001, 3.2356437E+001, 2.6937147E+001, 1.4869787E+002, 1.4869787E+002, 7.0592067E+001, 7.0592067E+001, 7.0592067E+001, 1.4982576E+002, 1.4982576E+002, 1.4982576E+002, 8.5420433E+001, 8.5420433E+001
 4.1616103E+003, 2.7547873E+002, 5.6731953E+002, 9.5123546E+002, 4.7558867E+001, 3.2463590E+001, 2.6986304E+001, 1.5215796E+002, 1.5215796E+002, 7.1600479E+001, 7.1600479E+001, 7.1600479E+001, 1.5331951E+002, 1.5331951E+002, 1.5331951E+002, 8.6771433E+001, 8.6771433E+001
 4.1760207E+003, 2.7938936E+002, 5.6924054E+002, 9.5176002E+002, 4.8045332E+001, 3.2574175E+001, 2.7036073E+001, 1.5564158E+002, 1.5564158E+002, 7.2632982E+001, 7.2632982E+001, 7.2632982E+001, 1.5681586E+002, 1.5681586E+002, 1.5681586E+002, 8.8194363E+001, 8.8194363E+001
 4.1904278E+003, 2.8318299E+002, 5.7117889E+002, 9.5228698E+002, 4.8528243E+001, 3.2688441E+001, 2.7086581E+001, 1.5908201E+002, 1.5908201E+002, 7.3724971E+001, 7.3724971E+001, 7.3724971E+001, 1.6035940E+002, 1.6035940E+002, 1.6035940E+002, 8.9707385E+001, 8.9707385E+001
 4.2048143E+003, 2.8687760E+002, 5.7313031E+002, 9.5281502E+002, 4.9060938E+001, 3.2806279E+001, 2.7137796E+001, 1.6247027E+002, 1.6247027E+002, 7.4833675E+001, 7.4833675E+001, 7.4833675E+001, 1.6404738E+002, 1.6404738E+002, 1.6404738E+002, 9.1237808E+001, 9.1237808E+001
 4.2192218E+003, 2.9050441E+002, 5.7509550E+002, 9.5335690E+002, 4.9611728E+001, 3.2927901E+001, 2.7189816E+001, 1.6585485E+002, 1.6585485E+002, 7.5982680E+001, 7.5982680E+001, 7.5982680E+001, 1.6751562E+002, 1.6751562E+002, 1.6751562E+002, 9.2865622E+001, 9.2865622E+001
 4.2336293E+003, 2.9405966E+002, 5.7707659E+002, 9.5390959E+002, 5.0148086E+001, 3.3053496E+001, 2.7242741E+001, 1.6916180E+002, 1.6916180E+002, 7.7155642E+001, 7.7155642E+001, 7.7155642E+001, 1.7096748E+002, 1.7096748E+002, 1.7096748E+002, 9.4520773E+001, 9.4520773E+001
 4.2480133E+003, 2.9757617E+002, 5.7907036E+002, 9.5446625E+002, 5.0679836E+001, 3.3182994E+001, 2.7296574E+001, 1.7243396E+002, 1.7243396E+002, 7.8372630E+001, 7.8372630E+001, 7.8372630E+001, 1.7437557E+002, 1.7437557E+002, 1.7437557E+002, 9.6233673E+001, 9.6233673E+001
 4.2624096E+003, 3.0097746E+002, 5.8107634E+002, 9.5502295E+002, 5.1228069E+001, 3.3316542E+001, 2.7351387E+001, 1.7564159E+002, 1.7564159E+002, 7.9603032E+001, 7.9603032E+001, 7.9603032E+001, 1.7780846E+002, 1.7780846E+002, 1.7780846E+002, 9.7946879E+001, 9.7946879E+001
 4.2768187E+003, 3.0432617E+002, 5.8309578E+002, 9.5557432E+002, 5.1777217E+001, 3.3454344E+001, 2.7407315E+001, 1.7877577E+002, 1.7877577E+002, 8.0853340E+001, 8.0853340E+001, 8.0853340E+001, 1.8128781E+002, 1.8128781E+002, 1.8128781E+002, 9.9717768E+001, 9.9717768E+001
 4.2912117E+003, 3.0755546E+002, 5.8512545E+002, 9.5611717E+002, 5.2358528E+001, 3.3596325E+001, 2.7464363E+001, 1.8183488E+002, 1.8183488E+002, 8.2138333E+001, 8.2138333E+001, 8.2138333E+001, 1.8466764E+002, 1.8466764E+002, 1.8466764E+002, 1.0150807E+002, 1.0150807E+002
 4.3056106E+003, 3.1074679E+002, 5.8716357E+002, 9.5665821E+002, 5.2944186E+001, 3.3742465E+001, 2.7522601E+001, 1.8491479E+002, 1.8491479E+002, 8.3440109E+001, 8.3440109E+001, 8.3440109E+001, 1.8804152E+002, 1.8804152E+002, 1.8804152E+002, 1.0340634E+002, 1.0340634E+002
 4.3200189E+003, 3.1391954E+002, 5.8921069E+002, 9.5720161E+002, 5.3566945E+001, 3.3892954E+001, 2.7582131E+001, 1.8792039E+002, 1.8792039E+002, 8.4740317E+001, 8.4740317E+001, 8.4740317E+001, 1.9140341E+002, 1.9140341E+002, 1.9140341E+002, 1.0523527E+002, 1.0523527E+002
 4.3344174E+003, 3.1708131E+002, 5.9126442E+002, 9.5774495E+002, 5.4136859E+001, 3.4047781E+001, 2.7642982E+001, 1.9086673E+002, 1.9086673E+002, 8.6022870E+001, 8.6022870E+001, 8.6022870E+001, 1.9472301E+002, 1.9472301E+002, 1.9472301E+002, 1.0707647E+002, 1.0707647E+002
 4.3488243E+003, 3.2013910E+002, 5.9332355E+002, 9.5829082E+002, 5.4721473E+001, 3.4206980E+001, 2.7705214E+001, 1.9377591E+002, 1.9377591E+002, 8.7294738E+001, 8.7294738E+001, 8.7294738E+001, 1.9807830E+002, 1.9807830E+002, 1.9807830E+002, 1.0892726E+002, 1.0892726E+002
 4.3632211E+003, 3.2314041E+002, 5.9538690E+002, 9.5883574E+002, 5.5323096E+001, 3.4370543E+001, 2.7768895E+001, 1.9660144E+002, 1.9660144E+002, 8.8617474E+001, 8.8617474E+001, 8.8617474E+001, 2.0121790E+002, 2.0121790E+002, 2.0121790E+002, 1.1078561E+002, 1.1078561E+002
 4.3776143E+003, 3.2609028E+002, 5.9745255E+002, 9.5938136E+002, 5.6011361E+001, 3.4538392E+001, 2.7834048E+001, 1.9936056E+002, 1.9936056E+002, 8.9937268E+001, 8.9937268E+001, 8.9937268E+001, 2.0425301E+002, 2.0425301E+002, 2.0425301E+002, 1.1267865E+002, 1.1267865E+002
 4.3920035E+003, 3.2900608E+002, 5.9951990E+002, 9.5991592E+002, 5.6603559E+001, 3.4710577E+001, 2.7900734E+001, 2.0207967E+002, 2.0207967E+002, 9.1259294E+001, 9.1259294E+001, 9.1259294E+001, 2.0722117E+002, 2.0722117E+002, 2.0722117E+002, 1.1460039E+002, 1.1460039E+002
 4.4064126E+003, 3.3190201E+002, 6.0158972E+002, 9.6043727E+002, 5.7199619E+001, 3.4887301E+001, 2.7969074E+001, 2.0472615E+002, 2.0472615E+002, 9.2605863E+001, 9.2605863E+001, 9.2605863E+001, 2.1019379E+002, 2.1019379E+002, 2.1019379E+002, 1.1650030E+002, 1.1650030E+002
 4.4208218E+003, 3.3473966E+002, 6.0366145E+002, 9.6095678E+002, 5.7771297E+001, 3.5068568E+001, 2.8039131E+001, 2.0733799E+002, 2.0733799E+002, 9.3953903E+001, 9.3953903E+001, 9.3953903E+001, 2.1303176E+002, 2.1303176E+002, 2.1303176E+002, 1.1835956E+002, 1.1835956E+002
 4.4352075E+003, 3.3753241E+002, 6.0573115E+002, 9.6147593E+002, 5.8365392E+001, 3.5254035E+001, 2.8110838E+001, 2.0989705E+002, 2.0989705E+002, 9.5283614E+001, 9.5283614E+001, 9.5283614E+001, 2.1589133E+002, 2.1589133E+002, 2.1589133E+002, 1.2025148E+002, 1.2025148E+002
 4.4496102E+003, 3.4023986E+002, 6.0779923E+002, 9.6199968E+002, 5.9032322E+001, 3.5443681E+001, 2.8184288E+001, 2.1241757E+002, 2.1241757E+002, 9.6634813E+001, 9.6634813E+001, 9.6634813E+001, 2.1869305E+002, 2.1869305E+002, 2.1869305E+002, 1.2215369E+002, 1.2215369E+002
 4.4640062E+003, 3.4290237E+002, 6.0986616E+002, 9.6253655E+002, 5.9670278E+001, 3.5637556E+001, 2.8259578E+001, 2.1486377E+002, 2.1486377E+002, 9.7964770E+001, 9.7964770E+001, 9.7964770E+001, 2.2135805E+002, 2.2135805E+002, 2.2135805E+002, 1.2398718E+002, 1.2398718E+002
 4.4784090E+003, 3.4553713E+002, 6.1193046E+002, 9.6308053E+002, 6.0303973E+001, 3.5835588E+001, 2.8336704E+001, 2.1728454E+002, 2.1728454E+002, 9.9293234E+001, 9.9293234E+001, 9.9293234E+001, 2.2410975E+002, 2.2410975E+002, 2.2410975E+002, 1.2582757E+002, 1.2582757E+002
 4.4928119E+003, 3.4820776E+002, 6.1399192E+002, 9.6362515E+002, 6.0905041E+001, 3.6037812E+001, 2.8415729E+001, 2.1963719E+002, 2.1963719E+002, 1.0059964E+002, 1.0059964E+002, 1.0059964E+002, 2.2691840E+002, 2.2691840E+002, 2.2691840E+002, 1.2764811E+002, 1.2764811E+002
 4.5072111E+003, 3.5075713E+002, 6.1604918E+002, 9.6417174E+002, 6.1454994E+001, 3.6244107E+001, 2.8496671E+001, 2.2187127E+002, 2.2187127E+002, 1.0190610E+002, 1.0190610E+002, 1.0190610E+002, 2.2958072E+002, 2.2958072E+002, 2.2958072E+002, 1.2945297E+002, 1.2945297E+002
 4.5216178E+003, 3.5325543E+002, 6.1810220E+002, 9.6470560E+002, 6.2080641E+001, 3.6454409E+001, 2.8579554E+001, 2.2412252E+002, 2.2412252E+002, 1.0327177E+002, 1.0327177E+002, 1.0327177E+002, 2.3213549E+002, 2.3213549E+002, 2.3213549E+002, 1.3128640E+002, 1.3128640E+002
 4.5360040E+003, 3.5577574E+002, 6.2014915E+002, 9.6523429E+002, 6.2753689E+001, 3.6668441E+001, 2.8664382E+001, 2.2634816E+002, 2.2634816E+002, 1.0457069E+002, 1.0457069E+002, 1.0457069E+002, 2.3456993E+002, 2.3456993E+002, 2.3456993E+002, 1.3312303E+002, 1.3312303E+002
 4.5504056E+003, 3.5826519E+002, 6.2219003E+002, 9.6576128E+002, 6.3348221E+001, 3.6886195E+001, 2.8751185E+001, 2.2850529E+002, 2.2850529E+002, 1.0585723E+002, 1.0585723E+002, 1.0585723E+002, 2.3706834E+002, 2.3706834E+002, 2.3706834E+002, 1.3485975E+002, 1.3485975E+002
 4.5648276E+003, 3.6069578E+002, 6.2422714E+002, 9.6629043E+002, 6.3999319E+001, 3.7107950E+001, 2.8840106E+001, 2.3066587E+002, 2.3066587E+002, 1.0710490E+002, 1.0710490E+002, 1.0710490E+002, 2.3945802E+002, 2.3945802E+002, 2.3945802E+002, 1.3660992E+002, 1.3660992E+002
 4.5792231E+003, 3.6308615E+002, 6.2625700E+002, 9.6681783E+002, 6.4605670E+001, 3.7333325E+001, 2.8931056E+001, 2.3275451E+002, 2.3275451E+002, 1.0834799E+002, 1.0834799E+002, 1.0834799E+002, 2.4183519E+002, 2.4183519E+002, 2.4183519E+002, 1.3836707E+002, 1.3836707E+002
 4.5936167E+003, 3.6541284E+002, 6.2827759E+002, 9.6734691E+002, 6.5250287E+001, 3.7562089E+001, 2.9023941E+001, 2.3487836E+002, 2.3487836E+002, 1.0963727E+002, 1.0963727E+002, 1.0963727E+002, 2.4431919E+002, 2.4431919E+002, 2.4431919E+002, 1.4017688E+002, 1.4017688E+002
 4.6080155E+003, 3.6770444E+002, 6.3029069E+002, 9.6787398E+002, 6.5903539E+001, 3.7794417E+001, 2.9118904E+001, 2.3694909E+002, 2.3694909E+002, 1.1088309E+002, 1.1088309E+002, 1.1088309E+002, 2.4661525E+002, 2.4661525E+002, 2.4661525E+002, 1.4195952E+002, 1.4195952E+002
 4.6224061E+003, 3.6998154E+002, 6.3229538E+002, 9.6840191E+002, 6.6526837E+001, 3.8030227E+001, 2.9215903E+001, 2.3887290E+002, 2.3887290E+002, 1.1209066E+002, 1.1209066E+002, 1.1209066E+002, 2.4886771E+002, 2.4886771E+002, 2.4886771E+002, 1.4368717E+002, 1.4368717E+002
 4.6368112E+003, 3.7227172E+002, 6.3429187E+002, 9.6893034E+002, 6.7141717E+001, 3.8269557E+001, 2.9314992E+001, 2.4075875E+002, 2.4075875E+002, 1.1335449E+002, 1.1335449E+002, 1.1335449E+002, 2.5105438E+002, 2.5105438E+002, 2.5105438E+002, 1.4546577E+002, 1.4546577E+002
 4.6512193E+003, 3.7445267E+002, 6.3628053E+002, 9.6945965E+002, 6.7817239E+001, 3.8512438E+001, 2.9416208E+001, 2.4267722E+002, 2.4267722E+002, 1.1460326E+002, 1.1460326E+002, 1.1460326E+002, 2.5329623E+002, 2.5329623E+002, 2.5329623E+002, 1.4723163E+002, 1.4723163E+002
 4.6656285E+003, 3.7669743E+002, 6.3826000E+002, 9.6998866E+002, 6.8474961E+001, 3.8758694E+001, 2.9519502E+001, 2.4461717E+002, 2.4461717E+002, 1.1583477E+002, 1.1583477E+002, 1.1583477E+002, 2.5545066E+002, 2.5545066E+002, 2.5545066E+002, 1.4890796E+002, 1.4890796E+002
 4.6800163E+003, 3.8115806E+002, 6.4022825E+002, 9.6791533E+002, 6.9583360E+001, 3.9008100E+001, 2.9624792E+001, 2.4700359E+002, 2.4700359E+002, 1.1733365E+002, 1.1733365E+002, 1.1733365E+002, 2.9777327E+002, 2.9777327E+002, 2.9777327E+002, 1.5305727E+002, 1.5305727E+002
 4.6944068E+003, 3.9659238E+002, 6.4218288E+002, 9.6621124E+002, 7.4907642E+001, 3.9260866E+001, 2.9732064E+001, 2.5368670E+002, 2.5368670E+002, 1.2199428E+002, 1.2199428E+002, 1.2199428E+002, 4.6781960E+002, 4.6781960E+002, 4.6781960E+002, 1.7237054E+002, 1.7237054E+002
 4.7088157E+003, 4.0978088E+002, 6.4412086E+002, 9.6657872E+002, 8.0013201E+001, 3.9520032E+001, 2.9841474E+001, 2.6194053E+002, 2.6194053E+002, 1.2789518E+002, 1.2789518E+002, 1.2789518E+002, 5.8329988E+002, 5.8329988E+002, 5.8329988E+002, 2.0095503E+002, 2.0095503E+002
 4.7232034E+003, 4.2075211E+002, 6.4604313E+002, 9.6693808E+002, 8.4476484E+001, 3.9791905E+001, 2.9952930E+001, 2.7026350E+002, 2.7026350E+002, 1.3390195E+002, 1.3390195E+002, 1.3390195E+002, 6.4825756E+002, 6.4825756E+002, 6.4825756E+002, 2.3327075E+002, 2.3327075E+002
