s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
Time,"Pb1","Pb1-Pb2","Pb2","Pb3","Pb3-Pb4","Pb4","AHF","AHF-Extra","ACF","ACF-Extra","ACF-Extra2","FHF","FHF-Extra","FHF-Extra2","FCF","FCF-Extra"
 2.4482481E+002, 2.0878181E+001, 3.1094450E+001, 3.8067643E+002, 2.0100416E+001, 2.0012457E+001, 2.0001090E+001, 2.0240202E+001, 2.0240202E+001, 2.0206390E+001, 2.0206390E+001, 2.0206390E+001, 2.0222306E+001, 2.0222306E+001, 2.0222306E+001, 2.0233621E+001, 2.0233621E+001
 2.5923682E+002, 2.1098583E+001, 3.2502955E+001, 4.0237245E+002, 2.0100416E+001, 2.0013629E+001, 2.0001341E+001, 2.0257798E+001, 2.0257798E+001, 2.0208301E+001, 2.0208301E+001, 2.0208301E+001, 2.0244452E+001, 2.0244452E+001, 2.0244452E+001, 2.0237553E+001, 2.0237553E+001
 2.7364882E+002, 2.1353189E+001, 3.3941454E+001, 4.1912771E+002, 2.0101483E+001, 2.0014782E+001, 2.0001620E+001, 2.0280300E+001, 2.0280300E+001, 2.0210734E+001, 2.0210734E+001, 2.0210734E+001, 2.0272279E+001, 2.0272279E+001, 2.0272279E+001, 2.0242920E+001, 2.0242920E+001
 2.8800540E+002, 2.1640717E+001, 3.5400006E+001, 4.3350095E+002, 2.0102207E+001, 2.0015912E+001, 2.0001924E+001, 2.0307482E+001, 2.0307482E+001, 2.0213084E+001, 2.0213084E+001, 2.0213084E+001, 2.0305629E+001, 2.0305629E+001, 2.0305629E+001, 2.0249108E+001, 2.0249108E+001
 3.0241741E+002, 2.1961674E+001, 3.6872841E+001, 4.4680020E+002, 2.0102396E+001, 2.0017021E+001, 2.0002253E+001, 2.0339621E+001, 2.0339621E+001, 2.0215024E+001, 2.0215024E+001, 2.0215024E+001, 2.0345080E+001, 2.0345080E+001, 2.0345080E+001, 2.0255770E+001, 2.0255770E+001
 3.1682941E+002, 2.2316708E+001, 3.8358499E+001, 4.5835255E+002, 2.0102375E+001, 2.0018112E+001, 2.0002606E+001, 2.0377460E+001, 2.0377460E+001, 2.0216613E+001, 2.0216613E+001, 2.0216613E+001, 2.0391615E+001, 2.0391615E+001, 2.0391615E+001, 2.0263103E+001, 2.0263103E+001
 3.3124142E+002, 2.2704855E+001, 3.9858524E+001, 4.6787510E+002, 2.0102255E+001, 2.0019181E+001, 2.0002981E+001, 2.0421524E+001, 2.0421524E+001, 2.0217926E+001, 2.0217926E+001, 2.0217926E+001, 2.0445620E+001, 2.0445620E+001, 2.0445620E+001, 2.0271301E+001, 2.0271301E+001
 3.4565342E+002, 2.3125745E+001, 4.1379152E+001, 4.7646299E+002, 2.0102257E+001, 2.0020228E+001, 2.0003377E+001, 2.0472464E+001, 2.0472464E+001, 2.0219135E+001, 2.0219135E+001, 2.0219135E+001, 2.0507884E+001, 2.0507884E+001, 2.0507884E+001, 2.0280785E+001, 2.0280785E+001
 3.6001000E+002, 2.3577968E+001, 4.2921987E+001, 4.8455114E+002, 2.0102605E+001, 2.0021251E+001, 2.0003792E+001, 2.0530818E+001, 2.0530818E+001, 2.0220412E+001, 2.0220412E+001, 2.0220412E+001, 2.0579817E+001, 2.0579817E+001, 2.0579817E+001, 2.0291875E+001, 2.0291875E+001
 3.7442201E+002, 2.4061704E+001, 4.4485722E+001, 4.9219865E+002, 2.0103543E+001, 2.0022251E+001, 2.0004224E+001, 2.0597345E+001, 2.0597345E+001, 2.0221920E+001, 2.0221920E+001, 2.0221920E+001, 2.0661519E+001, 2.0661519E+001, 2.0661519E+001, 2.0305050E+001, 2.0305050E+001
 3.8883401E+002, 2.4577186E+001, 4.6051945E+001, 4.9935189E+002, 2.0104574E+001, 2.0023231E+001, 2.0004673E+001, 2.0672672E+001, 2.0672672E+001, 2.0223773E+001, 2.0223773E+001, 2.0223773E+001, 2.0753485E+001, 2.0753485E+001, 2.0753485E+001, 2.0320567E+001, 2.0320567E+001
 4.0324602E+002, 2.5123413E+001, 4.7613072E+001, 5.0695977E+002, 2.0106139E+001, 2.0024191E+001, 2.0005137E+001, 2.0757224E+001, 2.0757224E+001, 2.0226318E+001, 2.0226318E+001, 2.0226318E+001, 2.0856593E+001, 2.0856593E+001, 2.0856593E+001, 2.0338684E+001, 2.0338684E+001
 4.1760260E+002, 2.5698207E+001, 4.9179310E+001, 5.1640509E+002, 2.0108471E+001, 2.0025133E+001, 2.0005613E+001, 2.0851316E+001, 2.0851316E+001, 2.0229950E+001, 2.0229950E+001, 2.0229950E+001, 2.0970994E+001, 2.0970994E+001, 2.0970994E+001, 2.0359190E+001, 2.0359190E+001
 4.3201460E+002, 2.6301934E+001, 5.0766200E+001, 5.2685528E+002, 2.0111718E+001, 2.0026061E+001, 2.0006102E+001, 2.0955741E+001, 2.0955741E+001, 2.0235011E+001, 2.0235011E+001, 2.0235011E+001, 2.1096969E+001, 2.1096969E+001, 2.1096969E+001, 2.0381957E+001, 2.0381957E+001
 4.4642661E+002, 2.6934514E+001, 5.2358634E+001, 5.3676469E+002, 2.0115890E+001, 2.0026984E+001, 2.0006602E+001, 2.1070860E+001, 2.1070860E+001, 2.0241554E+001, 2.0241554E+001, 2.0241554E+001, 2.1236171E+001, 2.1236171E+001, 2.1236171E+001, 2.0406564E+001, 2.0406564E+001
 4.6083861E+002, 2.7593503E+001, 5.3931766E+001, 5.4596635E+002, 2.0120972E+001, 2.0027904E+001, 2.0007112E+001, 2.1196583E+001, 2.1196583E+001, 2.0249732E+001, 2.0249732E+001, 2.0249732E+001, 2.1387479E+001, 2.1387479E+001, 2.1387479E+001, 2.0433656E+001, 2.0433656E+001
 4.7525062E+002, 2.8277716E+001, 5.5477527E+001, 5.5448973E+002, 2.0127026E+001, 2.0028831E+001, 2.0007631E+001, 2.1333264E+001, 2.1333264E+001, 2.0259746E+001, 2.0259746E+001, 2.0259746E+001, 2.1550629E+001, 2.1550629E+001, 2.1550629E+001, 2.0464947E+001, 2.0464947E+001
 4.8960720E+002, 2.8984523E+001, 5.6991120E+001, 5.6237030E+002, 2.0134183E+001, 2.0029772E+001, 2.0008157E+001, 2.1480590E+001, 2.1480590E+001, 2.0271824E+001, 2.0271824E+001, 2.0271824E+001, 2.1725462E+001, 2.1725462E+001, 2.1725462E+001, 2.0500470E+001, 2.0500470E+001
 5.0401920E+002, 2.9713815E+001, 5.8471937E+001, 5.6950963E+002, 2.0142039E+001, 2.0030738E+001, 2.0008691E+001, 2.1638225E+001, 2.1638225E+001, 2.0285413E+001, 2.0285413E+001, 2.0285413E+001, 2.1911877E+001, 2.1911877E+001, 2.1911877E+001, 2.0538509E+001, 2.0538509E+001
 5.1843121E+002, 3.0466715E+001, 5.9919732E+001, 5.7614792E+002, 2.0151024E+001, 2.0031743E+001, 2.0009233E+001, 2.1807212E+001, 2.1807212E+001, 2.0301043E+001, 2.0301043E+001, 2.0301043E+001, 2.2109456E+001, 2.2109456E+001, 2.2109456E+001, 2.0578445E+001, 2.0578445E+001
