TimeStamp,Time in Sec,Kyowa PG 500 KUM _Load in bar_(bar),Load in kN,Stud1_Axial,Stud2_Axial,Stud3_Axial,Stud4_Axial,Stud2_Top,Stud2_Mid,Stud2_Bottom,Stud3_Top,Stud3_Mid,Stud3_Bottom
44:58.8,0.60,-20.287994,6.518532472,2.558173,2.865206,3.702607,4.168892,0.256151,0.354668,0.463044,0.197039,0.285712,0.400655
44:59.8,0.62,-21.770544,6.994875787,2.618925,2.921033,3.759255,4.228003,0.380942,0.463038,0.686356,0.302126,0.426926,0.587847
45:00.8,0.63,-21.770544,6.994875787,2.643555,2.940736,3.806051,4.247706,0.384226,0.476174,0.692924,0.298842,0.433494,0.591131
45:01.8,0.65,-22.569536,7.251591917,2.653407,2.96044,3.82247,4.257558,0.384226,0.47289,0.699492,0.298842,0.440062,0.604267
45:02.8,0.67,-23.865139,7.667869161,2.699382,3.016266,3.870087,4.300248,0.397362,0.476174,0.7389,0.311978,0.449914,0.666664
45:03.8,0.69,-24.309883,7.810765408,2.710875,3.026118,3.889791,4.321593,0.38751,0.476174,0.7389,0.334966,0.44663,0.66338
45:04.8,0.70,-24.689735,7.932811856,2.714159,3.029402,3.895537,4.339655,0.394078,0.469606,0.742184,0.331682,0.443346,0.666664
45:05.8,0.72,-25.816048,8.294696222,2.753566,3.072093,3.942333,4.385629,0.410498,0.702768,0.919521,0.387509,0.781602,0.837436
45:06.8,0.74,-25.849598,8.305475837,2.794615,3.124635,3.993234,4.429962,0.440054,0.735607,0.935941,0.433485,0.814443,0.847288
45:07.8,0.75,-27.335457,8.782882334,2.827455,3.164042,4.021147,4.482504,0.466325,0.742175,0.939225,0.453189,0.811159,0.853856
45:08.8,0.77,-27.696327,8.898829865,2.888207,3.242856,4.095036,4.54654,0.499165,0.834126,1.057449,0.502449,0.873556,1.060752
45:09.8,0.79,-32.843204,10.55252145,3.001503,3.372571,4.272367,4.682821,0.571413,0.97862,1.178957,0.574696,0.988497,1.162558
45:10.8,0.80,-34.003288,10.92525643,3.060613,3.416903,4.361032,4.766561,0.591117,1.001608,1.251205,0.600968,1.021338,1.205251
45:11.8,0.82,-34.385128,11.04794163,3.090169,3.466162,4.397156,4.786264,0.653512,1.001608,1.323453,0.64366,1.021338,1.300489
45:12.9,0.84,-35.570591,11.42883089,3.104946,3.497359,4.420143,4.792832,0.70934,1.004892,1.359577,0.689636,1.027906,1.339898
45:13.9,0.85,-37.365677,12.00559202,3.162415,3.574531,4.490747,4.904484,0.745464,1.231486,1.412121,0.765167,1.293914,1.389158
45:14.9,0.87,-37.837345,12.15713895,3.185402,3.592593,4.515377,4.920904,0.748748,1.241338,1.408837,0.771735,1.303766,1.395727
45:15.9,0.89,-38.858158,12.48512617,3.249439,3.641851,4.571204,4.970162,0.765168,1.254473,1.458097,0.804575,1.320186,1.428567
45:16.9,0.90,-41.533897,13.34484111,3.354525,3.833139,4.704202,5.134356,0.853836,1.402252,1.63215,0.909662,1.494241,1.632179
45:17.9,0.92,-43.106499,13.85011813,3.372586,3.870904,4.732116,5.176226,0.896527,1.431807,1.678126,0.945786,1.520513,1.668304
45:18.9,0.94,-43.091713,13.84536739,3.370944,3.870083,4.728832,5.186899,0.893243,1.435091,1.678126,0.945786,1.520513,1.668304
45:19.9,0.95,-45.100227,14.49070294,3.423487,3.981736,4.814214,5.229589,0.952355,1.556598,1.743806,0.995046,1.605898,1.740554
45:20.9,0.97,-46.248173,14.85953798,3.443191,4.027711,4.848695,5.275564,0.991763,1.592722,1.773362,1.03117,1.638739,1.756974
