TimeStamp,,Kyowa PG 500 KUM _Load in bar_(bar),Stud1_Axial,Stud2_Axial,Stud3_Axial,Stud4_Axial,Stud2_Top,Stud2_Mid,Stud2_Bottom,Stud3_Top,Stud3_Mid,Stud3_Bottom,Load in kN
27:30.1,0.69,0.096453,0.003284,0.011494,0.413779,0.055827,0.036124,-0.087024,0.045976,0,-0.029556,-0.193753,6.395009651
27:31.1,0.70,0.090714,0.024629,0.003284,0.336606,0.050901,0.01642,-0.022988,0,-0.049259,-0.013136,-0.200321,6.396853592
27:32.1,0.72,0.091156,-0.092771,0.018062,0.471249,0.055827,0.026272,-0.064037,-0.01642,0.137924,0.006568,-0.208531,6.396711577
27:33.1,0.74,0.092039,0.064036,0.027913,0.321828,0.049259,0.019704,-0.029555,-0.022988,-0.065678,-0.039408,-0.226593,6.396427869
27:34.1,0.75,0.066877,0.037765,0.037765,0.449903,0.129715,0.022988,0.009852,0.042692,0.062394,0.00821,-0.180617,6.40451242
27:35.1,0.77,-1.691126,0.095234,0.082098,0.470428,0.128073,0.013136,0.003284,0.04926,-0.078814,-0.036124,-0.180617,6.969358784
27:36.1,0.79,-2.434498,0.122326,0.128894,0.755311,0.136283,0.026272,0.022988,0.045976,0,-0.022988,-0.279136,7.208204207
27:37.1,0.80,-2.513072,0.174048,0.170764,0.458934,0.164196,0.019704,0.029555,0.062395,-0.013136,-0.009852,-0.295556,7.233450034
27:38.1,0.82,-3.423526,0.208529,0.2348,0.707694,0.256967,0.039408,0.039407,0.059111,-0.003284,0.031198,-0.162556,7.525978904
27:39.1,0.84,-4.218545,0.287343,0.407206,0.561558,0.234801,0.026272,0.026271,0.068963,-0.001642,0.029556,-0.226593,7.781418509
27:40.1,0.85,-5.661807,0.392428,0.476168,0.605891,0.328392,-0.019704,0.206888,0.062395,-0.013136,0.072248,-0.200321,8.245138589
27:41.1,0.87,-5.661807,0.456464,0.525427,0.635447,0.357948,0.042691,0.128073,0.082099,0.003284,0.09852,-0.193753,8.245138589
27:42.1,0.89,-5.638632,0.558266,0.582895,0.68799,0.389145,0.041049,0.062395,0.091951,-0.003284,0.088668,-0.190469,8.237692462
27:43.1,0.90,-6.005241,0.615735,0.617376,0.706873,0.425268,0.037766,0.187184,0.229878,-0.01642,0.088668,-0.183901,8.355483933
27:44.1,0.92,-6.637372,0.745449,0.784035,0.756953,0.484379,0.029556,0.159271,0.121507,-0.09195,0.13136,-0.151062,8.558587624
27:45.1,0.94,-6.457268,0.71261,0.773362,0.823454,0.492589,0.029556,0.121506,0.137927,0.085382,0.13136,-0.201963,8.500720208
27:46.1,0.95,-8.223437,0.830831,0.935916,0.791435,0.551699,0.026272,0.141209,0.157631,-0.131357,0.170767,-0.190469,9.068190308
27:47.1,0.97,-7.081011,0.824263,0.858744,0.858756,0.564835,0.03284,0.144493,0.144495,0.062394,0.124792,-0.216741,8.701128834
27:48.1,0.99,-6.981689,0.830831,0.875164,0.128074,0.566477,0.022988,0.160913,0.144495,-0.026271,0.128076,0.019704,8.669216676
27:49.1,1.00,-7.719101,0.904719,0.934274,0.784046,0.592748,0.039408,0.162555,0.160915,-0.009852,0.146137,-0.197037,8.906147151
27:50.1,1.02,-8.03936,0.968756,0.983533,0.796361,0.52707,0.052543,0.154345,0.167483,-0.013136,0.137927,-0.022988,9.009046368
27:51.1,1.04,-8.746313,1.034434,1.101754,0.827559,0.673205,0.068963,0.226591,0.17405,-0.003284,0.124792,-0.174049,9.236190367
27:52.2,1.05,-8.78847,1.073841,1.224901,0.908837,0.653501,0.072247,0.111654,0.19047,-0.022987,0.087026,-0.197037,9.249735411
27:53.2,1.07,-8.78847,1.105039,1.302073,0.956454,0.708507,0.059111,0.249579,0.183902,-0.009852,0.101804,-0.180617,9.249735411
27:54.2,1.09,-9.313554,1.142804,1.334913,0.967948,0.742988,0.049259,0.162555,0.193754,-0.013136,0.078816,-0.170765,9.4184449
27:55.2,1.10,-9.583048,1.195346,1.395665,1.050047,0.765154,0.045975,0.257789,0.183902,0.014778,0.077174,-0.154346,9.505033322
27:56.2,1.12,-10.111663,1.265951,1.415369,1.036912,0.771722,0.052543,0.09195,0.244656,0.031197,0.042692,-0.182259,9.674877322
27:57.2,1.14,-10.697223,1.339839,1.45806,1.054973,0.7865,0.045975,0.164197,0.200322,-0.013136,0.055828,-0.159272,9.86301775
27:58.2,1.15,-11.009977,1.326703,1.482689,1.144462,0.845611,0.049259,0.137925,0.22331,-0.013136,0.105088,-0.180617,9.96350561
27:59.2,1.17,-11.887102,1.426042,1.600089,1.210962,0.857104,0.042691,0.10837,0.205248,-0.042691,-0.091952,-0.154346,10.24532587
28:00.2,1.19,-12.28417,1.44985,1.607478,1.614069,0.875166,0.052543,0.10837,0.20689,-0.013136,-0.059112,-0.162556,10.37290382
28:01.2,1.20,-13.585512,1.504035,1.673156,0.743818,0.958906,0.03284,0.062395,0.200322,-0.013136,-0.026272,-0.397358,10.79102501
28:02.2,1.22,-13.962716,1.566429,1.719131,1.614069,0.988462,0.042691,0.082098,0.197038,-0.003284,-0.0821,-0.137926,10.91222065
28:03.2,1.24,-14.173059,1.637034,1.951469,1.390759,1.057424,-0.009852,-0.009852,0.197038,-0.013136,-0.124792,-0.226593,10.97980386
28:04.2,1.26,-16.062166,1.730626,2.072153,1.571377,1.152658,0.085383,-0.029555,0.147779,-0.006568,-0.200323,-0.223309,11.58677394
28:05.2,1.27,-16.541561,1.768391,2.114023,1.542643,1.152658,0.006568,-0.172406,0.147779,-0.013136,-0.293917,-0.269284,11.74080355
28:06.2,1.29,-17.807589,1.806156,2.172312,1.632131,1.195349,0.009852,-0.052543,0.134643,-0.045975,-0.341535,-0.338247,12.14757835
28:07.2,1.31,-18.065605,1.8431,2.196942,1.609964,1.22162,-0.049259,-0.295554,0.091951,-0.08374,-0.374375,-0.334963,12.23047889
28:08.2,1.32,-18.614527,1.894822,2.275756,1.71423,1.261028,-0.098519,-0.103444,0.045976,-0.088666,-0.417066,-0.384222,12.40684753
28:09.2,1.34,-19.359884,1.88497,2.325836,1.786478,1.303719,-0.134642,-0.251221,0.065679,-0.093592,-0.45319,-0.420346,12.64633073
28:10.2,1.36,-20.439186,2.021253,2.441594,1.775805,1.359545,-0.19047,-0.28406,-0.019704,-0.180615,-0.556636,-0.484383,12.99311046
28:11.2,1.37,-20.709562,1.980204,2.364422,1.664971,1.398953,-0.19047,-0.315257,-0.026272,-0.128073,-0.610821,-0.341531,13.07998227
28:12.2,1.39,-21.227583,2.06066,2.559816,1.72244,1.418656,-0.200322,-0.344813,-0.042692,-0.15106,-0.554994,-0.581259,13.24642242
28:13.2,1.41,-21.596621,2.126338,2.581161,2.344753,1.451496,-0.213457,-0.402282,-0.075531,-0.216738,-0.656797,-0.377654,13.36499433
28:14.2,1.42,-23.926941,2.231424,2.807752,1.78894,1.551655,-0.288988,-0.451541,-0.129717,-0.261071,-0.715909,-0.589469,14.11372614
28:15.2,1.44,-25.611223,2.305312,2.975232,2.277431,1.671519,-0.338248,-0.58454,-0.17405,-0.321824,-0.814429,-0.650222,14.65488595
28:16.2,1.46,-25.902128,2.367707,3.012998,2.075467,1.676445,-0.367803,-0.643651,-0.229878,-0.361231,-0.85712,-0.76516,14.74835373
28:17.2,1.47,-27.099953,2.439953,3.070466,2.239666,1.758543,-0.413779,-0.625589,-0.288989,-0.39407,-0.940862,-0.811136,15.1332149
28:18.2,1.49,-28.068676,2.482645,3.096738,2.241308,1.799592,-0.522149,-0.66828,-0.371089,-0.405564,-1.008184,-0.876815,15.4444656
28:19.2,1.51,-28.212141,2.483465,3.112336,2.290567,1.80616,-0.463038,-0.712613,-0.331681,-0.403922,-1.011468,-0.878457,15.4905609
28:20.2,1.52,-27.945957,2.499885,3.103306,2.270042,1.804518,-0.469606,-0.827551,-0.307051,-0.380934,-1.054159,-0.866963,15.40503598
28:21.2,1.54,-27.790133,2.534366,3.108232,2.337364,1.809444,-0.469606,-0.75202,-0.334965,-0.413773,-0.96385,-0.858753,15.35496973
28:22.2,1.56,-27.678892,2.485928,3.09838,2.241308,1.80616,-0.469606,-0.765156,-0.361237,-0.403922,-1.001616,-0.843975,15.319228
28:23.2,1.57,-27.603848,2.505632,3.259292,2.321765,1.799592,-0.466322,-0.761872,-0.361237,-0.482736,-0.97206,-0.93921,15.29511636
28:24.2,1.59,-27.531673,2.502348,3.086886,2.288925,1.80616,-0.469606,-0.745453,-0.351385,-0.420341,-1.057443,-0.899802,15.27192653
28:25.2,1.61,-27.458838,2.502348,3.141892,2.256907,1.819296,-0.476174,-0.755304,-0.357953,-0.420341,-1.093567,-0.839049,15.24852465
28:26.3,1.62,-27.401451,2.494138,3.116441,2.367741,1.807802,-0.466322,-0.76844,-0.357953,-0.413773,-1.027888,-0.745457,15.23008621
28:27.3,1.64,-27.356205,2.497422,3.113157,2.417821,1.806981,-0.44005,-0.778292,-0.367805,-0.410489,-1.03774,-0.942494,15.21554867
28:28.3,1.66,-27.322214,2.492496,3.108232,2.34229,1.819296,-0.44826,-0.816057,-0.361237,-0.403922,-1.018036,-0.843975,15.20462736
28:29.3,1.67,-27.262842,2.500706,3.108232,2.249518,1.809444,-0.47289,-0.783218,-0.361237,-0.400638,-1.024604,-0.862037,15.18555113
28:30.3,1.69,-27.223112,2.489212,3.111515,2.297135,1.816012,-0.44826,-0.778292,-0.341533,-0.417057,-1.024604,-0.860395,15.17278589
28:31.3,1.71,-27.19442,2.50399,3.108232,2.269222,1.802876,-0.466322,-0.691268,-0.39736,-0.426909,-1.027888,-0.863679,15.16356715
28:32.3,1.72,-27.169037,2.479361,3.116441,2.283999,1.80616,-0.466322,-0.771724,-0.356311,-0.387502,-1.045949,-0.842333,15.15541159
28:33.3,1.74,-27.119818,2.551607,3.108232,2.208468,1.802055,-0.47289,-0.712613,-0.344817,-0.446612,-1.062369,-0.855469,15.13959752
28:34.3,1.76,-27.077,2.492496,3.096738,2.306987,1.807802,-0.469606,-0.756946,-0.361237,-0.407205,-1.036098,-0.832481,15.1258401
28:35.3,1.77,-26.971718,2.482645,3.096738,2.206826,1.807802,-0.47289,-0.771724,-0.348101,-0.426909,-1.0049,-0.843975,15.09201299
28:36.3,1.79,-24.448933,2.474435,3.113157,2.682181,1.801234,-0.469606,-0.779934,-0.374373,-0.367799,-1.011468,-1.103407,14.28144217
28:37.3,1.81,-19.600245,2.385769,3.063898,1.837379,1.799592,-0.45647,-0.758588,-0.374373,-0.426909,-1.034456,-0.679778,12.72355872
28:38.3,1.82,-18.718704,2.351287,3.063077,1.985158,1.790561,-0.463038,-0.78486,-0.377657,-0.420341,-0.991764,-0.912938,12.4403196
28:39.3,1.84,-17.513815,2.329942,3.052405,2.154282,1.773321,-0.469606,-0.771724,-0.374373,-0.433477,-1.024604,-0.775012,12.05318876
28:40.3,1.86,-17.5648,2.338152,3.057331,2.093529,1.750333,-0.47289,-0.75202,-0.377657,-0.436761,-1.018036,-0.870247,12.06957024
28:41.3,1.87,-17.625498,2.331584,3.055689,2.223246,1.770037,-0.433483,-0.709329,-0.374373,-0.430193,-1.032814,-0.840691,12.08907251
28:42.3,1.89,-17.267717,2.318448,3.045837,2.14443,1.71421,-0.443334,-0.896513,-0.377657,-0.420341,-1.024604,-0.863679,11.97411747
28:43.3,1.91,-15.63199,2.237992,2.999862,2.131294,1.68055,-0.44005,-0.75202,-0.354669,-0.413773,-1.014752,-0.853827,11.44855839
28:44.3,1.92,-12.599794,2.177239,2.939109,2.008146,1.60584,-0.421989,-0.733959,-0.369447,-0.420341,-0.98027,-0.870247,10.47431381
28:45.3,1.94,-11.743637,2.040956,2.724012,2.054121,1.543445,-0.397359,-0.712613,-0.390792,-0.400638,-0.912948,-0.883382,10.19923057
28:46.3,1.96,-9.505797,2.011401,2.679679,1.865293,1.502396,-0.400643,-0.66007,-0.400644,-0.558266,-0.952356,-0.876815,9.480212576
28:47.3,1.97,-8.96416,1.980204,2.627136,1.92933,1.485977,-0.394075,-0.650218,-0.407212,-0.390786,-0.949072,-0.798,9.306184608
28:48.3,1.99,-8.492931,1.991698,2.632062,1.880892,1.46381,-0.394075,-0.666638,-0.394076,-0.446612,-0.88175,-0.863679,9.15477873
28:49.3,2.01,-8.103588,1.971994,2.627136,3.054913,1.461347,-0.394075,-0.642009,-0.400644,-0.436761,-1.003258,-0.822629,9.029682824
28:50.3,2.02,-7.146343,1.90139,2.57213,1.72244,1.412088,-0.385865,-0.614095,-0.394076,-0.418699,-0.87354,-0.858753,8.722120006
28:51.3,2.04,-5.114211,1.812724,2.441594,2.035238,1.362829,-0.344816,-0.627231,-0.400644,-0.423625,-0.860404,-0.945778,8.069195994
28:52.3,2.06,-5.114211,1.750329,2.38741,1.834095,1.333274,-0.420347,-0.617379,-0.380941,-0.417057,-0.817713,-0.870247,8.069195994
28:53.3,2.07,-3.842004,1.710922,2.349644,1.737218,1.295509,-0.328396,-0.574688,-0.394076,-0.417057,-0.817713,-0.857111,7.660435885
28:54.3,2.09,-3.07634,1.64196,2.315163,1.794687,1.264312,-0.367803,-0.331677,-0.390792,-0.417057,-0.807861,-0.863679,7.414428042
28:55.3,2.11,-2.297654,1.60912,2.292176,1.683032,1.216695,-0.334964,-0.633799,-0.387508,-0.417057,-0.820997,-0.873531,7.16423623
