TimeStamp,Time in Sec,Kyowa PG 500 KUM _Load in bar_(bar),Load in kN,Stud1_Axial,Stud2_Axial,Stud3_Axial,Stud4_Axial,Stud2_Top,Stud2_Mid,Stud2_Bottom,Stud3_Top,Stud3_Mid,Stud3_Bottom,Stud1_Mid,Stud4_Mid
39:15.7,0.58,-0.02163,0.006949719,0.001642,0.003284,-0.002463,0,0,0,0.003284,0.006568,0.001642,0,-0.041605,0.038132
39:16.7,0.6,-0.012581,0.004042275,0,0.003284,-0.002463,0,0,0.009852,-0.006568,-0.00821,-0.001642,0.003284,-0.038138,0.027732
39:17.7,0.62,-0.01854,0.005956902,0,0.001642,0.002463,0.001642,0,0.006568,0,0.024629,-0.004926,0.003284,-0.010401,0.0104
39:18.7,0.63,-0.01854,0.005956902,0.001642,0.003284,0,0.001642,0,0.006568,0,0.052543,-0.001642,0.003284,0.003467,-0.031199
39:19.7,0.65,-0.022072,0.007091734,0,0.003284,-0.002463,-0.001642,0,0.006568,0.003284,0.049259,-0.001642,0.001642,-0.072809,0.038132
39:20.8,0.67,-0.026927,0.008651645,0,0.003284,-0.000821,0.001642,0,0.006568,0.003284,-0.001642,-0.001642,0,-0.038138,0.013866
39:21.8,0.68,-0.02163,0.006949719,0.001642,0.004926,-0.004105,0,0,0.013136,0,-0.060753,-0.001642,0.003284,-0.079743,0.086663
39:22.8,0.7,-0.02163,0.006949719,0,0.001642,-0.000821,0,0,0.009852,0,-0.004926,0.001642,0.003284,-0.02427,0.041598
39:23.8,0.72,-0.017216,0.005531501,0.001642,0.004926,-0.000821,0.000821,0.003284,0.006568,-0.003284,-0.013136,-0.001642,0.003284,-0.020803,-0.006933
39:24.8,0.73,-0.020747,0.006666011,0,0.003284,-0.002463,0,0,0.006568,0,-0.021346,-0.001642,0.003284,-0.020803,0.006933
39:25.8,0.75,-0.009491,0.003049458,0,0.004926,-0.002463,0.001642,0,0.009852,0.003284,0.014778,-0.004926,0.003284,-0.02427,0.006933
39:26.8,0.77,0.009932,-0.003191152,0,0.003284,-0.000821,0,0,0.013136,0,-0.021346,0.001642,0.003284,-0.069342,0.041598
39:27.8,0.78,0.013684,-0.004396669,0,0.003284,-0.004105,0,0,0.006568,0,0.018062,-0.001642,0.003284,-0.058941,0.058931
39:28.8,0.8,0.007284,-0.002340349,0,0.003284,-0.000821,0,0,0.006568,0,0.003284,-0.004926,0,-0.020803,0.031199
39:29.8,0.82,0.008166,-0.002623736,0,0.003284,-0.000821,0,0.003284,0.006568,0.003284,-0.021346,0.001642,0.003284,0.010401,-0.024266
39:30.8,0.83,0.013022,-0.004183969,0,0.003284,-0.000821,0.001642,0,0.006568,0.003284,-0.042691,-0.004926,0,-0.020803,-0.0104
39:31.8,0.85,-0.001545,0.000496409,0.001642,0.003284,-0.005747,0.001642,0,0.006568,0,0.018062,0.001642,0.003284,-0.058941,0.020799
39:32.8,0.87,0.022292,-0.00716242,0,0.001642,-0.000821,0.001642,0,0.006568,0.001642,-0.031197,-0.004926,0,-0.065875,0.013866
39:33.8,0.88,0.042598,-0.013686737,0,0.001642,-0.002463,0.001642,0,0.003284,0,-0.027913,0.001642,0.003284,-0.100546,0.055464
39:34.8,0.9,0.393757,-0.126514124,0.001642,0.001642,0.000821,-0.001642,0,0.006568,0.003284,-0.037765,-0.004926,0.003284,-0.038138,0.048531
39:35.8,0.92,0.529277,-0.1700567,0,0.001642,-0.002463,0,0,0.006568,0,-0.027913,-0.001642,0,-0.020803,0.041598
39:36.8,0.93,0.522214,-0.167787358,0.001642,0.003284,-0.002463,0.001642,0,0.006568,0,0.047617,0.004926,0.003284,-0.031204,0.006933
39:37.8,0.95,0.50875,-0.163461375,0,0.001642,-0.002463,0.001642,0.003284,0.006568,0,-0.064037,0.001642,0.003284,0,0.006933
39:38.8,0.97,0.510516,-0.164028791,0,0.003284,-0.002463,0.001642,0,0.006568,0.003284,-0.004926,-0.001642,0,-0.072809,0.020799
39:39.8,0.98,0.510516,-0.164028791,0.01642,0.036123,0.030376,0.021345,0,0.006568,0.006568,0.006568,0.001642,0.006568,-0.027737,0.027732
39:40.8,1,-3.35996,1.079555148,0.132999,0.155986,0.115758,0.183899,0,0.003284,0.019704,-0.037765,-0.004926,0.01642,-0.052007,0.024266
39:41.8,1.02,-3.227089,1.036863696,0.151061,0.190467,0.148598,0.206065,0.003284,0.009852,0.026272,-0.036123,0.00821,0.03284,-0.017336,0.048531
39:42.8,1.04,-5.291225,1.700070593,0.256147,0.272565,0.219202,0.310329,0,0.006568,0.055828,-0.080456,0.021346,0.075532,-0.006934,0.027732
39:43.8,1.05,-5.203159,1.671774987,0.259431,0.274206,0.220844,0.310329,0,0,0.055828,-0.077172,0.02463,0.075532,-0.010401,0
39:44.8,1.07,-7.102862,2.282149561,0.379294,0.366156,0.299658,0.403921,0,0.029556,0.06568,-0.113295,0.083742,0.118223,-0.003467,-0.034665
39:45.8,1.09,-8.538178,2.743316591,0.466318,0.42855,0.358769,0.469599,0,0.062395,0.09852,-0.096876,0.149422,0.164199,-0.052007,0.027732
39:46.8,1.1,-9.335404,2.999465305,0.66828,0.543487,0.478632,0.602598,0,0.108371,0.157632,-0.128073,0.244658,0.249582,-0.027737,0.027732
39:47.8,1.12,-11.196703,3.597500674,0.712613,0.591104,0.534459,0.623943,0,0.114939,0.18062,-0.147777,0.267646,0.275854,-0.045072,0.041598
39:48.8,1.14,-11.631072,3.737063434,0.919501,0.719176,0.678952,0.771719,0.003284,0.15763,0.282423,-0.162554,0.349746,0.328398,-0.048539,0.041598
39:49.8,1.15,-15.330935,4.925829416,0.983538,0.786497,0.738062,0.81441,0,0.200322,0.325115,-0.188826,0.392438,0.390794,-0.003467,-0.006933
39:50.8,1.17,-15.287894,4.912000342,1.078772,0.853817,0.820161,0.901434,0.003284,0.236446,0.354671,-0.15927,0.425278,0.436769,-0.065875,0.006933
39:51.8,1.19,-17.56745,5.644421685,1.30208,1.008161,0.96137,1.04921,0.003284,0.266001,0.476179,-0.208529,0.494242,0.545141,-0.010401,0.027732
39:52.8,1.2,-17.649555,5.670802022,1.39403,1.091901,1.030332,1.11653,0.003284,0.282421,0.502451,-0.198677,0.523798,0.564844,-0.045072,0.097063
39:53.8,1.22,-20.429695,6.564061004,1.418659,1.132128,1.080412,1.141159,0.003284,0.311977,0.518871,-0.172406,0.559922,0.581264,-0.058941,0.045065
39:54.8,1.24,-21.388927,6.872262245,1.582856,1.280726,1.179751,1.280726,0.003284,0.361236,0.554995,-0.238085,0.645307,0.66008,-0.017336,0.038132
39:55.8,1.25,-22.068069,7.09047057,1.692868,1.392379,1.265133,1.361181,0.003284,0.371088,0.577983,-0.254504,0.661727,0.673216,-0.017336,0.017333
39:56.8,1.27,-24.131102,7.753323073,1.761831,1.449026,1.309466,1.411261,0.003284,0.374372,0.581267,-0.302121,0.684715,0.699488,-0.02427,-0.027732
39:57.8,1.29,-24.403687,7.840904633,1.80288,1.512242,1.357083,1.482686,0.003284,0.374372,0.591119,-0.247936,0.717555,0.732327,-0.058941,0.027732
39:58.8,1.3,-25.426706,8.169600638,1.870201,1.563142,1.403058,1.533587,0.003284,0.377656,0.591119,-0.293911,0.720839,0.755315,-0.038138,0.055464
39:59.8,1.32,-25.228945,8.106060029,1.907966,1.602549,1.437539,1.5615,0.003284,0.374372,0.581267,-0.188826,0.724123,0.761883,-0.069342,0.06933
40:00.8,1.34,-27.586853,8.863655869,2.050817,1.733906,1.536057,1.69532,0,0.37273,0.564847,-0.300479,0.747111,0.781587,-0.038138,0.055464
40:01.8,1.35,-27.586853,8.863655869,2.113212,1.776597,1.573822,1.72077,0,0.367804,0.541859,-0.228233,0.753679,0.788155,0.010401,0.034665
40:02.8,1.37,-29.428507,9.455379299,2.229792,1.878398,1.675624,1.822572,0,0.361236,0.538575,-0.310331,0.753679,0.804575,-0.038138,-0.017333
40:03.8,1.39,-32.194519,10.34409895,2.367718,1.985126,1.756081,1.921089,0,0.348101,0.532007,-0.193752,0.756963,0.817711,0.020803,0.0104
40:04.8,1.4,-32.735935,10.51805592,2.49415,2.095137,1.856241,2.073791,0,0.302125,0.525439,-0.27585,0.760247,0.857119,-0.076276,0.045065
40:05.8,1.42,-32.42561,10.41834849,2.561471,2.159173,1.910426,2.172309,0.003284,0.305409,0.525439,-0.333318,0.760247,0.860403,-0.058941,0.020799
40:06.8,1.44,-33.655441,10.81349319,2.583637,2.185445,1.941623,2.194475,0.003284,0.302125,0.525439,-0.270924,0.760247,0.863687,-0.052007,0.086663
40:07.8,1.45,-36.689182,11.78823418,2.684618,2.272468,2.048351,2.338146,0.003284,0.308693,0.518871,-0.228233,0.756963,0.863687,-0.02427,0.020799
40:08.8,1.47,-36.263863,11.65157918,2.753581,2.333221,2.123881,2.44159,0,0.311977,0.532007,-0.238085,0.750395,0.860403,0.013868,-0.0104
40:09.8,1.49,-38.697037,12.43335799,2.903001,2.459652,2.327485,2.597576,0,0.282421,0.532007,-0.288985,0.760247,0.863687,-0.034671,0.017333
40:10.8,1.5,-40.370502,12.97104229,2.991667,2.551601,2.447349,2.709229,0,0.269285,0.535291,-0.287343,0.684715,0.860403,-0.045072,0.024266
40:11.8,1.52,-40.370502,12.97104229,3.001519,2.571305,2.478546,2.725649,0,0.252865,0.538575,-0.231517,0.648591,0.860403,-0.093612,0.062397
40:12.8,1.54,-42.961708,13.80359678,3.18542,2.719081,2.649311,2.8685,-0.03284,0.178976,0.492599,-0.208529,0.650233,0.863687,-0.027737,0.048531
40:13.8,1.55,-42.532639,13.66573691,3.196914,2.735501,2.669015,2.879993,-0.042692,0.154346,0.486031,-0.307047,0.645307,0.866971,-0.02427,0.027732
40:14.8,1.57,-44.471848,14.28880476,3.303642,2.796253,2.7232,2.951418,-0.105087,0.105087,0.466327,-0.244652,0.655159,0.903094,0.02427,-0.0104
40:15.8,1.59,-43.136074,13.85962058,3.308568,2.796253,2.721558,2.95224,-0.105087,0.105087,0.463043,-0.241369,0.655159,0.903094,-0.010401,-0.034665
40:16.8,1.6,-45.028496,14.46765576,3.42679,2.857006,2.79052,3.012992,-0.105087,0.095235,0.469611,-0.234801,0.648591,0.909662,-0.048539,0.034665
40:17.8,1.62,-46.70108,15.005057,3.513814,2.898055,2.851273,3.070461,-0.105087,0.088667,0.499167,-0.274208,0.658443,0.939218,-0.045072,0.020799
40:18.8,1.64,-46.594254,14.97073381,3.531876,2.924326,2.884113,3.090164,-0.105087,0.088667,0.505735,-0.157628,0.655159,0.939218,-0.079743,0.114395
40:19.8,1.65,-49.008888,15.74655571,3.67637,3.050757,2.989198,3.177188,-0.108371,0.068963,0.504093,-0.200319,0.658443,0.972058,0.020803,0.062397
40:20.8,1.67,-49.789558,15.99738499,3.733839,3.109868,3.043384,3.229731,-0.108371,0.059111,0.502451,-0.26764,0.651875,0.995046,0.003467,0.031199
40:21.8,1.69,-51.397697,16.51408005,3.850419,3.247793,3.279827,3.324965,-0.134643,0.013136,0.495883,-0.256146,0.678147,1.06401,-0.010401,-0.006933
40:22.9,1.7,-51.397697,16.51408005,3.855345,3.264212,3.289679,3.32989,-0.131359,0.01642,0.499167,-0.224949,0.678147,1.070578,-0.031204,0.003467
40:23.9,1.72,-53.701309,17.25423058,3.953864,3.390643,3.378345,3.431692,-0.131359,0.009852,0.505735,-0.315257,0.681431,1.106701,-0.100546,0.034665
40:24.7,1.73,-54.072113,17.37336991,3.991629,3.425124,3.404617,3.480951,-0.131359,0.009852,0.505735,-0.198677,0.691283,1.132973,-0.062408,0.031199
40:25.7,1.75,-56.440617,18.13437024,4.085222,3.510506,3.471938,3.557302,-0.134643,0.009852,0.522155,-0.293911,0.727407,1.185517,-0.065875,0.055464
40:26.7,1.77,-55.337257,17.77986067,4.134481,3.566333,3.524481,3.587678,-0.134643,0.013136,0.541859,-0.261072,0.727407,1.221641,-0.003467,0.031199
40:27.7,1.78,-57.279999,18.40406368,4.223147,3.668135,3.614789,3.661567,-0.134643,0.01642,0.597687,-0.24301,0.737259,1.264332,0.003467,0.038132
40:28.7,1.8,-58.610256,18.83147525,4.344654,3.77322,3.710023,3.743665,-0.134643,0.055827,0.686355,-0.208529,0.770099,1.346432,-0.031204,0.034665
40:29.7,1.82,-59.448975,19.10095567,4.367641,3.815911,3.746147,3.7568,-0.147779,0.059111,0.692923,-0.333318,0.809507,1.379272,-0.017336,-0.006933
40:30.7,1.83,-61.339848,19.70849316,4.508852,3.978466,3.872578,3.866812,-0.137927,0.065679,0.696207,-0.265998,0.812791,1.379272,-0.076276,0.0104
40:31.7,1.85,-63.147293,20.28922524,4.625432,4.095045,3.995726,3.94891,-0.134643,0.085383,0.699491,-0.274208,0.809507,1.379272,-0.058941,0.006933
40:32.7,1.87,-63.482338,20.3968752,4.659913,4.134452,4.064689,3.96533,-0.121507,0.111655,0.735615,-0.241369,0.793087,1.379272,-0.041605,0.055464
40:33.7,1.88,-64.965553,20.87343218,4.769926,4.252674,4.22396,4.076983,-0.108371,0.128075,0.768455,-0.279134,0.773383,1.379272,-0.017336,0.034665
40:34.7,1.9,-65.534554,21.0562522,4.842173,4.31671,4.296207,4.1246,-0.072247,0.183902,0.794727,-0.287343,0.773383,1.379272,-0.003467,0.013866
40:35.7,1.92,-67.4272,21.66435936,4.909494,4.40866,4.396368,4.23297,-0.026272,0.262717,0.834135,-0.254504,0.763531,1.375988,-0.031204,0
40:36.7,1.93,-68.086693,21.87625446,5.040852,4.530165,4.509664,4.346265,0.01642,0.279137,0.853839,-0.215097,0.773383,1.379272,-0.017336,-0.013866
40:37.7,1.95,-69.493317,22.32820275,5.058914,4.561363,4.553997,4.361043,0.03284,0.318545,0.886679,-0.256146,0.770099,1.375988,-0.062408,0.034665
40:38.7,1.97,-71.155975,22.86241477,5.17221,4.66809,4.654157,4.461203,0.068963,0.38094,0.935939,-0.336602,0.773383,1.421964,-0.058941,0.055464
40:39.7,1.98,-70.750298,22.73207075,5.226396,4.715707,4.703416,4.505536,0.075531,0.39736,0.958927,-0.185542,0.776667,1.425248,-0.045072,0.083196
40:40.7,2,-71.780602,23.06310742,5.237889,4.730485,4.714911,4.523597,0.091951,0.407212,0.962211,-0.257788,0.770099,1.428532,-0.041605,0.013866
40:41.7,2.02,-73.258293,23.53788954,5.303568,4.799448,4.778947,4.590918,0.108371,0.440052,1.011471,-0.195394,0.812791,1.461371,-0.017336,0
40:42.7,2.03,-74.698906,24.0007585,5.407013,4.907817,4.88075,4.705855,0.137927,0.495879,1.07715,-0.234801,0.822643,1.497495,-0.038138,0
40:43.7,2.05,-75.325302,24.20201953,5.48747,4.975959,4.954638,4.769892,0.160915,0.513941,1.129694,-0.277492,0.832495,1.546755,0.003467,0.0104
40:44.7,2.07,-76.224274,24.49085924,5.561359,5.0441,5.01375,4.837212,0.177334,0.558274,1.17567,-0.270924,0.848915,1.599299,-0.069342,0.076263
40:45.7,2.08,-77.560051,24.92004439,5.63689,5.106495,5.076145,4.922595,0.193754,0.610818,1.228214,-0.353022,0.888323,1.638707,-0.031204,0.027732
40:46.7,2.1,-78.865585,25.33951246,5.728841,5.180383,5.150033,5.026038,0.275853,0.742177,1.362858,-0.34317,0.963855,1.766782,-0.048539,0.051998
40:47.7,2.12,-79.932526,25.6823206,5.814224,5.259198,5.20504,5.104853,0.328397,0.804572,1.418686,-0.425268,1.039387,1.819326,-0.010401,-0.013866
40:48.7,2.13,-81.310677,26.12512052,5.906175,5.331444,5.253478,5.208296,0.420348,0.84398,1.513922,-0.481095,1.078795,1.980241,0.017335,-0.041598
40:49.7,2.15,-81.695602,26.24879692,5.9932,5.402049,5.315873,5.278901,0.512299,0.896523,1.573034,-0.596032,1.137907,2.039353,-0.041605,0
40:50.7,2.17,-82.923447,26.64330352,6.019472,5.433246,5.337219,5.301888,0.541855,0.929363,1.589454,-0.51065,1.170747,2.06234,-0.052007,0.041598
40:51.7,2.18,-83.227592,26.74102531,6.050669,5.471011,5.36349,5.334728,0.581263,0.962203,1.615726,-0.596032,1.216723,2.101748,-0.097079,0.083196
40:52.7,2.2,-82.977303,26.66060745,6.052311,5.474295,5.36349,5.334728,0.594399,0.998326,1.615726,-0.546773,1.220007,2.105032,-0.045072,0.041598
40:53.7,2.22,-82.646667,26.55437411,6.052311,5.475937,5.36349,5.334728,0.604251,0.995042,1.61901,-0.582897,1.220007,2.101748,-0.006934,0.038132
40:54.7,2.23,-83.51342,26.83286185,6.099108,5.510418,5.38812,5.375777,0.623954,1.01803,1.61901,-0.591106,1.233143,2.101748,0.010401,-0.013866
40:55.7,2.25,-84.986923,27.30629836,6.149188,5.554751,5.429169,5.418468,0.643658,1.024598,1.671554,-0.668279,1.242995,2.170712,-0.017336,-0.020799
40:56.7,2.27,-85.63031,27.5130186,6.201731,5.610579,5.480071,5.471011,0.689634,1.024598,1.707678,-0.582897,1.249563,2.196984,-0.055474,0.024266
40:57.7,2.28,-86.261337,27.71576758,6.219793,5.638492,5.508805,5.497283,0.715906,1.096845,1.710962,-0.632156,1.272551,2.200268,-0.086678,0.020799
40:58.7,2.3,-86.13707,27.67584059,6.278904,5.692677,5.547391,5.569529,0.745461,1.126401,1.776642,-0.727389,1.292256,2.246244,-0.079743,0.083196
40:59.8,2.32,-87.116829,27.99063716,6.310923,5.732084,5.575305,5.607294,0.781585,1.149389,1.796346,-0.779932,1.331664,2.2758,-0.02427,0.034665
41:00.8,2.33,-88.518379,28.44095517,6.344584,5.764923,5.599935,5.635208,0.811141,1.221636,1.829186,-0.7865,1.397344,2.351331,0.031204,0.006933
