Time in Minutes,Pb5-Top-Left,Pb5-Top-Right,Pb5-Mid-Mid,Pb5-Bottom-Left,Pb5-Bottom-Right,Pb5-Top of Pb Joint,Pb5-Top of Stud,Pb5-Between Studs,Pb5-Average-Gun
0,27,27,27,27,27,27,27,27,27
5,27,27,27,27,27,27,35,29,28.25
10,27.5,28.5,27.4,27.3,27.2,27.4,36.5,29.8,28.95
20,28.3,29.9,27.6,27.6,27.7,28,43,36,31.0125
30,29.5,34,28.6,28.6,28.8,29.8,53,39,33.9125
40,33,39,30.4,30.4,30.7,33,57,66,39.9375
50,38,44,32.4,32.4,33.4,37,77,82,47.025
60,44,47.6,35,35,37,42,90,100,53.825
70,44,47,36,36,38.4,44.9,101,100,55.9125
80,46,49,38,38,41,46,103,106,58.375
90,48,51,42,42,45.6,50,106,115,62.45
100,51,52,46,46,48,52.5,117,117,66.1875
110,52.8,55.1,52.9,49,50,53.8,129,119,70.2
120,55.4,57,53.4,50.6,50.5,56,136,130,73.6125
130,56,59,54,51,50.7,57.4,122,119,71.1375
140,57.4,60.9,56.7,51.6,51.3,60,128,121,73.3625
150,58.5,61.4,58.5,53.4,53,60.2,147,135,78.375
160,60.7,62,55,57,56,61,148,141,80.0875
170,61.7,62.2,60.4,57,56.7,61.4,149,144,81.55
180,61.9,64.3,61.7,59.1,57.7,62.1,160,156,85.35
190,62.3,67,62,59.5,58,66,167,163,88.1
200,68,72,66,61,61.8,70.5,174,182,94.4125
210,68,75.5,72,62.3,62.2,75.8,182,187,98.1
220,76,79,78.2,64.8,64.3,81.6,191,183,102.2375
230,81,82.9,82.8,70.5,69.5,85.1,191,192,106.85
240,84.8,86.5,88.3,75.8,74.5,91.6,203,196,112.5625
245,86.5,88,89,78.6,76.5,94,208,212,116.575
250,89,91,100,80,78.5,100,220,216,121.8125
255,90,94.5,103,82.2,82.7,108.5,221.8,217,124.9625
