Time in Minutes,Load in kN,O-Stud2-Axial,Stud2-Axial,O-Stud3-Axial,Stud3-Axial,O-Stud4-Axial,Stud4-Axial,O-Stud5-Axial,Stud5-Axial,O-Stud3-Bottom,Stud3-Bottom,O-Stud4-Bottom,Stud4-Bottom,O-Stud4-Mid,Stud4-Mid,O-Stud3-Mid,Stud3-Mid,O-Stud3-Top,Stud3-Top,O-Stud4-Top,Stud4-Top,Pb1-Mid-Left,Pb1-Pb2-Mid-Left,Pb2-Mid-Left,Pb3-Mid-Left,Pb3-Pb4-Mid-Left,Pb4-Mid-Left,Pb1-Mid-Top,Pb1-Pb2-Mid-Top,Pb2-Mid-Top,Pb3-Mid-Top,Pb3-Pb4-Mid-Top,Pb4-Mid-Top,Pb1-Mid-Mid,Pb1-Pb2-Mid-Mid,Pb2-Mid-Mid,Pb3-Mid-Mid,Pb3-Pb4-Mid-Mid,Pb4-Mid-Mid,Pb1-Mid-Bottom,Pb1-Pb2-Mid-Bottom,Pb2-Mid-Bottom,Pb3-Mid-Bottom,Pb3-Pb4-Mid-Bottom,Pb4-Mid-Bottom,Pb1-Mid-Right,Pb1-Pb2-Mid-Right,Pb2-Mid-Right,Pb3-Mid-Right,Pb3-Pb4-Mid-Right,Pb4-Mid-Right,Average-Pb1,Average-Pb1-Pb2,Average-Pb2,Average-Pb3,Average-Pb3-Pb4,Average-Pb4,Stud2-Mid-HF,Stud2-Mid-CF,Stud3-Top-HF,Stud3-Top-CF,Stud3-Mid-HF,Stud3-Mid-CF,Stud3-Bottom-HF,Stud3-Bottom-CF,Stud4-Top-HF,Stud4-Top-CF,Stud4-Mid-HF,Stud4-Mid-CF,Stud4-Bottom-HF,Stud4-Bottom-CF,Stud5-Top-HF,Stud5-Top-CF,Stud5-Mid-HF,Stud5-Mid-CF,Stud5-Bottom-HF,Stud5-Bottom-CF
93.5,16.97,8.45,-4.11,6.53,-6.17,7.78,-5.12,8.28,-5.49,-16.66,-14.95,-16.35,-14.73,-22.93,-20.33,-22.6,-20.31,-18.14,-16.17,-17.85,-15.14,981,686.03,317.82,225.57,84.99,64.99,23.82,650.03,315.49,258.04,88.83,66.91,1007.2,29.06,325.89,224.3,82.95,66.62,1022.99,680.7,334.63,250.59,86.6,63.41,997.03,655.47,306.67,220.71,20.28,78.88,1002.06,668.06,320.1,235.84,85.84,68.16,330.1,219.76,367.38,207.03,372.91,201.38,367.69,234.42,24.96,278.35,330.81,239.48,340.51,213.63,348.29,212.1,324.25,2293.72,,210.41
94.35,16.49,8.44,-4.12,6.51,-6.19,7.76,-5.14,8.27,-5.5,-16.96,-15.25,-16.67,-15.05,-23.27,-20.67,-22.99,-20.7,-18.34,-16.37,-18.08,-15.37,983.73,688.87,321.94,230.36,85.41,64.99,23.8,654.81,318.76,262.56,88.93,66.92,1008.22,29.07,329,228.73,83.18,66.61,1020.29,682.4,339.96,255.16,87.12,63.15,996.65,660.17,310.42,223.13,20.27,79.12,1002.22,671.56,324.02,239.99,86.16,68.16,333.98,223.49,371.74,210.65,378.2,205.74,373.04,238.09,25.02,281.99,333.94,242.35,344.91,217.63,349.11,215.47,328.53,2293.71,,213.67
95.19,16.9,8.18,-4.38,6.26,-6.44,7.51,-5.39,8.01,-5.76,-17.16,-15.45,-16.83,-15.21,-23.49,-20.89,-23.25,-20.96,-18.53,-16.56,-18.19,-15.48,985.42,692,325.44,235.16,85.74,64.99,22.71,658.21,323.09,267,89,66.96,1006.22,29.07,332.94,233.12,83.44,66.74,1022.15,683.44,342.96,259.5,87.58,63.41,998.61,665.73,313.45,227.27,20.29,78.82,1003.1,674.84,327.58,244.41,86.44,68.18,337.54,226.86,376.87,213.53,383.34,209.2,379.4,242.31,25.07,284.43,337.36,245.35,348.51,221.03,352.34,220.58,332.32,2293.72,,217.13
96.03,16.57,8.19,-4.37,6.25,-6.45,7.49,-5.41,8,-5.77,-17.39,-15.68,-16.94,-15.32,-23.73,-21.13,-23.54,-21.25,-18.69,-16.72,-18.37,-15.66,988.27,694.68,328.89,238.97,86.11,65.3,22.77,661.9,326.87,272.08,89.16,67.11,1010.72,29.11,336.21,237.93,83.71,66.28,1025.3,685.06,347.14,263.74,88.12,63.53,1000.39,670.25,316.47,231.39,20.27,78.17,1006.17,677.97,331.12,248.82,86.78,68.08,341.51,230.63,381.71,216.5,388.92,212.99,385.68,246.07,28.16,288.22,340.42,248.51,352.63,224.78,355.03,223.76,336.58,2293.7,,220.39
96.88,16.89,7.73,-4.83,5.75,-6.95,7.08,-5.82,7.54,-6.23,-17.22,-15.51,-16.83,-15.21,-23.53,-20.93,-23.28,-20.99,-18.46,-16.49,-18.18,-15.47,989.59,697.74,333.34,243.54,86.44,65.42,22.75,663.98,331.78,275.89,89.33,67.16,1010.94,29.11,339.92,241.84,84,66.61,1024.97,686.26,350.97,268.21,88.58,63.43,997.25,675.24,320.61,235.56,20.28,77.6,1005.69,680.8,335.33,253.01,87.09,68.04,345.13,234.04,387.89,,393.57,216.32,393.16,250.49,27.85,291.31,344.03,251.3,356.48,228.37,357.66,227.91,340.33,2293.7,,224.13
97.72,16.61,7.71,-4.85,5.75,-6.95,7.08,-5.82,7.54,-6.23,-17.54,-15.83,-17.06,-15.44,-23.86,-21.26,-23.7,-21.41,-18.74,-16.77,-18.44,-15.73,993.35,700.39,338.08,248.3,86.83,65.43,24.76,667.76,336.58,281.61,89.52,67.16,1011.86,29.11,343.42,246.96,84.26,66.9,1024.82,688.1,353.27,272.64,89.1,63.68,999.89,679.88,324.01,239.32,20.3,76.22,1007.48,684.03,339.07,257.77,87.42,67.88,349.29,237.93,392.91,,398.8,220.03,401.62,254.33,27.81,295.7,347.26,254.26,360.9,232.67,360.59,231.13,344.32,2293.7,,227.45
98.56,17.01,7.64,-4.92,5.67,-7.03,6.96,-5.94,7.46,-6.31,-17.87,-16.16,-17.27,-15.65,-24.15,-21.55,-24.04,-21.75,-18.92,-16.95,-18.59,-15.88,996.52,703.48,341.62,253.57,87.13,65.56,24.85,671.12,340.68,285.35,89.73,67.3,1013.66,29.1,347.1,250.77,84.54,66.35,1027.3,692.25,359,278.54,89.54,63.8,1001.5,684.58,327.88,244.05,20.3,75,1009.74,687.86,343.26,262.46,87.73,67.6,353.01,241.33,398.29,,403.81,223.39,409.62,258.53,27.84,299.05,350.97,257.85,364.91,236.59,364.92,234.79,347.77,2293.71,,231.11
99.41,16.21,7.62,-4.94,5.65,-7.05,6.95,-5.95,7.45,-6.32,-18.2,-16.49,-17.53,-15.91,-24.52,-21.92,-24.5,-22.21,-19.21,-17.24,-18.84,-16.13,998.43,706.2,346.14,257.55,87.51,65.33,24.6,675.18,344.45,290.97,89.98,67.4,1014.04,29.16,352.07,256.13,84.84,66.19,1029.02,695.08,361.95,283.14,89.96,63.67,1003.66,688.41,332.76,247.28,20.3,73.77,1011.29,691.21,347.47,267.02,88.07,67.27,357.43,245.33,402.89,231.3,409.31,227.3,416.09,262.53,27.88,302.45,354.39,260.93,369.4,241.19,369.32,238.1,351.98,2293.72,,234.4
100.25,16.48,7.06,-5.5,5.12,-7.58,6.46,-6.44,6.95,-6.82,-18.17,-16.46,-17.46,-15.84,-24.36,-21.76,-24.33,-22.04,-19.11,-17.14,-18.71,-16,1000.58,709.41,349.4,262.85,87.77,65.82,22.92,678.5,347.71,295.58,90.19,67.43,1017.08,29.22,355.22,260.19,85.22,66.39,1031.06,695.79,368.07,288.51,90.38,63.5,1003.28,692.6,337.28,251.08,20.33,72.83,1013,694.08,351.54,271.64,88.39,67.19,361.4,248.89,407.69,,414.15,230.73,423.26,266.78,27.89,306.02,358.35,264.59,373.32,245.21,373.5,241.3,355.64,2293.71,,238.07
101.09,16.36,7.07,-5.49,5.12,-7.58,6.46,-6.44,6.95,-6.82,-18.38,-16.67,-17.63,-16.01,-24.71,-22.11,-24.75,-22.46,-19.3,-17.33,-18.95,-16.24,1001.19,712.14,353.72,267.49,88.04,65.78,22.92,682.88,352.65,300.61,90.38,67.46,1020.25,29.28,360.35,266.04,85.53,66.62,1031.73,699.48,371.81,292.75,90.88,63.12,1004.34,695.73,341.8,253.77,20.35,72.88,1014.38,697.56,356.06,276.13,88.71,67.17,365.99,252.94,412.42,,419.72,234.93,429.27,270.97,27.96,310.3,361.95,268,378.16,249.52,380.81,244.57,359.59,2293.71,,241.27
101.94,17.07,7.08,-5.48,5.12,-7.58,6.44,-6.46,6.95,-6.82,-18.67,-16.96,-17.9,-16.28,-25.05,-22.45,-25.16,-22.87,-19.59,-17.62,-19.2,-16.49,1002.41,715.18,357.49,272.07,88.32,66.12,22.99,686.34,356.53,305.02,90.62,67.39,1019.92,29.28,364.44,270.51,85.96,66.74,1028.66,703.51,377.81,298.77,91.11,63.48,1007.31,699.06,346.21,257.88,20.35,72.92,1014.58,701.02,360.5,280.85,89,67.33,370.22,256.57,418.71,,424.18,238.68,435.94,275.73,28.01,314.4,366.11,272,382.2,253.4,385.63,248.01,363.22,2293.71,,244.99
102.78,16.82,7.08,-5.48,5.08,-7.62,6.41,-6.49,6.94,-6.83,-18.96,-17.25,-18.13,-16.51,-25.42,-22.82,-25.57,-23.28,-19.84,-17.87,-19.42,-16.71,1003.42,717.68,361.8,276.17,88.62,67.11,22.96,690.38,359.87,308.99,90.88,67.47,1019.47,29.2,368.98,275.99,86.35,67.14,1027.98,708.46,384.93,304.72,91.53,63.38,1007.91,701,350.3,261.46,20.37,72.21,1014.69,704.38,365.18,285.46,89.35,67.46,375.2,260.6,424.62,,429.4,243.22,442.53,280.02,28.1,318.08,369.87,275.57,386.85,257.78,388.38,251.41,367.65,2293.71,,248.22
103.62,16.38,6.65,-5.91,4.73,-7.97,6.05,-6.85,6.61,-7.16,-18.99,-17.28,-18.13,-16.51,-25.4,-22.8,-25.56,-23.27,-19.78,-17.81,-19.42,-16.71,1006.2,720.46,364.65,281.61,88.94,67.56,22.98,693.98,364.6,313.19,91.14,67.57,1022.39,29.14,372.49,281.38,86.73,66.95,1029.64,712.6,388.49,309.91,92,63.41,1011.65,702.44,353.28,265.46,20.37,72.28,1017.47,707.37,368.7,290.31,89.7,67.55,379.56,264.18,429.67,,433.68,247.31,449.38,284.22,28.16,321.46,374.23,279.56,390.95,262.13,393.74,254.96,372.03,2293.72,,251.93
104.47,16.52,6.4,-6.16,4.35,-8.35,5.73,-7.17,6.3,-7.47,-19.08,-17.37,-18.22,-16.6,-25.42,-22.82,-25.57,-23.28,-19.78,-17.81,-19.42,-16.71,1006.84,722.89,368.27,285.66,89.23,67.83,22.95,698.01,366.7,317.22,91.34,67.56,1024.94,29.13,377.61,287.44,87.1,67.36,1034.94,717.03,393.72,313.94,92.37,63.57,1013.26,703.14,354.75,269.39,20.32,72.55,1020,710.27,372.21,294.73,90.01,67.77,384.44,268.35,434.27,261.71,438.65,252.17,455.11,288.29,28.24,325.37,378.21,283.37,395.58,266.69,398.15,258.38,376.8,2293.71,,255.26
105.31,16.97,6.41,-6.15,4.36,-8.34,5.73,-7.17,6.3,-7.47,-19.17,-17.46,-18.26,-16.64,-25.67,-23.07,-25.86,-23.57,-19.93,-17.96,-19.6,-16.89,1007.83,725.66,370.89,290.59,89.53,67.15,22.98,701.43,370.15,321.26,91.58,67.71,1024.93,29.19,381.62,291.97,87.57,67.13,1037.92,719.99,399.63,320.96,92.59,63.55,1016.13,704.45,358.71,274.73,20.35,71.69,1021.7,712.88,376.2,299.9,90.32,67.45,388.48,271.88,439.33,266.26,442.65,256.44,461.38,293.38,28.29,329.21,382.73,287.62,399.83,270.71,402.62,261.9,380.93,2293.72,,259.17
106.16,17.14,6.39,-6.17,4.36,-8.34,5.73,-7.17,6.3,-7.47,-19.38,-17.67,-18.49,-16.87,-26,-23.4,-26.21,-23.92,-20.3,-18.33,-19.85,-17.14,1009.81,728,374.9,294.82,89.83,68.27,23.06,705.75,373.07,326.22,91.77,67.76,1033.35,29.19,386.49,297.91,87.93,67.52,1038.76,723.27,404.27,325.33,93.11,62.69,1016.21,705.71,359.14,277.78,20.41,72.46,1024.53,715.68,379.57,304.41,90.66,67.74,393.06,275.92,444.26,270.13,446.43,261.43,466.3,296.79,28.36,332.8,386.5,291.15,404.17,275.3,406.86,265.07,387.29,2293.71,,262.48
107,16.22,6.39,-6.17,4.36,-8.34,5.69,-7.21,6.3,-7.47,-19.62,-17.91,-18.72,-17.1,-26.34,-23.74,-26.56,-24.27,-20.5,-18.53,-20.07,-17.36,1011.15,730.7,378.54,300.47,90.1,68.06,23.02,709.53,376.88,330.84,92.06,67.78,1031.69,29.18,388.78,302.53,88.39,66.98,1043.91,726.04,409.69,331.85,93.34,63.59,1017.02,706.96,362.11,284.12,20.4,72.74,1025.94,718.31,383.2,309.96,90.97,67.83,396.93,279.51,449.61,274.82,449.92,265.94,472.2,300.31,28.45,336.16,390.91,295.54,407.65,279.24,411.52,268.73,393.81,2293.7,,266.34
107.85,16.44,5.87,-6.69,3.89,-8.81,5.22,-7.68,5.87,-7.9,-19.58,-17.87,-18.67,-17.05,-26.15,-23.55,-26.36,-24.07,-20.4,-18.43,-19.99,-17.28,1013,732.97,382.82,305.4,90.41,68.12,23.03,714.21,380.11,335.29,92.3,67.93,1026.97,29.14,390.87,305.64,88.81,67.24,1043.33,729.04,412.26,336.96,93.68,63.68,1019.46,708.25,367.27,287.82,20.4,72.18,1025.69,721.12,386.67,314.22,91.3,67.83,401.22,283.54,453.48,278.42,453.77,271.18,477.67,304.52,28.49,340.14,394.72,299.21,412.15,284.16,415.22,271.89,398.4,2293.71,,269.57
108.69,16.92,5.88,-6.68,3.89,-8.81,5.22,-7.68,5.87,-7.9,-19.65,-17.94,-18.71,-17.09,-26.45,-23.85,-26.66,-24.37,-20.62,-18.65,-20.17,-17.46,1014.64,735.66,386.11,310.14,90.65,68.7,23.04,717.82,383.15,339.81,92.55,68.02,1030.08,29.13,391.82,308.74,89.33,68.09,1045.51,731.82,417.28,343.21,93.97,63.41,1020.1,709.89,362.87,294.98,20.4,73.7,1027.58,723.8,388.25,319.38,91.63,68.38,404.76,287.01,457.39,282.94,457.82,275.97,484.11,308.51,28.58,343.55,398.71,303.16,415.99,288.14,419.61,275.59,402.36,2293.71,,273.53
109.54,16.16,5.86,-6.7,3.9,-8.8,5.22,-7.68,5.87,-7.9,-19.8,-18.09,-18.86,-17.24,-26.72,-24.12,-26.99,-24.7,-20.83,-18.86,-20.4,-17.69,1014.45,738.07,390.25,314.78,90.95,69.44,23.05,721.87,387.19,344.1,92.8,68.09,1021.54,29.25,395.69,312.86,89.73,67.52,1045.92,734.75,421.5,348.9,94.26,64.13,1022.74,711.08,374.33,301.46,20.42,73.24,1026.16,726.44,393.79,324.42,91.94,68.49,408.65,290.97,460.78,286.37,462.03,281.58,490.02,313.12,28.66,347.63,402.17,306.67,420.11,292.92,423.41,278.92,407.36,2293.71,,277.2
110.38,16.35,5.59,-6.97,3.51,-9.19,4.83,-8.07,5.54,-8.23,-19.87,-18.16,-18.9,-17.28,-26.66,-24.06,-26.93,-24.64,-20.76,-18.79,-20.38,-17.67,1015.94,741.02,394.01,320.27,91.19,69.76,23.09,725.37,388.1,346.03,93.06,68.12,1017.4,29.27,397.73,316.68,90.22,67.63,1043.36,737.16,425.4,355.14,94.53,63.21,1022.62,712.91,368.68,307.08,20.43,73.17,1024.83,729.12,394.78,329.04,92.25,68.38,412.04,294.51,464.62,291.35,466,286.72,494.76,318.3,28.72,350.64,405.86,310.73,423.97,297.28,427.56,282.98,410.9,2293.71,,281.09
111.23,16.8,5.54,-7.02,3.51,-9.19,4.83,-8.07,5.54,-8.23,-19.87,-18.16,-18.9,-17.28,-26.82,-24.22,-27.12,-24.83,-20.84,-18.87,-20.52,-17.81,1018.5,743.7,397.28,324.4,91.47,70.19,23.14,729.46,390.78,349.82,93.28,68.23,1003.09,29.38,400,320.58,90.67,68.27,1040.44,739.89,429.29,361.21,94.81,63.58,1023.28,714.82,378.56,312.08,20.44,73.76,1021.33,731.97,399.18,333.62,92.56,68.81,415.79,298.68,467.81,295.41,469.96,292.61,497.68,322.76,28.79,352.96,408.95,314.48,428.33,302.18,431.19,286.16,415.51,2293.71,,284.61
112.07,16.42,5.59,-6.97,3.49,-9.21,4.82,-8.08,5.53,-8.24,-19.97,-18.26,-19.06,-17.44,-27.15,-24.55,-27.41,-25.12,-21.05,-19.08,-20.76,-18.05,1019.23,746.72,400.6,329.62,91.72,70.45,23.13,733.23,394.23,353.09,93.56,68.32,1010.68,29.46,403.22,325.48,91.33,68.24,1041.6,742.15,433.1,367.67,95.04,63.91,1028.04,716.85,381.1,318.28,20.42,73.65,1024.89,734.74,402.45,338.83,92.91,68.91,418.83,302.37,471.81,300.4,473.22,297.58,501.78,328.21,28.84,355.84,412.72,318.94,432.13,306.65,435.43,289.62,419.11,2293.72,,288.72
112.92,16.66,5.31,-7.25,3.23,-9.47,4.56,-8.34,5.3,-8.47,-19.97,-18.26,-19.08,-17.46,-27.15,-24.55,-27.41,-25.12,-21.2,-19.23,-20.8,-18.09,1020.58,748.88,403.73,334.24,92,70.6,23.13,737.4,396.07,357.68,93.77,68.51,994.89,29.32,406.16,330.86,92.1,68.69,1042.65,744.64,435.96,372.61,95.34,63.65,1029.35,718.32,383.13,322.3,20.41,74.36,1021.86,737.31,405.01,343.54,93.3,69.16,422.54,306.73,474.96,304.86,476.85,303.34,503.49,332.59,28.89,359.22,415.8,322.95,436.58,311.93,438.84,292.86,423.48,2293.7,,292.29
113.77,16.07,5.31,-7.25,3.21,-9.49,4.54,-8.36,5.29,-8.48,-20.02,-18.31,-19.16,-17.54,-27.39,-24.79,-27.62,-25.33,-21.32,-19.35,-20.99,-18.28,1022.15,751.04,407.19,339.33,92.31,71.43,23.19,741.23,400.43,360.64,94.09,68.71,947.07,29.3,409.52,334.08,92.9,68.77,1044.16,746.87,439.57,378.42,95.55,63.21,1027.5,720.1,384.44,326.79,20.41,74.39,1010.22,739.81,408.23,347.85,93.71,69.3,425.44,310.31,478.44,310.01,479.95,308.08,504.55,337.72,28.92,360.93,419.53,327.23,440.36,316.41,442.76,296.41,427.1,2293.7,,296.47
114.61,16.22,4.7,-7.86,2.62,-10.08,4.05,-8.85,4.8,-8.97,-19.78,-18.07,-18.95,-17.33,-27.07,-24.47,-27.25,-24.96,-21.12,-19.15,-20.81,-18.1,1022.66,752.81,410.21,343.42,92.63,71.15,23.23,745.17,403.19,365.13,94.33,68.94,903.68,29.25,412.7,339.34,93.49,68.65,1043.67,749.35,441.99,383.3,95.83,63.41,1027.91,721.97,385.87,331.51,20.4,74.53,999.48,742.33,410.79,352.54,94.07,69.34,429.1,314.68,481.01,314.41,483.5,313.72,506.79,342.42,28.97,365.11,422.37,330.57,444.75,321.56,445.82,300.25,430.74,2293.71,,300.1
115.46,16.58,4.72,-7.84,2.61,-10.09,4.05,-8.85,4.79,-8.98,-19.74,-18.03,-18.98,-17.36,-27.29,-24.69,-27.45,-25.16,-21.21,-19.24,-20.94,-18.23,1024.99,755.29,413.41,348.03,92.97,71.62,24.89,748.82,406.74,368.62,94.56,68.93,871.25,29.31,416.03,343.73,94.03,68.84,1044.17,751.19,444.18,389.49,96.08,62.71,1030.55,723.62,396.05,337.06,20.41,75.15,992.74,744.73,415.28,357.39,94.41,69.45,432.07,318.46,484.28,319.3,486.74,318.65,508.44,347.5,29.05,368.87,425.67,334.14,448.52,325.97,449.71,304.17,434.77,2293.72,,304.64
116.3,17.01,4.71,-7.85,2.61,-10.09,4.05,-8.85,4.8,-8.97,-19.87,-18.16,-19.1,-17.48,-27.54,-24.94,-27.69,-25.4,-21.38,-19.41,-21.17,-18.46,1026.65,757.25,416.63,352.93,93.25,71.68,25.11,753.43,409.65,372.25,94.72,69.03,860.42,29.3,418.85,348.82,94.5,68.61,1045.29,753.3,446.5,394.98,96.36,63.1,1031.75,725.22,386.53,339.71,20.42,74.84,991.03,747.3,415.64,361.74,94.71,69.45,435.43,322.73,486.86,323.69,490.16,323.91,510.02,351.58,29.08,371.8,428.81,337.71,452.81,331.45,453.07,305.19,438.53,2293.7,,308.49
117.15,16.37,4.7,-7.86,2.62,-10.08,4.05,-8.85,4.79,-8.98,-19.91,-18.2,-19.18,-17.56,-27.86,-25.26,-27.95,-25.66,-21.56,-19.59,-21.39,-18.68,1027.34,759.17,419.08,356.71,93.52,72.21,25.17,757.45,412.81,376.31,94.94,69.28,842.44,29.27,422.29,353,95.06,69.27,1046.72,755.21,448.03,400.2,96.62,62.5,1030.27,727,388.06,341.74,20.4,75,986.69,749.71,418.06,365.59,95.03,69.65,438.35,326.37,489.56,329.25,493.25,328.26,511.89,356.49,29.13,374.63,432.35,341.49,456.4,336.12,457.05,307.71,441.89,2293.72,,312.88
118,16.57,4.4,-8.16,2.39,-10.31,3.76,-9.14,4.53,-9.24,-19.94,-18.23,-19.19,-17.57,-27.9,-25.3,-27.99,-25.7,-21.56,-19.59,-21.45,-18.74,1029.14,760.77,423.32,360.93,93.84,72.23,25.22,762.59,413.63,380.2,95.1,69.24,837.22,29.29,425.12,357.62,95.51,69.28,1047.82,757.11,450.95,404.05,96.91,63.13,1032.83,728.52,394.54,346.13,20.39,75.17,986.75,752.25,421.51,369.78,95.34,69.81,441.78,330.69,491.92,333.44,496.83,333.34,514.23,360.13,29.21,378.33,435.3,343.43,460.83,341.82,460.5,311.16,446.1,2293.71,,316.82
118.84,16.88,4.41,-8.15,2.39,-10.31,3.75,-9.15,4.53,-9.24,-19.94,-18.23,-19.26,-17.64,-28.11,-25.51,-28.15,-25.86,-21.7,-19.73,-21.61,-18.9,1029.35,762.6,426.57,365.62,94.07,72.51,25.28,767.23,417.63,383.02,95.23,69.29,834.13,29.3,429.39,362.4,96.02,68.89,1048.33,758.91,450.64,408.3,97.22,63.29,1028.77,729.95,393.02,350.42,20.4,75.08,985.15,754.67,423.45,373.95,95.64,69.81,444.69,334.43,494.62,338.58,499.96,337.55,516.53,364.61,29.24,379.33,438.6,346.67,464.48,346.38,464.28,314.81,449.52,2293.7,,321.19
119.69,16.61,4.4,-8.16,2.4,-10.3,3.75,-9.15,4.53,-9.24,-20,-18.29,-19.35,-17.73,-28.41,-25.81,-28.43,-26.14,-21.92,-19.95,-21.85,-19.14,1030.68,764.29,430.16,369.56,94.36,72.44,25.28,772.6,419.57,387.1,95.35,69.22,843.95,29.3,432.92,367.97,96.47,69.5,1049.82,760.96,456.52,412.24,97.61,63.18,1030.61,731.9,392.76,355.92,20.43,75.31,988.77,757.44,426.39,378.56,95.95,69.93,447.95,338.68,496.73,342.99,503.42,342.38,518.22,368.88,29.28,381.98,441.72,349,468.66,351.74,467.73,317.88,454.03,2293.71,,325.1
120.53,16.15,4.34,-8.22,2.32,-10.38,3.68,-9.22,4.47,-9.3,-20.03,-18.32,-19.42,-17.8,-28.67,-26.07,-28.65,-26.36,-22.06,-20.09,-22.04,-19.33,1031.11,766.37,433.06,374.36,94.58,72.36,25.33,777.56,423.66,390.73,95.58,69.19,855.17,29.24,439.97,373.42,97,68.76,1050.18,762.82,456.42,415.43,97.99,63.35,1032.08,733.7,402.54,357.75,20.45,75.22,992.14,760.11,431.13,382.34,96.29,69.78,450.92,342.33,499.23,347.59,506.36,346.54,520.58,373.05,29.32,383.79,445.48,353.24,472.09,356.05,472.05,322.13,457.38,2293.71,,329.65
121.38,16.37,4.2,-8.36,2.27,-10.43,3.61,-9.29,4.4,-9.37,-20.17,-18.46,-19.55,-17.93,-28.97,-26.37,-28.97,-26.68,-22.26,-20.29,-22.27,-19.56,1032.92,768.23,436.76,378.05,94.81,73,25.29,783.94,427.48,395.28,95.86,69.01,873.51,29.32,442.21,378.79,97.49,68.64,1052.37,764.97,460.11,417.68,98.42,62.9,1034.61,734.95,402.96,363.42,20.4,75.12,998.35,763.02,433.9,386.64,96.64,69.74,454.21,346.52,501,351.65,509.85,351.56,522.6,376.01,45.23,387.18,448.55,356.86,476.11,361.29,475.87,326.06,461.74,2293.71,,333.61
122.23,16.86,4.12,-8.44,2.19,-10.51,3.53,-9.37,4.31,-9.46,-20.22,-18.51,-19.59,-17.97,-29.18,-26.58,-29.18,-26.89,-22.36,-20.39,-22.44,-19.73,1033.82,770.32,441.65,384.06,95.1,73.2,25.27,789.6,430.57,398.21,96.16,68.84,909.89,29.27,447.72,384.63,98.04,68.93,1054.77,766.55,459.87,420.48,98.9,62.5,1034.59,736.5,412.52,367.2,20.38,75.62,1008.27,765.74,438.47,390.91,97.05,69.82,457.2,350.15,506.71,356.09,512.96,355.62,525.42,379.78,45.82,389.57,452.1,360.81,479.71,365.9,480.04,330.2,465.01,2293.72,,338.09
123.07,17.25,4.14,-8.42,2.18,-10.52,3.53,-9.37,4.31,-9.46,-20.39,-18.68,-19.78,-18.16,-29.58,-26.98,-29.64,-27.35,-22.54,-20.57,-22.7,-19.99,1034.54,772.16,445.84,389.14,95.45,73.21,25.22,796.96,433.99,402.92,96.47,69.06,946.01,29.35,450.2,390.91,98.55,68.77,1056.88,768.37,462.89,422.38,99.58,62.61,1035.11,737.69,416.44,371.56,20.39,75.08,1018.13,768.8,441.87,395.38,97.51,69.75,460.59,354.22,509.83,360.11,516.59,359.96,527.89,383.41,45.76,393.11,455.89,364.95,483.48,370.42,483.77,334.3,469.06,2293.72,,341.96
123.92,16.89,4.13,-8.43,2.19,-10.51,3.53,-9.37,4.31,-9.46,-20.66,-18.95,-19.98,-18.36,-30.06,-27.46,-30.18,-27.89,-22.85,-20.88,-22.97,-20.26,1036.72,774.24,449.14,395.49,95.84,73.17,25.18,804.08,437.95,406.76,96.81,69.15,962.81,29.33,455.86,396.54,99.22,68.35,1057.05,769.93,463.82,424.35,100.34,62.97,1035.58,739.13,421.79,376.08,20.37,74.56,1023.04,771.85,445.71,399.84,98.05,69.64,463.47,357.66,512.19,364.69,519.63,363.76,530.62,387.34,46.05,396.03,459.26,369.16,486.67,374.29,487.9,338.99,472.84,2293.7,,346.53
124.77,15.96,4.08,-8.48,2.19,-10.51,3.53,-9.37,4.28,-9.49,-20.97,-19.26,-20.32,-18.7,-30.72,-28.12,-30.8,-28.51,-23.08,-21.11,-23.24,-20.53,1037.29,776.08,452.77,399.49,96.28,73.02,25.23,811.21,441.74,411.24,97.15,69.75,993.26,29.42,458.99,402.66,99.94,68.77,1058.9,771.59,464.66,425.12,101.71,62.89,1036.64,740.56,427.26,380.66,20.39,75.29,1031.52,774.86,449.09,403.83,98.77,69.94,466.93,361.65,514.65,368.85,523.24,368.2,532.96,390.65,46,399.23,463.21,374,490.16,379.21,491.5,342.93,477.03,2293.71,,350.49
127.31,7.53,3.91,-8.65,2.23,-10.47,5.3,-7.6,4.31,-9.46,-22.46,-20.75,-23.8,-22.18,-34.69,-32.09,-32.85,-30.56,-23.74,-21.77,-24.52,-21.81,1024.25,781.13,465.2,417.69,97.59,75.01,25.06,837.86,469.3,459.37,108,69.16,997.2,31.3,481.08,425.37,103.88,67.91,1017.99,782.69,468.54,441.49,104.12,63,1020.25,751.73,415.68,392.59,20.4,74.34,1014.92,788.35,459.96,427.3,103.4,69.88,470.02,365.08,518.11,373.62,525.99,372.89,535.39,394.77,45.83,402.51,467.87,379.76,492.32,381.49,495.83,347.31,484.45,2293.72,,355.11
,,,,,-12.7,,-12.9,,-13.77,,1.71,,1.62,,2.6,,2.29,,1.97,,2.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,474.35,378.81,568.65,382.57,588.56,388.66,608.71,414.02,45.21,416.43,477.11,389.2,501.31,379.31,501.96,355.25,518.25,2293.72,,359.58
