Displacement in m,Displacement in mm,Load in N,Load in kN
-0.000000,-0.000000,-0.000000,-0.000000
0.000451,0.451281,9975.860352,9.975860
0.000908,0.908152,19975.462891,19.975463
0.001375,1.374707,29977.478516,29.977479
0.001554,1.554059,33726.921875,33.726922
0.001832,1.832358,39352.492188,39.352492
0.001943,1.942780,41461.195312,41.461195
0.002116,2.116002,44624.097656,44.624098
0.002183,2.182538,45810.277344,45.810277
0.002208,2.208123,46254.750000,46.254750
0.002247,2.247374,46921.675781,46.921676
0.002262,2.262230,47171.738281,47.171738
0.002285,2.284930,47546.785156,47.546785
0.002310,2.309553,47919.953125,47.919953
0.002335,2.335149,48294.226562,48.294227
0.002374,2.373645,48857.253906,48.857254
0.002431,2.431354,49701.972656,49.701973
0.002518,2.517774,50969.078125,50.969078
0.002647,2.647474,52869.648438,52.869648
0.002843,2.843082,55721.214844,55.721215
0.002917,2.916955,56790.089844,56.790090
0.003031,3.031329,58393.187500,58.393188
0.003059,3.059070,58780.320312,58.780320
0.003088,3.087923,59178.535156,59.178535
0.003099,3.098898,59328.046875,59.328047
0.003116,3.115677,59552.531250,59.552531
0.003142,3.141809,59889.000000,59.889000
0.003152,3.151818,60014.921875,60.014922
0.003188,3.188057,60148.328125,60.148328
0.003196,3.196396,60167.378906,60.167379
0.003205,3.205256,60203.933594,60.203934
0.003214,3.214150,60249.695312,60.249695
0.003227,3.227009,60325.972656,60.325973
0.003245,3.245207,60441.699219,60.441699
0.003272,3.271967,60607.863281,60.607863
0.003320,3.319852,60838.941406,60.838941
0.003332,3.332158,60895.714844,60.895715
0.003346,3.346124,60945.570312,60.945570
0.003352,3.351846,60960.457031,60.960457
0.003361,3.361447,60981.261719,60.981262
0.003383,3.382770,60976.078125,60.976078
0.003389,3.388721,60967.171875,60.967172
0.003395,3.395469,60960.062500,60.960062
0.003407,3.406591,60958.492188,60.958492
0.003425,3.425460,60957.476562,60.957477
0.003461,3.460736,60941.140625,60.941141
0.003511,3.510811,60856.718750,60.856719
0.003524,3.524009,60835.609375,60.835609
0.003540,3.540327,60767.585938,60.767586
0.003574,3.574420,60588.015625,60.588016
0.003590,3.589940,60473.371094,60.473371
0.003620,3.620091,60246.269531,60.246270
0.003633,3.632972,60132.750000,60.132750
0.003656,3.655854,59937.261719,59.937262
0.003697,3.697235,59654.546875,59.654547
0.003708,3.707859,59589.207031,59.589207
