Displacement in m,Displacement in mm,Load in N,Load in kN
0.005925,5.925471,67538.703125,67.538703
0.005989,5.989070,67107.609375,67.107609
0.006014,6.013520,66940.031250,66.940031
0.006052,6.051683,66671.984375,66.671984
0.006112,6.112438,66226.726562,66.226727
0.006136,6.135677,66053.742188,66.053742
0.006172,6.171659,65779.968750,65.779969
0.006228,6.228263,65335.644531,65.335645
0.006320,6.319772,64582.378906,64.582379
0.006355,6.354982,64287.417969,64.287418
0.006410,6.409987,63814.941406,63.814941
0.006467,6.467186,63312.664062,63.312664
0.006527,6.526649,62781.644531,62.781645
0.006621,6.620969,61928.644531,61.928645
0.006657,6.656983,61601.644531,61.601645
0.006713,6.712541,61096.589844,61.096590
0.006799,6.799296,60312.644531,60.312645
0.006832,6.832237,60015.519531,60.015520
0.006883,6.882671,59563.703125,59.563703
0.006961,6.960546,58875.738281,58.875738
0.007082,7.082307,57829.429688,57.829430
0.007129,7.128541,57435.578125,57.435578
0.007199,7.199306,56843.046875,56.843047
0.007309,7.308651,55953.308594,55.953309
0.007350,7.350029,55619.679688,55.619680
0.007413,7.413005,55120.316406,55.120316
0.007510,7.509558,54374.773438,54.374773
0.007546,7.545994,54095.804688,54.095805
0.007601,7.601236,53679.289062,53.679289
0.007685,7.685452,53059.003906,53.059004
0.007815,7.814800,52140.769531,52.140770
0.007864,7.863645,51798.054688,51.798055
0.007938,7.937763,51288.972656,51.288973
0.008051,8.050836,50537.316406,50.537316
0.008093,8.093402,50257.187500,50.257188
0.008158,8.157776,49841.414062,49.841414
0.008256,8.255527,49227.878906,49.227879
0.008405,8.404853,48330.562500,48.330562
0.008461,8.461094,47997.101562,47.997102
0.008546,8.546202,47504.882812,47.504883
0.008676,8.675531,46784.339844,46.784340
0.008724,8.724144,46516.558594,46.516559
0.008798,8.797511,46120.910156,46.120910
0.008909,8.908610,45540.753906,45.540754
0.008950,8.950323,45325.078125,45.325078
0.009013,9.013159,45006.062500,45.006062
0.009108,9.108153,44537.042969,44.537043
0.009252,9.252337,43854.617188,43.854617
0.009307,9.306521,43601.515625,43.601516
0.009388,9.388272,43228.773438,43.228773
0.009512,9.512046,42684.554688,42.684555
0.009559,9.558518,42482.519531,42.482520
0.009629,9.628546,42184.328125,42.184328
0.009734,9.734386,41747.457031,41.747457
0.009774,9.774094,41585.125000,41.585125
0.009834,9.833882,41344.945312,41.344945
0.009924,9.924137,40991.699219,40.991699
0.010061,10.060828,40476.812500,40.476813
0.010112,10.112153,40285.750000,40.285750
0.010189,10.189491,40003.886719,40.003887
0.010306,10.306324,39590.945312,39.590945
0.010350,10.350151,39437.476562,39.437477
0.010416,10.416098,39210.402344,39.210402
0.010516,10.515527,38876.328125,38.876328
0.010666,10.665965,38388.460938,38.388461
0.010722,10.722436,38207.277344,38.207277
0.010807,10.807491,37939.691406,37.939691
0.010936,10.935921,37547.085938,37.547086
0.010984,10.984092,37401.097656,37.401098
0.011057,11.056599,37184.867188,37.184867
0.011166,11.165925,36866.500000,36.866500
0.011207,11.206905,36748.003906,36.748004
0.011269,11.268522,36572.152344,36.572152
0.011361,11.361377,36312.324219,36.312324
0.011502,11.501668,35931.031250,35.931031
0.011554,11.554293,35789.242188,35.789242
0.011634,11.633514,35579.218750,35.579219
0.011753,11.752995,35269.937500,35.269937
0.011798,11.797792,35154.820312,35.154820
0.011865,11.865176,34983.968750,34.983969
0.011967,11.966646,34731.660156,34.731660
0.012005,12.004663,34637.679688,34.637680
0.012062,12.061779,34497.976562,34.497977
0.012148,12.147740,34291.050781,34.291051
0.012277,12.277360,33986.316406,33.986316
0.012326,12.325955,33872.890625,33.872891
0.012399,12.399054,33704.535156,33.704535
0.012509,12.509172,33455.863281,33.455863
0.012550,12.550446,33363.230469,33.363230
0.012613,12.612500,33225.500000,33.225500
0.012706,12.705904,33021.566406,33.021566
0.012847,12.846971,32721.052734,32.721053
0.012900,12.899909,32609.173828,32.609174
0.012980,12.979607,32443.103516,32.443104
0.013100,13.099990,32197.640625,32.197641
0.013145,13.145169,32106.183594,32.106184
0.013213,13.213200,31970.199219,31.970199
0.013316,13.315989,31768.720703,31.768721
0.013355,13.354561,31693.605469,31.693605
0.013413,13.412624,31581.771484,31.581771
0.013500,13.500285,31415.763672,31.415764
0.013633,13.633237,31170.265625,31.170266
0.013683,13.683205,31078.781250,31.078781
0.013759,13.758568,30942.720703,30.942721
0.013873,13.872692,30741.072266,30.741072
0.013916,13.915556,30665.886719,30.665887
0.013980,13.980158,30553.935547,30.553936
0.014078,14.077877,30387.726562,30.387727
0.014115,14.114571,30325.728516,30.325729
0.014170,14.169830,30233.318359,30.233318
0.014253,14.253283,30095.921875,30.095922
0.014380,14.380118,29892.228516,29.892229
0.014428,14.427828,29816.271484,29.816271
0.014500,14.499923,29703.097656,29.703098
0.014609,14.609356,29534.970703,29.534971
0.014651,14.650505,29472.244141,29.472244
0.014713,14.712702,29378.673828,29.378674
0.014807,14.807140,29239.451172,29.239451
