Displacement in m,Displacement in mm,Load in N,Load in kN
0.037638,37.637644,36009.12109,36.009121
0.037755,37.754837,35907.91797,35.907918
0.037872,37.871715,35807.36719,35.807367
0.037988,37.988279,35707.45703,35.707457
0.038105,38.10453,35608.1875,35.608187
0.03822,38.220469,35509.55859,35.509559
0.038336,38.336098,35411.56641,35.411566
0.038451,38.451426,35314.20313,35.314203
0.038566,38.566444,35217.46484,35.217465
0.038681,38.681164,35121.35547,35.121355
0.038796,38.795575,35025.86328,35.025863
0.03891,38.909689,34930.99219,34.930992
0.039023,39.0235,34836.73438,34.836734
0.039137,39.13701,34743.08984,34.74309
0.03925,39.250225,34650.05078,34.650051
0.039363,39.363138,34557.61328,34.557613
0.039476,39.475758,34465.78125,34.465781
0.039588,39.588086,34374.54688,34.374547
0.0397,39.700124,34283.90625,34.283906
0.039812,39.811876,34193.85547,34.193855
0.039923,39.923344,34104.39453,34.104395
0.040035,40.03454,34015.51953,34.01552
0.040145,40.145472,33927.22266,33.927223
0.040256,40.256139,33839.50781,33.839508
0.040367,40.366542,33752.37109,33.752371
0.040477,40.476687,33665.80078,33.665801
0.040587,40.58658,33579.80469,33.579805
0.040696,40.696219,33494.375,33.494375
0.040806,40.805612,33409.50781,33.409508
0.040915,40.914766,33325.19922,33.325199
0.041024,41.023683,33241.44922,33.241449
0.041132,41.132372,33158.25,33.15825
0.041241,41.24083,33075.60547,33.075605
0.041349,41.349061,32993.50781,32.993508
0.041457,41.457068,32911.95313,32.911953
0.041565,41.564852,32830.94141,32.830941
0.041672,41.672416,32750.46875,32.750469
0.04178,41.779771,32670.53125,32.670531
0.041887,41.886922,32591.12695,32.591127
0.041994,41.993871,32512.25195,32.512252
0.042101,42.100627,32433.9043,32.433904
0.042207,42.207208,32356.08008,32.35608
0.042314,42.313609,32278.77539,32.278775
0.04242,42.419858,32201.99023,32.20199
0.042526,42.525958,32125.7168,32.125717
0.042632,42.631913,32049.95508,32.049955
0.042738,42.737734,31974.70117,31.974701
0.042843,42.843424,31899.95117,31.899951
0.042949,42.948991,31825.70117,31.825701
0.043054,43.05445,31751.94922,31.751949
0.04316,43.159809,31678.69141,31.678691
0.043265,43.265074,31605.92383,31.605924
