,Time,Time in Minutes,Pb1,Pb1-Pb2,Pb2,Pb3-Fire,Pb3-Amb,Pb4,Pb4-Pb5,Pb5,FHF,FHF-Extra,FHF-Extra2,FCF,FCF-Extra,AHF,AHF-Extra,ACF,ACF-Extra,ACF-Extra2
0,0.0,0.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
1,14.427052,0.24045086666666665,19.996371,20.000032,24.315687,19.994707000000002,19.994418,19.996717999999998,20.0,20.002564000000003,20.001117,20.001117,20.001117,20.000611,20.000611,19.9995,19.9995,20.000979,20.000979,20.000979
2,28.827053999999997,0.48045089999999996,20.004172,20.001804,37.99736,20.002961,20.002802,20.00449,19.999998,20.004422,20.007325,20.007325,20.007325,20.004891,20.004891,20.001886,20.001886,20.007742999999998,20.007742999999998,20.007742999999998
3,43.227055,0.7204509166666667,20.00975,20.015721,59.515584,20.007309,20.007189,20.010081,20.000001,20.005171,20.015116,20.015116,20.015116,20.010013,20.010013,20.004776,20.004776,20.016273,20.016273,20.016273
4,57.62705699999999,0.9604509499999999,20.013351999999998,20.065828,89.81053,20.009925,20.00981,20.013616,20.000022,20.005618,20.022776999999998,20.022776999999998,20.022776999999998,20.014934,20.014934,20.007502,20.007502,20.024514,20.024514,20.024514
5,72.027059,1.2004509833333332,20.015715,20.18897,123.04748000000001,20.011341,20.011222,20.015552,20.000075,20.005326999999998,20.029252,20.029252,20.029252,20.018888,20.018888,20.009674,20.009674,20.03146,20.03146,20.03146
6,86.42706,1.440451,20.01667,20.42946,144.27168999999998,20.011021,20.010932,20.015082,20.000166,20.00457,20.032917,20.032917,20.032917,20.020919,20.020919,20.010778,20.010778,20.035412,20.035412,20.035412
7,100.82706,1.6804510000000001,20.019642,20.821149,163.01613999999998,20.010788,20.010776,20.014398,20.000293,20.004337,20.035162,20.035162,20.035162,20.022118,20.022118,20.011472,20.011472,20.037814,20.037814,20.037814
8,115.22706000000001,1.9204510000000001,20.027314999999998,21.374216,184.84648,20.010891,20.011043,20.014062,20.000448000000002,20.004198000000002,20.037023,20.037023,20.037023,20.023062,20.023062,20.012035,20.012035,20.039742,20.039742,20.039742
9,129.62707,2.160451166666667,20.042432,22.080748999999997,215.48167999999998,20.011173,20.011657,20.013932999999998,20.000626,20.004112,20.038805,20.038805,20.038805,20.023907,20.023907,20.012539,20.012539,20.04147,20.04147,20.04147
10,144.02707,2.400451166666667,20.068337,22.92484,236.61441000000002,20.011543,20.012643,20.013917000000003,20.000818,20.004032000000002,20.040667000000003,20.040667000000003,20.040667000000003,20.024716,20.024716,20.013001000000003,20.013001000000003,20.043072,20.043072,20.043072
11,158.42707,2.6404511666666663,20.10849,23.889267,266.74284,20.011807,20.013958,20.013773,20.00102,20.003879,20.042583999999998,20.042583999999998,20.042583999999998,20.025407,20.025407,20.01335,20.01335,20.044373,20.044373,20.044373
12,172.82707,2.8804511666666666,20.166831,24.958373,298.15842000000004,20.012235,20.016051,20.013789000000003,20.001228,20.003984,20.045009,20.045009,20.045009,20.026239,20.026239,20.013721,20.013721,20.045638,20.045638,20.045638
13,187.22707,3.1204511666666668,20.24693,26.117099,319.43494,20.0129,20.019218,20.014155,20.001439,20.004029,20.048465,20.048465,20.048465,20.027471,20.027471,20.014184,20.014184,20.047165,20.047165,20.047165
14,201.62707,3.3604511666666665,20.350931,27.349971000000004,334.83705,20.01325,20.023119,20.01415,20.001651000000003,20.003839000000003,20.052675,20.052675,20.052675,20.028775,20.028775,20.014488,20.014488,20.048327,20.048327,20.048327
15,216.02707,3.6004511666666668,20.481315,28.645114000000003,348.54736,20.013471,20.02822,20.013926,20.001863,20.003737,20.057858,20.057858,20.057858,20.03019,20.03019,20.014678,20.014678,20.049126,20.049126,20.049126
16,230.42708,3.840451333333333,20.640385000000002,29.991436,367.35946,20.013785000000002,20.035082,20.013768,20.002073,20.003709,20.064507,20.064507,20.064507,20.032018,20.032018,20.014839000000002,20.014839000000002,20.049797,20.049797,20.049797
17,244.82708,4.080451333333333,20.829857999999998,31.379067,392.62261,20.014305,20.044017,20.013802,20.002281,20.003801,20.073235,20.073235,20.073235,20.034623,20.034623,20.015044,20.015044,20.05053,20.05053,20.05053
18,259.22708,4.320451333333334,21.050867,32.801846000000005,412.40959,20.015066,20.055236999999998,20.014085,20.002484,20.003902,20.084654,20.084654,20.084654,20.038338,20.038338,20.015335,20.015335,20.051477,20.051477,20.051477
19,273.62708,4.560451333333333,21.303647,34.253467,427.91630999999995,20.015832,20.06866,20.01428,20.002682999999998,20.003898,20.098969,20.098969,20.098969,20.043219,20.043219,20.015596,20.015596,20.052367999999998,20.052367999999998,20.052367999999998
20,288.02707999999996,4.800451333333332,21.588542999999998,35.725524,441.61182,20.01665,20.084538000000002,20.014364,20.002878,20.003904000000002,20.116543,20.116543,20.116543,20.049469000000002,20.049469000000002,20.015817000000002,20.015817000000002,20.053129000000002,20.053129000000002,20.053129000000002
21,302.42708,5.040451333333333,21.905604,37.20981,454.31608,20.017644,20.103191,20.014436,20.00307,20.003937,20.137934,20.137934,20.137934,20.057442,20.057442,20.016022,20.016022,20.053818,20.053818,20.053818
22,316.82709,5.2804515,22.254478,38.706042,464.95807,20.018874,20.124829000000002,20.014518,20.003257,20.00396,20.163705,20.163705,20.163705,20.067465,20.067465,20.016215,20.016215,20.054457,20.054457,20.054457
23,331.22709,5.520451499999999,22.63449,40.220116,473.91868,20.020371,20.149607999999997,20.014578,20.003441,20.003985,20.19436,20.19436,20.19436,20.079818,20.079818,20.016389,20.016389,20.055018,20.055018,20.055018
24,345.62709,5.7604515,23.044867,41.757606,482.15767,20.022233,20.17773,20.014657,20.003621,20.004031,20.230485,20.230485,20.230485,20.094855,20.094855,20.016561,20.016561,20.055539000000003,20.055539000000003,20.055539000000003
25,360.02709,6.0004515,23.484873999999998,43.321508,490.03374,20.024544,20.209352,20.014782,20.003798,20.004095,20.272627,20.272627,20.272627,20.11299,20.11299,20.016744,20.016744,20.056055999999998,20.056055999999998,20.056055999999998
26,374.42708999999996,6.2404515,23.953765,44.898439,497.56460999999996,20.027368,20.244571,20.014947,20.003971,20.004158,20.321233,20.321233,20.321233,20.134657999999998,20.134657999999998,20.016941,20.016941,20.056576,20.056576,20.056576
27,388.82709,6.4804515,24.450671,46.470773,504.80377000000004,20.03077,20.283507,20.015134,20.00414,20.00423,20.376623000000002,20.376623000000002,20.376623000000002,20.160255,20.160255,20.017147,20.017147,20.057085999999998,20.057085999999998,20.057085999999998
28,403.2271,6.7204516666666665,24.974797,48.042943,513.25139,20.034861,20.326323000000002,20.015376999999997,20.004307,20.004324,20.439159,20.439159,20.439159,20.190253,20.190253,20.017382,20.017382,20.057622,20.057622,20.057622
29,417.6271,6.960451666666667,25.525082,49.632402,523.51908,20.039749,20.373141,20.015709,20.00447,20.004448999999997,20.509406,20.509406,20.509406,20.225135,20.225135,20.017661,20.017661,20.058223,20.058223,20.058223
30,432.0271,7.200451666666667,26.100401,51.237515,533.94193,20.045527,20.424066,20.016144,20.004632,20.004585000000002,20.587917,20.587917,20.587917,20.265355,20.265355,20.017997,20.017997,20.058923,20.058923,20.058923
31,446.4271,7.440451666666666,26.699876,52.832085,543.49086,20.052239,20.479144,20.016625,20.004792000000002,20.004704999999998,20.675038,20.675038,20.675038,20.311293,20.311293,20.018373999999998,20.018373999999998,20.059679,20.059679,20.059679
32,460.8271,7.6804516666666665,27.322313,54.40085799999999,552.24941,20.059974,20.538439999999998,20.017141,20.004952,20.004827,20.771135,20.771135,20.771135,20.363408,20.363408,20.018791,20.018791,20.060470000000002,20.060470000000002,20.060470000000002
33,475.2271,7.920451666666667,27.966808,55.940463,560.3403599999999,20.068832999999998,20.602012,20.017699,20.005112,20.00495,20.876653,20.876653,20.876653,20.422117999999998,20.422117999999998,20.019251,20.019251,20.061294,20.061294,20.061294
34,489.62710999999996,8.160451833333333,28.631785999999998,57.447832,567.85073,20.078914,20.669917,20.018307,20.005273000000003,20.005071,20.991781,20.991781,20.991781,20.487839,20.487839,20.01976,20.01976,20.062151,20.062151,20.062151
35,504.02710999999994,8.400451833333332,29.315987,58.919622,574.67177,20.090308,20.742214,20.018962,20.005436,20.005189,21.116711,21.116711,21.116711,20.560972,20.560972,20.02032,20.02032,20.063031,20.063031,20.063031
36,518.42711,8.640451833333334,30.017528000000002,60.353014,581.04625,20.103123999999998,20.818935999999997,20.019683999999998,20.005602,20.005316,21.25167,21.25167,21.25167,20.641841,20.641841,20.020945,20.020945,20.063948999999997,20.063948999999997,20.063948999999997
37,532.82711,8.880451833333332,30.734959999999997,61.746213,587.1438400000001,20.117461,20.900114000000002,20.020491,20.005771,20.005448,21.396863,21.396863,21.396863,20.730704,20.730704,20.021649,20.021649,20.064921,20.064921,20.064921
38,547.2271099999999,9.120451833333332,31.466307,63.09771800000001,593.0305900000001,20.133411,20.985782,20.02139,20.005945,20.005584,21.552568,21.552568,21.552568,20.827776999999998,20.827776999999998,20.022444,20.022444,20.065959,20.065959,20.065959
39,561.62711,9.360451833333334,32.21001,64.406624,598.56763,20.151066,21.075936,20.022374,20.006124,20.005716,21.718798,21.718798,21.718798,20.933297,20.933297,20.023336999999998,20.023336999999998,20.067058,20.067058,20.067058
40,576.02712,9.600451999999999,32.964202,65.672246,603.8756400000001,20.170522000000002,21.170523,20.023457,20.006307999999997,20.005856,21.895441,21.895441,21.895441,21.047491,21.047491,20.024344,20.024344,20.068228,20.068228,20.068228
41,590.43533,9.840588833333333,33.727469,66.896002,609.08555,20.191879,21.269629000000002,20.024656,20.0065,20.006004,22.082531,22.082531,22.082531,21.170253,21.170253,20.025484,20.025484,20.069488,20.069488,20.069488
42,604.83611,10.080601833333333,34.49827,68.103578,614.2207,20.215221,21.373410999999997,20.025986,20.0067,20.006155,22.280158,22.280158,22.280158,21.301118,21.301118,20.026775,20.026775,20.070854,20.070854,20.070854
43,619.21431,10.320238499999999,35.2739,69.318304,619.0468599999999,20.240586999999998,21.481439,20.027435,20.006908,20.006301,22.488079,22.488079,22.488079,21.439120000000003,21.439120000000003,20.028226999999998,20.028226999999998,20.07232,20.07232,20.07232
44,633.60589,10.560098166666668,36.053785999999995,70.54441800000001,623.54811,20.268076999999998,21.593594,20.029016,20.007126,20.006454,22.706364999999998,22.706364999999998,22.706364999999998,21.586665,21.586665,20.02986,20.02986,20.073895,20.073895,20.073895
45,648.0251099999999,10.8004185,36.837965999999994,71.786722,627.84476,20.297821,21.709991,20.030741,20.007357,20.006606,22.935882,22.935882,22.935882,21.746541,21.746541,20.031695000000003,20.031695000000003,20.075589,20.075589,20.075589
46,662.40801,11.0401335,37.625057,73.045059,631.98472,20.329836,21.830582999999997,20.032619,20.0076,20.00676,23.17566,23.17566,23.17566,21.914908999999998,21.914908999999998,20.033751000000002,20.033751000000002,20.077412,20.077412,20.077412
47,676.81435,11.280239166666666,38.414656,74.319191,635.9229,20.364176,21.955253,20.034661,20.007857,20.006919,23.42514,23.42514,23.42514,22.092466,22.092466,20.03605,20.03605,20.079376,20.079376,20.079376
48,691.21473,11.5202455,39.207269000000004,75.608703,639.66337,20.400949,22.083929,20.03687,20.008129999999998,20.007075,23.684282,23.684282,23.684282,22.278955,22.278955,20.038615,20.038615,20.081489,20.081489,20.081489
49,705.6161,11.760268333333332,40.002546,76.910825,643.29948,20.440204,22.216529,20.039265,20.00842,20.007242,23.952597,23.952597,23.952597,22.474096,22.474096,20.04147,20.04147,20.083771,20.083771,20.083771
50,720.00333,12.0000555,40.800062,78.22353299999999,646.86779,20.481972,22.352989,20.04186,20.008728,20.007410999999998,24.229942,24.229942,24.229942,22.677256,22.677256,20.04464,20.04464,20.086246,20.086246,20.086246
51,734.4124400000001,12.240207333333334,41.60075,79.546346,650.33346,20.526313000000002,22.493569,20.044653,20.009058,20.007581,24.515752,24.515752,24.515752,22.882107,22.882107,20.048148,20.048148,20.088926999999998,20.088926999999998,20.088926999999998
52,748.81981,12.480330166666667,42.405353000000005,80.878608,653.6383599999999,20.573295,22.638585,20.047662,20.00941,20.007762,24.809684,24.809684,24.809684,23.077666,23.077666,20.052024,20.052024,20.091835999999997,20.091835999999997,20.091835999999997
53,763.22263,12.720377166666667,43.212686,82.21988,656.88364,20.622917,22.787292,20.050902,20.009787,20.007949,25.111781,25.111781,25.111781,23.281879,23.281879,20.056294,20.056294,20.095001,20.095001,20.095001
54,777.6066900000001,12.960111500000002,44.022813,83.573002,660.09202,20.675204,22.939714000000002,20.054377,20.010189999999998,20.008143,25.42185,25.42185,25.42185,23.493785,23.493785,20.060983,20.060983,20.098446,20.098446,20.098446
55,792.01818,13.200303,44.83652,84.944367,663.25435,20.730232,23.096067,20.058099,20.010622,20.008344,25.74024,25.74024,25.74024,23.718431,23.718431,20.066126999999998,20.066126999999998,20.102196,20.102196,20.102196
56,806.41143,13.4401905,45.653914,86.342784,666.30787,20.788024,23.25621,20.062069,20.011085,20.00855,26.066923000000003,26.066923000000003,26.066923000000003,23.953025,23.953025,20.071755,20.071755,20.106271,20.106271,20.106271
57,820.82778,13.680463,46.47529,87.785557,669.33458,20.848595,23.41968,20.066306,20.011581,20.008770000000002,26.401393,26.401393,26.401393,24.198220000000003,24.198220000000003,20.077903,20.077903,20.1107,20.1107,20.1107
