Time in Minutes,Kyowa PG 500 KUM -Load in bar-(bar),Load in kN,Stud2-Axial,Stud3-Axial,Stud4-Axial,Stud5-Axial,Stud3-Top,Stud3-Mid,Stud3-Bottom,Stud4-Top,Stud4-Mid,Stud4-Bottom,Pb1-Top-Left,Pb1-Top-Right,Pb1-Mid-Mid,Pb1-Bottom-Left,Pb1-Bottom-Right,Pb1-Pb2-Mid-Left,Pb1-Pb2-Mid-Mid,Pb1-Pb2-Mid-Right,Pb2-Top-Left,Pb2-Top-Right,Pb2-Mid-Mid,Pb2-Bottom-Left,Pb2-Bottom-Right,Pb3-Top-Left,Pb3-Top-Right,Pb3-Mid-Mid,Pb3-Bottom-Left,Pb3-Bottom-Right,Pb3-Pb4-Mid-Left,Pb3-Pb4-Mid-Mid,Pb3-Pb4-Mid-Right,Pb4-Top-Left,Pb4-Top-Right,Pb4-Mid-Mid,Pb4-Bottom-Left,Pb4-Bottom-Right,Pb4-Top of stud,Pb4-Inbetween stud 3-4,Stud2-Mid-Fire-HF,Stud2-Mid-Fire-CF,Stud2-Mid-Amb-HF,Stud2-Mid-Amb-CF,Stud3-Top-Fire-HF,Stud3-Top-Fire-CF,Stud3-Top-Amb-HF,Stud3-Top-Amb-CF,Stud3-Mid-Fire-HF,Stud3-Mid-Fire-CF,Stud3-Mid-Amb-HF,Stud3-Mid-Amb-CF,Stud3-Bottom-Fire-HF,Stud3-Bottom-Fire-CF,Stud3-Bottom-Amb-HF,Stud3-Bottom-Amb-CF,Stud4-Top-Fire-HF,Stud4-Top-Fire-CF,Stud4-Top-Amb-HF,Stud4-Top-Amb-CF,Stud4-Mid-Fire-HF,Stud4-Mid-Fire-CF,Stud4-Mid-Amb-HF,Stud4-Mid-Amb-CF,Stud4-Bottom-Fire-HF,Stud4-Bottom-Fire-CF,Stud4-Bottom-Amb-HF,Stud4-Bottom-Amb-CF,Stud5-Mid-Fire-HF,Stud5-Mid-Fire-CF,Stud5-Mid-Amb-HF,Stud5-Mid-Amb-CF,Furnace-Top-Left,Furnace-Top-Right,Furnace-Bottom-Left,Furnace-Bottom-Right,Average-Pb1,Average-Pb1-Pb2,Average-Pb2,Average-Pb3,Average-Pb3-Pb4,Average-Pb4,Average-Furnace
10,-90.091202,29,6.500597,6.945557,8.411827,7.343694,1.605866,2.645283,-2.068862,2.128024,3.241322,-2.239641,360.619324,349.824982,419.281342,364.654541,376.783905,76.155785,74.675011,75.249596,45.583263,41.668266,42.847893,30.637537,35.106892,22.014324,21.756191,22.573179,21.958122,21.380684,21.233271,21.39966,21.298532,21.244612,21.109911,21.210127,21.266829,20.870327,21.840622,21.413774,36.517929,30.609087,26.044155,23.88171,21.044174,32.03685,30.144596,24.596542,35.911499,30.184534,26.852661,24.107727,34.513844,26.617313,23.9953,2293.69873,37.761921,32.744858,31.189413,25.43334,36.961185,29.584364,26.88858,22.98226,33.082775,26.972158,23.698137,22.836903,34.291851,29.085875,27.611778,24.066175,524.083984,525.358093,511.073303,478.282318,374.2328188,75.36013067,39.1687702,21.9365,21.31048767,21.27945743,509.6994245
11,-90.254974,29,6.522763,6.964439,8.411827,7.351904,1.456445,2.645283,-2.073788,2.011442,3.261026,-2.262628,424.639648,405.947205,493.216522,480.620911,505.879517,78.613365,77.826584,77.974937,51.434921,47.422298,48.151966,34.576935,39.863621,22.140593,21.933144,23.113504,22.241877,21.456814,21.261042,21.423956,21.311493,21.233965,21.114307,21.216608,21.25757,20.890467,21.859591,21.439459,41.02779,33.759888,28.270557,24.655148,21.053432,36.069244,34.025219,25.847118,40.139309,33.229034,29.889313,25.277239,38.500126,28.100842,24.848249,2293.705078,42.626858,37.202015,35.320034,27.30456,41.492905,32.781265,29.673929,23.464413,36.995167,29.128153,25.020788,23.385878,38.110123,32.256565,31.054796,25.371548,559.690918,572.921936,583.874512,598.367554,462.0607606,78.13829533,44.2899482,22.1771864,21.33216367,21.28742386,578.71373
12,-90.71627,29,6.516195,6.945557,8.411827,7.337947,1.119837,2.456451,-2.05901,1.710957,3.13295,-2.224863,433.864441,429.305176,500.3349,460.361481,476.258453,81.423775,79.982986,80.912964,56.878815,53.18232,53.242008,39.322517,44.668209,22.288584,22.199329,23.789118,22.826504,21.55006,21.29645,21.498693,21.328617,21.242529,21.124954,21.206425,21.240213,20.892088,21.861441,21.436914,45.936882,37.802032,31.449654,25.902431,21.092319,40.979836,38.651352,28.095552,44.793732,37.415886,33.699722,27.162081,42.737381,30.212538,26.348049,2293.712646,47.97501,42.176266,39.57444,30.12233,46.479118,37.053326,33.190353,24.450012,41.28616,31.960089,27.198681,24.453012,42.479328,36.582047,35.191879,27.457603,560.525208,559.679749,570.333435,549.33136,460.0248902,80.77324167,49.4587738,22.530719,21.37458667,21.28636629,559.967438
13,-91.800644,29,6.515374,6.953766,8.410185,7.336305,0.798007,2.086998,-2.101701,1.369422,2.735583,-2.242925,508.302582,503.448242,581.368958,549.424194,583.653625,83.819916,81.485558,83.180817,61.491714,58.464668,57.593475,44.054482,48.926197,22.473776,22.523247,24.648457,23.421913,21.702984,21.345047,21.583376,21.353378,21.227947,21.124493,21.232807,21.249008,20.859446,21.880407,21.414238,50.61306,42.1245,34.896908,27.704731,21.138842,46.130402,43.416183,31.261187,49.05809,41.799999,37.523491,29.684723,46.798336,33.005173,28.296772,2293.710449,52.891293,46.787704,43.618477,33.63269,51.21574,42.768017,37.528053,26.02042,45.546131,35.664906,29.82686,26.124804,46.859863,41.34137,39.581951,30.232277,615.897583,626.278503,635.308533,639.706238,545.2395202,82.82876367,54.1061072,22.9540754,21.427267,21.28404943,629.2977143
14,-92.962273,30,6.515374,6.954587,8.433172,7.327274,0.582906,1.812781,-2.095133,1.057443,2.444948,-2.216653,548.600403,542.258057,605.304321,585.89032,613.716797,85.920555,83.105583,85.58651,65.705971,62.95211,61.813148,48.668468,53.040867,22.743532,23.032402,25.693844,24.193136,21.93615,21.420717,21.778629,21.431824,21.26058,21.149952,21.214293,21.257109,20.895561,21.914177,21.452648,55.742466,45.911755,38.995636,30.161581,21.193001,50.724728,48.085976,35.359554,54.107105,45.967667,40.813232,32.632881,51.301434,36.258007,31.259352,2293.715332,58.257572,51.110649,48.253654,37.661175,56.424488,48.213207,42.416225,28.20433,50.311855,39.15226,33.255585,28.343449,51.91151,45.386494,43.663605,33.516689,639.005066,654.594727,667.32428,670.741882,579.1539796,84.87088267,58.4361128,23.5198128,21.54372333,21.30633143,657.9164888
15,-91.801971,29,6.521942,6.943914,8.434814,7.273089,0.325114,1.545133,-2.078713,0.758601,2.072212,-2.200234,570.647034,575.861511,602.260681,617.43457,639.859375,87.325378,83.976456,87.163338,69.384911,66.797256,65.477013,53.065872,56.951191,23.056433,23.682665,26.897329,25.099897,22.210892,21.544275,22.033981,21.499851,21.257339,21.172865,21.242296,21.273308,20.907829,21.966911,21.46954,60.568691,49.089256,43.371044,33.000366,21.219385,54.604755,52.378265,39.748276,59.003204,49.77969,44.677956,35.862186,55.819157,39.834728,34.774872,2293.703613,63.367531,54.7094,52.291958,41.9081,61.230141,52.284969,46.446083,30.844925,55.092144,42.572388,36.783264,30.987368,56.868923,49.466576,47.715748,36.963692,650.097351,668.304504,692.483276,687.581238,601.2126342,86.15505733,62.3352486,24.1894432,21.69270233,21.32715543,674.6165923
16,-92.659676,30,6.517837,6.945557,8.436457,7.259953,0.206891,1.384216,-2.06722,0.48603,1.871887,-2.173962,592.756287,597.00647,615.610901,643.18042,652.170288,88.10141,84.844803,88.39106,71.940414,69.621071,68.278313,56.738098,60.41991,23.456099,24.478397,28.268488,26.094158,22.503136,21.706686,22.347544,21.625946,21.276548,21.214525,21.284647,21.304319,20.898569,22.041615,21.484812,64.496048,51.679321,46.987659,35.792549,21.262894,57.463146,55.634956,43.478554,63.217781,53.36948,47.836006,38.877014,59.87048,42.974506,38.294891,2293.71167,67.412888,57.500446,55.658573,45.384682,65.267754,55.167061,50.118465,33.487633,59.258278,45.497223,40.24847,33.651222,61.322571,52.658119,50.986832,40.078808,660.012756,677.871155,704.465027,701.235535,620.1448732,87.11242433,65.3995612,24.9600556,21.893392,21.35786214,685.8961183
17,-89.452667,29,6.503881,6.917643,8.438099,7.166361,0.039408,1.206878,-2.013035,0.315262,1.651858,-2.111567,620.586426,582.578186,633.842957,645.07605,662.995483,89.036598,85.427223,89.635605,73.767693,72.022766,70.521759,60.223537,63.196259,23.957207,25.382154,29.982756,27.168756,22.903229,21.918341,22.776352,21.796209,21.322601,21.239058,21.323063,21.334635,20.916859,22.140825,21.535021,67.749893,54.310818,49.999981,38.975372,21.300848,60.042637,58.345623,47.182156,66.84362,56.567699,50.779316,42.065693,63.456081,46.197617,41.595352,2293.708984,70.582863,59.924576,58.383808,48.763794,68.570259,58.263638,53.522388,36.426884,62.791348,48.566811,43.326817,36.590942,65.028687,55.684887,54.090672,43.351765,673.778137,687.599915,718.459106,711.914307,629.0158204,88.033142,67.9464028,25.8788204,22.163634,21.40172314,697.9378663
18,-91.149094,29,6.511269,6.911075,8.434814,7.145836,-0.044334,1.193742,-2.016319,0.190471,1.602598,-2.073802,634.320007,589.253052,647.805542,652.317993,673.891846,89.810326,85.998299,90.658737,75.08268,73.737938,72.20179,62.568245,65.577827,24.509781,26.347359,31.710747,28.374031,23.360931,22.170656,23.254204,22.021261,21.318897,21.257803,21.354073,21.376057,20.925886,22.256443,21.552835,70.285187,56.086769,52.319225,41.837475,21.319824,61.975082,60.46479,50.03767,69.892815,58.787178,53.376236,44.910854,66.521103,48.995308,44.419403,2293.687988,73.014076,61.715801,60.315552,51.671883,71.14193,59.168243,55.523617,39.322517,65.624649,50.915558,45.862633,39.180485,68.633621,57.914543,56.36356,46.155975,681.553711,697.068298,728.83667,721.897217,639.517688,88.822454,69.833696,26.8605698,22.48204033,21.43457057,707.338974
19,-92.194405,30,6.505522,6.909433,8.434814,7.136806,-0.05747,1.193742,-1.998258,0.147779,1.576326,-2.085296,633.64093,603.778137,659.9375,665.671692,683.055664,90.458618,86.553101,91.528259,75.987526,74.89138,73.297806,64.416946,67.11908,25.11166,27.241493,33.129471,29.39855,23.877323,22.447882,23.84569,22.292282,21.37513,21.328848,21.433212,21.436451,20.970333,22.415747,21.628954,72.075356,56.767548,53.344933,44.171902,21.315195,62.98484,61.608807,52.159668,72.023216,59.571697,54.614658,47.088078,68.770409,51.937656,46.056618,2293.69873,74.732071,62.719151,61.15274,53.622372,72.130402,58.026421,55.847046,41.426338,67.757286,52.517521,47.200699,41.075058,70.985046,58.71711,57.132118,48.228573,691.377502,707.92926,745.064453,730.161255,649.2167846,89.513326,71.1425476,27.7516994,22.86195133,21.51266786,718.6331175
