ISO 834-Time,ISO 834-Temp
0,20
1,349.2136658
2,444.5048779
3,502.289303
4,543.8873093
5,576.4104306
6,603.1176476
7,625.7768252
8,645.455108
9,662.8463867
10,678.4273315
11,692.5395523
12,705.4362483
13,717.3103082
14,728.312063
15,738.5609528
16,748.1534501
17,757.1685957
18,765.6719608
19,773.7185436
20,781.3549272
21,788.6209131
22,795.5507769
23,802.1742463
24,808.5172716
25,814.6026398
26,820.4504687
27,826.0786082
28,831.5029687
29,836.7377928
30,841.7958797
31,846.6887747
32,851.4269275
33,856.0198265
34,860.4761132
35,864.8036804
36,869.0097558
37,873.100975
38,877.0834446
39,880.9627965
40,884.7442362
41,888.4325848
42,892.0323158
43,895.5475878
44,898.9822734
45,902.3399847
46,905.6240963
47,908.8377658
48,911.9839517
49,915.0654299
50,918.0848086
51,921.0445413
52,923.946939
53,926.7941809
54,929.5883242
55,932.3313134
56,935.0249876
57,937.671089
58,940.2712687
59,942.8270936
60,945.3400513
61,947.8115564
62,950.2429541
63,952.6355255
64,954.990491
65,957.3090145
66,959.5922069
67,961.8411286
68,964.0567933
69,966.2401703
70,968.3921871
71,970.5137319
72,972.6056555
73,974.6687738
74,976.7038692
75,978.7116928
76,980.692966
77,982.6483816
78,984.578606
79,986.48428
80,988.3660202
81,990.2244204
82,992.0600525
83,993.8734676
84,995.6651972
85,997.4357536
86,999.1856316
87,1000.915308
88,1002.625245
89,1004.315888
90,1005.987666
91,1007.640997
92,1009.276283
93,1010.893914
94,1012.494267
95,1014.077707
96,1015.644587
97,1017.195251
98,1018.730032
99,1020.24925
100,1021.753218
101,1023.24224
102,1024.71661
103,1026.176612
104,1027.622525
105,1029.054619
106,1030.473153
107,1031.878384
108,1033.270557
109,1034.649914
110,1036.016688
111,1037.371108
112,1038.713393
113,1040.04376
114,1041.362418
115,1042.669572
116,1043.965421
117,1045.250159
118,1046.523974
119,1047.787051
120,1049.039569
121,1050.281703
122,1051.513624
123,1052.7355
124,1053.947491
125,1055.149757
126,1056.342452
127,1057.525729
128,1058.699734
129,1059.864611
130,1061.020502
131,1062.167543
132,1063.305871
133,1064.435615
134,1065.556904
135,1066.669864
136,1067.774619
137,1068.871287
138,1069.959986
139,1071.040832
140,1072.113936
141,1073.17941
142,1074.23736
143,1075.287893
144,1076.331111
145,1077.367116
146,1078.396006
147,1079.41788
148,1080.432831
149,1081.440953
150,1082.442338
151,1083.437074
152,1084.425249
153,1085.406951
154,1086.382261
155,1087.351265
156,1088.314041
157,1089.270671
158,1090.221231
159,1091.165799
160,1092.10445
161,1093.037256
162,1093.964292
163,1094.885627
164,1095.801331
165,1096.711472
166,1097.616118
167,1098.515336
168,1099.409188
169,1100.29774
170,1101.181053
171,1102.05919
172,1102.932209
173,1103.800172
174,1104.663135
175,1105.521157
176,1106.374293
177,1107.222598
178,1108.066128
179,1108.904936
180,1109.739073
181,1110.568593
182,1111.393545
183,1112.213981
184,1113.029948
185,1113.841495
186,1114.648671
187,1115.451521
188,1116.250092
189,1117.04443
190,1117.834579
191,1118.620582
192,1119.402484
193,1120.180327
194,1120.954152
195,1121.724002
196,1122.489916
197,1123.251934
198,1124.010097
199,1124.764443
200,1125.51501
201,1126.261835
202,1127.004957
203,1127.744411
204,1128.480234
205,1129.21246
206,1129.941126
207,1130.666265
208,1131.387912
209,1132.1061
210,1132.820861
211,1133.532229
212,1134.240236
213,1134.944912
214,1135.64629
215,1136.3444
216,1137.039273
217,1137.730937
218,1138.419424
219,1139.104761
220,1139.786978
221,1140.466102
222,1141.142163
223,1141.815186
224,1142.4852
225,1143.152231
226,1143.816306
227,1144.47745
228,1145.13569
229,1145.79105
230,1146.443557
231,1147.093234
232,1147.740107
233,1148.384198
234,1149.025533
235,1149.664134
236,1150.300025
237,1150.933229
238,1151.563768
239,1152.191665
240,1152.816941
