,Time in Minutes,Pressure,Load in kN,O-Stud3-Top,Stud3-Top,O-Stud3-Mid,Stud3-Mid,O-Stud3-Bottom,Stud3-Bottom,O-Stud4-Top,Stud4-Top,O-Stud4-Mid,Stud4-Mid,O-Stud4-Bottom,Stud4-Bottom,O-Stud2-Axial,Stud2-Axial,O-Stud3-Axial,Stud3-Axial,O-Stud4-Axial,Stud4-Axial,O-Stud5-Axial,Stud5-Axial,Pb1-Top-Left,Pb1-Top-Right,Pb1-Mid-Mid,Pb1-Bottom-Left,Pb1-Bottom-Right,Pb1-Pb2-Mid-Left,Pb1-Pb2-Mid-Mid,Pb1-Pb2-Mid-Right,Pb2-Top-Left,Pb2-Top-Right,Pb2-Mid-Mid,Pb2-Bottom-Left,Pb2-Bottom-Right,Pb3-Top-Left,Pb3-Top-Right,Pb3-Mid-Mid,Pb3-Bottom-Left,Pb3-Bottom-Right,Pb3-Pb4-Mid-Left,Pb3-Pb4-Mid-Mid,Pb3-Pb4-Mid-Right,Pb4-Top-Left,Pb4-Top-Right,Pb4-Mid-Mid,Pb4-Bottom-Left,Pb4-Bottom-Right,Pb4-Top of Pb Joint (between Studs 3 & 4),Pb4-Top of Stud 4,Stud2-Mid-Fire-HF,Stud2-Mid-Fire-CF,Stud2-Mid-Amb-HF,Stud2-Mid-Amb-CF,Stud3-Top-Fire-HF,Stud3-Top-Fire-CF,Stud3-Top-Amb-HF,Stud3-Top-Amb-CF,Stud3-Mid-Fire-HF,Stud3-Mid-Fire-CF,Stud3-Mid-Amb-HF,Stud3-Mid-Amb-CF,Stud3-Bottom-Fire-HF,Stud3-Bottom-Fire-CF,Stud3-Bottom-Amb-HF,Stud3-Bottom-Amb-CF,Stud4-Top-Fire-HF,Stud4-Top-Fire-CF,Stud4-Top-Amb-CF,Stud4-Top-Amb-HF,Stud4-Mid-Fire-HF,Stud4-Mid-Fire-CF,Stud4-Mid-Amb-HF,Stud4-Mid-Amb-CF,Stud4-Bottom-Fire-HF,Stud4-Bottom-Fire-CF,Stud4-Bottom-Amb-HF,Stud4-Bottom-Amb-CF,Stud5-Mid-Fire-HF,Stud5-Mid-Fire-CF,Stud5-Mid-Amb-HF,Stud5-Mid-Amb-CF,Furnace-Top-Left,Furnace-Top-Right,Furnace-Bottom-Left,Furnace-Bottom-Right,Average-Furnace,Average-Pb1,Average-Pb1-Pb2,Average-Pb2,Average-Pb3,Average-Pb3-Pb4,Average-Pb4
42696.43959,5,-90.701698,29.14245557,2.078724,0.144493,2.118128,0.220023,1.487612,0.144492,1.963782,0.101801,1.901419,0.147779,1.274157,0.154343,8.029252,0.244655,8.109639,0.295554,7.675466,0.372734,7.461153,0.364521,392.380707,375.882202,425.386047,339.541748,316.284393,63.50338,74.79248,74.926727,26.041389,22.467764,23.8099,19.262119,22.825348,21.966217,21.568569,23.667885,20.620737,21.375362,21.132593,20.99024,20.773321,21.229799,20.922876,21.262894,21.190687,20.704325,21.344353,21.002047,23.606686,21.937538,21.447327,20.910145,25.026554,22.208811,21.11639,21.038157,23.054354,21.875088,21.544506,21.276548,23.328129,21.203648,21.098801,20.810596,21.084681,22.331358,21.353609,21.589161,23.74132,22.007616,20.930517,21.226097,23.407129,21.838541,20.781425,20.869864,20.987694,21.334866,20.783972,20.681635,576.16687,530.6745,504.957672,501.067932,528.2167435,369.8950194,71.07419567,24.106351,22.14450825,20.96538467,21.09385443
42696.44028,6,-89.55751,28.77482796,2.062304,0.128073,2.11156,0.213455,1.487612,0.144492,1.940795,0.078814,1.894851,0.141211,1.270873,0.151059,8.030894,0.246297,8.114565,0.30048,7.700096,0.397364,7.497277,0.400645,427.76001,426.67984,481.942108,381.811554,353.155884,73.011391,77.998657,80.938255,29.359499,23.605762,27.345528,17.631588,23.987682,22.400951,22.024963,25.363708,20.14827,21.646769,21.144859,21.071951,20.772627,21.224939,20.912924,21.266134,21.197166,20.678162,21.335096,20.986536,25.604174,22.299683,21.730282,21.044638,27.858868,22.937893,21.391098,21.206192,24.591003,22.286039,21.850569,21.525764,24.620077,21.168468,20.929823,20.911533,21.083986,22.959383,21.546125,21.838772,26.165354,22.373207,21.241602,21.540342,24.950899,22.112381,20.754337,21.017323,21.124493,21.490828,21.015472,20.758041,591.61969,549.966431,534.157043,541.993469,554.4341583,414.2698792,77.316101,26.770263,22.85909775,20.996479,21.085851
42696.44029,6,-89.545593,28.77099903,2.085292,0.151061,2.109918,0.211813,1.494179,0.151059,1.924375,0.062394,1.894851,0.141211,1.270873,0.151059,8.030894,0.246297,8.114565,0.30048,7.700096,0.397364,7.495635,0.399003,427.76001,426.67984,481.942108,381.811554,353.155884,73.011391,77.998657,80.938255,29.359499,23.605762,27.345528,17.631588,23.987682,22.400951,22.024963,25.363708,20.14827,21.646769,21.144859,21.071951,20.772627,21.224939,20.912924,21.266134,21.197166,20.678162,21.335096,20.986536,25.604174,22.299683,21.730282,21.044638,27.858868,22.937893,21.391098,21.206192,24.591003,22.286039,21.850569,21.525764,24.620077,21.168468,20.929823,20.911533,21.083986,22.959383,21.546125,21.838772,26.165354,22.373207,21.241602,21.540342,24.950899,22.112381,20.754337,21.017323,21.124493,21.490828,21.015472,20.758041,591.61969,549.966431,534.157043,541.993469,554.4341583,414.2698792,77.316101,26.770263,22.85909775,20.996479,21.085851
42696.44098,7,-88.584373,28.46215904,2.065588,0.131357,2.118128,0.220023,1.523735,0.180615,1.898104,0.036123,1.868579,0.114939,1.277441,0.157627,8.030894,0.246297,8.122775,0.30869,7.714873,0.412141,7.498919,0.402287,479.683685,485.807495,563.354553,434.737823,412.853882,77.172745,80.362572,83.802895,34.211365,25.387228,32.400875,13.086979,27.472101,23.311264,22.982954,26.899172,19.263046,22.289278,21.202026,21.245306,20.818468,21.230263,20.915007,21.28673,21.203184,20.676771,21.368883,21.001583,28.691051,23.146544,22.366734,21.376057,31.804714,24.123655,21.974081,21.562784,27.623972,23.154398,22.401875,22.015944,26.511366,21.201332,20.657091,21.122871,21.10667,24.155048,21.98657,22.446033,29.83926,23.216085,21.837847,22.205111,27.333559,22.643219,20.764755,21.197397,21.46283,21.796442,21.674761,20.94973,619.846069,570.651672,570.779724,567.996094,582.3183898,475.2874876,80.44607067,30.66648933,23.870667,21.0886,21.09748871
42696.44099,7,-88.585472,28.46251215,2.08365,0.149419,2.116486,0.218381,1.522093,0.178973,1.901388,0.039407,1.862011,0.108371,1.274157,0.154343,8.033358,0.248761,8.124417,0.310332,7.716516,0.413784,7.502203,0.405571,479.683685,485.807495,563.354553,441.626068,416.56015,77.520699,80.561325,84.019455,34.687565,25.735334,32.400875,13.086979,27.472101,23.311264,23.098486,27.162771,19.263046,22.37598,21.207581,21.245306,20.818468,21.230263,20.910376,21.28673,21.185364,20.676771,21.35037,21.001583,29.073698,23.146544,22.366734,21.423492,32.252441,24.123655,21.974081,21.600496,27.623972,23.267834,22.501747,22.015944,26.739368,21.201332,20.657091,21.144859,21.099958,24.155048,21.98657,22.543127,30.285295,23.216085,21.930599,22.205111,27.625122,22.643219,20.764755,21.252249,21.46283,21.84733,21.674761,20.970797,622.512817,570.651672,572.504883,567.996094,583.4163665,477.4063902,80.700493,30.941258,23.98712525,21.09045167,21.09163671
42696.44168,8,-87.749626,28.19395483,2.052453,0.118222,2.118128,0.220023,1.566426,0.223306,1.832426,-0.029555,1.819319,0.065679,1.31028,0.190466,8.032537,0.24794,8.126059,0.311974,7.726367,0.423635,7.502203,0.405571,525.054565,529.744873,592.024719,508.882019,455.956238,80.74733,82.69986,85.527809,40.330338,28.815859,38.058857,7.40716,33.616905,24.731977,24.500549,29.293339,15.730759,23.452171,21.334402,21.560934,20.908756,21.23304,20.916859,21.28002,21.184206,20.685339,21.369114,21.013851,33.549866,24.814798,24.164051,22.224766,36.772545,26.211895,23.289087,22.271936,32.956184,24.701523,23.824909,22.958227,29.297474,21.207119,20.13854,21.492678,21.121946,26.231709,22.968395,23.938738,35.301304,24.719749,23.134991,23.424454,30.942183,23.576431,20.747854,21.627335,21.918341,22.419678,22.836903,21.425575,639.745422,595.662903,594.32605,598.507446,607.0604553,522.3324828,82.99166633,35.735018,25.494509,21.26803067,21.09748986
42696.44169,8,-87.746094,28.19282,2.052453,0.118222,2.114844,0.216739,1.563142,0.220022,1.848845,-0.013136,1.816035,0.062395,1.315206,0.195392,8.025147,0.24055,8.127701,0.313616,7.728009,0.425277,7.502203,0.405571,525.054565,529.744873,592.024719,508.882019,455.956238,80.74733,82.69986,85.527809,40.330338,28.815859,38.058857,7.40716,33.616905,24.731977,24.500549,29.293339,15.730759,23.452171,21.334402,21.560934,20.908756,21.23304,20.916859,21.28002,21.184206,20.685339,21.369114,21.013851,33.549866,24.814798,24.164051,22.224766,36.772545,26.211895,23.289087,22.271936,32.956184,24.701523,23.824909,22.958227,29.297474,21.207119,20.13854,21.492678,21.121946,26.231709,22.968395,23.938738,35.301304,24.719749,23.134991,23.424454,30.942183,23.576431,20.747854,21.627335,21.918341,22.419678,22.836903,21.425575,639.745422,595.662903,594.32605,598.507446,607.0604553,522.3324828,82.99166633,35.735018,25.494509,21.26803067,21.09748986
42696.44238,9,-86.992569,27.95071242,1.950651,0.01642,2.114844,0.216739,1.618968,0.275848,1.661662,-0.200319,1.743788,-0.009852,1.316848,0.197034,8.025969,0.241372,8.128522,0.314437,7.728009,0.425277,7.49974,0.403108,568.015564,562.216003,616.08905,548.899902,497.125519,83.06707,84.862717,86.30056,45.706203,32.997391,43.639114,-0.953886,40.675251,26.774832,26.787727,32.687611,14.883674,24.971659,21.572733,21.972925,21.141851,21.229799,20.932137,21.270531,21.176569,20.662184,21.36356,21.009222,39.816982,27.629955,27.410427,24.007999,41.984856,29.416237,25.892059,23.705757,36.976921,27.215944,26.572863,24.702215,32.875366,21.246695,19.228506,22.139206,21.142313,29.433233,24.917221,27.033398,41.948524,26.907921,25.480373,25.255333,35.60165,25.057922,20.752947,23.069603,22.528334,23.43531,24.937752,22.560003,654.033691,614.815674,608.59613,619.162964,624.1521148,558.4692076,84.743449,40.78090267,27.80545725,21.562503,21.09200029
42696.44239,9,-86.983521,27.9478053,1.947367,0.013136,2.124696,0.226591,1.6124,0.26928,1.66823,-0.193751,1.733936,-0.019704,1.31028,0.190466,8.022684,0.238087,8.130985,0.3169,7.724725,0.421993,7.502203,0.405571,568.015564,562.216003,616.08905,548.899902,497.125519,83.06707,84.862717,86.30056,45.706203,32.997391,43.639114,-0.953886,40.675251,26.774832,26.787727,32.687611,14.883674,24.971659,21.572733,21.972925,21.141851,21.229799,20.932137,21.270531,21.176569,20.662184,21.36356,21.009222,39.816982,27.629955,27.410427,24.007999,41.984856,29.416237,25.892059,23.705757,36.976921,27.215944,26.572863,24.702215,32.875366,21.246695,19.228506,22.139206,21.142313,29.433233,24.917221,27.033398,41.948524,26.907921,25.480373,25.255333,35.60165,25.057922,20.752947,23.069603,22.528334,23.43531,24.937752,22.560003,654.033691,614.815674,608.59613,619.162964,624.1521148,558.4692076,84.743449,40.78090267,27.80545725,21.562503,21.09200029
42696.44308,10,-86.373016,27.75165004,1.806158,-0.128073,2.118128,0.220023,1.671511,0.328391,1.50075,-0.361231,1.684676,-0.068964,1.31028,0.190466,7.979993,0.195396,8.129343,0.315258,7.728009,0.425277,7.500561,0.403929,585.813721,584.308594,620.363953,575.462341,526.357727,84.80426,87.775917,87.237968,50.888039,37.174877,48.540604,-8.530352,46.479568,29.034864,30.155613,35.719254,14.767838,26.629059,21.907007,22.486721,21.412155,21.164301,20.878893,21.230263,21.272614,20.61657,21.309179,20.975193,46.222965,30.655203,30.707972,26.404718,46.80648,32.889332,29.202824,25.963963,40.335114,29.665892,29.781397,26.807301,36.911919,21.268679,17.83584,23.238264,21.156664,33.027836,27.315376,30.779778,48.428543,29.628918,28.285044,27.427458,40.583862,26.808681,20.742992,25.204369,23.085316,24.751356,27.11397,24.314312,667.646484,628.542175,623.02301,636.636353,638.9620055,578.4612672,86.60604833,45.53450667,30.3846975,21.93529433,21.063859
