TimeStamp,Time in Minutes,Kyowa PG 500 KUM -Load in bar-(bar),Load in kN,O-Stud2-Axial,Stud2-Axial,O-Stud3-Axial,Stud3-Axial,O-Stud4-Axial,Stud4-Axial,O-Stud5-Axial,Stud5-Axial,O-Stud3-Top,Stud3-Top,O-Stud3-Mid,Stud3-Mid,O-Stud3-Bottom,Stud3-Bottom,O-Stud4-Top,Stud4-Top,O-Stud4-Mid,Stud4-Mid,O-Stud4-Bottom,Stud4-Bottom,Pb1-Top-Right,Pb1-Top-Left,Pb1-Mid-Mid,Pb1-Bottom-Right,Pb1-Bottom-Left,Pb1-Pb2-Mid-Right,Pb1-Pb2-Mid-Mid,Pb1-Pb2-Mid-Left,Pb2-Mid-Right,Pb2-Mid-Mid,Pb2-Mid-Left,Pb3-Mid-Right,Pb3-Mid-Mid,Pb3-Mid-Left,Pb3-Pb4-Mid-Right,Pb3-Pb4-Mid-Mid,Pb3-Pb4-Mid-Left,Pb4-Top-Right,Pb4-Top-Left,Pb4-Mid-Mid,Pb4-Bottom-Right,Pb4-Bottom-Left,Stud2-Mid-Fire-HF,Stud2-Mid-Fire-CF,Stud2-Mid-Amb-HF,Stud2-Mid-Amb-CF,Stud3-Top-Fire-HF,Stud3-Top-Fire-CF,Stud3-Top-Amb-HF,Stud3-Top-Amb-CF,Stud3-Mid-Fire-HF,Stud3-Mid-Fire-CF,Stud3-Mid-Amb-HF,Stud3-Mid-Amb-CF,Stud3-Bottom-Fire-HF,Stud3-Bottom-Fire-CF,Stud3-Bottom-Amb-HF,Stud3-Bottom-Amb-CF,Stud4-Top-Fire-HF,Stud4-Top-Fire-CF,Stud4-Top-Amb-HF,Stud4-Top-Amb-CF,Stud4-Mid-Fire-HF,Stud4-Mid-Fire-CF,Stud4-Mid-Amb-HF,Stud4-Mid-Amb-CF,Stud4-Bottom-Fire-HF,Stud4-Bottom-Fire-CF,Stud4-Bottom-Amb-HF,Stud4-Bottom-Amb-CF,Stud5-Mid-Fire-HF,Stud5-Mid-Fire-CF,Stud5-Mid-Amb-HF,Stud5-Mid-Amb-CF,Furnace-Top-Left,Furnace-Top-Right,Furnace-Bottom-Left,Furnace-Bottom-Right,Left-Side-Top,Left-Side-Bottom,Right-Side-Top,Right-Side-Bottom,Average-Furnace,Average-Pb1,Average-Pb1-Pb2,Average-Pb2,Average-Pb3,Average-Pb3-Pb4,Average-Pb4
01:06.6,11,-62.606098,20.11533929,7.580863,0.100159,6.805872,0.078813,6.603933,0.111653,7.700744,0.116579,0.239729,-1.428522,0.160916,-1.55333,0.492599,-0.223312,-0.48274,-1.461357,0.492596,-1.5369,0.791442,-0.009852,584.138672,598.775879,635.742859,596.503662,598.854675,86.26516,84.302544,86.251045,21.479258,58.371006,57.109871,29.681047,30.261196,29.470444,22.202335,22.274017,22.346849,21.395494,21.417707,21.288582,21.208969,21.242065,20.862225,35.389706,34.866512,30.017422,21.263819,38.238846,21.396189,32.590515,53.240654,35.091354,35.699158,33.588535,50.379772,34.48801,32.941074,21.243223,50.42535,39.297707,37.371201,31.205465,50.105827,35.236656,35.483349,32.103752,46.334755,31.367575,30.586601,27.072994,51.033295,34.317459,35.024181,32.265728,638.70636,677.425232,693.817932,689.529541,22.077229,21.104355,21.675455,21.198092,674.8697663,602.8031494,86.2581025,57.7404385,29.804229,22.27440033,21.3105634
02:07.1,12,-62.934082,20.22072055,7.694158,0.213454,6.807515,0.080456,6.595724,0.103444,7.682683,0.098518,-0.01642,-1.684671,-0.136286,-1.850532,0.367807,-0.348104,-0.252864,-1.691233,0.288989,-1.740507,0.791442,-0.009852,604.079346,625.31604,645.419128,621.308716,624.824829,87.736237,85.304909,87.642761,21.480415,61.826828,61.178318,32.461803,33.210953,32.006832,23.007446,22.921947,23.045111,21.48967,21.519518,21.330469,21.361477,21.251785,20.87241,39.009521,39.032745,33.161514,21.281408,42.315434,21.493605,36.098465,58.895195,38.794132,40.008751,37.229378,56.133991,37.861286,36.612846,21.237667,55.412945,43.216122,41.580135,34.769844,55.377178,38.829884,39.430847,35.535419,51.428383,34.582878,34.538303,29.700108,56.640312,38.238846,39.401947,35.855793,652.238831,693.146912,715.941101,709.700378,23.496519,21.322369,22.698,21.458202,692.7568055,624.1896118,87.689499,61.502573,32.55986267,22.99150133,21.3905838
03:07.4,13,-63.247498,20.32142111,7.807452,0.326748,6.804231,0.077172,6.585872,0.093592,7.633424,0.049259,-0.19047,-1.858721,-0.351387,-2.065633,0.295559,-0.420352,-0.114938,-1.829159,0.082099,-1.947397,0.786516,-0.014778,627.341553,618.384277,659.670898,647.938782,654.559204,89.451248,86.287346,89.184601,21.439692,64.674652,64.331116,35.400669,35.901684,35.050915,24.004536,23.849154,23.95767,21.701365,21.675224,21.451723,21.609751,21.302467,20.876577,42.762119,42.853794,36.717564,21.298765,46.391552,21.569031,39.841782,63.72081,42.695171,43.664059,40.496784,61.190434,41.170956,39.708233,21.233271,59.633881,46.973862,45.400082,38.49147,59.808075,42.542202,43.092484,38.730373,56.052139,38.372799,38.333618,32.846748,61.516838,42.220314,43.114491,39.704136,664.074341,706.420776,732.895081,726.918396,26.32939,21.869305,24.449551,22.047859,707.5771485,641.5789428,89.3179245,64.502884,35.45108933,23.93712,21.548106
04:07.9,14,-63.289875,20.33503684,7.95687,0.476166,6.802588,0.075529,6.56781,0.07553,7.594017,0.009852,-0.223309,-1.89156,-0.456475,-2.170721,0.269287,-0.446624,-0.036123,-1.907974,0.045976,-1.98352,0.784874,-0.01642,648.097595,626.017395,672.0896,663.349487,674.119324,91.147438,87.764481,90.919006,21.448021,66.795021,66.861084,38.253429,38.489422,38.059994,25.18223,25.016174,25.037855,22.03907,21.879713,21.606281,21.922735,21.423262,20.871252,45.78046,45.849052,39.902977,21.301773,49.599323,21.653246,43.195251,67.565163,46.055939,46.632515,43.316837,65.328476,43.720749,42.338364,21.214525,63.156799,50.12072,48.513718,41.862907,63.23011,46.054127,46.051865,41.659637,59.726368,41.847012,41.012108,35.545471,64.190369,45.42363,46.011803,42.490906,675.89386,714.720947,744.280396,738.352295,29.63397,22.824654,26.597046,22.773579,718.3118745,656.7346802,91.033222,66.8280525,38.267615,25.078753,21.7742122
05:08.5,15,-63.852699,20.51587219,7.970006,0.489302,6.802588,0.075529,6.557959,0.065679,7.572671,-0.011494,-0.220025,-1.888276,-0.413783,-2.128029,0.275855,-0.440056,-0.022988,-1.921109,0.042692,-1.986804,0.778306,-0.022988,647.6828,638.707642,688.096985,668.621033,674.212219,92.441154,88.382095,92.257965,21.446863,68.594666,68.562424,39.946198,40.335796,39.918217,26.381453,26.434664,26.178257,22.555149,22.147993,21.855427,22.306387,21.59078,20.869864,48.111515,48.012074,42.57988,21.302237,52.172062,21.688873,45.956348,70.349197,49.267879,48.902931,45.459408,68.248085,45.156849,43.580154,21.216608,65.961571,52.976444,50.978035,44.839722,65.949699,49.182522,48.305851,43.942944,62.470028,45.015511,42.114285,37.232571,67.092209,47.708969,47.625099,44.877327,684.89917,725.38678,754.451111,749.902161,32.037994,24.253839,28.679789,23.671579,728.6598055,663.4641358,92.3495595,68.578545,40.066737,26.331458,22.0911472
06:08.8,16,-61.111851,19.63523773,7.817304,0.3366,6.523457,-0.203602,6.314949,-0.177331,7.259058,-0.325107,-0.374371,-2.042622,-0.623959,-2.338205,0.21346,-0.502451,0.131358,-2.075455,-0.160915,-2.190411,0.791442,-0.009852,651.113159,653.052551,701.882935,674.697693,682.020996,93.505043,88.785904,93.079254,21.433907,69.651512,69.817604,41.852234,41.599442,41.688026,27.752354,27.893373,27.494194,23.111423,22.482098,22.165106,22.799463,21.77354,20.841156,50.442947,49.805874,44.658016,21.267523,54.508881,21.679388,48.111286,72.63076,52.350998,50.870445,47.110012,70.720062,45.655262,43.887852,21.202721,68.517647,55.091019,53.089073,47.234394,68.596458,51.954788,49.997272,45.809891,64.915985,47.793056,42.982674,38.243633,69.437965,50.474987,49.241234,46.563736,695.328491,735.687866,764.334534,762.115784,34.190327,25.296841,30.145973,24.424627,739.3666688,672.5534668,93.2921485,69.734558,41.713234,27.713307,22.466326
07:09.4,17,-61.26878,19.68565901,7.815662,0.334958,6.520173,-0.206886,6.318233,-0.174047,7.255774,-0.328391,-0.269284,-1.937535,-0.456475,-2.170721,0.279139,-0.436772,0.098518,-2.042615,-0.055828,-2.085324,0.784874,-0.01642,661.140137,668.916565,714.348572,685.793152,700.043457,94.15239,89.089745,93.71212,21.433907,70.612633,70.715805,43.535931,43.400078,43.362427,29.105635,29.252218,28.835394,23.575045,22.906927,22.533649,23.358158,22.048784,20.828886,52.427391,51.271667,46.34177,21.273077,57.242691,21.721491,50.094093,74.411209,55.028019,52.136227,48.496998,72.564079,48.56839,43.634125,21.198324,70.634117,56.63784,54.795361,49.139618,70.897758,54.304966,51.318344,47.14077,66.851677,50.189777,43.715534,38.951012,71.195198,53.786289,50.843605,48.133209,707.153259,747.156555,780.967163,772.926208,36.55056,26.243689,31.758877,25.166548,752.0507963,686.0483766,93.932255,70.664219,43.432812,29.06441567,22.8845126
08:09.8,18,-61.562771,19.78011832,7.814841,0.334137,6.520173,-0.206886,6.314949,-0.177331,7.25249,-0.331675,-0.183902,-1.852153,-0.295559,-2.009805,0.298843,-0.417068,0.022988,-1.967085,0.068963,-1.960533,0.775022,-0.026272,674.090088,680.61084,724.97406,698.827637,713.223572,94.607788,89.250977,94.308296,21.392717,71.315819,71.364388,45.050167,44.779232,44.90202,30.452597,30.476002,30.164106,24.217602,23.366013,22.951757,23.973831,22.309393,20.812449,54.718399,52.292183,47.602489,21.25572,59.483692,21.730745,51.376522,75.774734,57.342022,53.325111,49.361813,73.849815,51.736359,44.064003,21.174948,72.286819,58.125038,56.291611,50.888268,72.564079,56.355915,52.462994,48.416115,68.388695,52.18243,44.401043,39.701633,72.695427,56.426739,52.152679,49.245975,718.58136,756.547974,791.789062,785.016296,38.123795,26.618465,33.247574,25.777744,762.983673,698.3452394,94.458042,71.3401035,44.910473,30.364235,23.3637192
09:10.4,19,-61.868023,19.87819579,7.815662,0.334958,6.523457,-0.203602,6.316591,-0.175689,7.249206,-0.334959,-0.036124,-1.704375,-0.134644,-1.84889,0.315263,-0.400648,-0.049259,-1.894838,0.203606,-1.82589,0.775022,-0.026272,685.448608,693.054749,732.182922,710.227234,725.776794,95.009331,89.48175,94.928658,21.412617,71.78891,71.988304,46.470295,46.174984,46.37096,31.78042,31.707308,31.489084,24.890232,23.926962,23.481274,24.566776,22.676041,20.802261,57.272133,53.349438,48.824554,21.261736,61.547569,21.764057,52.815147,76.86441,59.581123,54.352684,50.502964,74.92807,54.311493,45.171574,21.163607,73.74308,60.374126,57.679756,52.37376,74.003532,58.415031,53.46294,49.426159,69.733887,53.998146,44.97134,40.415836,73.814011,58.768539,53.092674,50.343445,727.807556,762.982239,800.276001,792.532532,39.563065,27.193617,34.463322,26.207748,770.899582,709.3380614,94.9689945,71.888607,46.33874633,31.65893733,23.908257
10:11.0,20,-62.10088,19.95301274,7.815662,0.334958,6.518531,-0.208528,6.310023,-0.182257,7.25249,-0.331675,0.085383,-1.582868,0.003284,-1.710962,0.334967,-0.380944,-0.134642,-1.809455,0.364521,-1.664975,0.775022,-0.026272,693.281921,701.135925,745.280151,720.749268,735.788208,95.548271,89.708275,95.700226,21.370272,72.277199,72.504776,47.758472,47.183739,47.658783,32.919781,32.940845,32.64502,25.759535,24.435013,24.034086,25.020096,23.004675,20.795547,59.643982,54.000172,49.97493,21.244148,63.372238,21.782793,54.200748,77.687401,61.570896,55.228481,51.444843,75.734688,56.341751,46.166161,21.15134,74.86721,62.544476,58.620987,53.720768,75.376244,60.287949,54.222359,50.387894,70.84964,55.601669,45.583038,41.1171,74.763168,60.768177,53.884453,51.452507,733.984009,768.96521,808.902039,799.777466,40.55817,27.802048,35.392216,26.654161,777.907181,719.2470946,95.6242485,72.3909875,47.53366467,32.83521533,24.450681
