TimeStamp,Kyowa PG 500 KUM _Load in bar_(bar),Load in kN,Stud1_Axial-O,Stud1_Axial,Stud2_Axial-O,Stud2_Axial,Stud1_Top-O,Stud1_Top,Stud1_Mid-O,Stud1_Mid,Stud1_Bottom-O,Stud1_Bottom,Stud2_Top-O,Stud2_Top,Stud2_Mid-O,Stud2_Mid,Stud2_Bottom-O,Stud2_Bottom
,,6.24,,0.73776511,,0.74681704,,0.110715276,,0.157013322,,0.187208286,,0.08857124,,0.118766817,,0.19526044
,,6.37,,0.753135216,,0.762375728,,0.113021845,,0.160284433,,0.191108459,,0.090416474,,0.121241126,,0.199328366
,,6.5,,0.768505323,,0.777934417,,0.115328413,,0.163555544,,0.195008631,,0.092261709,,0.123715435,,0.203396291
,,6.63,,0.783875429,,0.793493105,,0.117634981,,0.166826655,,0.198908804,,0.094106943,,0.126189743,,0.207464217
,,6.76,,0.799245536,,0.809051794,,0.119941549,,0.170097765,,0.202808976,,0.095952177,,0.128664052,,0.211532143
,,6.89,,0.814615642,,0.824610482,,0.122248118,,0.173368876,,0.206709149,,0.097797411,,0.131138361,,0.215600069
,,7.02,,0.829985749,,0.84016917,,0.124554686,,0.176639987,,0.210609322,,0.099642645,,0.133612669,,0.219667995
,,7.15,,0.845355855,,0.855727859,,0.126861254,,0.179911098,,0.214509494,,0.10148788,,0.136086978,,0.223735921
,,7.28,,0.860725962,,0.871286547,,0.129167822,,0.183182209,,0.218409667,,0.103333114,,0.138561287,,0.227803846
,,7.41,,0.876096068,,0.886845235,,0.131474391,,0.18645332,,0.222309839,,0.105178348,,0.141035595,,0.231871772
,,7.54,,0.891466174,,0.902403924,,0.133780959,,0.189724431,,0.226210012,,0.107023582,,0.143509904,,0.235939698
,,7.67,,0.906836281,,0.917962612,,0.136087527,,0.192995542,,0.230110185,,0.108868816,,0.145984213,,0.240007624
,,7.8,,0.922206387,,0.9335213,,0.138394095,,0.196266652,,0.234010357,,0.11071405,,0.148458521,,0.24407555
,,7.93,,0.937576494,,0.949079989,,0.140700664,,0.199537763,,0.23791053,,0.112559285,,0.15093283,,0.248143475
,,8.06,,0.9529466,,0.964638677,,0.143007232,,0.202808874,,0.241810703,,0.114404519,,0.153407139,,0.252211401
,,8.19,,0.968316707,,0.980197365,,0.1453138,,0.206079985,,0.245710875,,0.116249753,,0.155881448,,0.256279327
,,8.32,,0.983686813,,0.995756054,,0.147620368,,0.209351096,,0.249611048,,0.118094987,,0.158355756,,0.260347253
,,8.45,,0.99905692,,1.011314742,,0.149926937,,0.212622207,,0.25351122,,0.119940221,,0.160830065,,0.264415179
,,8.58,,1.014427026,,1.02687343,,0.152233505,,0.215893318,,0.257411393,,0.121785455,,0.163304374,,0.268483105
,,8.71,,1.029797133,,1.042432119,,0.154540073,,0.219164429,,0.261311566,,0.12363069,,0.165778682,,0.27255103
,,8.84,,1.045167239,,1.057990807,,0.156846641,,0.222435539,,0.265211738,,0.125475924,,0.168252991,,0.276618956
,,8.97,,1.060537345,,1.073549495,,0.15915321,,0.22570665,,0.269111911,,0.127321158,,0.1707273,,0.280686882
,,9.1,,1.075907452,,1.089108184,,0.161459778,,0.228977761,,0.273012084,,0.129166392,,0.173201608,,0.284754808
,,9.23,,1.091277558,,1.104666872,,0.163766346,,0.232248872,,0.276912256,,0.131011626,,0.175675917,,0.288822734
,,9.36,,1.106647665,,1.12022556,,0.166072915,,0.235519983,,0.280812429,,0.13285686,,0.178150226,,0.29289066
,,9.49,,1.122017771,,1.135784249,,0.168379483,,0.238791094,,0.284712601,,0.134702095,,0.180624534,,0.296958585
,,9.62,,1.137387878,,1.151342937,,0.170686051,,0.242062205,,0.288612774,,0.136547329,,0.183098843,,0.301026511
