TimeStamp,Time in Minutes,Load-in-bar-(bar),Load in kN,Stud2-Axial,Stud3-Axial,Stud4-Axial,Stud5-Axial,Stud3-Top,Stud2-Mid,Stud3-Mid,Stud4-Mid,Stud3-Bottom,Pb1-Top-Left,Pb1-Top-Right,Pb1-Mid-Mid,Pb1-Bottom-Left,Pb1-Bottom-Right,Pb1-Pb2-Mid-Left,Pb1-Pb2-Mid-Mid,Pb1-Pb2-Mid-Right,Pb2-Mid-Left,Pb2-Mid-Mid,Pb2-Mid-Right,Pb3-Mid-Left,Pb3-Mid-Mid,Pb3-Mid-Right,Pb3-Pb4-Mid-Left,Pb3-Pb4-Mid-Mid,Pb3-Pb4-Mid-Right,Pb4-Top-Left,Pb4-Top-Right,Pb4-Mid-Mid,Pb4-Bottom-Left,Pb4-Bottom-Right,Pb4-Top-of-Stud,Pb4-Inbetween-Stud,Stud2-Mid-Fire-HF,Stud2-Mid-Fire-CF,Stud1-Mid-Amb-HF,Stud1-Mid-Amb-CF,Stud3-Top-Fire-HF,Stud3-Mid-Fire-HF,Stud3-Bottom-Fire-HF,Stud3-Top-Fire-CF,Stud3-Mid-Fire-CF,Stud3-Bottom-Fire-CF,Stud2-Top-Amb-HF,Stud2-Mid-Amb-HF,Stud2-Bottom-Amb-HF,Stud2-Top-Amb-CF,Stud2-Mid-Amb-CF,Stud2-Bottom-Amb-CF,Stud4-Top-Fire-HF,Stud4-Mid-Fire-HF,Stud4-Bottom-Fire-HF,Stud4-Top-Fire-CF,Stud4-Mid-Fire-CF,Stud4-Bottom-Fire-CF,Stud3-Top-Amb-HF,Stud3-Mid-Amb-HF,Stud3-Bottom-Amb-HF,Stud3-Top-Amb-CF,Stud3-Mid-Amb-CF,Stud3-Bottom-Amb-CF,Stud5-Mid-Fire-HF,Stud5-Mid-Fire-CF,Stud4-Mid-Amb-HF,Stud4-Mid-Amb-CF,Stud5-Mid-Amb-HF,Stud5-Mid-Amb-CF,Stud4-Top-Amb-HF,Stud4-Top-Amb-CF,Furnace-Top-Left,Furnace-Top-Right,Furnace-Bottom-Left,Furnace-Bottom-Right,Average-Pb1,Average-Pb1-Pb2,Average-Pb2,Average-Pb3,Average-Pb3-Pb4,Average-Pb4,Average-Furnace
59:27.6,11,-3.910426,-1,-0.272565,-0.165017,-0.211813,-0.197035,-2.23639,-1.737211,-1.697812,-1.676469,-1.418651,461.5802,481.391052,556.233948,467.888275,477.12561,75.840523,75.786598,77.046547,42.254822,42.053432,39.518009,37.524178,25.972258,25.404751,22.401644,22.329971,22.154005,22.154469,22.03537,21.677999,21.519056,21.482035,21.881796,22.227772,52.22818,29.40567,30.655663,26.687784,38.01989,36.561283,33.445755,32.853844,21.727737,25.319437,34.131557,28.743229,24.715366,27.723137,26.118582,23.596985,39.412643,38.071388,32.495472,33.822796,27.97204,25.255564,35.758297,27.843916,24.25407,31.614248,25.276318,23.122976,32.967857,27.334709,29.104946,27.157248,28.767822,24.280615,33.230637,27.619831,577.740112,577.768127,595.892273,581.496643,488.843817,76.224556,41.275421,29.633729,22.29520667,21.854071,583.2242888
00:27.9,12,-3.99816,-1,-0.297195,-0.206887,-0.275849,-0.256145,-2.462984,-2.039334,-1.957245,-2.026212,-1.589415,472.381226,487.364471,526.833923,489.002319,432.542694,78.796417,78.483131,80.448746,47.703316,47.634819,44.483307,43.948841,28.027933,27.461746,23.50622,22.747692,22.376444,22.228464,22.13088,21.666895,21.541037,21.472317,21.911863,22.242338,57.908924,35.605534,34.363415,29.546469,43.172112,41.500401,37.240322,36.986729,21.813328,26.901705,38.6698,33.295635,26.365097,31.132311,29.247164,24.708214,44.941437,44.262341,39.388973,38.01693,30.96489,26.977913,39.65704,31.197668,25.836287,33.099712,27.489592,24.092491,37.206345,30.491606,32.869873,29.870716,33.060799,26.617313,38.193283,30.887821,576.848206,574.121399,584.23645,566.67218,481.6249266,79.24276467,46.60714733,33.14617333,22.87678533,21.88482771,575.4695588
01:28.1,13,-4.074638,-1,-0.328392,-0.277492,-0.349738,-0.308688,-2.911247,-2.364445,-2.351321,-2.380881,-1.868548,490.390442,512.949524,553.55304,497.815674,444.032837,80.682869,79.72628,82.356857,52.201813,52.341534,49.026474,49.726418,30.533598,30.670574,25.23896,23.492361,22.648535,22.366964,22.21991,21.705992,21.529005,21.504709,21.922966,22.300838,62.39872,41.000519,37.975914,32.923904,48.060665,46.743366,41.049835,41.300243,21.907007,28.958344,42.390575,37.780838,28.355175,34.877026,32.681885,26.380762,50.041508,50.038349,48.855728,42.14698,34.578991,29.439665,43.168934,35.104836,27.904875,36.522038,30.558149,25.616621,41.616024,34.255726,36.332638,32.952747,36.833221,29.684723,42.363789,34.386505,582.002625,585.858398,586.101135,561.864258,499.7483034,80.922002,51.18994033,36.97686333,23.79328533,21.93576914,578.956604
02:28.5,14,-4.216559,-1,-0.364515,-0.325108,-0.438403,-0.398996,-3.172323,-2.678062,-2.679717,-2.725698,-2.157532,558.966248,586.878296,621.0401,586.850098,577.365662,82.063576,80.777542,84.265366,56.632217,56.505199,53.378712,54.435738,33.149384,34.27356,27.568979,24.742821,23.12159,22.534113,22.409273,21.733751,21.570189,21.536409,21.990734,22.421759,66.284355,46.330456,42.159466,36.857174,53.310249,51.97868,45.475258,45.939823,22.030745,31.5331,46.704231,43.42979,31.166021,38.358448,37.934666,28.731737,55.155361,55.482903,57.001762,46.6022,38.732197,32.328495,46.3825,38.682552,31.016266,40.758907,34.409599,27.77467,46.6712,38.239986,40.738674,36.864246,41.270706,33.259247,46.695179,38.785934,629.806763,652.916931,649.317566,670.938721,586.2200808,82.368828,55.505376,40.61956067,25.14446333,22.02803257,650.7449953
03:28.9,15,-4.264234,-1,-0.415416,-0.392429,-0.536921,-0.492587,-3.4843,-2.896444,-2.896458,-2.949008,-2.334864,599.592773,620.490967,644.760071,633.985657,623.540649,83.782066,82.372757,86.79557,60.335751,59.813686,57.17662,57.6292,36.421181,37.861286,30.240311,26.415314,23.748709,22.721575,22.602535,21.77354,21.614378,21.580368,22.080467,22.544746,70.770638,49.981022,46.068615,40.365356,58.111111,56.843971,49.868172,49.613094,22.106831,34.336666,50.480854,47.874203,33.902855,42.081135,42.838139,31.261644,59.878334,59.409603,64.513535,50.271011,42.153111,35.601192,50.34412,41.804314,34.155571,44.265514,37.216377,30.135872,51.658806,42.119961,44.428692,40.08654,44.932602,37.056976,50.70578,42.765068,656.035156,680.458923,686.487,709.230164,624.4740234,84.31679767,59.10868567,43.97055567,26.80144467,22.131087,683.0528108
04:29.2,16,-4.250549,-1,-0.507365,-0.448255,-0.638722,-0.591105,-3.523708,-2.965407,-3.024533,-2.998267,-2.449801,614.436523,641.848511,660.400146,653.021912,647.210083,84.761703,83.625755,88.939049,63.251633,62.361267,60.444145,58.214668,39.025688,40.592045,33.051414,28.113951,24.597694,22.985956,22.940664,21.848949,21.671291,21.651857,22.205572,22.738447,72.550201,51.618225,48.75634,43.364922,62.188816,60.807892,54.157528,52.265591,22.1436,36.955025,53.631153,49.803616,36.611706,45.307232,44.791691,33.53957,63.926575,62.243309,70.210648,52.749367,45.077801,38.357761,53.239529,44.481949,36.742886,47.181252,40.310555,32.425156,56.371429,45.03952,46.738617,43.016479,47.449657,40.193207,53.719193,45.851768,670.075684,693.914551,705.529724,726.641846,643.383435,85.77550233,62.019015,45.94413367,28.58768633,22.29181943,699.0404513
05:29.7,17,-4.185438,-1,-0.584538,-0.543489,-0.735598,-0.694548,-3.569683,-2.994963,-3.08036,-3.088576,-2.479356,615.570312,650.035461,674.425964,659.342468,669.932861,85.663353,84.506584,90.838455,65.520699,64.762047,63.063313,57.493256,41.129826,42.649101,35.601192,30.12715,25.609245,23.404127,23.290936,21.976162,21.751564,21.754572,22.394709,23.023392,73.306534,52.512791,50.316368,45.288208,65.585442,64.404396,57.884884,54.444965,22.166492,39.954613,55.567703,50.595913,38.869274,47.95015,46.502197,35.800312,67.074287,64.484398,71.872833,54.63446,47.524269,41.675991,54.935993,47.184193,38.993359,49.713326,42.755081,34.83429,60.483418,47.9506,48.104282,44.976547,49.114552,42.937294,55.600319,48.772377,679.976257,707.505493,718.095764,739.097961,653.8614132,87.00279733,64.44868633,47.09072767,30.44586233,22.51363743,711.1688688
06:30.1,18,-4.129155,-1,-0.62887,-0.592748,-0.82919,-0.76351,-3.632079,-2.991679,-3.09678,-3.057379,-2.489208,623.230896,657.894226,688.349854,670.390076,675.063293,86.28936,85.087395,92.340126,67.1782,66.692215,65.088959,54.736629,42.935024,44.415321,37.695137,32.013935,26.745817,23.902719,23.819136,22.157475,21.848719,21.901688,22.595602,23.391422,74.250107,52.961353,51.51857,46.956219,68.487427,67.344589,60.996815,56.260357,22.232164,42.847668,56.852291,51.666245,40.90847,50.118916,47.857929,37.666416,69.386925,66.227013,71.380501,56.365582,49.924374,45.106567,56.489014,49.277817,41.030518,51.826077,44.58596,36.934044,63.951675,50.209633,49.910831,46.839504,50.739391,44.825447,57.149426,50.971043,690.737854,717.760376,729.952087,749.138855,662.985669,87.905627,66.31979133,47.36232467,32.15162967,22.80239443,721.897293
07:30.4,19,-4.096931,-1,-0.669919,-0.622303,-0.926065,-0.840682,-3.648499,-3.004815,-3.116484,-3.10007,-2.492492,634.352112,664.483826,698.268799,681.826904,681.388428,86.734612,85.875298,93.513573,68.520561,67.997765,66.376633,55.03072,44.528858,46.32412,39.046631,33.509598,27.819761,24.53747,24.327929,22.335751,21.978012,22.052252,22.861631,23.808746,74.875717,54.128265,52.572727,48.502197,70.599426,69.658455,63.343323,57.420227,22.236557,45.525978,57.930042,52.945133,42.416454,51.852001,49.14978,39.39011,71.048607,67.400352,70.564064,57.89185,51.97327,48.119648,57.457977,51.104111,42.491585,52.954144,45.997089,38.58485,66.449875,51.970341,51.409443,48.463787,51.912186,46.27388,58.277565,52.550419,699.144348,728.234375,738.380554,759.20697,672.0640138,88.70782767,67.631653,48.62789933,33.45866333,23.12882729,731.2415618
08:30.8,20,-4.065147,-1,-0.709326,-0.687982,-0.985176,-0.925243,-3.643573,-3.014666,-3.152607,-3.1247,-2.48264,647.600403,677.818909,712.687439,693.586975,691.783264,87.135094,87.464569,94.238876,69.4561,69.018456,67.536499,55.776199,46.045074,47.793736,40.080627,34.719791,29.072319,25.219128,24.928293,22.632355,22.139668,22.273785,23.2013,24.338776,75.356331,55.073017,53.491314,49.81242,72.595184,71.511642,65.500755,58.735527,22.236326,47.957378,58.925285,54.227085,43.930248,53.334572,50.420158,40.80164,72.322403,68.032249,69.171577,59.262772,54.497177,50.484013,58.505997,52.616436,43.980579,54.46207,47.458473,40.092911,68.741302,53.565399,52.652035,49.616482,53.066772,47.589153,59.39344,53.888958,709.158875,736.11322,747.971863,767.388489,684.695398,89.61284633,68.67035167,49.87166967,34.62424567,23.53332929,740.1581118
