TimeStamp,Kyowa PG 500 KUM _Load in bar_(bar),Load in kN,Stud2_Axial-O,Stud2_Axial,Stud3_Axial-O,Stud3_Axial,Stud4_Axial-O,Stud4_Axial,Stud5_Axial-O,Stud5_Axial,Stud3_Top-O,Stud3_Top,Stud4_Top-O,Stud4_Top,Stud3_Mid-O,Stud3_Mid,Stud4_Mid-O,Stud4_Mid,Stud3_Bottom-O,Stud3_Bottom,Stud4_Bottom-O,Stud4_Bottom,Stud1_Axial-O,Stud1_Axial,Stud6_Axial-O,Stud6_Axial,Stud1_Mid-O,Stud1_Mid,Stud2_Mid-O,Stud2_Mid,Stud5_Mid-O,Stud5_Mid,Stud6_Mid-O,Stud6_Mid
22:45.0,-115.971474,43.6876346,8.686049,8.613803,8.083411,8.062066,7.670423,7.909327,8.498799,8.482379,2.239661,2.193686,2.029506,2.219977,3.579525,3.622217,-3.485893,-2.791341,5.093498,5.047522,-5.462794,-5.700878,1.265701,1.215996,0.880479,0.866278,0.17337,0.201109,0.010402,-0.031205,0.0208,0.006933,0.41943,0.391699
22:46.0,-117.042389,44.03171959,8.720531,8.648285,8.117893,8.096548,7.686842,7.925746,8.544774,8.528354,2.293847,2.247872,2.075482,2.265953,3.678044,3.720736,-3.518732,-2.82418,5.172314,5.126338,-5.548176,-5.78626,1.269251,1.219546,0.855627,0.841426,0.124827,0.152566,0.048542,0.006935,0,-0.013867,0.436762,0.409031
22:47.0,-117.99279,44.33708343,8.743518,8.671272,8.140881,8.119536,7.716398,7.955302,8.569404,8.552984,2.311909,2.265934,2.128026,2.318497,3.710884,3.753576,-3.599188,-2.904636,5.224858,5.178882,-5.636841,-5.874925,1.375761,1.326056,0.905331,0.89113,0.166436,0.194175,0.003467,-0.03814,0.0104,-0.003467,0.422896,0.395165
22:48.0,-118.493156,44.49785102,8.776358,8.704112,8.158942,8.137597,7.732818,7.971722,8.608811,8.592391,2.380872,2.334897,2.18057,2.371041,3.819255,3.861947,-3.67636,-2.981808,5.26755,5.221574,-5.735358,-5.973442,1.42369,1.373985,0.926633,0.912432,0.117892,0.145631,0.013869,-0.027738,0.013867,0,0.48529,0.457559
22:49.0,-118.231384,44.41374368,8.781283,8.709037,8.162227,8.140882,7.741027,7.979931,8.64165,8.62523,2.407144,2.361169,2.239682,2.430153,3.921058,3.96375,-3.833989,-3.139437,5.372639,5.326663,-5.847012,-6.085096,1.599431,1.549726,0.926633,0.912432,0.114424,0.142163,0.020804,-0.020803,-0.013867,-0.027734,0.464492,0.436761
22:50.0,-116.143417,43.74287988,8.789494,8.717248,8.178646,8.157301,7.737743,7.976647,8.66628,8.64986,2.499095,2.45312,2.318497,2.508968,4.045849,4.088541,-4.008037,-3.313485,5.43832,5.392344,-5.984936,-6.22302,1.356234,1.306529,0.940834,0.926633,0.10749,0.135229,0.010402,-0.031205,-0.013867,-0.027734,0.436762,0.409031
22:51.0,-116.244064,43.77521776,8.787851,8.715605,8.180288,8.158943,7.757447,7.996351,8.695836,8.679416,2.515514,2.469539,2.351337,2.541808,4.065553,4.108245,-4.049086,-3.354534,5.448172,5.402196,-6.03091,-6.268994,1.601206,1.551501,0.921307,0.907106,0.100555,0.128294,0.072813,0.031206,0.0208,0.006933,0.488757,0.461026
22:52.0,-118.141998,44.38502396,8.802629,8.730383,8.193424,8.172079,7.761552,8.000456,8.735243,8.718823,2.515514,2.469539,2.354621,2.545092,4.068837,4.111529,-4.050728,-3.356176,5.451456,5.40548,-6.067033,-6.305117,1.668662,1.618957,1.004739,0.990538,0.076283,0.104022,0.034673,-0.006934,0.055467,0.0416,0.513021,0.48529
22:53.0,-118.777657,44.58926119,8.823976,8.75173,8.211486,8.190141,7.779614,8.018518,8.759872,8.743452,2.515514,2.469539,2.344769,2.53524,4.068837,4.111529,-4.055654,-3.361102,5.461308,5.415332,-6.076885,-6.314969,1.556827,1.507122,1.036692,1.022491,0.041609,0.069348,0.020804,-0.020803,0.0624,0.048533,0.530353,0.502622
22:54.0,-118.777657,44.58926119,8.85189,8.779644,8.245968,8.224623,7.806706,8.04561,8.797638,8.781218,2.515514,2.469539,2.357905,2.548376,4.072121,4.114813,-4.073715,-3.379163,5.507284,5.461308,-6.12286,-6.360944,1.750319,1.700614,1.01184,0.997639,0.055479,0.083218,0.027738,-0.013869,0.058933,0.045066,0.513021,0.48529
22:55.0,-120.456207,45.12857931,8.886371,8.814125,8.267313,8.245968,7.841187,8.080091,8.830478,8.814058,2.52865,2.482675,2.348053,2.538524,4.134517,4.177209,-4.175517,-3.480965,5.56968,5.523704,-6.195106,-6.43319,1.567478,1.517773,1.024266,1.010065,0.041609,0.069348,0.034673,-0.006934,0.048533,0.034666,0.478358,0.450627
22:56.0,-120.576714,45.16729821,8.930705,8.858459,8.296869,8.275524,7.846114,8.085018,8.85675,8.84033,2.630453,2.584478,2.436721,2.627192,4.167356,4.210048,-4.198504,-3.503952,5.632077,5.586101,-6.2575,-6.495584,1.65091,1.601205,1.02249,1.008289,0.041609,0.069348,0.013869,-0.027738,0.069333,0.055466,0.513021,0.48529
22:57.0,-121.592674,45.49372616,8.96026,8.888014,8.318214,8.296869,7.881416,8.12032,8.871527,8.855107,2.650157,2.604182,2.472845,2.663316,4.233036,4.275728,-4.234628,-3.540076,5.668201,5.622225,-6.283772,-6.521856,1.673987,1.624282,1.029591,1.01539,0.07975,0.107489,0.006935,-0.034672,0.076267,0.0624,0.537286,0.509555
22:58.0,-121.672127,45.51925441,8.994742,8.922496,8.342844,8.321499,7.908508,8.147412,8.886305,8.869885,2.650157,2.604182,2.466277,2.656748,4.26916,4.311852,-4.267467,-3.572915,5.710893,5.664917,-6.33303,-6.571114,1.563928,1.514223,1.045567,1.031366,0.027739,0.055478,0.055477,0.01387,0.0936,0.079733,0.533819,0.506088
22:59.0,-121.733711,45.53904134,9.021014,8.948768,8.3724,8.351055,7.920002,8.158906,8.91586,8.89944,2.650157,2.604182,2.469561,2.660032,4.305284,4.347976,-4.241195,-3.546643,5.740449,5.694473,-6.359301,-6.597385,1.737893,1.688188,1.111248,1.097047,0.041609,0.069348,0.013869,-0.027738,0.138666,0.124799,0.603146,0.575415
23:00.0,-122.773941,45.87326724,9.062064,8.989818,8.395388,8.374043,7.9512,8.190104,8.937206,8.920786,2.673145,2.62717,2.508969,2.69944,4.377531,4.420223,-4.352849,-3.658297,5.799562,5.753586,-6.418412,-6.656496,1.689964,1.640259,1.111248,1.097047,-0.006935,0.020804,0,-0.041607,0.117866,0.103999,0.596213,0.568482
