TimeStamp,Kyowa PG 500 KUM _Load in bar_(bar),Load in kN,Stud2_Axial-O,Stud2_Axial,Stud3_Axial-O,Stud3_Axial,Stud4_Axial-O,Stud4_Axial,Stud5_Axial-O,Stud5_Axial,Stud3_Top-O,Stud3_Top,Stud4_Top-O,Stud4_Top,Stud3_Mid-O,Stud3_Mid,Stud4_Mid-O,Stud4_Mid,Stud3_Bottom-O,Stud3_Bottom,Stud4_Bottom-O,Stud4_Bottom,Stud1_Axial-O,Stud1_Axial,Stud6_Axial-O,Stud6_Axial,Stud1_Mid-O,Stud1_Mid,Stud2_Mid-O,Stud2_Mid,Stud5_Mid-O,Stud5_Mid,Stud6_Mid-O,Stud6_Mid
,,2.09,,0.460492445,,0.318210723,,0.301296199,,0.347686871,,0.021745816,,0.02996116,,0.013047519,,0.090848651,,0.114046267,,0.108244656,,0.010710158,,0.001567315,,,,,,,,
,,2.28,,0.502355395,,0.347138971,,0.328686762,,0.379294768,,0.023722708,,0.032684902,,0.014233657,,0.099107619,,0.12441411,,0.118085079,,0.011683809,,0.001709798,,,,,,,,
,,2.47,,0.544218344,,0.376067218,,0.356077326,,0.410902665,,0.025699601,,0.035408644,,0.015419795,,0.107366587,,0.134781952,,0.127925502,,0.012657459,,0.001852281,,,,,,,,
,,2.66,,0.586081294,,0.404995466,,0.383467889,,0.442510563,,0.027676493,,0.038132386,,0.016605933,,0.115625555,,0.145149795,,0.137765926,,0.01363111,,0.001994765,,,,,,,,
,,2.85,,0.627944243,,0.433923713,,0.410858453,,0.47411846,,0.029653385,,0.040856128,,0.017792071,,0.123884523,,0.155517637,,0.147606349,,0.014604761,,0.002137248,,,,,,,,
,,3.04,,0.669807193,,0.462851961,,0.438249016,,0.505726357,,0.031630278,,0.04357987,,0.018978209,,0.132143492,,0.16588548,,0.157446772,,0.015578412,,0.002279731,,,,,,,,
,,3.23,,0.711670143,,0.491780208,,0.46563958,,0.537334255,,0.03360717,,0.046303611,,0.020164348,,0.14040246,,0.176253322,,0.167287195,,0.016552062,,0.002422214,,,,,,,,
,,3.42,,0.753533092,,0.520708456,,0.493030143,,0.568942152,,0.035584063,,0.049027353,,0.021350486,,0.148661428,,0.186621165,,0.177127619,,0.017525713,,0.002564697,,,,,,,,
,,3.61,,0.795396042,,0.549636703,,0.520420707,,0.600550049,,0.037560955,,0.051751095,,0.022536624,,0.156920396,,0.196989007,,0.186968042,,0.018499364,,0.002707181,,,,,,,,
,,3.8,,0.837258991,,0.578564951,,0.547811271,,0.632157947,,0.039537847,,0.054474837,,0.023722762,,0.165179365,,0.20735685,,0.196808465,,0.019473014,,0.002849664,,,,,,,,
