Time in Minutes,Load in bar,Load in kN,Stud1-Axial-O,Stud1-Axial,Stud2-Axial-O,Stud2-Axial,Stud3-Axial-O,Stud3-Axial,Stud4-Axial-O,Stud4-Axial,Stud1-Bottom-O,Stud1-Bottom,Stud2-Bottom-O,Stud2-Bottom,Stud3-Bottom-O,Stud3-Bottom,Stud4-Bottom-O,Stud4-Bottom,Stud1-Mid-O,Stud1-Mid,Stud2-Mid-O,Stud2-Mid,Stud3-Mid-O,Stud3-Mid,Stud4-Mid-O,Stud4-Mid,Stud1-Top-O,Stud1-Top,Stud2-Top-O,Stud2-Top,Stud3-Top-O,Stud3-Top,Stud4-Top-O,Stud4-Top,Pb1-Mid-Left,Pb1-Pb2-Mid-Left,Pb1-Mid-Mid,Pb1-Pb2-Mid-Mid,Pb2-Mid-Mid,Pb3-Mid-Mid,Pb2-Mid-L,Pb3-Pb4-Mid-Mid,Pb1-Mid-Right,Pb1-Pb2-Mid-Right,Pb2-Mid-Right,Pb3-Mid-Right,Pb3-Pb4-Mid-Right,Pb3-Mid-Left,Pb3-Pb4-Mid-Left,Pb4-Top-Left,Pb4-Top-Right,Pb4-Bottom-Left,Pb4-Bottom-Right,Pb4-Mid-Mid,Stud4-Mid-HF,Stud1-Mid-HF,Stud3-Mid-CF,Stud2-Mid-HF,Stud2-Mid-CF,Stud3-Mid-HF,Stud1-Mid-CF,Stud4-Mid-CF,Stud1-Mid-HF,Stud2-Mid-HF,Stud3-Mid-HF,Stud4-Mid-HF,Stud1-Mid-CF,Stud2-Mid-CF,Stud3-Mid-CF,Stud4-Mid-CF,Stud2-T-HF,Stud3-T-HF,Stud2-Mid-HF,Stud3-Mid-HF,Stud2-L-HF,Stud3-L-HF,Stud2-T-CF,Stud3-T-CF,Stud2-Mid-CF,Stud3-Mid-CF,Stud2-L-CF,Stud3-L-CF,Stud2-Mid-HF,Stud3-Mid-HF,Stud2-Mid-CF,Stud3-Mid-CF,Average-Pb1,Average-Pb1-Pb2,Average-Pb2,Average-Pb3,Average-Pb3-Pb4,Average-Pb4
10,-4.390977444,15.04253247,-3.583684373,-0.564060413,-4.462055133,-0.430158403,-5.052770612,-0.429057889,-5.468285626,-0.608143019,-1.041209636,-2.331727319,2.264283563,-2.9922683,2.55874937,-2.70297529,-2.373586279,-2.262224533,-1.941404655,-3.606614945,-3.662502535,-4.566396269,-4.035657654,-4.187294165,-3.508838435,-3.464200284,-0.005956392,0.008334985,4.276276276,-4.507507507,-4.455445545,-4.190745606,-3.43821669,-3.488430932,723.6899547,95.06929562,687.2509534,87.21911828,83.11300528,32.08117224,84.46503611,18.28213636,645.0720834,85.27638858,80.26238382,25.56480975,18.20937272,37.12103187,18.50043478,19.90751689,19.9560453,19.49504785,19.66488318,19.66488318,24.61735696,24.83598125,24.49590386,24.9331512,24.30158609,25.63769944,24.37445421,24.08298918,53.88795551,73.58335822,58.51111353,55.84431951,27.7277317,35.0508241,30.45115872,26.9499262,48.51204196,47.24226291,73.58335822,58.51111353,47.82827193,45.87519553,20.80538241,21.1208938,35.0508241,30.45115872,25.20037996,24.9088585,73.58335822,58.51111353,35.0508241,30.45115872,685.3376638,89.18826749,82.61347507,31.58900462,18.33064795,18.34520466
11,-4.526315789,14.9724026,-3.492242885,-0.655501901,-4.355492697,-0.536720839,-4.944629037,-0.537199464,-5.363087734,-0.713340911,-1.252485905,-2.543003588,2.663922081,-3.391906818,2.870398386,-3.014624306,-2.616829522,-2.505467776,-2.236953859,-3.902164149,-4.154694788,-5.058588522,-4.460744054,-4.612380565,-3.843320495,-3.798682344,-0.002685828,0.005064421,4.771771772,-5.003003003,-4.871691251,-4.606991312,-3.781411957,-3.831626199,744.6817002,99.99520623,693.9443603,87.78482791,84.76006183,36.80434899,85.69439682,18.54894707,660.6353755,87.80942504,82.15446387,30.06199245,18.47617885,41.38626311,18.91280697,18.67023023,18.64597332,18.28213636,18.35490125,18.45192305,24.61735696,24.83598125,24.49590386,24.9331512,24.30158609,25.63769944,24.37445421,24.08298918,58.68242417,79.05863129,63.97140864,62.69763943,28.70018663,39.14346281,32.20283958,28.87038884,56.08891984,52.88562335,79.05863129,63.97140864,54.42587758,51.66354877,22.65024279,23.08730074,39.14346281,32.20283958,26.92562206,26.4638694,79.05863129,63.97140864,39.14346281,32.20283958,699.753812,91.86315306,84.20297417,36.08420152,18.64597763,18.33065204
12,-4.406015038,15.15357143,-3.406965992,-0.740778794,-4.248518823,-0.643694713,-4.836590651,-0.64523785,-5.253549654,-0.822878991,-1.394156843,-2.684674526,2.995280651,-3.723265388,3.162884518,-3.307110438,-2.793856549,-2.682494803,-2.498938342,-4.164148632,-4.597404178,-5.501297912,-4.887660094,-5.039296605,-4.138678289,-4.094040138,0.00234886,2.97E-05,5.229229229,-5.46046046,-5.265710244,-5.001010305,-4.096857784,-4.147072026,749.1672348,103.7901568,711.5918201,88.69498018,85.76816571,40.99613053,86.53049171,18.96132399,671.256075,91.130834,83.45713189,34.5638578,18.76725926,45.14300408,19.49504785,18.69448728,18.64597332,18.25788167,18.33064615,18.42766739,25.00603011,24.95744403,24.49590386,25.39473865,24.47161365,26.75549687,24.22871921,24.30158609,63.84891738,82.42480718,69.60904154,67.94165202,30.71873083,42.45930136,35.0995237,30.67008013,62.84459696,58.60900461,82.42480718,69.60904154,60.64067214,57.16530496,24.95744403,25.78348255,42.45930136,35.0995237,29.47830875,28.1653092,82.42480718,69.60904154,42.45930136,35.0995237,710.67171,94.53865699,85.25192977,40.2343308,19.0745437,18.31609915
13,-4.45112782,15.08538961,-3.303195315,-0.844549471,-4.113361448,-0.778852088,-4.70512847,-0.776700031,-5.13429782,-0.942130825,-1.494618145,-2.785135828,3.303544533,-4.03152927,3.455370651,-3.599596571,-2.963191268,-2.851829522,-2.715108207,-4.380318497,-5.009085378,-5.912979112,-5.27859321,-5.430229721,-4.419845936,-4.375207785,-0.005123885,0.007502478,5.640640641,-5.871871872,-5.649626187,-5.384926248,-4.379249133,-4.429463375,762.5068444,105.8854702,726.2334764,89.8020825,86.89939011,44.77695199,87.5634577,19.49504785,686.0847003,94.2814372,84.83382032,38.60730729,19.27669814,48.85396435,20.19869568,18.71874447,18.67023023,18.25788167,18.33064615,18.40341187,25.54051347,25.37044333,24.61735696,26.07506367,24.64164799,28.35980239,24.25300803,24.42303365,68.1377892,85.15344999,73.97603368,72.8226256,32.54352623,46.09487561,37.90065536,33.20064,68.57912357,63.70193163,85.15344999,73.97603368,66.02968601,62.64865452,27.92220509,29.429672,46.09487561,37.90065536,32.20283958,30.57278035,85.15344999,73.97603368,46.09487561,37.90065536,724.9416737,96.65632995,86.43222271,44.07940788,19.65681389,18.34520466
14,-4.511278195,15.04902597,-3.176821124,-0.970923662,-3.973781115,-0.918432421,-4.566855846,-0.914972655,-5.001405394,-1.075023251,-1.525884162,-2.816401845,3.53660006,-4.264584797,3.7397882,-3.88401412,-3.049469854,-2.938108108,-2.849448755,-4.514659045,-5.325451227,-6.229344961,-5.623582029,-5.77521854,-4.594384756,-4.549746605,-0.004747275,0.007125868,5.996996997,-6.228228228,-5.978985654,-5.714285715,-4.589002244,-4.639216486,778.0501346,107.4634299,727.5778077,91.057008,87.39128582,48.31666891,87.85861957,20.17443002,694.8979013,96.10348261,85.54686151,42.19101796,19.88325289,51.76130329,20.97527025,18.69448728,18.64597332,18.20937272,18.28213636,18.37915649,26.24516183,26.48817093,24.95744403,27.53326711,24.71452193,30.49980696,24.37445421,24.47161365,71.57131795,87.14533352,76.92193998,76.35719419,34.5395109,49.41574794,40.87422102,35.87879061,72.7244739,68.06423693,87.14533352,76.92193998,69.73166361,67.67197491,31.27825321,33.95522595,49.41574794,40.87422102,35.1238737,33.39535939,87.14533352,76.92193998,49.41574794,40.87422102,733.5086145,98.20797352,86.93225563,47.42299672,20.34431772,18.38886456
15,-4.526315789,14.66396104,-3.049419501,-1.098325285,-3.845103888,-1.047109648,-4.43570323,-1.046125271,-4.878123385,-1.19830526,-1.558687852,-2.849205535,3.745155136,-4.473139873,3.968734241,-4.112960161,-3.103108108,-2.991746362,-2.974806043,-4.640016333,-5.59557899,-6.499472724,-5.908396015,-6.060032526,-4.747030205,-4.702392054,-0.004826561,0.007205154,6.304304304,-6.535535535,-6.253788644,-5.989088705,-4.784064477,-4.834278719,786.5128238,109.06631,738.4915755,92.45983052,88.25218843,51.29698709,88.44898127,21.02381088,703.7032304,96.62062774,86.53049171,45.26502792,20.63550138,54.69486087,21.9219127,18.64597332,18.62171655,18.16086432,18.30639118,18.33064615,28.01944508,28.62724488,25.22467431,31.27825321,25.2975582,32.81122729,24.37445421,24.71452193,74.54055124,88.44898127,79.6236288,78.91124918,36.92614742,51.85905981,44.21572876,38.29051842,75.59609994,71.79211693,88.44898127,79.6236288,72.8226256,72.0129245,34.51516414,39.48468619,51.85905981,44.21572876,38.04685,36.51204645,88.44898127,79.6236288,51.85905981,44.21572876,742.9025432,99.3822561,87.74388714,50.41895863,21.19374165,18.42767354
16,-4.285714286,14.29577922,-2.915853283,-1.231891503,-3.692563259,-1.199650277,-4.26214013,-1.219688371,-4.733037098,-1.343391547,-1.638236802,-2.928754485,3.894467316,-4.622452053,4.128088754,-4.272314674,-3.168492723,-3.057130977,-3.136300531,-4.801510821,-5.831636585,-6.735530319,-6.135881277,-6.287517788,-4.84919927,-4.804561119,-0.002854311,0.005232904,6.593593594,-6.824824825,-6.536674076,-6.271974137,-4.935666191,-4.985880433,794.285433,111.0394386,752.1360445,94.08448538,88.47358077,54.20581137,88.32598509,21.99474009,714.8946632,97.50724126,86.60426978,47.80385342,21.50924773,56.57815683,22.96589125,18.62171655,18.59745992,18.16086432,18.30639118,18.30639118,30.67008013,32.73821628,26.07506367,37.85192488,26.05076448,36.19540717,25.00603011,24.49590386,76.84827445,89.23620836,82.20361635,80.63092617,39.28969822,53.93685506,47.48642439,40.55727173,77.41306658,74.7614643,89.23620836,82.20361635,74.73691799,75.69430015,37.65700831,44.87456303,53.93685506,47.48642439,40.63041189,39.92344019,89.23620836,82.20361635,53.93685506,47.48642439,753.7720469,100.8770551,87.80127855,52.86260721,22.15662635,18.51499666
17,-4.421052632,15.02694805,-2.803863146,-1.34388164,-3.561005966,-1.33120757,-4.115406047,-1.366422454,-4.602418105,-1.47401054,-1.715427986,-3.005945669,3.979716839,-4.707701576,4.261220373,-4.405446293,-3.198534304,-3.087172558,-3.274111882,-4.939322172,-5.984749544,-6.888643278,-6.291807278,-6.443443789,-4.933529293,-4.888891142,-0.000426165,0.002804758,6.823823824,-7.055055055,-6.732673267,-6.467973328,-5.043195266,-5.093409508,802.2925517,113.2103111,761.3210209,95.14316152,88.91638663,56.38245623,88.67037989,23.03873653,726.9776098,98.04910925,87.04695508,49.68445069,22.48028794,58.58453166,24.18014198,18.62171655,18.62171655,18.11235648,18.28213636,18.25788167,35.36738114,37.43773739,26.43956801,47.24226291,27.58188243,40.21596671,25.05461674,25.07891027,78.37087846,90.24497214,83.58003869,82.12988777,41.2887268,56.03999881,50.221902,42.89834474,78.44456256,77.09382972,90.24497214,83.58003869,76.82371948,78.12527124,40.36223712,49.87988047,56.03999881,50.221902,43.45940626,43.04470195,90.24497214,83.58003869,56.03999881,50.221902,763.5303941,102.1341939,88.21124054,54.88381286,23.23305548,18.62657716
18,-4.586466165,15.03733766,-2.684680982,-1.463063804,-3.439220325,-1.452993211,-3.976927046,-1.504901455,-4.484716338,-1.591712307,-1.80133265,-3.091850333,4.063560598,-4.791545335,4.284417549,-4.428643469,-3.247079002,-3.135717256,-3.422539812,-5.087750102,-6.110890286,-7.01478402,-6.397316528,-6.548953039,-4.999614839,-4.954976688,0.003121903,-0.00074331,7.033033033,-7.264264264,-6.944837341,-6.680137402,-5.160110182,-5.210324424,799.1415627,116.590812,753.0053532,95.98035787,88.67037989,58.58453166,88.54737979,24.30158609,735.4839857,99.3053975,86.87479625,51.37029718,23.59725842,59.78384571,25.46762544,18.59745992,18.54894707,18.11235648,18.18511845,18.25788167,41.3374947,42.72760061,27.26589268,57.53230774,29.3810358,45.5578983,25.54051347,25.56480975,79.94299809,90.93396634,84.88299311,82.94094885,43.36182539,57.6791164,52.98340271,44.80135455,79.18145243,78.73930786,90.93396634,84.88299311,78.34631729,79.8201618,42.77638399,54.08355666,57.6791164,52.98340271,45.72874795,45.80197116,90.93396634,84.88299311,57.6791164,52.98340271,762.5436339,103.9588558,88.03085198,56.57955818,24.45548998,18.80123219
19,-4.54887218,14.38733766,-2.547005034,-1.600739752,-3.293365563,-1.598847973,-3.813373233,-1.668455268,-4.337149943,-1.739278702,-1.946078934,-3.236596617,4.179736921,-4.907721658,4.378214826,-4.522440746,-3.337411642,-3.226049896,-3.634871376,-5.300081666,-6.326262421,-7.230156155,-6.570522464,-6.722158975,-5.154895601,-5.11025745,-0.002893954,0.005272547,7.312312312,-7.543543543,-7.146898363,-6.882198424,-5.321505815,-5.371720057,872.5287821,120.1450689,803.7345021,97.01466593,88.6457797,60.17551992,88.30138611,25.56480975,732.3823102,101.0546663,86.75182834,52.69007056,24.73881351,60.90999014,26.80410337,18.59745992,18.54894707,18.06384919,18.18511845,18.23362713,48.60973153,48.17014447,28.4327396,66.81400048,32.12983877,51.76130329,26.31806311,26.26946212,81.93328241,91.40153579,86.53049171,83.45713189,45.58230501,59.00058797,55.74648278,46.31456611,79.57449653,79.96756564,91.40153579,86.53049171,79.54993054,80.70463725,44.77695199,57.53230774,59.00058797,55.74648278,47.90152823,48.21898544,91.40153579,86.53049171,59.00058797,55.74648278,802.8818648,106.0714671,87.89966472,57.92519354,25.70257555,19.05837834
