TimeStamp,Kyowa PG 500 KUM _Load in bar_(bar),Load in kN,Stud1_Axial-O,Stud1_Axial,Stud2_Axial-O,Stud2_Axial,Stud1_Top-O,Stud1_Top,Stud1_Mid-O,Stud1_Mid,Stud1_Bottom-O,Stud1_Bottom,Stud2_Top-O,Stud2_Top,Stud2_Mid-O,Stud2_Mid,Stud2_Bottom-O,Stud2_Bottom
30:04.0,-10.90933,3.505167729,0.190468,0.19211,0.223306,0.221664,0,-0.003284,-0.078814,-0.082098,-0.134641,-0.144493,0.052543,0.052543,0.1839,0.187184,-0.302122,-0.29227
30:05.0,-10.755491,3.455739258,0.185543,0.187185,0.224948,0.223306,-0.003284,-0.006568,-0.085382,-0.088666,-0.134641,-0.144493,0.055827,0.055827,0.180616,0.1839,-0.305406,-0.295554
30:06.0,-10.681772,3.432053344,0.256147,0.257789,0.261071,0.259429,0,-0.003284,-0.082098,-0.085382,-0.141209,-0.151061,0.068962,0.068962,0.187184,0.190468,-0.311973,-0.302121
30:07.0,-13.603831,4.3709109,0.302122,0.303764,0.287342,0.2857,0.013136,0.009852,-0.082098,-0.085382,-0.137925,-0.147777,0.07553,0.07553,0.1839,0.187184,-0.315257,-0.305405
30:08.0,-13.339634,4.286024404,0.307869,0.309511,0.290626,0.288984,0,-0.003284,-0.078814,-0.082098,-0.137925,-0.147777,0.082098,0.082098,0.190468,0.193752,-0.311973,-0.302121
30:09.0,-16.349979,5.253248253,0.443332,0.444974,0.42855,0.426908,-0.003284,-0.006568,-0.082098,-0.085382,-0.141209,-0.151061,0.085382,0.085382,0.193752,0.197036,-0.325109,-0.315257
30:10.0,-16.763161,5.386003629,0.446616,0.448258,0.435118,0.433476,0.01642,0.013136,-0.087024,-0.090308,-0.151061,-0.160913,0.085382,0.085382,0.197036,0.20032,-0.318541,-0.308689
30:11.0,-19.460752,6.252739618,0.592751,0.594393,0.569758,0.568116,-0.006568,-0.009852,-0.085382,-0.088666,-0.144493,-0.154345,0.088666,0.088666,0.20032,0.203604,-0.331677,-0.321825
30:12.0,-20.222443,6.497470936,0.597677,0.599319,0.569758,0.568116,0.022988,0.019704,-0.088666,-0.09195,-0.144493,-0.154345,0.09195,0.09195,0.203604,0.206888,-0.334961,-0.325109
30:13.0,-21.107735,6.781915256,0.730677,0.732319,0.668276,0.666634,0.003284,0,-0.082098,-0.085382,-0.137925,-0.147777,0.09195,0.09195,0.223307,0.226591,-0.334961,-0.325109
30:14.0,-22.127443,7.109547436,0.730677,0.732319,0.673202,0.67156,0.003284,0,-0.085382,-0.088666,-0.141209,-0.151061,0.101801,0.101801,0.220023,0.223307,-0.334961,-0.325109
30:15.0,-21.953297,7.053594326,0.730677,0.732319,0.673202,0.67156,0,-0.003284,-0.088666,-0.09195,-0.137925,-0.147777,0.098518,0.098518,0.226591,0.229875,-0.338245,-0.328393
30:16.1,-21.825502,7.012533793,0.730677,0.732319,0.674844,0.673202,0.003284,0,-0.082098,-0.085382,-0.142851,-0.152703,0.101801,0.101801,0.226591,0.229875,-0.334961,-0.325109
30:17.1,-21.70455,6.973671915,0.730677,0.732319,0.674844,0.673202,0.00821,0.004926,-0.085382,-0.088666,-0.147777,-0.157629,0.101801,0.101801,0.233159,0.236443,-0.334961,-0.325109
30:18.1,-21.637674,6.952184656,0.733961,0.735603,0.673202,0.67156,0.003284,0,-0.082098,-0.085382,-0.141209,-0.151061,0.105085,0.105085,0.233159,0.236443,-0.334961,-0.325109
30:19.1,-21.567045,6.929491559,0.733961,0.735603,0.674844,0.673202,-0.013136,-0.01642,-0.088666,-0.09195,-0.141209,-0.151061,0.103443,0.103443,0.236443,0.239727,-0.331677,-0.321825
30:20.1,-21.503258,6.908996795,0.732319,0.733961,0.674844,0.673202,-0.006568,-0.009852,-0.085382,-0.088666,-0.144493,-0.154345,0.098518,0.098518,0.233159,0.236443,-0.334961,-0.325109
30:21.1,-21.446093,6.890629681,0.729035,0.730677,0.67156,0.669918,-0.026272,-0.029556,-0.085382,-0.088666,-0.131357,-0.141209,0.101801,0.101801,0.239727,0.243011,-0.338245,-0.328393
30:22.1,-21.390251,6.872687646,0.729035,0.730677,0.674844,0.673202,0.006568,0.003284,-0.088666,-0.09195,-0.144493,-0.154345,0.101801,0.101801,0.233159,0.236443,-0.338245,-0.328393
30:23.1,-21.356482,6.861837667,0.733961,0.735603,0.673202,0.67156,0.006568,0.003284,-0.085382,-0.088666,-0.144493,-0.154345,0.105085,0.105085,0.236443,0.239727,-0.331677,-0.321825
30:24.1,-21.307703,6.846164974,0.733961,0.735603,0.673202,0.67156,-0.006568,-0.009852,-0.085382,-0.088666,-0.141209,-0.151061,0.101801,0.101801,0.233159,0.236443,-0.331677,-0.321825
30:25.1,-21.270622,6.834250849,0.732319,0.733961,0.674844,0.673202,0,-0.003284,-0.088666,-0.09195,-0.137925,-0.147777,0.101801,0.101801,0.236443,0.239727,-0.341529,-0.331677
30:26.1,-21.222286,6.818720492,0.753664,0.755306,0.699473,0.697831,0.013136,0.009852,-0.085382,-0.088666,-0.147777,-0.157629,0.105085,0.105085,0.226591,0.229875,-0.331677,-0.321825
30:27.1,-24.661924,7.923876181,0.848898,0.85054,0.801274,0.799632,0.01642,0.013136,-0.085382,-0.088666,-0.147777,-0.157629,0.114937,0.114937,0.236443,0.239727,-0.331677,-0.321825
30:28.1,-24.518238,7.877709869,0.847256,0.848898,0.801274,0.799632,-0.006568,-0.009852,-0.085382,-0.088666,-0.134641,-0.144493,0.114937,0.114937,0.249578,0.252862,-0.338245,-0.328393
30:29.1,-24.434587,7.850832803,0.97533,0.976972,0.967112,0.96547,-0.009852,-0.013136,-0.085382,-0.088666,-0.137925,-0.147777,0.114937,0.114937,0.252862,0.256146,-0.339887,-0.330035
30:30.1,-28.323824,9.100444651,0.993392,0.995034,0.985173,0.983531,-0.003284,-0.006568,-0.085382,-0.088666,-0.141209,-0.151061,0.114937,0.114937,0.252862,0.256146,-0.331677,-0.321825
30:31.1,-27.95611,8.982298143,0.995034,0.996676,0.986815,0.985173,0.011494,0.00821,-0.08374,-0.087024,-0.141209,-0.151061,0.111653,0.111653,0.252862,0.256146,-0.338245,-0.328393
30:32.1,-27.82037,8.938684881,0.993392,0.995034,0.988457,0.986815,-0.013136,-0.01642,-0.085382,-0.088666,-0.141209,-0.151061,0.114937,0.114937,0.246295,0.249579,-0.334961,-0.325109
30:33.1,-27.713985,8.904503381,0.99175,0.993392,0.988457,0.986815,-0.009852,-0.013136,-0.085382,-0.088666,-0.137925,-0.147777,0.118221,0.118221,0.252862,0.256146,-0.338245,-0.328393
30:34.1,-27.627464,8.876704183,0.99175,0.993392,0.988457,0.986815,-0.003284,-0.006568,-0.085382,-0.088666,-0.141209,-0.151061,0.111653,0.111653,0.252862,0.256146,-0.334961,-0.325109
30:35.1,-27.533218,8.846422943,0.995034,0.996676,0.988457,0.986815,-0.013136,-0.01642,-0.085382,-0.088666,-0.141209,-0.151061,0.114937,0.114937,0.256146,0.25943,-0.334961,-0.325109
30:36.1,-27.321112,8.778273286,0.995034,0.996676,0.986815,0.985173,0.003284,0,-0.088666,-0.09195,-0.141209,-0.151061,0.114937,0.114937,0.249578,0.252862,-0.334961,-0.325109
30:37.1,-22.201824,7.133446051,0.995034,0.996676,0.986815,0.985173,0.006568,0.003284,-0.088666,-0.09195,-0.144493,-0.154345,0.114937,0.114937,0.246295,0.249579,-0.334961,-0.325109
30:38.1,-20.411596,6.558245795,0.997497,0.999139,0.985173,0.983531,-0.011494,-0.014778,-0.085382,-0.088666,-0.144493,-0.154345,0.114937,0.114937,0.249578,0.252862,-0.334961,-0.325109
30:39.1,-19.008945,6.107574029,0.998318,0.99996,0.970396,0.968754,-0.009852,-0.013136,-0.085382,-0.088666,-0.137925,-0.147777,0.111653,0.111653,0.252862,0.256146,-0.334961,-0.325109
30:40.1,-17.11763,5.499894519,0.995034,0.996676,0.921137,0.919495,-0.013136,-0.01642,-0.082098,-0.085382,-0.141209,-0.151061,0.114937,0.114937,0.249578,0.252862,-0.341529,-0.331677
30:41.2,-16.432528,5.279771246,0.995034,0.996676,0.922779,0.921137,-0.009852,-0.013136,-0.082098,-0.085382,-0.137925,-0.147777,0.111653,0.111653,0.249578,0.252862,-0.334961,-0.325109
30:42.2,-16.48241,5.295798333,0.996676,0.998318,0.924421,0.922779,-0.019704,-0.022988,-0.085382,-0.088666,-0.137925,-0.147777,0.111653,0.111653,0.256146,0.25943,-0.331677,-0.321825
30:43.2,-16.524345,5.309272049,0.995034,0.996676,0.924421,0.922779,-0.006568,-0.009852,-0.088666,-0.09195,-0.141209,-0.151061,0.111653,0.111653,0.252862,0.256146,-0.331677,-0.321825
30:44.2,-16.554804,5.319058525,0.993392,0.995034,0.924421,0.922779,-0.006568,-0.009852,-0.085382,-0.088666,-0.134641,-0.144493,0.114937,0.114937,0.246295,0.249579,-0.338245,-0.328393
30:45.2,-16.581511,5.327639484,0.995034,0.996676,0.924421,0.922779,0.001642,-0.001642,-0.088666,-0.09195,-0.144493,-0.154345,0.114937,0.114937,0.249578,0.252862,-0.338245,-0.328393
30:46.2,-16.571138,5.324306639,0.993392,0.995034,0.924421,0.922779,-0.009852,-0.013136,-0.088666,-0.09195,-0.146135,-0.155987,0.114937,0.114937,0.246295,0.249579,-0.338245,-0.328393
30:47.2,-16.522579,5.308704633,0.993392,0.995034,0.922779,0.921137,-0.01642,-0.019704,-0.085382,-0.088666,-0.147777,-0.157629,0.111653,0.111653,0.252862,0.256146,-0.334961,-0.325109
30:48.2,-16.433851,5.280196326,0.995034,0.996676,0.904717,0.903075,-0.003284,-0.006568,-0.07553,-0.078814,-0.144493,-0.154345,0.111653,0.111653,0.252862,0.256146,-0.334961,-0.325109
30:49.2,-11.634604,3.738198265,0.949059,0.950701,0.832471,0.830829,-0.006568,-0.009852,-0.085382,-0.088666,-0.131357,-0.141209,0.118221,0.118221,0.252862,0.256146,-0.341529,-0.331677
30:50.2,-7.24699,2.328457887,0.865318,0.86696,0.742164,0.740522,-0.026272,-0.029556,-0.072246,-0.07553,-0.134641,-0.144493,0.114937,0.114937,0.256146,0.25943,-0.341529,-0.331677
30:51.2,-7.31806,2.351292678,0.852182,0.853824,0.740522,0.73888,0.013136,0.009852,-0.082098,-0.085382,-0.147777,-0.157629,0.118221,0.118221,0.247937,0.251221,-0.357948,-0.348096
30:52.2,-7.076818,2.273781623,0.862034,0.863676,0.737238,0.735596,0.003284,0,-0.068962,-0.072246,-0.141209,-0.151061,0.111653,0.111653,0.269282,0.272566,-0.344813,-0.334961
30:53.2,-7.118092,2.28704296,0.857108,0.85875,0.73888,0.737238,0.013136,0.009852,-0.072246,-0.07553,-0.147777,-0.157629,0.111653,0.111653,0.262714,0.265998,-0.351381,-0.341529
30:54.2,-7.115443,2.286191836,0.857108,0.85875,0.737238,0.735596,0.003284,0,-0.068962,-0.072246,-0.134641,-0.144493,0.114937,0.114937,0.262714,0.265998,-0.354665,-0.344813
30:55.2,-7.138397,2.293566956,0.855466,0.857108,0.735596,0.733954,0,-0.003284,-0.068962,-0.072246,-0.134641,-0.144493,0.118221,0.118221,0.262714,0.265998,-0.348097,-0.338245
30:56.2,-7.166649,2.302644324,0.853824,0.855466,0.738059,0.736417,-0.006568,-0.009852,-0.072246,-0.07553,-0.141209,-0.151061,0.111653,0.111653,0.265998,0.269282,-0.351381,-0.341529
30:57.2,-7.045697,2.263782446,0.853824,0.855466,0.737238,0.735596,-0.003284,-0.006568,-0.072246,-0.07553,-0.131357,-0.141209,0.114937,0.114937,0.256146,0.25943,-0.354665,-0.344813
30:58.2,-7.00972,2.252223036,0.848898,0.85054,0.729028,0.727386,0.006568,0.003284,-0.068962,-0.072246,-0.137925,-0.147777,0.111653,0.111653,0.265998,0.269282,-0.351381,-0.341529
30:59.2,-4.769452,1.532424928,0.740528,0.74217,0.679769,0.678127,0.013136,0.009852,-0.068962,-0.072246,-0.141209,-0.151061,0.118221,0.118221,0.265998,0.269282,-0.357948,-0.348096
31:00.2,-3.071925,0.987009503,0.738886,0.740528,0.642004,0.640362,0.009852,0.006568,-0.068962,-0.072246,-0.147777,-0.157629,0.124789,0.124789,0.265998,0.269282,-0.361232,-0.35138
31:01.2,-3.058241,0.982612833,0.738886,0.740528,0.641183,0.639541,0.003284,0,-0.062395,-0.065679,-0.141209,-0.151061,0.128073,0.128073,0.274208,0.277492,-0.357948,-0.348096
31:02.2,-3.088038,0.992186609,0.738886,0.740528,0.642004,0.640362,-0.009852,-0.013136,-0.065679,-0.068963,-0.141209,-0.151061,0.124789,0.124789,0.282418,0.285702,-0.357948,-0.348096
31:03.2,-3.134609,1.007149872,0.738886,0.740528,0.640363,0.638721,-0.009852,-0.013136,-0.062395,-0.065679,-0.142851,-0.152703,0.124789,0.124789,0.279134,0.282418,-0.357948,-0.348096
31:04.2,-3.169923,1.01849626,0.740528,0.74217,0.642004,0.640362,-0.006568,-0.009852,-0.062395,-0.065679,-0.141209,-0.151061,0.128073,0.128073,0.279134,0.282418,-0.357948,-0.348096
31:05.2,-2.927136,0.940488797,0.738886,0.740528,0.640363,0.638721,0.003284,0,-0.068962,-0.072246,-0.144493,-0.154345,0.124789,0.124789,0.279134,0.282418,-0.361232,-0.35138
31:06.3,-1.657577,0.53257949,0.655146,0.656788,0.599314,0.597672,-0.001642,-0.004926,-0.065679,-0.068963,-0.137925,-0.147777,0.134641,0.134641,0.282418,0.285702,-0.357948,-0.348096
31:07.3,-0.441211,0.141761094,0.635442,0.637084,0.5714,0.569758,-0.003284,-0.006568,-0.062395,-0.065679,-0.144493,-0.154345,0.137925,0.137925,0.282418,0.285702,-0.35959,-0.349738
31:08.3,0.230207,-0.073965509,0.6338,0.635442,0.563191,0.561549,0.003284,0,-0.068962,-0.072246,-0.141209,-0.151061,0.137925,0.137925,0.285702,0.288986,-0.357948,-0.348096
31:09.3,0.222482,-0.071483467,0.637084,0.638726,0.561549,0.559907,-0.009852,-0.013136,-0.068962,-0.072246,-0.147777,-0.157629,0.134641,0.134641,0.285702,0.288986,-0.357948,-0.348096
31:10.3,0.160461,-0.051556119,0.635442,0.637084,0.561549,0.559907,0.003284,0,-0.072246,-0.07553,-0.144493,-0.154345,0.141208,0.141208,0.285702,0.288986,-0.357948,-0.348096
31:11.3,0.036197,-0.011630096,0.635442,0.637084,0.561549,0.559907,0,-0.003284,-0.072246,-0.07553,-0.134641,-0.144493,0.137925,0.137925,0.29227,0.295554,-0.361232,-0.35138
31:12.3,-0.000662,0.000212701,0.635442,0.637084,0.559907,0.558265,-0.013136,-0.01642,-0.07553,-0.078814,-0.144493,-0.154345,0.137925,0.137925,0.295553,0.298837,-0.364516,-0.354664
31:13.3,-0.04017,0.012906621,0.637084,0.638726,0.561549,0.559907,0.013136,0.009852,-0.068962,-0.072246,-0.137925,-0.147777,0.141208,0.141208,0.285702,0.288986,-0.357948,-0.348096
31:14.3,-0.072836,0.023402207,0.637084,0.638726,0.559907,0.558265,-0.006568,-0.009852,-0.07553,-0.078814,-0.137925,-0.147777,0.137925,0.137925,0.29227,0.295554,-0.357948,-0.348096
31:15.3,-4.705886,1.512001172,0.637084,0.638726,0.612449,0.610807,-0.01642,-0.019704,-0.088666,-0.09195,-0.144493,-0.154345,0.134641,0.134641,0.288986,0.29227,-0.354665,-0.344813
31:16.3,-7.503461,2.410862019,0.638726,0.640368,0.619017,0.617375,-0.004926,-0.00821,-0.085382,-0.088666,-0.144493,-0.154345,0.137925,0.137925,0.29227,0.295554,-0.351381,-0.341529
31:17.3,-9.363877,3.00861368,0.687985,0.689627,0.697831,0.696189,-0.019704,-0.022988,-0.101802,-0.105086,-0.141209,-0.151061,0.137925,0.137925,0.285702,0.288986,-0.351381,-0.341529
31:18.3,-11.524245,3.702739919,0.697837,0.699479,0.702757,0.701115,-0.001642,-0.004926,-0.10837,-0.111654,-0.137925,-0.147777,0.137925,0.137925,0.285702,0.288986,-0.344813,-0.334961
31:19.3,-11.463989,3.683379666,0.699479,0.701121,0.714251,0.712609,-0.009852,-0.013136,-0.10837,-0.111654,-0.144493,-0.154345,0.141208,0.141208,0.285702,0.288986,-0.348097,-0.338245
31:20.3,-13.043654,4.19092603,0.696195,0.697837,0.729028,0.727386,-0.003284,-0.006568,-0.10837,-0.111654,-0.141209,-0.151061,0.134641,0.134641,0.282418,0.285702,-0.344813,-0.334961
31:21.3,-13.904667,4.467569507,0.699479,0.701121,0.729028,0.727386,-0.003284,-0.006568,-0.105086,-0.10837,-0.141209,-0.151061,0.137925,0.137925,0.282418,0.285702,-0.348097,-0.338245
31:22.3,-14.497069,4.65790827,0.715899,0.717541,0.744627,0.742985,-0.022988,-0.026272,-0.10837,-0.111654,-0.147777,-0.157629,0.141208,0.141208,0.27585,0.279134,-0.344813,-0.334961
31:23.3,-18.278597,5.872913216,0.845614,0.847256,0.81441,0.812768,-0.039407,-0.042691,-0.111653,-0.114937,-0.144493,-0.154345,0.137925,0.137925,0.272566,0.27585,-0.331677,-0.321825
31:24.3,-18.043976,5.797529489,0.848898,0.85054,0.825903,0.824261,-0.039407,-0.042691,-0.10837,-0.111654,-0.134641,-0.144493,0.137925,0.137925,0.269282,0.272566,-0.331677,-0.321825
31:25.3,-18.984005,6.099560807,0.845614,0.847256,0.840681,0.839039,-0.045975,-0.049259,-0.111653,-0.114937,-0.134641,-0.144493,0.137925,0.137925,0.269282,0.272566,-0.331677,-0.321825
31:26.3,-19.156826,6.155088194,0.945775,0.947417,0.911285,0.909643,-0.032839,-0.036123,-0.111653,-0.114937,-0.137925,-0.147777,0.137925,0.137925,0.265998,0.269282,-0.331677,-0.321825
31:27.3,-23.057981,7.408529295,0.965478,0.96712,0.924421,0.922779,-0.052543,-0.055827,-0.111653,-0.114937,-0.131357,-0.141209,0.137925,0.137925,0.25943,0.262714,-0.321825,-0.311973
