TimeStamp,Kyowa PG 500 KUM _Load in bar_(bar),,Load in kN,Stud1_Axial-O,Stud1_Axial,Stud2_Axial-O,Stud2_Axial,Stud3_Axial-O,Stud3_Axial,Stud4_Axial-O,Stud4_Axial,Stud2_Top-O,Stud2_Top,Stud2_Mid-O,Stud2_Mid,Stud2_Bottom-O,Stud2_Bottom,Stud3_Top-O,Stud3_Top,Stud3_Mid-O,Stud3_Mid,Stud3_Bottom-O,Stud3_Bottom
,,,11.8,,2.221236909,,2.297192315,,2.084004567,,2.432574925,,0.181324457,,0.236463478,,0.200932808,,0.11026461,,0.151924988,,
,,,12,,2.258884993,,2.336127778,,2.119326678,,2.473805009,,0.184397753,,0.240471333,,0.204338449,,0.112133502,,0.154499988,,
,,,12.2,,2.296533076,,2.375063241,,2.15464879,,2.515035092,,0.187471049,,0.244479189,,0.20774409,,0.114002394,,0.157074988,,
,,,12.4,,2.334181159,,2.413998704,,2.189970901,,2.556265176,,0.190544345,,0.248487044,,0.211149731,,0.115871285,,0.159649987,,
,,,12.6,,2.371829242,,2.452934167,,2.225293012,,2.597495259,,0.19361764,,0.2524949,,0.214555371,,0.117740177,,0.162224987,,
,,,12.8,,2.409477325,,2.49186963,,2.260615124,,2.638725343,,0.196690936,,0.256502755,,0.217961012,,0.119609069,,0.164799987,,
,,,13,,2.447125409,,2.530805093,,2.295937235,,2.679955426,,0.199764232,,0.260510611,,0.221366653,,0.121477961,,0.167374987,,
,,,13.2,,2.484773492,,2.569740556,,2.331259346,,2.72118551,,0.202837528,,0.264518466,,0.224772294,,0.123346852,,0.169949987,,
,,,13.4,,2.522421575,,2.608676019,,2.366581458,,2.762415593,,0.205910824,,0.268526322,,0.228177935,,0.125215744,,0.172524986,,
,,,13.6,,2.560069658,,2.647611482,,2.401903569,,2.803645677,,0.20898412,,0.272534178,,0.231583575,,0.127084636,,0.175099986,,
,,,13.8,,2.597717741,,2.686546945,,2.43722568,,2.84487576,,0.212057416,,0.276542033,,0.234989216,,0.128953527,,0.177674986,,
,,,14,,2.635365825,,2.725482407,,2.472547792,,2.886105844,,0.215130712,,0.280549889,,0.238394857,,0.130822419,,0.180249986,,
,,,14.2,,2.673013908,,2.76441787,,2.507869903,,2.927335927,,0.218204008,,0.284557744,,0.241800498,,0.132691311,,0.182824986,,
,,,14.4,,2.710661991,,2.803353333,,2.543192014,,2.96856601,,0.221277303,,0.2885656,,0.245206139,,0.134560202,,0.185399985,,
,,,14.6,,2.748310074,,2.842288796,,2.578514125,,3.009796094,,0.224350599,,0.292573455,,0.248611779,,0.136429094,,0.187974985,,
,,,14.8,,2.785958157,,2.881224259,,2.613836237,,3.051026177,,0.227423895,,0.296581311,,0.25201742,,0.138297986,,0.190549985,,0.069150865
43172.52872,-29.219709,49.219709,15.8142925,2.939124,2.976889,3.049129,3.078684,2.797897,2.792971,3.267512,3.260123,0.233158,0.24301,-0.311981,0.316907,-0.282425,0.269289,0.141208,0.147776,-0.220029,0.203609,-0.068964,0.07389
43172.52873,-29.81167,49.81167,16.00448957,2.971964,3.009729,3.080326,3.109881,2.815958,2.811032,3.285574,3.278185,0.236442,0.246294,-0.311981,0.316907,-0.279141,0.266005,0.13464,0.141208,-0.220029,0.203609,-0.072248,0.077174
43172.52874,-30.484854,50.484854,16.22078359,2.998235,3.036,3.109881,3.139436,2.845514,2.840588,3.305278,3.297889,0.233158,0.24301,-0.311981,0.316907,-0.282425,0.269289,0.131356,0.137924,-0.216745,0.200325,-0.06568,0.070606
43172.52875,-31.713139,51.713139,16.61543156,3.06063,3.098395,3.172276,3.201831,2.886563,2.881637,3.339759,3.33237,0.228232,0.238084,-0.311981,0.316907,-0.282425,0.269289,0.137924,0.144492,-0.220029,0.203609,-0.059112,0.064038
43172.52876,-33.796257,53.796257,17.28473737,3.106606,3.144371,3.234671,3.264226,2.927612,2.922686,3.372598,3.365209,0.223306,0.233158,-0.311981,0.316907,-0.288993,0.275857,0.144492,0.15106,-0.216745,0.200325,-0.052544,0.05747
43172.52878,-36.767757,56.767757,18.23948032,3.175569,3.213334,3.290498,3.320053,2.991648,2.986722,3.412005,3.404616,0.231516,0.241368,-0.311981,0.316907,-0.295561,0.282425,0.128072,0.13464,-0.210177,0.193757,-0.052544,0.05747
43172.52879,-39.118382,59.118382,18.99473614,3.231396,3.269161,3.343041,3.372596,3.058969,3.054043,3.456339,3.44895,0.223306,0.233158,-0.308697,0.313623,-0.298845,0.285709,0.111653,0.118221,-0.206893,0.190473,-0.045976,0.050902
43172.5288,-40.862259,60.862259,19.55504382,3.288865,3.32663,3.40872,3.438275,3.119721,3.114795,3.638597,3.631208,0.22659,0.236442,-0.288992,0.293918,-0.311981,0.298845,0.091949,0.098517,-0.13136,0.11494,-0.045976,0.050902
43172.52881,-42.06472,62.06472,19.94139454,3.354544,3.392309,3.477682,3.507237,3.190325,3.185399,3.705918,3.698529,0.223306,0.233158,-0.216744,0.22167,-0.325117,0.311981,0.07553,0.082098,-0.085384,0.068964,-0.045976,0.050902
43172.52882,-43.253498,63.253498,20.32334891,3.416939,3.454704,3.526942,3.556497,3.234658,3.229732,3.756819,3.74943,0.223306,0.233158,-0.18062,0.185546,-0.321833,0.308697,0.065678,0.072246,-0.055828,0.039408,-0.042692,0.047618
43172.52883,-44.583309,64.583309,20.75061718,3.449778,3.487543,3.551571,3.581126,3.269961,3.265035,3.814288,3.806899,0.221664,0.231516,-0.170768,0.175694,-0.328401,0.315265,0.055826,0.062394,-0.026272,0.009852,-0.03284,0.037766
43172.52885,-45.27018,65.27018,20.97130883,3.497395,3.53516,3.60904,3.638595,3.315114,3.310188,3.91609,3.908701,0.21017,0.220022,-0.151064,0.15599,-0.331685,0.318549,0.039407,0.045975,0.036124,0.052544,-0.036124,0.04105
43172.52886,-45.348972,65.348972,20.9966247,3.510531,3.548296,3.613145,3.6427,3.321682,3.316756,3.921837,3.914448,0.200319,0.210171,-0.154348,0.159274,-0.331685,0.318549,0.029555,0.036123,0.042692,0.059112,-0.03284,0.037766
43172.52887,-46.893986,66.893986,21.4930377,3.589346,3.627111,3.661583,3.691138,3.390645,3.385719,3.976843,3.969454,0.200319,0.210171,-0.108372,0.113298,-0.331685,0.318549,0.006568,0.013136,0.0821,0.09852,-0.029556,0.034482
43172.52888,-47.026196,67.026196,21.53551677,3.632037,3.669802,3.7092,3.738755,3.43662,3.431694,4.011325,4.003936,0.183899,0.193751,-0.068964,0.07389,-0.331685,0.318549,-0.019703,0.013135,0.134645,0.151065,-0.01642,0.021346
43172.52889,-48.396843,68.396843,21.97590566,3.681296,3.719061,3.760101,3.789656,3.494088,3.489162,4.04088,4.033491,0.185541,0.195393,-0.022988,0.027914,-0.334969,0.321833,-0.042691,0.036123,0.197041,0.213461,0.003284,0.001642
43172.5289,-48.188267,68.188267,21.90889019,3.776531,3.814296,3.828243,3.857798,3.581112,3.576186,4.121337,4.113948,0.157628,0.16748,0.04926,0.044334,-0.331685,0.318549,-0.082098,0.07553,0.305413,0.321833,0.006568,0.001642
43172.52892,-49.996811,69.996811,22.48997537,3.794593,3.832358,3.852051,3.881606,3.59589,3.590964,4.132831,4.125442,0.141208,0.15106,0.06568,0.060754,-0.334969,0.321833,-0.101801,0.095233,0.328401,0.344821,0.009852,0.004926
