Length,Load factor
1,123.6971822
2,67.13755791
3,29.90505059
4,16.87382091
5,10.84234379
6,7.565930798
7,5.590225249
8,4.307758287
9,3.428344006
10,2.799157104
11,2.33350211
12,1.97922822
13,1.703438868
14,1.484551491
15,1.307930255
20,0.785835102
30,0.416655357
40,0.294474695
50,0.24532504
60,0.225720658
70,0.2207377
80,0.224173492
90,0.232960165
100,0.245212085
200,0.311161025
300,0.570829112
400,0.879301003
500,0.485278805
600,0.606673776
700,0.665276827
800,0.607343229
900,0.513783852
1000,0.430374142
2000,0.119445341
3000,0.058240674
4000,0.036689933
5000,0.026674121
6000,0.021200912
7000,0.017866871
8000,0.015666998
9000,0.014119665
10000,0.012970649
