Length,Load factor
1,139.8635394
2,75.49372492
3,33.71616082
4,19.09588326
5,12.32976096
6,8.65442321
7,6.437946506
8,4.99878941
9,4.011453012
10,3.304571694
11,2.780977149
12,2.382251823
13,2.071568579
14,1.824779718
15,1.625516636
20,1.036764187
30,0.629350096
40,0.509034185
50,0.47522664
60,0.477935196
70,0.500605601
80,0.535975253
90,0.579166282
100,0.625398502
200,0.660522377
300,0.678030516
400,0.856162329
500,0.976490238
600,0.835590294
700,0.655352123
800,0.517734639
900,0.417460031
1000,0.343566124
2000,0.099212468
3000,0.052983921
4000,0.036599248
5000,0.028802838
6000,0.024357551
7000,0.021422276
8000,0.019231292
9000,0.017410741
10000,0.015825104
