Length,Load factor
1,124.5748124
1.05,124.3936806
1.1,124.206242
1.15,124.0124824
1.2,123.812079
1.26,123.5614872
1.32,123.2958506
1.38,123.0027136
1.45,122.535359
1.52,116.1625681
1.59,106.2163445
1.66,97.47883659
1.74,88.74952075
1.83,80.26211587
1.91,73.70179654
2,67.24137442
2.1,61.01441083
2.2,55.61696403
2.3,50.90804432
2.41,46.39015917
2.52,42.45090439
2.64,38.70266473
2.77,35.17918348
2.9,32.11890243
3.04,29.25240105
3.18,26.75615575
3.33,24.42329657
3.49,22.25902403
3.65,20.37313433
3.83,18.52763848
4.01,16.92508632
4.2,15.4520691
4.4,14.103068
4.61,12.87133813
4.82,11.79708513
5.05,10.77087773
5.29,9.839548178
5.54,8.995229752
5.81,8.202974874
6.08,7.513881296
6.37,6.869124424
6.67,6.288607044
6.99,5.749859538
7.32,5.266550665
7.66,4.832410419
8.03,4.421123763
8.41,4.053857301
8.8,3.725204857
9.22,3.416758766
9.66,3.135683857
10.12,2.880025812
10.6,2.647815686
11.1,2.437122656
11.62,2.246090869
12.17,2.069972229
12.75,1.908270393
13.35,1.762575926
13.99,1.627278445
14.65,1.505841128
15.34,1.39522513
16.07,1.293340516
16.83,1.201048161
17.63,1.1165442
18.46,1.040298359
19.34,0.970052499
20.26,0.906332382
21.21,0.849231099
22.22,0.796610009
23.27,0.749282859
24.37,0.706436393
25.53,0.667486211
26.74,0.632550607
28.01,0.601103227
29.33,0.57315193
30.72,0.548076293
32.18,0.525759537
33.7,0.506182621
35.3,0.488941654
36.97,0.474023452
38.72,0.461209047
40.55,0.450389577
42.48,0.441371909
44.49,0.434170547
46.6,0.428631875
48.8,0.424717527
51.11,0.422340938
53.54,0.421475178
56.07,0.422102055
58.73,0.424214303
61.51,0.42780747
64.42,0.432896858
67.48,0.439536331
70.67,0.447693588
74.02,0.457448606
77.53,0.468800022
81.2,0.481715869
85.04,0.496161707
89.07,0.51209581
93.29,0.529328035
97.71,0.547607505
102.34,0.566555312
107.19,0.585633876
112.27,0.604125902
117.58,0.621111056
123.16,0.635670034
128.99,0.646721873
135.1,0.653520217
141.5,0.655673379
148.2,0.653325287
155.22,0.647109585
162.58,0.637979152
170.28,0.627038061
178.34,0.615321721
186.79,0.603713088
195.64,0.592962325
204.91,0.583652978
214.61,0.576248981
224.78,0.571094237
235.43,0.568482472
246.58,0.56864234
258.26,0.57176324
270.5,0.578009276
283.31,0.587505107
296.73,0.600366303
310.79,0.616674359
325.51,0.636452188
340.93,0.659678902
357.08,0.686211503
373.99,0.715724803
391.71,0.747630252
410.27,0.780809605
429.7,0.813350325
450.06,0.842215921
471.38,0.862954553
493.7,0.870512588
517.09,0.861479642
541.59,0.836345219
567.24,0.799038906
594.11,0.754336191
622.26,0.706154316
651.73,0.657204301
682.61,0.609110966
714.94,0.562897874
748.81,0.519078159
784.28,0.477935994
821.43,0.439560722
860.35,0.403931562
901.1,0.370991211
943.79,0.340603145
988.5,0.312637839
1035.32,0.286948885
1084.37,0.263372153
1135.73,0.241767953
1189.53,0.221982443
1245.88,0.203874986
1304.9,0.187315941
1366.72,0.1721776
1431.46,0.158346077
1499.27,0.145712065
1570.29,0.134174396
1644.68,0.123639896
1722.59,0.114024297
1804.19,0.10524779
1889.65,0.09723783
1979.17,0.089929462
2072.92,0.083263175
2171.12,0.077176446
2273.97,0.071622611
2381.69,0.066558999
2494.51,0.061935796
2612.68,0.05772008
2736.44,0.053868716
2866.07,0.050358431
3001.84,0.047152114
3144.04,0.044223006
3292.97,0.041548568
3448.96,0.039099201
3612.34,0.036868491
3783.46,0.034832086
3962.69,0.032950757
4150.4,0.031238606
4347.01,0.029677843
4552.94,0.028226848
4768.61,0.026912194
4994.51,0.025693362
5231.1,0.024555331
5478.9,0.023519824
5738.44,0.022560667
6010.28,0.021664668
6294.99,0.02082559
6593.19,0.02002781
6905.51,0.019276867
7232.63,0.018561655
7575.25,0.017910185
7934.1,0.017266171
8309.94,0.016596132
8703.59,0.015965662
9115.89,0.015351104
9547.72,0.014741283
10000,0.01407627
