Length,Load factor
1,123.6971822
1.05,123.4447569
1.11,123.1332406
1.17,122.8123097
1.24,122.4243765
1.3,122.0759024
1.37,121.6345939
1.45,120.976915
1.53,114.6166486
1.61,103.5312929
1.7,92.87516446
1.79,83.78369546
1.89,75.16526046
1.99,67.81277981
2.1,60.90695352
2.21,55.00631917
2.33,49.49828139
2.46,44.41720969
2.59,40.08185846
2.73,36.08817315
2.88,32.43893896
3.04,29.12636413
3.2,26.29815521
3.38,23.58411237
3.56,21.27126099
3.76,19.08091829
3.96,17.21399865
4.18,15.46194814
4.4,13.96608062
4.64,12.57074471
4.89,11.33017861
5.16,10.18768212
5.44,9.177936724
5.74,8.255807955
6.05,7.443354979
6.38,6.705280699
6.72,6.055674198
7.09,5.45219657
7.47,4.923350577
7.88,4.436335281
8.31,4.000986987
8.76,3.612255315
9.24,3.258566911
9.74,2.94428747
10.27,2.659949131
10.83,2.403671262
11.41,2.176974067
12.04,1.966862814
12.69,1.782007044
13.38,1.614471817
14.11,1.463270234
14.87,1.328894721
15.68,1.206629937
16.53,1.097161418
17.43,0.998276145
18.38,0.909279524
19.38,0.829418788
20.43,0.757924094
21.54,0.693501739
22.72,0.635206611
23.95,0.583501687
25.25,0.537004713
26.62,0.495360099
28.07,0.457955503
29.6,0.42452293
31.21,0.3947722
32.9,0.368406448
34.69,0.344892223
36.58,0.324065325
38.57,0.305743887
40.66,0.289739298
42.87,0.275749325
45.2,0.263656245
47.66,0.253296846
50.25,0.244568022
52.98,0.237340773
55.86,0.231511574
58.9,0.226998035
62.1,0.223743759
65.48,0.221684053
69.04,0.220785453
72.79,0.22101546
76.75,0.222356388
80.92,0.224792258
85.32,0.228317062
89.95,0.232906289
94.84,0.238553052
100,0.245212085
105.44,0.252801284
111.17,0.261186586
117.21,0.27017981
123.58,0.279505357
130.3,0.288784175
137.38,0.297522224
144.85,0.305181243
152.72,0.311207871
161.03,0.315194757
169.78,0.316955287
179.01,0.316626277
188.74,0.314612676
199,0.311491169
209.82,0.307890003
221.22,0.304404118
233.25,0.301538358
245.93,0.299715377
259.29,0.299270495
273.39,0.300474678
303.92,0.308687977
320.44,0.316054886
337.86,0.325808806
356.22,0.338093574
375.59,0.353067971
396.01,0.370862974
417.53,0.391600117
440.23,0.41540352
464.16,0.44231499
489.39,0.472296605
515.99,0.505127409
544.04,0.540264306
573.62,0.576557437
604.8,0.611776846
650,0.65065454
672.34,0.661481713
700,0.665276827
747.42,0.648372813
788.05,0.617846484
830.88,0.578713976
876.05,0.535919589
923.67,0.509392107
973.88,0.457071579
1026.82,0.410777412
1082.64,0.37361043
1141.49,0.33926023
1203.54,0.312498019
1268.96,0.27890375
1337.94,0.252659071
1410.67,0.228820749
1487.35,0.207211462
1568.2,0.187650878
1653.45,0.169965078
1743.33,0.154316928
1838.09,0.13957346
1938.01,0.126602281
2043.36,0.114839795
2154.43,0.104270976
2271.55,0.094821315
2395.03,0.08616905
2525.22,0.078443567
2662.49,0.071486898
2807.22,0.065223553
2959.81,0.05959052
3120.71,0.054508951
3290.34,0.049940005
3469.2,0.045826951
3657.79,0.04212461
3856.62,0.038792041
4066.26,0.03579189
4287.3,0.03309087
4520.35,0.030658782
4766.08,0.028468618
5025.15,0.026495897
5298.32,0.024718286
5586.33,0.023116176
5890,0.021671687
6210.17,0.020368311
6547.75,0.019191426
6903.68,0.01812791
7278.95,0.017165606
7674.63,0.016293991
8091.82,0.015502468
8531.68,0.014782678
8995.45,0.014125549
9484.44,0.013524244
10000,0.012970649
