Length,Load factor
1,138.8782
2,75.37716729
3,33.57521589
4,18.94469893
5,12.17299507
6,8.49447685
7,6.276298348
8,4.836437713
9,3.849095315
10,3.142690022
11,2.61988646
12,2.222133502
13,1.912497275
14,1.666746447
15,1.468448969
20,0.882278501
30,0.467790332
40,0.330614771
50,0.275433113
60,0.253422739
70,0.247828235
80,0.251685693
90,0.261550731
100,0.275306296
200,0.349348969
300,0.640885412
400,0.987215216
500,0.544835753
600,0.681129191
700,0.746924439
800,0.681880805
900,0.576839148
1000,0.483192786
2000,0.134104552
3000,0.065388403
4000,0.041192949
5000,0.029947706
6000,0.023802558
7000,0.020059522
8000,0.017589582
9000,0.015852609
10000,0.014562105
