Length,Load factor
1,124.5748124
2,67.24137442
3,30.03058859
4,17.00847902
5,10.98197332
6,7.708393142
7,5.734203365
8,4.452363037
9,3.5729541
10,2.943343209
11,2.476983696
12,2.121843729
13,1.845121811
14,1.625309871
15,1.447828583
20,0.923433689
30,0.560554741
40,0.453390772
50,0.423278788
60,0.425691268
70,0.445883531
80,0.477386865
90,0.515856607
100,0.557035103
200,0.588319525
300,0.603913822
400,0.762573733
500,0.86974834
600,0.744250433
700,0.583714436
800,0.461140452
900,0.371826862
1000,0.306010231
2000,0.088369151
3000,0.047187337
4000,0.032593936
5000,0.025664781
6000,0.021695299
7000,0.019068705
8000,0.017119599
9000,0.01551354
10000,0.01407627
