Extension,Load,Tensile strain,Tensile stress,Strain 1,Tensile extension,Offset strain,Tensile stress offset
,,0,0,,,0.001937,0
0.00719,103.81453,0,11.59291,0,-0.00001,0.002,11.59291
0.00744,104.56255,0,11.67644,0,0.00004,0.002,11.67644
0.00956,117.28703,0.00001,13.09738,0.00001,0.00036,0.00201,13.09738
0.0125,150.13152,0.00002,16.7651,0.00002,0.00119,0.00202,16.7651
0.01375,166.4184,0.00003,18.58385,0.00003,0.00159,0.00203,18.58385
0.01531,179.26428,0.00004,20.01834,0.00004,0.00194,0.00204,20.01834
0.01731,200.68872,0.00005,22.4108,0.00005,0.0025,0.00205,22.4108
0.019,218.02711,0.00006,24.34697,0.00006,0.00294,0.00206,24.34697
0.02031,230.73932,0.00007,25.76653,0.00007,0.00328,0.00207,25.76653
0.02244,250.37421,0.00008,27.95915,0.00008,0.0038,0.00208,27.95915
0.02425,270.65479,0.00009,30.22387,0.00009,0.00432,0.00209,30.22387
0.0255,284.66574,0.00009,31.78847,0.00009,0.00469,0.00209,31.78847
0.02694,296.81964,0.0001,33.14569,0.0001,0.00504,0.0021,33.14569
0.029,318.91144,0.00011,35.61267,0.00011,0.00564,0.00211,35.61267
0.03069,335.4679,0.00012,37.46152,0.00012,0.00609,0.00212,37.46152
0.03194,348.8894,0.00013,38.96029,0.00013,0.0064,0.00213,38.96029
0.034,366.17731,0.00014,40.89082,0.00014,0.00684,0.00214,40.89082
0.03594,388.35458,0.00015,43.36735,0.00015,0.00741,0.00215,43.36735
0.03725,402.30542,0.00016,44.92523,0.00016,0.00777,0.00216,44.92523
0.03856,412.89255,0.00016,46.10749,0.00016,0.00808,0.00216,46.10749
0.04069,435.1041,0.00017,48.58784,0.00017,0.00862,0.00217,48.58784
0.04237,450.52124,0.00018,50.30946,0.00018,0.009,0.00218,50.30946
0.04362,463.94528,0.00019,51.80852,0.00019,0.00936,0.00219,51.80852
0.04556,480.78159,0.0002,53.68862,0.0002,0.00979,0.0022,53.68862
0.04756,501.21518,0.00021,55.97043,0.00021,0.01034,0.00221,55.97043
0.04894,516.4176,0.00021,57.66808,0.00021,0.0107,0.00221,57.66808
0.05019,525.88922,0.00022,58.72577,0.00022,0.01099,0.00222,58.72577
0.05244,546.79761,0.00023,61.06059,0.00023,0.01152,0.00223,61.06059
0.05406,562.12915,0.00024,62.77266,0.00024,0.01197,0.00224,62.77266
0.05544,576.73529,0.00025,64.40372,0.00025,0.01233,0.00225,64.40372
0.05712,590.1897,0.00025,65.90617,0.00025,0.01265,0.00225,65.90617
0.05912,610.34949,0.00026,68.15739,0.00026,0.0132,0.00226,68.15739
0.06075,625.76379,0.00027,69.87871,0.00027,0.01361,0.00227,69.87871
0.06187,635.63068,0.00028,70.98054,0.00028,0.01388,0.00228,70.98054
0.06406,654.54047,0.00029,73.09218,0.00029,0.0144,0.00229,73.09218
0.06569,670.82214,0.0003,74.91035,0.0003,0.01479,0.0023,74.91035
0.06706,684.07159,0.0003,76.38991,0.0003,0.01516,0.0023,76.38991
0.06869,697.07007,0.00031,77.84144,0.00031,0.01549,0.00231,77.84144
0.07081,717.18304,0.00032,80.08744,0.00032,0.01602,0.00232,80.08744
0.07244,733.03522,0.00033,81.85764,0.00033,0.01645,0.00233,81.85764
0.07356,743.00079,0.00033,82.9705,0.00033,0.01672,0.00233,82.9705
0.07575,759.72906,0.00034,84.83853,0.00034,0.01715,0.00234,84.83853
0.07737,777.16125,0.00035,86.78518,0.00035,0.01763,0.00235,86.78518
0.07881,791.23236,0.00036,88.35649,0.00036,0.01802,0.00236,88.35649
0.08031,803.01575,0.00037,89.67233,0.00037,0.01828,0.00237,89.67233
0.0825,821.87402,0.00038,91.77823,0.00038,0.01882,0.00238,91.77823
