TimeStamp,Time in Minutes,Load-in-bar-(bar),Load in kN,Stud2-Axial,Stud3-Axial,Stud4-Axial,Stud5-Axial,Stud3-Top,Stud3-Mid,Stud3-Bottom,Stud4-Top,Stud4-Mid,Stud4-Bottom,Pb1-Top-Left,Pb1-Top-Right,Pb1-Mid-Mid,Pb1-Bottom-Left,Pb1-Bottom-Right,Pb1-Pb2-Mid-Left,Pb1-Pb2-Mid-Mid,Pb1-Pb2-Mid-Right,Pb2-Mid-Left,Pb2-Mid-Mid,Pb2-Mid-Right,Pb3-Mid-Left,Pb3-Mid-Mid,Pb3-Mid-Right,Pb3-Pb4-Mid-Left,Pb3-Pb4-Mid-Mid,Pb3-Pb4-Mid-Right,Pb4-Top-Left,Pb4-Top-Right,Pb4-Mid-Mid,Pb4-Bottom-Left,Pb4-Bottom-Right,Stud2-Mid-Fire-HF,Stud2-Mid-Fire-CF,Stud2-Mid-Amb-HF,Stud2-Mid-Amb-CF,Stud3-Top-Fire-HF,Stud3-Top-Fire-HF-Extra,Stud3-Top-Fire-CF,Stud3-Top-Fire-CF-Extra,Stud3-Top-Amb-HF,Stud3-Top-Amb-CF,Stud3-Mid-Fire-HF,Stud3-Mid-Fire-HF-Extra,Stud3-Mid-Fire-CF,Stud3-Mid-Amb-HF,Stud3-Mid-Amb-CF,Stud3-Bottom-Fire-HF,Stud3-Bottom-Fire-CF,Stud3-Bottom-Amb-HF,Stud3-Bottom-Amb-CF,Stud4-Top-Fire-HF,Stud4-Top-Fire-HF-Extra,Stud4-Top-Fire-CF,Stud4-Top-Fire-CF-Extra,Stud4-Top-Amb-HF,Stud4-Top-Amb-CF,Stud4-Mid-Fire-HF,Stud4-Mid-Fire-HF-Extra,Stud4-Mid-Fire-CF,Stud4-Mid-Amb-HF,Stud4-Mid-Amb-CF,Stud4-Bottom-Fire-HF,Stud4-Bottom-Fire-CF,Stud4-Bottom-Amb-HF,Stud4-Bottom-Amb-CF,Stud5-Mid-Fire-HF,Stud5-Mid-Fire-CF,Stud5-Mid-Amb-HF,Stud5-Mid-Amb-CF,Furnace-Top-Left,Furnace-Top-Right,Furnace-Bottom-Left,Furnace-Bottom-Right,Average-Pb1,Average-Pb1-Pb2,Average-Pb2,Average-Pb3,Average-Pb3-Pb4,Average-Pb4,Average-Furnace
43082.46815,11,-85.529442,30.48060971,8.573494,8.853433,8.554618,8.526712,-0.717547,-0.653511,1.064011,-0.141208,0.318545,-1.866912,588.124451,542.566956,589.515808,553.348328,560.008972,25.836517,79.372673,21.782099,48.127106,46.818016,49.640411,26.059362,26.102222,27.008074,21.168236,21.360552,21.601654,21.801762,22.025656,21.686329,21.119631,21.248314,39.95052,27.345528,27.242645,23.948204,42.567394,50.630882,30.874516,30.703382,28.80069,25.771751,40.520203,40.174786,27.642149,27.221008,26.120424,21.386238,25.216822,23.784962,22.932346,42.131313,50.504993,29.612152,29.878063,28.164316,24.583851,38.050652,37.56179,26.633204,27.308012,24.529856,37.750523,25.638521,23.763025,22.949909,37.387615,26.876377,26.984129,24.223143,631.822266,676.221436,673.270386,661.284058,566.712903,79.372673,48.19517767,26.389886,21.376814,21.5763384,660.6495365
43082.46885,12,-85.979042,30.62506619,8.556253,8.855075,8.554618,8.521787,-0.962202,-0.935932,0.935936,0.121505,0.072247,-1.786456,606.830994,569.098999,598.789001,581.595703,584.471741,25.952671,81.236641,21.778168,53.376686,52.341759,55.107441,28.044724,28.070023,29.848215,21.470234,21.715014,21.936613,21.788809,22.009699,21.677074,21.103893,21.216375,45.61768,30.248343,29.966915,25.981937,47.159767,55.90844,34.441833,34.575562,32.355522,28.462778,45.277565,45.306553,30.387194,30.363556,28.700247,21.3668,27.186481,25.273088,23.826756,47.845272,56.24754,33.299068,33.262909,31.94313,26.843451,43.673355,42.863777,29.422209,30.09203,26.618235,42.663624,27.887852,25.610397,24.333929,42.071598,29.882885,30.045658,26.363483,645.28302,686.672607,689.366699,677.385376,588.1572876,81.236641,53.60862867,28.65432067,21.707287,21.55917,674.6769255
43082.46955,13,-85.282463,30.40125536,8.431464,8.764767,8.43968,8.406848,-1.270895,-1.270897,0.699489,0.400637,-0.262717,-1.51389,616.847778,599.365295,611.020508,613.561768,619.227234,26.059134,82.696053,21.745087,58.012043,57.200668,59.728386,30.346344,30.420698,32.562805,21.894979,22.225458,22.424763,21.837616,22.051327,21.721029,21.125881,21.213831,51.588238,33.641155,33.019596,28.442547,51.761604,60.9571,37.966797,38.251377,36.118549,31.528973,50.149155,50.402336,33.694462,33.89645,31.689659,21.35708,29.657394,27.216404,25.109585,53.421501,61.98069,36.967342,36.873825,35.915154,29.714346,49.424129,48.477119,32.624866,32.931458,28.95076,47.912403,30.563885,27.893143,26.195538,46.808743,33.50296,33.35651,28.869177,661.210327,703.944763,710.584595,702.965332,612.0045166,82.696053,58.313699,31.109949,22.18173333,21.5899368,694.6762543
43082.47025,14,-85.527679,30.48004326,8.434748,8.764767,8.441322,8.405207,-1.418673,-1.398972,0.656797,0.564833,-0.433483,-1.395669,626.815308,613.032898,626.118225,638.114624,640.363281,26.137245,84.150696,21.727507,61.661072,60.603924,63.503826,32.653034,32.556164,33.665409,22.446264,22.897913,23.107727,21.91811,22.080698,21.79089,21.115696,21.226559,57.129421,37.067692,35.901684,30.85433,55.840973,64.839127,40.93779,41.282524,39.200745,34.343983,54.758682,54.875916,36.977608,36.603947,34.146881,21.365181,32.362625,29.274042,26.647713,58.167271,67.058838,40.02058,40.234371,39.133137,32.714401,54.358986,53.625072,35.876568,35.596855,31.178406,52.954144,33.289913,30.307327,28.054844,51.321728,36.61969,36.158493,31.258205,674.432373,713.440674,726.186279,717.596863,628.8888672,84.150696,61.92294067,32.95820233,22.81730133,21.6263906,707.9140473
43082.47095,15,-85.9179,30.60542127,8.43639,8.758199,8.444606,8.419984,-1.484352,-1.494207,0.614105,0.650215,-0.502447,-1.45478,637.523987,613.031128,638.501343,660.928833,659.269897,26.197842,85.504738,21.729126,63.898556,62.962421,65.977028,34.16243,34.292995,35.049316,23.128754,23.612228,23.867855,22.022419,22.161175,21.890121,21.137917,21.233734,61.50248,40.20731,38.052246,32.937408,59.354374,68.291969,43.236538,43.649544,41.488361,36.732395,58.56776,58.521942,40.131802,38.502174,35.97337,21.369345,34.974598,31.178406,28.189152,61.866978,71.107239,42.728531,43.162811,41.49472,35.375313,58.33709,57.8759,38.912079,37.789497,32.982281,57.169876,35.736149,32.167217,29.591713,54.608356,38.539986,37.688526,33.140686,682.442261,721.556213,737.569153,726.895142,641.8510376,85.504738,64.279335,34.50158033,23.536279,21.6890732,717.1156923
43082.47165,16,-86.414291,30.7649117,8.424896,8.764767,8.405199,8.396996,-1.517192,-1.550035,0.577981,0.666634,-0.505731,-1.428508,653.06488,620.119446,649.245728,679.422791,681.327087,26.248297,86.611137,21.733521,66.058563,65.145874,67.694366,35.615353,35.817894,36.202545,23.933197,24.422089,24.667837,22.1584,22.283958,22.002298,21.173328,21.260347,65.085823,43.302773,39.659088,34.714077,62.357906,71.334846,45.526661,46.08989,43.102921,38.927105,61.848362,61.709743,43.079098,40.013073,37.252636,21.361015,37.493855,32.892536,29.561398,64.963707,74.343185,46.080158,46.179058,43.273964,37.655933,61.600731,61.378204,41.946705,39.632465,34.573734,61.315617,38.035614,33.479164,30.77037,58.495888,40.79937,38.85994,34.714535,694.653687,731.394958,749.015991,739.316467,656.6359864,86.611137,66.299601,35.87859733,24.341041,21.7756662,728.5952758
43082.47235,17,-86.923706,30.92858674,8.398624,8.756557,8.387137,8.398639,-1.513908,-1.599294,0.577981,0.710967,-0.574694,-1.328349,662.035583,631.633057,664.499756,680.955811,683.164246,26.295525,87.369087,21.715014,67.160507,66.512146,68.658249,36.986729,36.991062,37.227554,24.749512,25.26963,25.443024,22.390547,22.446033,22.198174,21.246,21.300848,67.577477,45.974228,40.701393,36.072899,64.707146,73.959007,48.669823,49.083385,44.007782,40.635696,64.347244,64.339851,45.592094,40.999382,38.148399,21.345047,39.576035,34.150539,30.523731,67.370567,76.755669,49.156326,49.194492,44.490334,39.391251,64.274414,64.021378,44.763371,40.920971,35.904881,63.798813,40.080399,34.343067,31.687366,61.145786,43.516426,40.019669,35.951225,699.697693,738.835083,758.834656,750.079224,664.4576906,87.369087,67.443634,37.06844833,25.15405533,21.9163204,736.861664
43082.47305,18,-78.397667,28.18917041,8.226217,8.580866,8.242644,8.231978,-1.622279,-1.730653,0.397362,0.81441,-0.72904,-1.226547,674.746826,644.827881,676.863831,691.318909,689.267944,26.333998,87.905029,21.713394,67.925888,67.498657,69.366554,37.94743,37.938541,38.225407,25.525331,26.109365,26.153605,22.682512,22.598837,22.434242,21.319592,21.370502,69.09211,48.173885,41.442696,37.04694,66.528496,76.411758,51.044117,51.647308,45.058094,41.943298,66.299805,66.568138,47.739258,41.905148,38.891815,21.351295,41.340008,35.065994,31.255911,69.169785,78.638657,51.705471,51.686985,45.839996,40.789593,66.520432,65.900192,47.216076,41.961239,36.934269,65.44632,41.814079,34.839088,32.225407,63.271137,45.912663,40.993927,36.947044,711.51001,748.45874,767.327393,760.135681,675.4050782,87.905029,68.26369967,38.037126,25.92943367,22.081137,746.857956
43082.47374,19,-84.368034,30.10744932,8.245921,8.564446,8.229508,8.237725,-1.661686,-1.763493,0.38751,0.804559,-0.765164,-1.218337,688.553345,658.005615,690.005066,701.190186,701.326721,26.343903,88.379631,21.696276,68.402794,68.142853,69.840881,38.652035,38.869045,39.061886,26.325935,26.921967,26.911606,23.003519,22.816565,22.685287,21.439922,21.444782,70.436264,50.021648,42.284561,37.905499,68.106361,78.507294,53.11137,53.749813,45.576244,43.168255,67.959251,68.253685,49.680592,42.507248,39.569206,21.333477,42.856289,35.76355,31.845966,70.40448,80.31826,53.864868,53.956722,46.93066,41.89175,68.056877,67.24852,49.254333,42.805008,37.762833,66.732307,43.221111,35.32209,32.510357,65.071259,47.96936,41.762299,37.783798,721.840942,757.133179,778.910583,769.037903,687.8161866,88.379631,68.79550933,38.86098867,26.719836,22.278015,756.7306518
43082.47445,20,-84.621414,30.18886032,8.243459,8.571014,8.228687,8.231978,-1.630489,-1.793048,0.38751,0.832472,-0.779942,-1.313571,697.451172,670.300781,701.636047,711.691833,707.250305,26.355652,88.874245,21.695581,68.750038,68.635635,70.251389,39.509361,39.620178,39.768299,27.093943,27.686094,27.649742,23.363703,23.178658,22.986189,21.568569,21.548672,71.271286,51.508202,42.922092,38.594646,69.387375,80.373093,54.831139,55.481777,46.825932,43.952465,69.386482,69.662033,51.376972,43.10791,40.083355,21.31126,44.080776,36.350666,32.358273,71.220711,81.71994,55.58997,55.82523,47.723209,42.867863,69.099495,68.077927,50.950066,43.543415,38.461861,67.701309,44.221317,35.639328,32.822708,66.566124,49.629799,42.360157,38.463455,729.229858,764.868225,786.585999,775.651245,697.6660276,88.874245,69.212354,39.63261267,27.476593,22.5291582,764.0838318
