TimeStamp,Time in Minutes,Kyowa PG 500 KUM -Load in bar-(bar),Load in kN,Stud2-Axial,Stud3-Axial,Stud4-Axial,Stud5-Axial,Stud3-Top,Stud3-Mid,Stud3-Bottom,Stud4-Top,Stud4-Mid,Stud4-Bottom,Pb1-Top-Right,Pb1-Top-Left,Pb1-Mid-Mid,Pb1-Bottom-Right,Pb1-Bottom-Left,Pb1-Pb2-Mid-Right,Pb1-Pb2-Mid-Mid,Pb1-Pb2-Mid-Left,Pb2-Mid-Right,Pb2-Mid-Mid,Pb2-Mid-Left,Pb3-Mid-Right,Pb3-Mid-Mid,Pb3-Mid-Left,Pb3-Pb4-Mid-Right,Pb3-Pb4-Mid-Mid,Pb3-Pb4-Mid-Left,Pb4-Top-Right,Pb4-Top-Left,Pb4-Mid-Mid,Pb4-Bottom-Right,Pb4-Bottom-Left,Stud2-Mid-Fire-HF,Stud2-Mid-Fire-CF,Stud2-Mid-Amb-HF,Stud2-Mid-Amb-CF,Stud3-Top-Fire-HF,Stud3-Top-Fire-CF,Stud3-Top-Amb-HF,Stud3-Top-Amb-CF,Stud3-Mid-Fire-HF,Stud3-Mid-Fire-CF,Stud3-Mid-Amb-HF,Stud3-Mid-Amb-CF,Stud3-Bottom-Fire-HF,Stud3-Bottom-Fire-CF,Stud3-Bottom-Amb-HF,Stud3-Bottom-Amb-CF,Stud4-Top-Fire-HF,Stud4-Top-Fire-CF,Stud4-Top-Amb-HF,Stud4-Top-Amb-CF,Stud4-Mid-Fire-HF,Stud4-Mid-Fire-CF,Stud4-Mid-Amb-HF,Stud4-Mid-Amb-CF,Stud4-Bottom-Fire-HF,Stud4-Bottom-Fire-CF,Stud4-Bottom-Amb-HF,Stud4-Bottom-Amb-CF,Stud5-Mid-Fire-HF,Stud5-Mid-Fire-CF,Stud5-Mid-Amb-HF,Stud5-Mid-Amb-CF,Furnace-Top-Left,Furnace-Top-Right,Furnace-Bottom-Left,Furnace-Bottom-Right,Left-Side-Top,Left-Side-Bottom,Right-Side-Top,Right-Side-Bottom,Average-Furnace,Average-Pb1,Average-Pb1-Pb2,Average-Pb2,Average-Pb3,Average-Pb3-Pb4,Average-Pb4
57:05.2,7,-61.162174,19.65140651,7.482346,6.810798,6.602292,7.69746,1.330003,1.33987,0.719195,-1.533604,1.599295,0.804578,471.660858,465.038483,556.698608,462.11499,471.190735,77.120834,77.94249,76.107681,21.508181,33.645962,33.230865,22.213898,22.430544,22.297369,20.845324,21.094172,21.205961,21.159672,21.386932,21.346436,21.191843,21.353609,20.827728,22.808477,21.920654,21.198092,21.166616,23.625624,21.092319,22.52001,29.809641,22.900455,22.643219,22.73683,29.355824,22.447882,22.017561,21.336023,29.923523,23.789351,23.271069,21.627102,28.598185,22.774502,22.234709,21.801762,26.939924,22.172043,21.662962,21.043016,28.777475,22.3013,21.860977,21.823044,572.373352,613.353455,619.915161,601.424927,21.217764,20.905283,21.071257,21.110605,601.7667238,485.3407348,76.6142575,33.4384135,22.313937,21.04848567,21.2876984
58:05.5,8,-61.501415,19.76040464,7.482346,6.807515,6.599829,7.69746,1.14446,1.162535,0.683071,-1.326715,1.431812,0.794726,504.177887,509.045166,573.729919,505.620575,515.198059,80.5,80.760979,80.094666,21.488281,40.342392,39.526199,23.33783,23.709913,23.44709,20.979824,21.185131,21.317047,21.136295,21.371891,21.306864,21.174948,21.32584,20.8356,24.528702,23.438082,22.112381,21.189297,25.840897,21.123104,23.869242,34.988995,24.684219,24.383318,24.224527,33.793976,23.914957,23.338985,21.305014,34.65625,26.251753,25.240574,22.650846,33.341866,24.612925,24.032701,23.115122,31.087133,23.519615,22.580114,21.578518,33.588993,23.902719,23.378487,22.969551,594.549072,631.442078,638.282898,625.385864,21.29159,20.92033,21.137453,21.128195,622.414978,521.5543212,80.297333,39.9342955,23.49827767,21.16066733,21.2631676
59:05.9,9,-61.97485,19.91251931,7.482346,6.805872,6.599008,7.695818,0.880101,0.903099,0.637095,-1.04758,1.136254,0.79801,530.529846,545.019775,601.545166,538.351807,541.893188,82.87764,82.388428,82.670532,21.491522,47.471134,45.838184,24.945824,25.248877,25.013407,21.204803,21.396883,21.506098,21.215681,21.375362,21.293211,21.146017,21.283258,20.86014,27.262209,26.25037,24.015387,21.217764,29.181686,21.187447,25.999681,40.600002,27.492813,27.390635,26.848516,38.554562,26.643799,25.63368,21.282797,39.472267,30.093636,28.492895,24.643612,38.631996,27.418022,26.973999,25.407747,35.683403,25.552765,24.14143,22.703547,38.816219,26.463457,26.133327,25.180616,610.071411,648.940308,653.220764,646.761841,21.365643,20.951351,21.121483,21.11153,639.748581,551.4679564,82.774086,46.654659,25.06936933,21.36926133,21.2627058
00:06.2,10,-62.437248,20.06108778,7.480704,6.807515,6.603933,7.69746,0.571409,0.535291,0.591119,-0.758592,0.801289,0.794726,556.817627,570.151611,624.174927,568.023193,571.005432,84.637833,83.43631,84.518898,21.495224,53.361599,52.165302,27.046289,27.52779,26.91621,21.636589,21.754108,21.855427,21.307558,21.381842,21.273077,21.148563,21.256182,20.865234,31.060987,30.515011,26.788877,21.241371,33.5382,21.282564,29.087484,47.077221,31.182533,31.526222,30.328213,44.453396,30.494818,29.199146,21.279093,45.058323,34.772358,32.750122,27.650661,44.514355,31.145153,31.105021,28.594738,41.105965,28.254461,26.918743,24.582928,44.946194,30.164566,30.409224,28.327583,624.880127,664.612427,673.394714,667.557007,21.548439,21.025425,21.264746,21.123798,657.6110688,578.034558,84.5783655,52.7634505,27.16342967,21.748708,21.2734444
01:06.6,11,-62.606098,20.11533929,7.580863,6.805872,6.603933,7.700744,0.239729,0.160916,0.492599,-0.48274,0.492596,0.791442,584.138672,598.775879,635.742859,596.503662,598.854675,86.26516,84.302544,86.251045,21.479258,58.371006,57.109871,29.681047,30.261196,29.470444,22.202335,22.274017,22.346849,21.395494,21.417707,21.288582,21.208969,21.242065,20.862225,35.389706,34.866512,30.017422,21.263819,38.238846,21.396189,32.590515,53.240654,35.091354,35.699158,33.588535,50.379772,34.48801,32.941074,21.243223,50.42535,39.297707,37.371201,31.205465,50.105827,35.236656,35.483349,32.103752,46.334755,31.367575,30.586601,27.072994,51.033295,34.317459,35.024181,32.265728,638.70636,677.425232,693.817932,689.529541,22.077229,21.104355,21.675455,21.198092,674.8697663,602.8031494,86.2581025,57.7404385,29.804229,22.27440033,21.3105634
02:07.1,12,-62.934082,20.22072055,7.694158,6.807515,6.595724,7.682683,-0.01642,-0.136286,0.367807,-0.252864,0.288989,0.791442,604.079346,625.31604,645.419128,621.308716,624.824829,87.736237,85.304909,87.642761,21.480415,61.826828,61.178318,32.461803,33.210953,32.006832,23.007446,22.921947,23.045111,21.48967,21.519518,21.330469,21.361477,21.251785,20.87241,39.009521,39.032745,33.161514,21.281408,42.315434,21.493605,36.098465,58.895195,38.794132,40.008751,37.229378,56.133991,37.861286,36.612846,21.237667,55.412945,43.216122,41.580135,34.769844,55.377178,38.829884,39.430847,35.535419,51.428383,34.582878,34.538303,29.700108,56.640312,38.238846,39.401947,35.855793,652.238831,693.146912,715.941101,709.700378,23.496519,21.322369,22.698,21.458202,692.7568055,624.1896118,87.689499,61.502573,32.55986267,22.99150133,21.3905838
03:07.4,13,-63.247498,20.32142111,7.807452,6.804231,6.585872,7.633424,-0.19047,-0.351387,0.295559,-0.114938,0.082099,0.786516,627.341553,618.384277,659.670898,647.938782,654.559204,89.451248,86.287346,89.184601,21.439692,64.674652,64.331116,35.400669,35.901684,35.050915,24.004536,23.849154,23.95767,21.701365,21.675224,21.451723,21.609751,21.302467,20.876577,42.762119,42.853794,36.717564,21.298765,46.391552,21.569031,39.841782,63.72081,42.695171,43.664059,40.496784,61.190434,41.170956,39.708233,21.233271,59.633881,46.973862,45.400082,38.49147,59.808075,42.542202,43.092484,38.730373,56.052139,38.372799,38.333618,32.846748,61.516838,42.220314,43.114491,39.704136,664.074341,706.420776,732.895081,726.918396,26.32939,21.869305,24.449551,22.047859,707.5771485,641.5789428,89.3179245,64.502884,35.45108933,23.93712,21.548106
04:07.9,14,-63.289875,20.33503684,7.95687,6.802588,6.56781,7.594017,-0.223309,-0.456475,0.269287,-0.036123,0.045976,0.784874,648.097595,626.017395,672.0896,663.349487,674.119324,91.147438,87.764481,90.919006,21.448021,66.795021,66.861084,38.253429,38.489422,38.059994,25.18223,25.016174,25.037855,22.03907,21.879713,21.606281,21.922735,21.423262,20.871252,45.78046,45.849052,39.902977,21.301773,49.599323,21.653246,43.195251,67.565163,46.055939,46.632515,43.316837,65.328476,43.720749,42.338364,21.214525,63.156799,50.12072,48.513718,41.862907,63.23011,46.054127,46.051865,41.659637,59.726368,41.847012,41.012108,35.545471,64.190369,45.42363,46.011803,42.490906,675.89386,714.720947,744.280396,738.352295,29.63397,22.824654,26.597046,22.773579,718.3118745,656.7346802,91.033222,66.8280525,38.267615,25.078753,21.7742122
05:08.5,15,-63.852699,20.51587219,7.970006,6.802588,6.557959,7.572671,-0.220025,-0.413783,0.275855,-0.022988,0.042692,0.778306,647.6828,638.707642,688.096985,668.621033,674.212219,92.441154,88.382095,92.257965,21.446863,68.594666,68.562424,39.946198,40.335796,39.918217,26.381453,26.434664,26.178257,22.555149,22.147993,21.855427,22.306387,21.59078,20.869864,48.111515,48.012074,42.57988,21.302237,52.172062,21.688873,45.956348,70.349197,49.267879,48.902931,45.459408,68.248085,45.156849,43.580154,21.216608,65.961571,52.976444,50.978035,44.839722,65.949699,49.182522,48.305851,43.942944,62.470028,45.015511,42.114285,37.232571,67.092209,47.708969,47.625099,44.877327,684.89917,725.38678,754.451111,749.902161,32.037994,24.253839,28.679789,23.671579,728.6598055,663.4641358,92.3495595,68.578545,40.066737,26.331458,22.0911472
06:08.8,16,-61.111851,19.63523773,7.817304,6.523457,6.314949,7.259058,-0.374371,-0.623959,0.21346,0.131358,-0.160915,0.791442,651.113159,653.052551,701.882935,674.697693,682.020996,93.505043,88.785904,93.079254,21.433907,69.651512,69.817604,41.852234,41.599442,41.688026,27.752354,27.893373,27.494194,23.111423,22.482098,22.165106,22.799463,21.77354,20.841156,50.442947,49.805874,44.658016,21.267523,54.508881,21.679388,48.111286,72.63076,52.350998,50.870445,47.110012,70.720062,45.655262,43.887852,21.202721,68.517647,55.091019,53.089073,47.234394,68.596458,51.954788,49.997272,45.809891,64.915985,47.793056,42.982674,38.243633,69.437965,50.474987,49.241234,46.563736,695.328491,735.687866,764.334534,762.115784,34.190327,25.296841,30.145973,24.424627,739.3666688,672.5534668,93.2921485,69.734558,41.713234,27.713307,22.466326
