TimeStamp,Time in Sec,Kyowa PG 500 KUM _Load in bar_(bar),Load in bar,Load in kN,Stud1_Axial,Stud2_Axial,Stud3_Axial,Stud4_Axial
48:30.9,661,-49.693989,-64.693989,20.78617867,8.981613,9.35596,9.700734,25.785961
48:31.9,662,-49.734161,-64.734161,20.79908593,8.979972,9.359243,9.699092,25.785961
48:32.9,663,-49.777199,-64.777199,20.81291404,8.979972,9.359243,9.699092,25.785961
48:33.9,664,-49.821564,-64.821564,20.82716851,8.979972,9.35596,9.699092,25.785961
48:34.9,665,-49.85136,-64.85136,20.83674197,8.976687,9.346107,9.699092,25.785961
48:35.9,666,-49.886894,-64.886894,20.84815904,8.984898,9.362528,9.700734,25.785961
48:36.9,667,-49.922432,-64.922432,20.8595774,8.984898,9.362528,9.699092,25.785961
48:37.9,668,-49.960392,-64.960392,20.87177395,8.979972,9.360886,9.700734,25.785961
48:38.9,669,-49.995045,-64.995045,20.88290796,8.980792,9.365811,9.699092,25.785961
48:39.9,670,-50.012043,-65.012043,20.88836942,8.984898,9.357602,9.699092,25.785961
48:40.9,671,-50.053314,-65.053314,20.90162979,8.98654,9.35596,9.699092,25.785961
48:41.9,672,-50.089291,-65.089291,20.9131892,8.984898,9.358422,9.699092,25.785961
48:42.9,673,-50.110703,-65.110703,20.92006887,8.98654,9.35596,9.699092,25.785961
48:43.9,674,-50.133213,-65.133213,20.92730134,8.983255,9.364169,9.699092,25.785961
48:44.9,675,-50.15374,-65.15374,20.93389666,8.984898,9.35596,9.699092,25.785961
48:45.9,676,-50.185745,-65.185745,20.94417987,8.981613,9.35596,9.699092,25.785961
48:46.9,677,-50.202076,-65.202076,20.94942702,8.97833,9.352675,9.699092,25.785961
48:47.9,678,-50.226578,-65.226578,20.95729951,8.979972,9.352675,9.700734,25.785961
48:48.9,679,-50.252399,-65.252399,20.9655958,8.97833,9.35596,9.700734,25.785961
48:49.9,680,-50.272266,-65.272266,20.97197907,8.981613,9.351034,9.699092,25.785961
48:50.9,681,-50.294338,-65.294338,20.9790708,8.981613,9.352675,9.699092,25.785961
48:51.9,682,-50.310009,-65.310009,20.98410589,8.97833,9.346107,9.699092,25.785961
48:52.9,683,-50.320602,-65.320602,20.98750942,8.983255,9.358422,9.699092,25.785961
48:53.9,684,-50.338921,-65.338921,20.99339532,8.97833,9.344466,9.699092,25.785961
48:54.9,685,-50.349518,-65.349518,20.99680013,8.979972,9.351034,9.699092,25.785961
48:55.9,686,-50.380417,-65.380417,21.00672798,8.983255,9.358422,9.699092,25.785961
48:56.9,687,-50.404476,-65.404476,21.01445814,8.983255,9.352675,9.699092,25.785961
48:57.9,688,-50.402046,-65.402046,21.01367738,8.979972,9.362528,9.699092,25.785961
48:58.9,689,-50.417938,-65.417938,21.01878348,8.981613,9.341182,9.699092,25.785961
49:00.0,690,-50.433388,-65.433388,21.02374756,8.981613,9.359243,9.699092,25.785961
49:01.0,691,-50.441998,-65.441998,21.02651396,8.984898,9.367454,9.699092,25.785961
49:02.0,692,-50.463848,-65.463848,21.03353436,8.98654,9.365811,9.699092,25.785961
49:03.0,693,-50.467377,-65.467377,21.03466823,8.97833,9.354318,9.699092,25.785961
49:04.0,694,-50.483269,-65.483269,21.03977433,8.976687,9.359243,9.699092,25.785961
49:05.0,695,-50.494968,-65.494968,21.04353322,8.984898,9.352675,9.699092,25.785961
49:06.0,696,-50.51152,-65.51152,21.04885138,8.979151,9.354318,9.699092,25.785961
49:07.0,697,-50.51152,-65.51152,21.04885138,8.983255,9.342824,9.699092,25.785961
49:08.0,698,-50.519909,-65.519909,21.05154676,8.983255,9.357602,9.699092,25.785961
49:09.0,699,-50.534035,-65.534035,21.05608545,8.984898,9.360886,9.700734,25.785961
49:10.0,700,-50.533371,-65.533371,21.0558721,8.984898,9.342824,9.699092,25.785961
49:11.0,701,-50.552795,-65.552795,21.06211303,8.981613,9.365811,9.699092,25.785961
49:12.0,702,-50.552353,-65.552353,21.06197102,8.979972,9.357602,9.699092,25.785961
49:13.0,703,-50.565819,-65.565819,21.06629764,8.983255,9.352675,9.699092,25.785961
49:14.0,704,-50.568687,-65.568687,21.06721913,8.97833,9.360065,9.699092,25.785961
49:15.0,705,-50.567142,-65.567142,21.06672272,8.97833,9.351034,9.699092,25.785961
49:16.0,706,-50.582371,-65.582371,21.0716158,8.979972,9.354318,9.699092,25.785961
49:17.0,707,-50.583473,-65.583473,21.07196987,8.981613,9.35596,9.700734,25.785961
49:18.0,708,-50.587891,-65.587891,21.07338938,8.983255,9.346107,9.700734,25.785961
49:19.0,709,-50.592083,-65.592083,21.07473627,8.979972,9.357602,9.700734,25.785961
49:20.0,710,-50.606209,-65.606209,21.07927495,8.97833,9.346107,9.699092,25.785961
49:21.0,711,-50.610401,-65.610401,21.08062184,8.980792,9.352675,9.700734,25.785961
49:22.0,712,-50.611286,-65.611286,21.08090619,8.983255,9.355139,9.699092,25.785961
49:23.0,713,-50.612389,-65.612389,21.08126059,8.983255,9.363349,9.699092,25.785961
49:24.0,714,-50.6157,-65.6157,21.08232441,8.97833,9.351034,9.699092,25.785961
49:25.1,715,-50.628059,-65.628059,21.08629536,8.979972,9.360886,9.699092,25.785961
49:26.1,716,-50.625412,-65.625412,21.08544488,8.979972,9.359243,9.699092,25.785961
49:27.1,717,-50.631592,-65.631592,21.08743051,8.982434,9.357602,9.699092,25.785961
49:28.1,718,-50.629162,-65.629162,21.08664975,8.97833,9.342824,9.699092,25.785961
49:29.1,719,-50.624969,-65.624969,21.08530254,8.983255,9.352675,9.699092,25.785961
49:30.1,720,-50.633358,-65.633358,21.08799793,8.98654,9.354318,9.699092,25.785961
49:31.1,721,-50.619892,-65.619892,21.0836713,8.979972,9.354318,9.699092,25.785961
49:32.1,722,-50.628723,-65.628723,21.0865087,8.979972,9.362528,9.699092,25.785961
49:33.1,723,-50.637772,-65.637772,21.08941614,8.981613,9.35596,9.699092,25.785961
49:34.1,724,-50.629826,-65.629826,21.08686309,8.98654,9.360886,9.699092,25.785961
