TimeStamp,Kyowa PG 500 KUM _Load in bar_(bar),LVDT12 - 50mm_Stud1_Axial_(mm),LVDT12 - 50mm_Stud2_Axial_(mm),LVDT12 - 50mm_Stud3_Axial_(mm),LVDT12 - 50mm_Stud4_Axial_(mm),LVDT Type 100mm_Stud2_Top_(mm),LVDT Type 100mm_Stud2_Mid_(mm),LVDT Type 100mm_Stud2_Bottom_(mm),LVDT Type 100mm_Stud3_Top_(mm),LVDT Type 100mm_Stud3_Mid_(mm),LVDT Type 100mm_Stud3_Bottom_(mm)
12:39:11.538 PM 13/03/2018,-20.916153,2.508928,2.646847,2.451443,3.039279,0.121505,-0.328401,-0.243017,0.039407,-0.256153,0.003284
12:39:12.541 PM 13/03/2018,-22.729115,2.566397,2.708420,2.480998,3.065550,0.114937,-0.328401,-0.243017,0.042691,-0.257795,0.000000
12:39:13.548 PM 13/03/2018,-22.675259,2.635360,2.778204,2.530257,3.116451,0.121505,-0.328401,-0.246301,0.032839,-0.256153,0.000000
12:39:14.551 PM 13/03/2018,-24.842249,2.655063,2.811043,2.548319,3.131229,0.111653,-0.328401,-0.246301,0.045975,-0.256153,0.000000
12:39:15.560 PM 13/03/2018,-26.975248,2.720742,2.876722,2.591010,3.160784,0.124789,-0.328401,-0.246301,0.039407,-0.256153,0.003284
12:39:16.573 PM 13/03/2018,-27.803596,2.738804,2.901351,2.602503,3.167352,0.108369,-0.328401,-0.243017,0.052543,-0.256153,0.000000
12:39:17.583 PM 13/03/2018,-28.108185,2.806125,2.950610,2.656688,3.218253,0.119863,-0.328401,-0.246301,0.042691,-0.256153,0.003284
12:39:18.593 PM 13/03/2018,-31.201962,2.861952,3.016289,2.692811,3.249450,0.118221,-0.331685,-0.243017,0.049259,-0.256153,0.003284
12:39:19.594 PM 13/03/2018,-33.898449,2.912853,3.063906,2.750280,3.283932,0.121505,-0.328401,-0.246301,0.042691,-0.256153,0.006568
12:39:20.604 PM 13/03/2018,-33.915665,2.944050,3.100030,2.790508,3.310203,0.108369,-0.328401,-0.246301,0.042691,-0.254511,0.006568
12:39:21.605 PM 13/03/2018,-35.794842,3.036001,3.187054,2.883279,3.369314,0.111653,-0.328401,-0.246301,0.029555,-0.229881,0.003284
12:39:22.615 PM 13/03/2018,-38.292461,3.095112,3.251091,2.927612,3.405438,0.131356,-0.328401,-0.252869,0.022987,-0.210177,0.003284
12:39:23.616 PM 13/03/2018,-40.512203,3.213334,3.344683,3.032697,3.518734,0.105085,-0.305413,-0.279141,0.003284,-0.190473,0.006568
12:39:24.617 PM 13/03/2018,-40.403389,3.210050,3.339757,3.037623,3.518734,0.114937,-0.302129,-0.275857,0.006568,-0.177337,0.006568
12:39:25.617 PM 13/03/2018,-40.141842,3.214976,3.347967,3.039265,3.518734,0.118221,-0.302129,-0.272573,0.006568,-0.174053,0.006568
12:39:26.617 PM 13/03/2018,-39.985134,3.208408,3.344683,3.039265,3.518734,0.128072,-0.302129,-0.279141,0.009852,-0.177337,0.003284
12:39:27.618 PM 13/03/2018,-39.880516,3.210050,3.341399,3.039265,3.520375,0.124789,-0.302129,-0.279141,-0.003284,-0.177337,0.006568
12:39:28.619 PM 13/03/2018,-39.785385,3.210050,3.343041,3.039265,3.518734,0.131356,-0.302129,-0.275857,0.000000,-0.177337,0.006568
12:39:29.620 PM 13/03/2018,-39.690037,3.210050,3.349609,3.039265,3.518734,0.124789,-0.302129,-0.275857,0.000000,-0.177337,0.003284
12:39:30.622 PM 13/03/2018,-39.630222,3.210050,3.357819,3.039265,3.522017,0.118221,-0.305413,-0.275857,0.003284,-0.177337,0.006568
12:39:31.630 PM 13/03/2018,-39.566654,3.212513,3.349609,3.039265,3.522017,0.118221,-0.302129,-0.279141,0.003284,-0.177337,0.003284
12:39:32.632 PM 13/03/2018,-39.516552,3.210050,3.343041,3.039265,3.518734,0.108369,-0.305413,-0.275857,0.013136,-0.177337,0.000000
12:39:33.633 PM 13/03/2018,-39.459167,3.203482,3.342220,3.039265,3.519555,0.114937,-0.302129,-0.275857,0.008210,-0.177337,0.006568
12:39:34.634 PM 13/03/2018,-33.930450,3.208408,3.347967,3.037623,3.507240,0.131356,-0.298845,-0.279141,0.006568,-0.177337,0.003284
12:39:35.635 PM 13/03/2018,-30.189316,3.214976,3.348788,3.037623,3.410363,0.118221,-0.292277,-0.275857,0.006568,-0.177337,0.003284
12:39:36.636 PM 13/03/2018,-28.865902,3.213334,3.343041,3.037623,3.405438,0.121505,-0.292277,-0.275857,0.011494,-0.177337,0.003284
12:39:37.638 PM 13/03/2018,-28.045280,3.213334,3.341399,3.035981,3.398049,0.121505,-0.295561,-0.275857,0.013136,-0.180621,0.000000
12:39:38.639 PM 13/03/2018,-28.045280,3.213334,3.352893,3.035981,3.400512,0.121505,-0.292277,-0.272573,0.003284,-0.177337,0.000000
12:39:39.640 PM 13/03/2018,-26.119534,3.149297,3.336473,3.003142,3.364388,0.118221,-0.288992,-0.275857,0.009852,-0.180621,0.003284
12:39:40.642 PM 13/03/2018,-25.411476,3.127951,3.326621,2.986722,3.356179,0.121505,-0.292277,-0.275857,0.003284,-0.183905,0.003284
12:39:41.644 PM 13/03/2018,-25.372629,3.123846,3.326621,2.986722,3.357821,0.118221,-0.292277,-0.275857,0.006568,-0.183905,0.000000
12:39:42.646 PM 13/03/2018,-25.386755,3.121383,3.324979,2.985080,3.357821,0.134640,-0.292277,-0.275857,-0.003284,-0.177337,-0.003284
12:39:43.646 PM 13/03/2018,-25.016394,3.093470,3.285572,2.968661,3.336475,0.124789,-0.295561,-0.275857,0.003284,-0.180621,0.000000
12:39:44.646 PM 13/03/2018,-22.648111,3.009729,3.195264,2.912834,3.288858,0.118221,-0.295561,-0.275857,0.000000,-0.180621,0.000000
12:39:45.648 PM 13/03/2018,-20.628340,2.929273,3.134511,2.855365,3.246166,0.118221,-0.295561,-0.275857,0.013136,-0.180621,0.000000
12:39:46.650 PM 13/03/2018,-19.683233,2.889865,3.090178,2.834020,3.229747,0.108369,-0.295561,-0.272573,0.006568,-0.180621,-0.003284
12:39:47.664 PM 13/03/2018,-19.736206,2.891507,3.077042,2.834020,3.229747,0.124789,-0.295561,-0.275857,0.006568,-0.183905,0.000000
12:39:48.677 PM 13/03/2018,-19.808821,2.891507,3.090178,2.832378,3.229747,0.111653,-0.295561,-0.275857,0.003284,-0.183905,-0.003284
12:39:49.679 PM 13/03/2018,-19.893135,2.894791,3.090178,2.834020,3.229747,0.105085,-0.295561,-0.272573,-0.003284,-0.180621,-0.003284
12:39:50.689 PM 13/03/2018,-19.905052,2.891507,3.086894,2.834020,3.229747,0.118221,-0.295561,-0.275857,0.003284,-0.180621,-0.003284
12:39:51.699 PM 13/03/2018,-19.935291,2.896433,3.083610,2.832378,3.228105,0.124789,-0.298845,-0.275857,0.000000,-0.183905,0.000000
12:39:52.709 PM 13/03/2018,-18.086132,2.847174,3.031067,2.796255,3.191982,0.121505,-0.295561,-0.275857,0.000000,-0.180621,-0.003284
