TimeStamp,Kyowa PG 500 KUM _Load in bar_(bar),LVDT12 - 50mm_Stud1_Axial_(mm),LVDT12 - 50mm_Stud2_Axial_(mm),LVDT12 - 50mm_Stud3_Axial_(mm),LVDT12 - 50mm_Stud4_Axial_(mm),LVDT Type 100mm_Stud2_Top_(mm),LVDT Type 100mm_Stud2_Mid_(mm),LVDT Type 100mm_Stud2_Bottom_(mm),LVDT Type 100mm_Stud3_Top_(mm),LVDT Type 100mm_Stud3_Mid_(mm),LVDT Type 100mm_Stud3_Bottom_(mm)
12:41:12.103 PM 13/03/2018,-18.051701,2.477730,2.541761,2.466221,2.948970,0.223306,-0.331685,-0.275857,0.131356,-0.223313,-0.082100
12:41:13.104 PM 13/03/2018,-16.976151,2.517138,2.576242,2.480998,2.971137,0.229874,-0.331685,-0.275857,0.131356,-0.223313,-0.080458
12:41:14.106 PM 13/03/2018,-19.191919,2.586921,2.641921,2.528615,3.052414,0.226590,-0.331685,-0.275857,0.137924,-0.223313,-0.078816
12:41:15.109 PM 13/03/2018,-19.024397,2.580353,2.646847,2.530257,3.050772,0.221664,-0.331685,-0.275857,0.141208,-0.223313,-0.075532
12:41:16.111 PM 13/03/2018,-21.189400,2.655884,2.737976,2.587726,3.100031,0.226590,-0.331685,-0.275857,0.137924,-0.220029,-0.073890
12:41:17.113 PM 13/03/2018,-21.724857,2.756866,2.843883,2.666540,3.159142,0.233158,-0.321833,-0.275857,0.134640,-0.220029,-0.068964
12:41:18.115 PM 13/03/2018,-24.743368,2.825828,2.911203,2.692811,3.187056,0.236442,-0.315265,-0.279141,0.147776,-0.220029,-0.068964
12:41:19.117 PM 13/03/2018,-24.527067,2.825828,2.909561,2.696095,3.190340,0.223306,-0.315265,-0.279141,0.141208,-0.220029,-0.065680
12:41:20.118 PM 13/03/2018,-25.695978,2.832396,2.929265,2.709231,3.200191,0.221664,-0.315265,-0.279141,0.136282,-0.220029,-0.065680
12:41:21.128 PM 13/03/2018,-29.219709,2.939124,3.049129,2.797897,3.267512,0.233158,-0.311981,-0.282425,0.141208,-0.220029,-0.068964
12:41:22.137 PM 13/03/2018,-29.811670,2.971964,3.080326,2.815958,3.285574,0.236442,-0.311981,-0.279141,0.134640,-0.220029,-0.072248
12:41:23.139 PM 13/03/2018,-30.484854,2.998235,3.109881,2.845514,3.305278,0.233158,-0.311981,-0.282425,0.131356,-0.216745,-0.065680
12:41:24.152 PM 13/03/2018,-31.713139,3.060630,3.172276,2.886563,3.339759,0.228232,-0.311981,-0.282425,0.137924,-0.220029,-0.059112
12:41:25.166 PM 13/03/2018,-33.796257,3.106606,3.234671,2.927612,3.372598,0.223306,-0.311981,-0.288993,0.144492,-0.216745,-0.052544
12:41:26.175 PM 13/03/2018,-36.767757,3.175569,3.290498,2.991648,3.412005,0.231516,-0.311981,-0.295561,0.128072,-0.210177,-0.052544
12:41:27.176 PM 13/03/2018,-39.118382,3.231396,3.343041,3.058969,3.456339,0.223306,-0.308697,-0.298845,0.111653,-0.206893,-0.045976
12:41:28.182 PM 13/03/2018,-40.862259,3.288865,3.408720,3.119721,3.638597,0.226590,-0.288992,-0.311981,0.091949,-0.131360,-0.045976
12:41:29.195 PM 13/03/2018,-42.064720,3.354544,3.477682,3.190325,3.705918,0.223306,-0.216744,-0.325117,0.075530,-0.085384,-0.045976
12:41:30.209 PM 13/03/2018,-43.253498,3.416939,3.526942,3.234658,3.756819,0.223306,-0.180620,-0.321833,0.065678,-0.055828,-0.042692
12:41:31.215 PM 13/03/2018,-44.583309,3.449778,3.551571,3.269961,3.814288,0.221664,-0.170768,-0.328401,0.055826,-0.026272,-0.032840
12:41:32.223 PM 13/03/2018,-45.270180,3.497395,3.609040,3.315114,3.916090,0.210170,-0.151064,-0.331685,0.039407,0.036124,-0.036124
12:41:33.232 PM 13/03/2018,-45.348972,3.510531,3.613145,3.321682,3.921837,0.200319,-0.154348,-0.331685,0.029555,0.042692,-0.032840
12:41:34.233 PM 13/03/2018,-46.893986,3.589346,3.661583,3.390645,3.976843,0.200319,-0.108372,-0.331685,0.006568,0.082100,-0.029556
12:41:35.241 PM 13/03/2018,-47.026196,3.632037,3.709200,3.436620,4.011325,0.183899,-0.068964,-0.331685,-0.019703,0.134645,-0.016420
12:41:36.249 PM 13/03/2018,-48.396843,3.681296,3.760101,3.494088,4.040880,0.185541,-0.022988,-0.334969,-0.042691,0.197041,0.003284
12:41:37.257 PM 13/03/2018,-48.188267,3.776531,3.828243,3.581112,4.121337,0.157628,0.049260,-0.331685,-0.082098,0.305413,0.006568
12:41:38.258 PM 13/03/2018,-49.996811,3.794593,3.852051,3.595890,4.132831,0.141208,0.065680,-0.334969,-0.101801,0.328401,0.009852
12:41:39.260 PM 13/03/2018,-50.726719,3.917741,3.953854,3.737099,4.282250,0.124789,0.187188,-0.334969,-0.147776,0.476182,0.052544
12:41:40.262 PM 13/03/2018,-52.527321,3.975210,3.989977,3.761728,4.303596,0.083740,0.213460,-0.334969,-0.193751,0.512306,0.068964
12:41:41.264 PM 13/03/2018,-53.570206,4.054025,4.049088,3.817555,4.352855,0.059110,0.252869,-0.334969,-0.216738,0.584554,0.085384
12:41:42.266 PM 13/03/2018,-53.282612,4.060593,4.058940,3.822481,4.356139,0.032839,0.256153,-0.334969,-0.229873,0.591122,0.088668
12:41:43.267 PM 13/03/2018,-54.619709,4.145976,4.113125,3.879950,4.408682,0.016420,0.298845,-0.334969,-0.256145,0.630531,0.098520
12:41:44.269 PM 13/03/2018,-54.347343,4.208371,4.185371,3.939060,4.487497,0.009852,0.344821,-0.334969,-0.279132,0.709347,0.118224
12:41:45.269 PM 13/03/2018,-56.309071,4.274049,4.269112,3.976825,4.556459,-0.022987,0.380945,-0.334969,-0.298836,0.768459,0.147779
12:41:46.271 PM 13/03/2018,-55.900967,4.333160,4.316729,4.017875,4.650052,-0.032839,0.403933,-0.334969,-0.315255,0.781595,0.151063
12:41:47.273 PM 13/03/2018,-57.041405,4.379136,4.336433,4.042504,4.677966,-0.059110,0.420353,-0.334969,-0.338242,0.791447,0.157631
12:41:48.275 PM 13/03/2018,-57.618797,4.421827,4.367630,4.070417,4.727225,-0.078814,0.420353,-0.334969,-0.344810,0.791447,0.157631
12:41:49.276 PM 13/03/2018,-57.677509,4.502284,4.431667,4.150874,4.789620,-0.088666,0.528725,-0.334969,-0.371081,0.883400,0.174051
12:41:50.279 PM 13/03/2018,-59.515411,4.571247,4.466149,4.277305,4.827385,-0.131356,0.561565,-0.331685,-0.384217,0.922808,0.193755
12:41:51.285 PM 13/03/2018,-58.937134,4.630358,4.538395,4.306860,4.873361,-0.137924,0.561565,-0.334969,-0.390785,0.926092,0.190471
12:41:52.287 PM 13/03/2018,-60.699993,4.666482,4.559741,4.333132,4.904558,-0.151060,0.564849,-0.331685,-0.400637,0.926092,0.190471
12:41:53.294 PM 13/03/2018,-61.238541,4.704247,4.584371,4.359403,4.929188,-0.167479,0.568133,-0.331685,-0.410488,0.926092,0.190471
12:41:54.295 PM 13/03/2018,-60.862000,4.730519,4.623778,4.388958,4.952175,-0.157628,0.574701,-0.334969,-0.403921,0.926092,0.190471
12:41:55.297 PM 13/03/2018,-61.803574,4.791272,4.696025,4.438218,4.993225,-0.190467,0.614109,-0.334969,-0.407204,0.949080,0.193755
12:41:56.299 PM 13/03/2018,-62.866100,4.868445,4.747747,4.471057,5.022780,-0.206886,0.666654,-0.334969,-0.410488,0.970426,0.193755
12:41:57.309 PM 13/03/2018,-64.451942,5.162359,4.832308,4.569575,5.095027,-0.252861,0.715914,-0.331685,-0.417056,0.975352,0.190471
12:41:58.320 PM 13/03/2018,-64.096153,5.292076,4.927543,4.650031,5.211607,-0.279132,0.729050,-0.334969,-0.413772,0.972068,0.187187
12:41:59.321 PM 13/03/2018,-65.985481,5.361039,4.968592,4.674660,5.237879,-0.298836,0.745470,-0.331685,-0.417056,0.975352,0.183903
12:42:00.323 PM 13/03/2018,-66.783371,5.448063,5.016210,4.730487,5.333113,-0.334959,0.771742,-0.334969,-0.413772,0.975352,0.187187
12:42:01.324 PM 13/03/2018,-66.645424,5.535089,5.058080,4.756759,5.364311,-0.328391,0.788162,-0.325117,-0.413772,0.975352,0.187187
12:42:02.326 PM 13/03/2018,-68.499435,5.681224,5.144283,4.815869,5.416854,-0.364514,0.824286,-0.318549,-0.410488,0.975352,0.183903
12:42:03.327 PM 13/03/2018,-68.271217,5.822435,5.241160,4.896326,5.490743,-0.380933,0.843990,-0.315265,-0.420340,0.975352,0.187187
12:42:04.328 PM 13/03/2018,-69.871185,5.856916,5.254295,4.901252,5.490743,-0.394069,0.850558,-0.305413,-0.417056,0.975352,0.183903
12:42:05.339 PM 13/03/2018,-70.410393,5.925879,5.301913,4.942301,5.526866,-0.400637,0.860410,-0.302129,-0.410488,0.975352,0.183903
12:42:06.341 PM 13/03/2018,-70.917160,5.982528,5.333931,4.962004,5.543286,-0.400637,0.870262,-0.298845,-0.412130,0.975352,0.177335
12:42:07.344 PM 13/03/2018,-72.014999,6.045744,5.389759,4.998127,5.571200,-0.417056,0.880114,-0.302129,-0.410488,0.975352,0.177335
12:42:08.346 PM 13/03/2018,-72.121384,6.090078,5.406999,5.014547,5.582694,-0.426908,0.886682,-0.302129,-0.410488,0.978636,0.180619
12:42:09.348 PM 13/03/2018,-73.371742,6.218152,5.502234,5.086794,5.648373,-0.436760,0.893250,-0.302129,-0.410488,0.972068,0.180619
12:42:10.350 PM 13/03/2018,-72.925453,6.287116,5.553135,5.114707,5.677928,-0.417056,0.896534,-0.298845,-0.410488,0.975352,0.177335
12:42:11.352 PM 13/03/2018,-74.072739,6.344585,5.589258,5.134411,5.697632,-0.440044,0.912954,-0.298845,-0.407204,0.972068,0.174051
12:42:12.353 PM 13/03/2018,-73.889763,6.479227,5.694345,5.213225,5.778089,-0.433476,0.972066,-0.298845,-0.413772,0.978636,0.174051
12:42:13.355 PM 13/03/2018,-76.028938,6.518635,5.739499,5.239497,5.801076,-0.443328,0.978634,-0.288993,-0.410488,0.975352,0.174051
12:42:14.357 PM 13/03/2018,-77.761780,6.562968,5.809283,5.280546,5.830632,-0.459747,0.981918,-0.282425,-0.410488,0.975352,0.177335
12:42:15.359 PM 13/03/2018,-77.761780,6.600734,5.858542,5.314206,5.864293,-0.456463,0.988486,-0.275857,-0.417056,0.975352,0.177335
12:42:16.371 PM 13/03/2018,-77.741478,6.627006,5.888098,5.342940,5.886459,-0.463031,0.995054,-0.279141,-0.410488,0.972068,0.174051
12:42:17.372 PM 13/03/2018,-78.585274,6.659024,5.952135,5.377422,5.917657,-0.466315,1.004906,-0.275857,-0.415414,0.975352,0.174051
12:42:18.374 PM 13/03/2018,-81.712601,6.786278,6.145888,5.497285,6.044089,-0.472883,1.024611,-0.275857,-0.410488,0.967142,0.174051
12:42:19.376 PM 13/03/2018,-81.712601,6.805982,6.209925,5.515347,6.058867,-0.482735,1.024611,-0.275857,-0.420340,0.965500,0.174051
12:42:20.376 PM 13/03/2018,-82.499229,6.847032,6.259184,5.561322,6.101558,-0.469599,1.021327,-0.275857,-0.407204,0.962216,0.167483
12:42:21.387 PM 13/03/2018,-82.222450,6.871661,6.300234,5.587594,6.132756,-0.472883,1.024611,-0.275857,-0.420340,0.958932,0.170767
12:42:22.389 PM 13/03/2018,-83.154533,6.884797,6.337999,5.613865,6.155743,-0.479451,1.021327,-0.275857,-0.417056,0.952364,0.169125
12:42:23.391 PM 13/03/2018,-83.785561,6.915995,6.367555,5.646704,6.188583,-0.486019,1.018042,-0.279141,-0.417056,0.952364,0.167483
12:42:24.393 PM 13/03/2018,-84.374878,6.948834,6.408604,5.672976,6.214855,-0.486019,1.018042,-0.275857,-0.410488,0.949080,0.167483
12:42:25.396 PM 13/03/2018,-85.276505,6.968538,6.444727,5.714025,6.255904,-0.469599,1.018042,-0.275857,-0.403921,0.942512,0.167483
12:42:26.396 PM 13/03/2018,-85.508911,7.029292,6.507123,5.778062,6.321583,-0.472883,1.014758,-0.275857,-0.410488,0.935944,0.167483
12:42:27.397 PM 13/03/2018,-86.632141,7.067057,6.576086,5.840456,6.397114,-0.479451,1.008191,-0.275857,-0.410488,0.903104,0.164199
12:42:28.404 PM 13/03/2018,-87.398247,7.085119,6.594148,5.874938,6.421744,-0.482735,0.998338,-0.275857,-0.407204,0.863696,0.154347
12:42:29.418 PM 13/03/2018,-89.831635,7.173786,6.709086,5.981666,6.541608,-0.469599,0.937584,-0.275857,-0.410488,0.821003,0.147779
12:42:30.424 PM 13/03/2018,-89.326859,7.181996,6.746851,6.003011,6.571164,-0.472883,0.876830,-0.275857,-0.417056,0.788163,0.134643
12:42:31.435 PM 13/03/2018,-91.087074,7.237823,6.792827,6.067048,6.631917,-0.472883,0.840706,-0.277499,-0.410488,0.758607,0.124792
12:42:32.437 PM 13/03/2018,-91.383270,7.264916,6.837981,6.114665,6.672966,-0.479451,0.791446,-0.279141,-0.408846,0.722483,0.121508
12:42:33.438 PM 13/03/2018,-91.300064,7.285441,6.868358,6.149147,6.717300,-0.479451,0.765174,-0.275857,-0.410488,0.689643,0.111656
12:42:34.446 PM 13/03/2018,-92.232368,7.295293,6.889704,6.173776,6.755065,-0.479451,0.738902,-0.275857,-0.417056,0.630531,0.105088
12:42:35.454 PM 13/03/2018,-93.271942,7.323207,6.921722,6.211541,6.891349,-0.466315,0.725766,-0.272573,-0.407204,0.597690,0.101804
12:42:36.455 PM 13/03/2018,-93.251190,7.341269,6.942247,6.237813,6.920905,-0.472883,0.709346,-0.275857,-0.407204,0.571418,0.091952
12:42:37.457 PM 13/03/2018,-95.123085,7.383960,7.003000,6.291998,6.984942,-0.469599,0.673222,-0.275857,-0.410488,0.505738,0.085384
12:42:38.457 PM 13/03/2018,-95.233444,7.400380,7.034198,6.341257,7.039128,-0.476167,0.597689,-0.275857,-0.407204,0.459762,0.068964
12:42:39.459 PM 13/03/2018,-95.478218,7.421726,7.073605,6.375738,7.076893,-0.463031,0.568133,-0.279141,-0.407204,0.417070,0.065680
12:42:40.461 PM 13/03/2018,-97.228714,7.482479,7.142568,6.451269,7.157350,-0.474525,0.545145,-0.279141,-0.397353,0.362883,0.059112
12:42:41.463 PM 13/03/2018,-96.883957,7.502183,7.160630,6.474257,7.186906,-0.459747,0.512305,-0.279141,-0.384217,0.321833,0.062396
12:42:42.465 PM 13/03/2018,-98.278664,7.535023,7.208247,6.533367,7.241091,-0.472883,0.463045,-0.279141,-0.351378,0.285709,0.055828
12:42:43.467 PM 13/03/2018,-99.756798,7.577714,7.270643,6.592478,7.303486,-0.482735,0.420353,-0.275857,-0.328391,0.243017,0.045976
12:42:44.479 PM 13/03/2018,-99.644890,7.592492,7.303482,6.618750,7.331400,-0.476167,0.400649,-0.275857,-0.302119,0.203609,0.016420
12:42:45.489 PM 13/03/2018,-100.292915,7.618764,7.319902,6.649947,7.360956,-0.469599,0.380945,-0.275857,-0.292268,0.200325,0.013136
12:42:46.500 PM 13/03/2018,-100.292915,7.631900,7.339606,6.679502,7.390512,-0.459747,0.338253,-0.275857,-0.279132,0.164201,0.009852
12:42:47.512 PM 13/03/2018,-101.940559,7.658172,7.380655,6.720552,7.429919,-0.440044,0.331685,-0.275857,-0.262713,0.118224,0.006568
12:42:48.524 PM 13/03/2018,-101.286140,7.672949,7.406927,6.758317,7.459475,-0.433476,0.305413,-0.275857,-0.252861,0.078816,0.003284
12:42:49.526 PM 13/03/2018,-102.829163,7.702505,7.447976,6.794440,7.492314,-0.433476,0.262721,-0.275857,-0.233157,0.062396,-0.009852
12:42:50.527 PM 13/03/2018,-102.784576,7.722209,7.480816,6.823996,7.516944,-0.420340,0.239732,-0.275857,-0.220022,0.042692,-0.013136
12:42:51.529 PM 13/03/2018,-103.328644,7.733703,7.498878,6.848626,7.536648,-0.413773,0.210176,-0.275857,-0.206886,0.019704,-0.019704
12:42:52.531 PM 13/03/2018,-103.834526,7.753407,7.541569,6.888033,7.564561,-0.387501,0.183904,-0.275857,-0.200318,-0.009852,-0.026272
12:42:53.533 PM 13/03/2018,-103.834526,7.764901,7.564557,6.906095,7.587549,-0.387501,0.147780,-0.275857,-0.190467,-0.049260,-0.042692
12:42:54.534 PM 13/03/2018,-104.168243,7.779678,7.586724,6.927440,7.626956,-0.371082,0.137928,-0.275857,-0.167479,-0.065680,-0.042692
12:42:55.535 PM 13/03/2018,-104.168243,7.786246,7.595755,6.938934,7.699204,-0.367798,0.128076,-0.275857,-0.157628,-0.078816,-0.055828
12:42:56.537 PM 13/03/2018,-104.449661,7.805950,7.615458,6.963563,7.771451,-0.354662,0.114940,-0.275857,-0.144492,-0.085384,-0.068964
12:42:57.539 PM 13/03/2018,-105.208481,7.814981,7.622026,6.979983,7.801007,-0.357946,0.105088,-0.275857,-0.137924,-0.088668,-0.075532
12:42:58.541 PM 13/03/2018,-105.888504,7.845358,7.661434,7.014464,7.823994,-0.348094,0.062396,-0.279141,-0.131356,-0.105088,-0.062396
12:42:59.543 PM 13/03/2018,-106.101501,7.863420,7.690989,7.040736,7.846982,-0.341527,0.032840,-0.275857,-0.119863,-0.118224,-0.059112
12:43:00.546 PM 13/03/2018,-106.255775,7.884766,7.710693,7.058798,7.866686,-0.338243,0.013136,-0.275857,-0.105085,-0.131360,-0.082100
12:43:01.548 PM 13/03/2018,-107.075958,7.896259,7.746817,7.081785,7.889674,-0.321823,-0.006568,-0.275857,-0.098517,-0.177337,-0.091952
12:43:02.551 PM 13/03/2018,-107.040642,7.901186,7.745175,7.098205,7.896242,-0.311971,-0.022988,-0.279141,-0.075530,-0.206893,-0.095236
12:43:03.561 PM 13/03/2018,-107.120102,7.907753,7.764058,7.117908,7.911019,-0.302120,-0.026272,-0.282425,-0.062394,-0.216745,-0.098520
12:43:04.572 PM 13/03/2018,-107.745834,7.920889,7.784582,7.142538,7.930723,-0.295552,-0.026272,-0.292277,-0.049259,-0.216745,-0.098520
12:43:05.583 PM 13/03/2018,-107.795494,7.937309,7.791150,7.162242,7.947143,-0.292268,-0.032840,-0.298845,-0.036123,-0.226597,-0.131359
12:43:06.585 PM 13/03/2018,-108.304466,7.962760,7.814959,7.178661,7.966847,-0.288984,-0.049260,-0.298845,-0.039407,-0.266005,-0.147779
12:43:07.586 PM 13/03/2018,-108.893112,7.975075,7.838768,7.208217,7.993118,-0.282416,-0.065680,-0.305413,-0.022987,-0.292277,-0.157631
12:43:08.588 PM 13/03/2018,-109.084473,7.983285,7.841230,7.222995,8.004612,-0.298836,-0.085384,-0.311981,-0.022987,-0.318549,-0.174051
12:43:09.602 PM 13/03/2018,-109.185120,7.989853,7.869965,7.236131,8.021032,-0.288984,-0.101804,-0.338253,-0.004926,-0.334969,-0.200323
12:43:10.604 PM 13/03/2018,-109.470062,8.001347,7.876533,7.250908,8.034168,-0.285700,-0.111656,-0.472897,0.003284,-0.354673,-0.308695
12:43:11.606 PM 13/03/2018,-110.119415,8.021050,7.899521,7.285390,8.057156,-0.282416,-0.121508,-0.476181,0.013136,-0.374377,-0.311979
12:43:12.608 PM 13/03/2018,-110.293335,8.037471,7.915941,7.313303,8.075217,-0.272564,-0.137928,-0.472897,0.022987,-0.397365,-0.315263
12:43:13.621 PM 13/03/2018,-110.820625,8.045680,7.937286,7.339575,8.088353,-0.275848,-0.141212,-0.472897,0.029555,-0.403933,-0.310337
12:43:14.623 PM 13/03/2018,-110.875366,8.056354,7.953706,7.365846,8.104774,-0.272564,-0.141212,-0.476181,0.036123,-0.403933,-0.311979
12:43:15.624 PM 13/03/2018,-111.227188,8.062100,7.961916,7.378982,8.112983,-0.275848,-0.141212,-0.472897,0.042691,-0.417069,-0.321831
12:43:16.626 PM 13/03/2018,-111.334892,8.067026,7.966842,7.400328,8.129403,-0.272564,-0.141212,-0.472897,0.049259,-0.420353,-0.331683
12:43:17.629 PM 13/03/2018,-111.334892,8.076878,7.975052,7.424957,8.145823,-0.265997,-0.141212,-0.476181,0.057468,-0.420353,-0.338251
12:43:18.642 PM 13/03/2018,-111.689148,8.075236,7.976694,7.433167,8.149107,-0.275848,-0.141212,-0.476181,0.062394,-0.433490,-0.357955
12:43:19.643 PM 13/03/2018,-111.810760,8.076878,7.996397,7.447945,8.158958,-0.279132,-0.144496,-0.476181,0.068962,-0.436774,-0.361239
12:43:20.645 PM 13/03/2018,-111.684952,8.086730,7.994756,7.456155,8.165526,-0.275848,-0.144496,-0.476181,0.090307,-0.436774,-0.357955
12:43:21.647 PM 13/03/2018,-112.050674,8.116285,8.029238,7.482426,8.193440,-0.265997,-0.147780,-0.472897,0.085382,-0.446626,-0.361239
12:43:22.648 PM 13/03/2018,-112.789635,8.122853,8.032521,7.505414,8.206576,-0.265997,-0.157632,-0.476181,0.088665,-0.486034,-0.361239
12:43:23.650 PM 13/03/2018,-113.403664,8.142557,8.050583,7.533328,8.224638,-0.269281,-0.164200,-0.472897,0.095233,-0.518874,-0.380942
12:43:24.652 PM 13/03/2018,-113.403664,8.162261,8.075212,7.564525,8.250910,-0.279132,-0.164200,-0.472897,0.111653,-0.525442,-0.380942
12:43:25.654 PM 13/03/2018,-114.198021,8.168829,8.088348,7.584229,8.264046,-0.265997,-0.164200,-0.476181,0.124788,-0.532010,-0.384226
12:43:26.667 PM 13/03/2018,-114.937645,8.195101,8.106410,7.613784,8.288675,-0.262713,-0.164200,-0.472897,0.128072,-0.541862,-0.387510
12:43:27.668 PM 13/03/2018,-114.943825,8.188533,8.101484,7.626920,8.298528,-0.265997,-0.167484,-0.472897,0.131356,-0.545146,-0.387510
12:43:28.670 PM 13/03/2018,-115.121941,8.200027,8.131041,7.644981,8.313305,-0.269281,-0.167484,-0.476181,0.128072,-0.548430,-0.387510
12:43:29.670 PM 13/03/2018,-115.474205,8.211521,8.139250,7.666327,8.324799,-0.272564,-0.167484,-0.472897,0.124788,-0.548430,-0.387510
12:43:30.671 PM 13/03/2018,-115.533134,8.224657,8.155670,7.684389,8.337934,-0.265997,-0.167484,-0.472897,0.137924,-0.548430,-0.394078
12:43:31.671 PM 13/03/2018,-116.542473,8.236151,8.157311,7.700809,8.352713,-0.269281,-0.167484,-0.476181,0.137924,-0.548430,-0.394078
12:43:32.673 PM 13/03/2018,-116.358391,8.252571,8.190151,7.730364,8.380627,-0.265997,-0.167484,-0.476181,0.134640,-0.545146,-0.397362
12:43:33.687 PM 13/03/2018,-117.002441,8.270633,8.200004,7.748425,8.393763,-0.275848,-0.170768,-0.472897,0.134640,-0.545146,-0.394078
12:43:34.701 PM 13/03/2018,-117.177467,8.285410,8.204929,7.769772,8.411824,-0.275848,-0.170768,-0.472897,0.134640,-0.548430,-0.394078
12:43:35.716 PM 13/03/2018,-118.423630,8.305114,8.238590,7.800969,8.438096,-0.272564,-0.167484,-0.474539,0.141208,-0.548430,-0.394078
12:43:36.725 PM 13/03/2018,-118.241760,8.313324,8.250905,7.820673,8.457800,-0.265997,-0.167484,-0.472897,0.141208,-0.548430,-0.397362
12:43:37.727 PM 13/03/2018,-118.835045,8.336312,8.265682,7.838734,8.475862,-0.265997,-0.167484,-0.476181,0.147776,-0.548430,-0.397362
12:43:38.729 PM 13/03/2018,-119.642204,8.359300,8.275535,7.869932,8.498849,-0.265997,-0.170768,-0.476181,0.157628,-0.548430,-0.397362
12:43:39.740 PM 13/03/2018,-120.259544,8.370793,8.308374,7.892919,8.513627,-0.282416,-0.167484,-0.476181,0.141208,-0.548430,-0.394078
12:43:40.742 PM 13/03/2018,-120.259544,8.388035,8.318226,7.910981,8.534973,-0.269281,-0.170768,-0.476181,0.147776,-0.545146,-0.394078
12:43:41.744 PM 13/03/2018,-120.797653,8.392139,8.331362,7.932327,8.553035,-0.265997,-0.170768,-0.476181,0.151060,-0.548430,-0.397362
12:43:42.746 PM 13/03/2018,-121.126076,8.408560,8.342855,7.948746,8.571096,-0.256145,-0.170768,-0.476181,0.157628,-0.548430,-0.397362
12:43:43.748 PM 13/03/2018,-121.297134,8.413486,8.351066,7.960240,8.582590,-0.259429,-0.170768,-0.476181,0.157628,-0.548430,-0.400646
12:43:44.750 PM 13/03/2018,-122.472443,8.433189,8.370770,7.998005,8.607220,-0.272564,-0.170768,-0.476181,0.164195,-0.548430,-0.397362
12:43:45.754 PM 13/03/2018,-122.472443,8.449609,8.379801,8.017709,8.625282,-0.272564,-0.170768,-0.476181,0.167479,-0.548430,-0.397362
12:43:46.756 PM 13/03/2018,-122.346642,8.464387,8.393757,8.032487,8.635134,-0.275848,-0.170768,-0.495885,0.167479,-0.548430,-0.440054
12:43:47.756 PM 13/03/2018,-122.597816,8.472597,8.402788,8.042338,8.646627,-0.267639,-0.170768,-0.643666,0.174047,-0.548430,-0.581266
12:43:48.758 PM 13/03/2018,-123.114288,8.485733,8.415103,8.062042,8.659763,-0.265997,-0.170768,-0.643666,0.169121,-0.546788,-0.581266
12:43:49.760 PM 13/03/2018,-123.676453,8.493943,8.483245,8.088314,8.684394,-0.272564,-0.170768,-0.643666,0.180615,-0.545146,-0.582908
12:43:50.768 PM 13/03/2018,-124.007523,8.513647,8.551388,8.111301,8.702456,-0.272564,-0.170768,-0.643666,0.174047,-0.551714,-0.584550
12:43:51.770 PM 13/03/2018,-124.310791,8.521856,8.554671,8.137573,8.717233,-0.275848,-0.170768,-0.643666,0.187183,-0.548430,-0.584550
12:43:52.779 PM 13/03/2018,-124.207275,8.526783,8.544820,8.145783,8.720517,-0.275848,-0.170768,-0.643666,0.187183,-0.548430,-0.584550
12:43:53.789 PM 13/03/2018,-124.774292,8.543202,8.564524,8.172054,8.743505,-0.269281,-0.170768,-0.646950,0.190467,-0.548430,-0.591118
12:43:54.798 PM 13/03/2018,-125.302689,8.557981,8.562881,8.188475,8.759925,-0.269281,-0.170768,-0.643666,0.188825,-0.545146,-0.591118
12:43:55.800 PM 13/03/2018,-125.402229,8.561264,8.585869,8.204894,8.771419,-0.269281,-0.170768,-0.643666,0.188825,-0.548430,-0.591118
12:43:56.811 PM 13/03/2018,-125.377068,8.574400,8.589153,8.213104,8.779629,-0.279132,-0.170768,-0.643666,0.193751,-0.548430,-0.587834
12:43:57.813 PM 13/03/2018,-125.598450,8.576042,8.600647,8.219672,8.788659,-0.265997,-0.170768,-0.643666,0.200318,-0.548430,-0.591118
12:43:58.823 PM 13/03/2018,-126.166794,8.595746,8.612141,8.250870,8.809184,-0.262713,-0.170768,-0.643666,0.198676,-0.545146,-0.594402
12:43:59.825 PM 13/03/2018,-126.404282,8.594104,8.608036,8.262363,8.819036,-0.262713,-0.170768,-0.643666,0.213454,-0.545146,-0.591118
12:44:00.827 PM 13/03/2018,-126.605133,8.618734,8.636770,8.288635,8.843666,-0.265997,-0.170768,-0.646950,0.200318,-0.548430,-0.594402
12:44:01.829 PM 13/03/2018,-127.328423,8.626944,8.646623,8.300129,8.853518,-0.269281,-0.170768,-0.643666,0.213454,-0.548430,-0.591118
12:44:02.831 PM 13/03/2018,-128.146835,8.648290,8.672894,8.329684,8.874864,-0.269281,-0.170768,-0.643666,0.213454,-0.548430,-0.600969
12:44:03.833 PM 13/03/2018,-128.249908,8.672919,8.679462,8.355956,8.899493,-0.269281,-0.170768,-0.643666,0.220022,-0.548430,-0.607538
12:44:04.835 PM 13/03/2018,-128.764618,8.677846,8.702450,8.372375,8.909346,-0.262713,-0.170768,-0.643666,0.223306,-0.548430,-0.610821
12:44:05.836 PM 13/03/2018,-129.190598,8.684414,8.700808,8.392079,8.919197,-0.279132,-0.170768,-0.643666,0.226590,-0.548430,-0.610821
12:44:06.838 PM 13/03/2018,-129.663818,8.712327,8.714765,8.408499,8.940543,-0.274206,-0.170768,-0.646950,0.239725,-0.551714,-0.615747
