TimeStamp,Kyowa PG 500 KUM _Load in bar_(bar),Load in kN,Load in kN-20 added,Stud1_Axial-O,Stud1_Axial-Zero,Stud1_Axial-O,Stud2_Axial-O,Stud2_Axial-Zero,Stud2_Axial,Stud3_Axial-O,Stud3_Axial-Zero,,Stud4_Axial-O,Stud4_Axial-Zero,Stud4_Axial-O,Stud2_Top-O,Stud2_Top,Stud2_Mid-O,Stud2_Mid,Stud2_Bottom-O,Stud2_Bottom,Stud3_Top-O,Stud3_Top,Stud3_Mid-O,Stud3_Mid,Stud3_Bottom-O,Stud3_Bottom
41:51.3,-58.937134,18.93650115,25.36250115,4.630358,4.668123,,4.538395,4.56795,,4.30686,4.301934,,4.873361,4.865972,,-0.137924,-0.128072,0.561565,0.556639,-0.334969,-0.321833,-0.390785,-0.384217,0.926092,0.942512,0.190471,0.185545
41:52.3,-60.699993,19.50290775,25.92890775,4.666482,4.704247,,4.559741,4.589296,,4.333132,4.328206,,4.904558,4.897169,,-0.15106,-0.141208,0.564849,0.559923,-0.331685,-0.318549,-0.400637,-0.394069,0.926092,0.942512,0.190471,0.185545
41:53.3,-61.238541,19.67594322,26.10194322,4.704247,4.742012,,4.584371,4.613926,,4.359403,4.354477,,4.929188,4.921799,,-0.167479,-0.157627,0.568133,0.563207,-0.331685,-0.318549,-0.410488,-0.40392,0.926092,0.942512,0.190471,0.185545
41:54.3,-60.862,19.5549606,25.9809606,4.730519,4.768284,,4.623778,4.653333,,4.388958,4.384032,,4.952175,4.944786,,-0.157628,-0.147776,0.574701,0.569775,-0.334969,-0.321833,-0.403921,-0.397353,0.926092,0.942512,0.190471,0.185545
41:55.3,-61.803574,19.85748833,26.28348833,4.791272,4.829037,,4.696025,4.72558,,4.438218,4.433292,,4.993225,4.985836,,-0.190467,-0.180615,0.614109,0.609183,-0.334969,-0.321833,-0.407204,-0.400636,0.94908,0.9655,0.193755,0.188829
41:56.3,-62.8661,20.19887793,26.62487793,4.868445,4.90621,,4.747747,4.777302,,4.471057,4.466131,,5.02278,5.015391,,-0.206886,-0.197034,0.666654,0.661728,-0.334969,-0.321833,-0.410488,-0.40392,0.970426,0.986846,0.193755,0.188829
41:57.3,-64.451942,20.70840896,27.13440896,5.162359,5.200124,,4.832308,4.861863,,4.569575,4.564649,,5.095027,5.087638,,-0.252861,-0.243009,0.715914,0.710988,-0.331685,-0.318549,-0.417056,-0.410488,0.975352,0.991772,0.190471,0.185545
41:58.3,-64.096153,20.59409396,27.02009396,5.292076,5.329841,,4.927543,4.957098,,4.650031,4.645105,,5.211607,5.204218,,-0.279132,-0.26928,0.72905,0.724124,-0.334969,-0.321833,-0.413772,-0.407204,0.972068,0.988488,0.187187,0.182261
41:59.3,-65.985481,21.20113505,27.62713505,5.361039,5.398804,,4.968592,4.998147,,4.67466,4.669734,,5.237879,5.23049,,-0.298836,-0.288984,0.74547,0.740544,-0.331685,-0.318549,-0.417056,-0.410488,0.975352,0.991772,0.183903,0.178977
42:00.3,-66.783371,21.4574971,27.8834971,5.448063,5.485828,,5.01621,5.045765,,4.730487,4.725561,,5.333113,5.325724,,-0.334959,-0.325107,0.771742,0.766816,-0.334969,-0.321833,-0.413772,-0.407204,0.975352,0.991772,0.187187,0.182261
42:01.3,-66.645424,21.41317473,27.83917473,5.535089,5.572854,,5.05808,5.087635,,4.756759,4.751833,,5.364311,5.356922,,-0.328391,-0.318539,0.788162,0.783236,-0.325117,-0.311981,-0.413772,-0.407204,0.975352,0.991772,0.187187,0.182261
42:02.3,-68.499435,22.00886847,28.43486847,5.681224,5.718989,,5.144283,5.173838,,4.815869,4.810943,,5.416854,5.409465,,-0.364514,-0.354662,0.824286,0.81936,-0.318549,-0.305413,-0.410488,-0.40392,0.975352,0.991772,0.183903,0.178977
42:03.3,-68.271217,21.93554202,28.36154202,5.822435,5.8602,,5.24116,5.270715,,4.896326,4.8914,,5.490743,5.483354,,-0.380933,-0.371081,0.84399,0.839064,-0.315265,-0.302129,-0.42034,-0.413772,0.975352,0.991772,0.187187,0.182261
42:04.3,-69.871185,22.44961174,28.87561174,5.856916,5.894681,,5.254295,5.28385,,4.901252,4.896326,,5.490743,5.483354,,-0.394069,-0.384217,0.850558,0.845632,-0.305413,-0.292277,-0.417056,-0.410488,0.975352,0.991772,0.183903,0.178977
42:05.3,-70.410393,22.62285927,29.04885927,5.925879,5.963644,,5.301913,5.331468,,4.942301,4.937375,,5.526866,5.519477,,-0.400637,-0.390785,0.86041,0.855484,-0.302129,-0.288993,-0.410488,-0.40392,0.975352,0.991772,0.183903,0.178977
42:06.3,-70.91716,22.78568351,29.21168351,5.982528,6.020293,,5.333931,5.363486,,4.962004,4.957078,,5.543286,5.535897,,-0.400637,-0.390785,0.870262,0.865336,-0.298845,-0.285709,-0.41213,-0.405562,0.975352,0.991772,0.177335,0.172409
42:07.3,-72.014999,23.13841918,29.56441918,6.045744,6.083509,,5.389759,5.419314,,4.998127,4.993201,,5.5712,5.563811,,-0.417056,-0.407204,0.880114,0.875188,-0.302129,-0.288993,-0.410488,-0.40392,0.975352,0.991772,0.177335,0.172409
42:08.3,-72.121384,23.17260068,29.59860068,6.090078,6.127843,,5.406999,5.436554,,5.014547,5.009621,,5.582694,5.575305,,-0.426908,-0.417056,0.886682,0.881756,-0.302129,-0.288993,-0.410488,-0.40392,0.978636,0.995056,0.180619,0.175693
42:09.3,-73.371742,23.5743407,30.0003407,6.218152,6.255917,,5.502234,5.531789,,5.086794,5.081868,,5.648373,5.640984,,-0.43676,-0.426908,0.89325,0.888324,-0.302129,-0.288993,-0.410488,-0.40392,0.972068,0.988488,0.180619,0.175693
42:10.3,-72.925453,23.43094805,29.85694805,6.287116,6.324881,,5.553135,5.58269,,5.114707,5.109781,,5.677928,5.670539,,-0.417056,-0.407204,0.896534,0.891608,-0.298845,-0.285709,-0.410488,-0.40392,0.975352,0.991772,0.177335,0.172409
42:11.4,-74.072739,23.79957104,30.22557104,6.344585,6.38235,,5.589258,5.618813,,5.134411,5.129485,,5.697632,5.690243,,-0.440044,-0.430192,0.912954,0.908028,-0.298845,-0.285709,-0.407204,-0.400636,0.972068,0.988488,0.174051,0.169125
42:12.4,-73.889763,23.74078085,30.16678085,6.479227,6.516992,,5.694345,5.7239,,5.213225,5.208299,,5.778089,5.7707,,-0.433476,-0.423624,0.972066,0.96714,-0.298845,-0.285709,-0.413772,-0.407204,0.978636,0.995056,0.174051,0.169125
42:13.4,-76.028938,24.42809778,30.85409778,6.518635,6.5564,,5.739499,5.769054,,5.239497,5.234571,,5.801076,5.793687,,-0.443328,-0.433476,0.978634,0.973708,-0.288993,-0.275857,-0.410488,-0.40392,0.975352,0.991772,0.174051,0.169125
42:14.4,-77.76178,24.98485991,31.41085991,6.562968,6.600733,,5.809283,5.838838,,5.280546,5.27562,,5.830632,5.823243,,-0.459747,-0.449895,0.981918,0.976992,-0.282425,-0.269289,-0.410488,-0.40392,0.975352,0.991772,0.177335,0.172409
42:15.4,-77.76178,24.98485991,31.41085991,6.600734,6.638499,,5.858542,5.888097,,5.314206,5.30928,,5.864293,5.856904,,-0.456463,-0.446611,0.988486,0.98356,-0.275857,-0.262721,-0.417056,-0.410488,0.975352,0.991772,0.177335,0.172409
42:16.4,-77.741478,24.97833688,31.40433688,6.627006,6.664771,,5.888098,5.917653,,5.34294,5.338014,,5.886459,5.87907,,-0.463031,-0.453179,0.995054,0.990128,-0.279141,-0.266005,-0.410488,-0.40392,0.972068,0.988488,0.174051,0.169125
42:17.4,-78.585274,25.24944854,31.67544854,6.659024,6.696789,,5.952135,5.98169,,5.377422,5.372496,,5.917657,5.910268,,-0.466315,-0.456463,1.004906,0.99998,-0.275857,-0.262721,-0.415414,-0.408846,0.975352,0.991772,0.174051,0.169125
42:18.4,-81.712601,26.2542587,32.6802587,6.786278,6.824043,,6.145888,6.175443,,5.497285,5.492359,,6.044089,6.0367,,-0.472883,-0.463031,1.024611,1.019685,-0.275857,-0.262721,-0.410488,-0.40392,0.967142,0.983562,0.174051,0.169125
42:19.4,-81.712601,26.2542587,32.6802587,6.805982,6.843747,,6.209925,6.23948,,5.515347,5.510421,,6.058867,6.051478,,-0.482735,-0.472883,1.024611,1.019685,-0.275857,-0.262721,-0.42034,-0.413772,0.9655,0.98192,0.174051,0.169125
42:20.4,-82.499229,26.50700228,32.93300228,6.847032,6.884797,,6.259184,6.288739,,5.561322,5.556396,,6.101558,6.094169,,-0.469599,-0.459747,1.021327,1.016401,-0.275857,-0.262721,-0.407204,-0.400636,0.962216,0.978636,0.167483,0.162557
