,Time,Time in Minutes,Pb2,Pb1-Pb2,Pb1,Pb3,Pb3-Pb4,Pb4,FHF,FHF-Extra,FHF-Extra2,FCF,FCF-Extra,AHF,AHF-Extra,ACF,ACF-Extra,ACF-Extra2
529,7617.614,126.96023333333332,407.77181,822.94358,1044.8845,235.07173999999998,102.58346999999999,58.560894,347.53177,347.53177,347.53177,210.58435,173.73433,210.58435,173.73433,248.51362999999998,248.51359,248.51359
530,7632.0355,127.20059166666667,408.09427999999997,823.4489,1045.1707,235.55342000000002,102.71038,58.6207,347.85517999999996,347.85517999999996,347.85517999999996,210.84143999999998,173.98904,210.84143999999998,173.98904,248.8915,248.89146000000002,248.89146000000002
531,7646.4137,127.44022833333334,408.41427999999996,823.9508099999999,1045.4703,236.03925,102.83636,58.679937,348.17759,348.17759,348.17759,211.09751,174.24371000000002,211.09751,174.24371000000002,249.26696,249.26692000000003,249.26692000000003
532,7660.8353,127.68058833333333,408.73427999999996,824.44948,1045.7733,236.52701000000002,102.9618,58.738618,348.49715,348.49715,348.49715,211.35242000000002,174.49786,211.35242000000002,174.49786,249.64025,249.64022000000003,249.64022000000003
533,7675.2135,127.920225,409.05285,824.94516,1046.0769,237.01992,103.08638,58.796771,348.81523,348.81523,348.81523,211.60637999999997,174.7518,211.60637999999997,174.7518,250.0118,250.01178,250.01178
534,7689.635,128.16058333333334,409.37012000000004,825.43804,1046.3793,237.51764,103.2104,58.854378000000004,349.13147999999995,349.13147999999995,349.13147999999995,211.85882999999998,175.00476,211.85882999999998,175.00476,250.38127999999998,250.38126,250.38126
535,7704.0132,128.40022000000002,409.6866,825.92827,1046.668,238.01962999999998,103.33365,58.911468000000006,349.44529,349.44529,349.44529,212.10991,175.25692,212.10991,175.25692,250.74877999999998,250.74876,250.74876
536,7718.4348,128.64058,410.00106,826.4159,1046.9521,238.52677000000003,103.45631,58.968047999999996,349.75686,349.75686,349.75686,212.35906,175.50812,212.35906,175.50812,251.11588999999998,251.11587999999998,251.11587999999998
537,7732.8382,128.88063666666667,410.3129,826.9012799999999,1047.2354,239.03976,103.57840999999999,59.02418,350.06757000000005,350.06757000000005,350.06757000000005,212.60691,175.75897,212.60691,175.75897,251.48235,251.48234,251.48234
538,7747.2244,129.12040666666667,410.6225,827.3833,1047.5175,239.56071,103.69974,59.079747,350.37591000000003,350.37591000000003,350.37591000000003,212.85369,176.00913,212.85369,176.00913,251.84647999999999,251.84647,251.84647
539,7761.6181,129.36030166666666,410.93251000000004,827.8623200000001,1047.7996,240.08594,103.82046,59.134818,350.68318,350.68318,350.68318,213.09939,176.2588,213.09939,176.2588,252.20878,252.20877000000002,252.20877000000002
540,7776.0108,129.60018,411.24117,828.33861,1048.0806,240.61962000000003,103.94055999999999,59.189432,350.98926,350.98926,350.98926,213.34407000000002,176.50804,213.34407000000002,176.50804,252.57012000000003,252.57012000000003,252.57012000000003
541,7790.4036,129.84006,411.54524,828.8120700000001,1048.3618,241.16293,104.06016,59.243581999999996,351.29337999999996,351.29337999999996,351.29337999999996,213.5875,176.75691,213.5875,176.75691,252.93097000000003,252.93097000000003,252.93097000000003
542,7804.8387,130.080645,411.84873999999996,829.28336,1048.6435,241.71507999999997,104.1793,59.297363,351.59681,351.59681,351.59681,213.83062,177.00611,213.83062,177.00611,253.29218999999998,253.29217999999997,253.29217999999997
543,7819.2315,130.320525,412.15091,829.7518299999999,1048.9241,242.27762,104.298,59.350701,351.8999,351.8999,351.8999,214.073,177.25542,214.073,177.25542,253.65212000000002,253.65212000000002,253.65212000000002
544,7833.6242,130.56040333333334,412.4514,830.21685,1049.204,242.84672,104.4159,59.403527000000004,352.20102,352.20102,352.20102,214.31392000000002,177.50421,214.31392000000002,177.50421,254.01202999999998,254.01202999999998,254.01202999999998
545,7848.017,130.80028333333334,412.75257999999997,830.6790900000001,1049.4846,243.42111,104.53341,59.455926,352.50083,352.50083,352.50083,214.55422000000002,177.75319,214.55422000000002,177.75319,254.37273,254.37272000000002,254.37272000000002
