,Time,Time in Minutes,Pb1,Pb1-Pb2,Pb2,Pb3,Pb3-Pb4,Pb4,AHF,AHF-Extra,ACF,ACF-Extra,ACF-Extra2,FHF,FHF-Extra,FHF-Extra2,FCF,FCF-Extra
0,0.0,0.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
1,14.412723999999999,0.24021206666666664,19.998068,20.000017,23.014120000000002,19.998097,20.0,20.0,19.999114000000002,19.999114000000002,19.999206,19.999206,19.999206,19.999397000000002,19.999397000000002,19.999397000000002,19.999295999999998,19.999295999999998
2,28.819430999999998,0.48032384999999994,19.99868,20.001213,35.000262,19.998695,19.999998,20.0,19.998954,19.998954,19.999069,19.999069,19.999069,19.999278,19.999278,19.999278,19.999155,19.999155
3,43.209315000000004,0.72015525,19.998973,20.011943,55.444058,19.998978,19.999994,20.0,19.998929999999998,19.998929999999998,19.99905,19.99905,19.99905,19.999245000000002,19.999245000000002,19.999245000000002,19.999117000000002,19.999117000000002
4,57.604826,0.9600804333333334,19.999172,20.053774,83.88460500000001,19.999115,19.999987,20.0,19.998917000000002,19.998917000000002,19.999039,19.999039,19.999039,19.999222,19.999222,19.999222,19.999091,19.999091
5,72.011023,1.2001837166666667,19.999581,20.161632,117.12371,19.999206,19.999979,20.0,19.998912,19.998912,19.999032999999997,19.999032999999997,19.999032999999997,19.999209,19.999209,19.999209,19.999074,19.999074
6,86.414559,1.4402426499999998,20.000791,20.379136,139.01439,19.999288,19.999969,20.0,19.998923,19.998923,19.999032,19.999032,19.999032,19.999213,19.999213,19.999213,19.999064,19.999064
7,100.81965,1.6803275,20.003972,20.742658,157.10724,19.999387,19.999959,19.999999,19.998971,19.998971,19.99904,19.99904,19.99904,19.999263,19.999263,19.999263,19.999064999999998,19.999064999999998
8,115.23127,1.9205211666666666,20.011079000000002,21.266292,176.14921999999999,19.999548,19.999948999999997,19.999999,19.999106,19.999106,19.999066,19.999066,19.999066,19.999419,19.999419,19.999419,19.999087,19.999087
9,129.62916,2.160486,20.024845000000003,21.944285,205.11085,19.999847,19.99994,19.999998,19.999423,19.999423,19.999129,19.999129,19.999129,19.999794,19.999794,19.999794,19.999148,19.999148
10,144.0347,2.4005783333333333,20.048578,22.761608,227.75185,20.000385,19.999931,19.999997,20.000069,20.000069,19.999256,19.999256,19.999256,20.000564,20.000564,20.000564,19.999282,19.999282
11,158.41131000000001,2.6401885000000003,20.085821,23.700282,251.30863,20.001307,19.999924,19.999996,20.001255,20.001255,19.999492,19.999492,19.999492,20.001981,20.001981,20.001981,19.999536,19.999536
12,172.80608,2.8801013333333336,20.140058,24.744339,285.51352,20.002809,19.99992,19.999994,20.003249,20.003249,19.999901,19.999901,19.999901,20.004375,20.004375,20.004375,19.999981,19.999981
13,187.20432,3.120072,20.214701,25.880403,309.93538,20.005157,19.999921,19.999992000000002,20.006384,20.006384,20.00057,20.00057,20.00057,20.008142000000003,20.008142000000003,20.008142000000003,20.000722,20.000722
14,201.61632,3.360272,20.312822,27.092914,326.7463,20.008616,19.999931,19.999991,20.011059,20.011059,20.001622,20.001622,20.001622,20.013745999999998,20.013745999999998,20.013745999999998,20.001914000000003,20.001914000000003
15,216.02832999999998,3.6004721666666666,20.436926999999997,28.36914,340.71807,20.013476,19.999953,19.999989000000003,20.017738,20.017738,20.003219,20.003219,20.003219,20.021708,20.021708,20.021708,20.003764,20.003764
16,230.44034,3.840672333333333,20.589033999999998,29.698119000000002,355.83648999999997,20.020045,19.999995000000002,19.999987,20.026928,20.026928,20.005582,20.005582,20.005582,20.03259,20.03259,20.03259,20.006529999999998,20.006529999999998
17,244.85234,4.080872333333334,20.770670000000003,31.069312,379.72842,20.028606,20.000066,19.999986,20.039176,20.039176,20.008979999999998,20.008979999999998,20.008979999999998,20.046982999999997,20.046982999999997,20.046982999999997,20.010516,20.010516
18,259.20892000000003,4.320148666666667,20.982476000000002,32.472934,401.62129,20.039414,20.000179,19.999985000000002,20.055009,20.055009,20.013714,20.013714,20.013714,20.065452,20.065452,20.065452,20.016051,20.016051
19,273.62092,4.560348666666667,21.225466,33.906473,418.49842,20.052781,20.000347,19.999986,20.075011,20.075011,20.020141,20.020141,20.020141,20.088642999999998,20.088642999999998,20.088642999999998,20.023516,20.023516
20,288.03292999999996,4.800548833333333,21.500443,35.365721,432.9629,20.06899,20.00059,19.999989000000003,20.099795999999998,20.099795999999998,20.028647,20.028647,20.028647,20.11723,20.11723,20.11723,20.033316,20.033316
21,302.44494,5.040749,21.806947,36.839455,446.3069,20.088248999999998,20.000928,19.999995000000002,20.129898999999998,20.129898999999998,20.039604,20.039604,20.039604,20.151773000000002,20.151773000000002,20.151773000000002,20.04583,20.04583
22,316.80151,5.280025166666666,22.143931,38.320178999999996,457.88878,20.110722,20.001385,20.000006,20.165808,20.165808,20.053378,20.053378,20.053378,20.192782,20.192782,20.192782,20.061423,20.061423
23,331.21352,5.520225333333333,22.511421,39.814875,467.43240999999995,20.136646,20.00199,20.000024,20.208137,20.208137,20.070375,20.070375,20.070375,20.240896,20.240896,20.240896,20.080527,20.080527
24,345.62552999999997,5.760425499999999,22.909443,41.332710999999996,476.03525,20.166242999999998,20.002774,20.000051000000003,20.257495000000002,20.257495000000002,20.090996,20.090996,20.090996,20.296772,20.296772,20.296772,20.10356,20.10356
25,360.03753,6.0006255,23.33652,42.875519,484.13738,20.199618,20.003769000000002,20.000091,20.314277,20.314277,20.115582,20.115582,20.115582,20.360854,20.360854,20.360854,20.130842,20.130842
