,Time,Time in Minutes,Pb1,Pb1-Pb2,Pb2,Pb3-Fire,Pb3-Amb,Pb4,Pb4-Pb5,Pb5,FHF,FHF-Extra,FHF-Extra2,FCF,FCF-Extra,AHF,AHF-Extra,ACF,ACF-Extra,ACF-Extra2
0,0.0,0.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
1,14.427052,0.24045086666666665,19.996371,20.000032,24.315687,19.994708,19.994418,19.996717999999998,20.0,20.002564000000003,20.000884,20.000884,20.000884,20.000483,20.000483,19.999603,19.999603,20.000774,20.000774,20.000774
2,28.827053999999997,0.48045089999999996,20.004170000000002,20.001804,37.99736,20.00296,20.002801,20.004489000000003,19.999998,20.004422,20.005805,20.005805,20.005805,20.003883,20.003883,20.001493,20.001493,20.006137,20.006137,20.006137
3,43.227055,0.7204509166666667,20.009739,20.015721,59.515584999999994,20.007299,20.007178,20.010070000000002,20.000001,20.00517,20.012004,20.012004,20.012004,20.00798,20.00798,20.003799,20.003799,20.012925,20.012925,20.012925
4,57.62705699999999,0.9604509499999999,20.013320999999998,20.065828,89.808976,20.009898,20.009783,20.013586,20.000022,20.005615,20.01812,20.01812,20.01812,20.011946,20.011946,20.00599,20.00599,20.01951,20.01951,20.01951
5,72.027059,1.2004509833333332,20.015654,20.18897,123.04358,20.011289,20.011169,20.01549,20.000075,20.005319,20.023312,20.023312,20.023312,20.015166,20.015166,20.007754000000002,20.007754000000002,20.025087,20.025087,20.025087
6,86.42706,1.440451,20.016582999999997,20.429457,144.27043,20.010952,20.010861,20.014997,20.000166,20.004567,20.026294,20.026294,20.026294,20.016882,20.016882,20.00868,20.00868,20.02831,20.02831,20.02831
7,100.82706,1.6804510000000001,20.019539,20.821139000000002,163.01519,20.010704,20.01069,20.014295999999998,20.000292,20.004333,20.02816,20.02816,20.02816,20.017941,20.017941,20.009284,20.009284,20.030310999999998,20.030310999999998,20.030310999999998
8,115.22706000000001,1.9204510000000001,20.027194,21.374199,184.84604,20.010791,20.010941,20.013942999999998,20.000448000000002,20.004194000000002,20.029722,20.029722,20.029722,20.018798,20.018798,20.009784,20.009784,20.031935999999998,20.031935999999998,20.031935999999998
9,129.62707,2.160451166666667,20.042296,22.080726000000002,215.48092000000003,20.011058,20.011539000000003,20.013799,20.000624,20.004109,20.031226,20.031226,20.031226,20.019576999999998,20.019576999999998,20.010236,20.010236,20.033407999999998,20.033407999999998,20.033407999999998
10,144.02707,2.400451166666667,20.068186999999998,22.924811,236.61286,20.011412,20.012508,20.013766,20.000816,20.004027,20.032795999999998,20.032795999999998,20.032795999999998,20.020328,20.020328,20.010655,20.010655,20.034779999999998,20.034779999999998,20.034779999999998
11,158.42707,2.6404511666666663,20.108328,23.889231,266.73694,20.011661,20.013806,20.013607,20.001017,20.003876,20.034414,20.034414,20.034414,20.020986999999998,20.020986999999998,20.010983,20.010983,20.035917,20.035917,20.035917
12,172.82707,2.8804511666666666,20.166659,24.958331,298.15604,20.012076,20.015883,20.013612,20.001223,20.003981,20.036443,20.036443,20.036443,20.021759,20.021759,20.011328,20.011328,20.037028,20.037028,20.037028
13,187.22707,3.1204511666666668,20.246741,26.117051999999997,319.43405,20.012726,20.019032,20.013965,20.001433,20.004025,20.039296,20.039296,20.039296,20.022851,20.022851,20.011746,20.011746,20.038348000000003,20.038348000000003,20.038348000000003
14,201.62707,3.3604511666666665,20.350715,27.349918,334.83669,20.01306,20.022914,20.013946,20.001642999999998,20.003835000000002,20.042757,20.042757,20.042757,20.024,20.024,20.012037,20.012037,20.039382,20.039382,20.039382
15,216.02707,3.6004511666666668,20.481066000000002,28.645056,348.54717999999997,20.013266,20.027998,20.01371,20.001853,20.003733999999998,20.047001,20.047001,20.047001,20.025239000000003,20.025239000000003,20.012235999999998,20.012235999999998,20.040129999999998,20.040129999999998,20.040129999999998
16,230.42708,3.840451333333333,20.640101,29.991374,367.35892,20.013568,20.034839,20.013543,20.002062,20.003706,20.052426,20.052426,20.052426,20.026815,20.026815,20.012412,20.012412,20.040778,20.040778,20.040778
17,244.82708,4.080451333333333,20.829532999999998,31.379001000000002,392.62241,20.014073,20.043747,20.013568,20.002267,20.003795999999998,20.059523000000002,20.059523000000002,20.059523000000002,20.029014,20.029014,20.012620000000002,20.012620000000002,20.041473,20.041473,20.041473
18,259.22708,4.320451333333334,21.05049,32.801776000000004,412.40929,20.014817999999998,20.054932,20.013839,20.002468,20.003895999999997,20.068782000000002,20.068782000000002,20.068782000000002,20.032104999999998,20.032104999999998,20.012894,20.012894,20.042337,20.042337,20.042337
19,273.62708,4.560451333333333,21.303214999999998,34.253395000000005,427.91604,20.015568,20.068315,20.014023,20.002665,20.003892,20.080382,20.080382,20.080382,20.036136,20.036136,20.013145,20.013145,20.043158,20.043158,20.043158
20,288.02707999999996,4.800451333333332,21.588043,35.725449,441.61174000000005,20.016369,20.084143,20.014093,20.002857000000002,20.003895999999997,20.094619,20.094619,20.094619,20.041273,20.041273,20.013362,20.013362,20.043875,20.043875,20.043875
21,302.42708,5.040451333333333,21.905039000000002,37.209732,454.31618,20.017349,20.102733999999998,20.014155,20.003045999999998,20.003929,20.111955,20.111955,20.111955,20.047803,20.047803,20.013566,20.013566,20.044538,20.044538,20.044538
22,316.82709,5.2804515,22.253833,38.705962,464.95803,20.018561,20.124295,20.014226999999998,20.003231,20.003951,20.132848000000003,20.132848000000003,20.132848000000003,20.055989,20.055989,20.013761,20.013761,20.045161,20.045161,20.045161
