Displacement in m,Displacement in mm,Load in N,Load in kN
0.011001,11.000819,36556.585938,36.556586
0.011020,11.020425,36535.179688,36.535180
0.011050,11.049831,36503.085938,36.503086
0.011094,11.094027,36454.914062,36.454914
0.011111,11.110570,36436.886719,36.436887
0.011135,11.135387,36409.867188,36.409867
0.011173,11.172610,36369.355469,36.369355
0.011229,11.228595,36308.542969,36.308543
0.011250,11.249559,36285.777344,36.285777
0.011281,11.281001,36251.644531,36.251645
0.011328,11.328257,36200.433594,36.200434
0.011346,11.345945,36181.265625,36.181266
0.011372,11.372480,36152.539062,36.152539
0.011412,11.412279,36109.476562,36.109477
0.011472,11.472141,36044.847656,36.044848
0.011495,11.494557,36020.652344,36.020652
0.011528,11.528180,35984.382812,35.984383
0.011579,11.578717,35929.968750,35.929969
0.011598,11.597636,35909.601562,35.909602
0.011626,11.626017,35879.085938,35.879086
0.011669,11.668619,35833.343750,35.833344
0.011685,11.684564,35816.230469,35.816230
0.011708,11.708475,35790.589844,35.790590
0.011744,11.744325,35752.171875,35.752172
0.011798,11.798220,35694.546875,35.694547
0.011818,11.818396,35672.984375,35.672984
0.011849,11.848650,35640.671875,35.640672
0.011894,11.894106,35592.226562,35.592227
0.011911,11.911118,35574.101562,35.574102
0.011937,11.936635,35546.949219,35.546949
0.011975,11.974926,35506.273438,35.506273
0.012032,12.032471,35445.316406,35.445316
0.012054,12.054016,35422.507812,35.422508
0.012086,12.086347,35388.332031,35.388332
0.012135,12.134903,35337.132812,35.337133
0.012153,12.153080,35317.976562,35.317977
0.012180,12.180328,35289.281250,35.289281
0.012221,12.221258,35246.273438,35.246273
0.012237,12.236577,35230.187500,35.230187
0.012260,12.259547,35206.089844,35.206090
0.012294,12.294009,35170.003906,35.170004
0.012346,12.345777,35115.957031,35.115957
0.012365,12.365157,35095.734375,35.095734
0.012394,12.394231,35065.449219,35.065449
0.012438,12.437881,35020.089844,35.020090
0.012454,12.454218,35003.121094,35.003121
0.012479,12.478706,34977.710938,34.977711
0.012515,12.515478,34939.636719,34.939637
0.012571,12.570730,34882.609375,34.882609
0.012591,12.591417,34861.277344,34.861277
0.012622,12.622455,34829.328125,34.829328
0.012669,12.669064,34781.484375,34.781484
0.012687,12.686510,34763.589844,34.763590
0.012713,12.712679,34736.792969,34.736793
0.012752,12.751956,34696.667969,34.696668
0.012767,12.766654,34681.660156,34.681660
0.012789,12.788694,34659.187500,34.659188
0.012822,12.821762,34625.542969,34.625543
0.012871,12.871435,34575.164062,34.575164
0.012890,12.890031,34556.320312,34.556320
0.012918,12.917930,34528.105469,34.528105
0.012960,12.959816,34485.859375,34.485859
0.012975,12.975493,34470.062500,34.470062
0.012999,12.998991,34446.406250,34.446406
0.013034,13.034277,34410.964844,34.410965
0.013087,13.087301,34357.910156,34.357910
0.013107,13.107153,34338.062500,34.338062
0.013137,13.136942,34308.347656,34.308348
0.013182,13.181677,34263.867188,34.263867
0.013198,13.198422,34247.230469,34.247230
0.013224,13.223540,34222.324219,34.222324
0.013261,13.261240,34185.042969,34.185043
0.013275,13.275349,34171.101562,34.171102
0.013296,13.296491,34150.226562,34.150227
0.013328,13.328232,34118.953125,34.118953
0.013376,13.375908,34072.152344,34.072152
0.013394,13.393755,34054.652344,34.054652
0.013421,13.420530,34028.445312,34.028445
0.013461,13.460726,33989.226562,33.989227
0.013476,13.475771,33974.558594,33.974559
0.013498,13.498320,33952.601562,33.952602
0.013532,13.532181,33919.714844,33.919715
0.013583,13.583060,33870.492188,33.870492
0.013602,13.602109,33852.085938,33.852086
0.013631,13.630691,33824.527344,33.824527
0.013674,13.673610,33783.281250,33.783281
0.013717,13.716555,33742.140625,33.742141
0.013760,13.759527,33701.109375,33.701109
0.013803,13.802527,33660.183594,33.660184
0.013846,13.845554,33619.363281,33.619363
0.013889,13.888610,33578.648438,33.578648
0.013932,13.931695,33538.039062,33.538039
0.013975,13.974812,33497.535156,33.497535
0.014018,14.017958,33457.136719,33.457137
