,Time,Time in Minutes,Pb1,Pb1-Pb2,Pb2,Pb3,Pb3-Pb4,Pb4,AHF,AHF-Extra,ACF,ACF-Extra,ACF-Extra2,FHF,FHF-Extra,FHF-Extra2,FCF,FCF-Extra
0,0.0,0.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
1,14.412723999999999,0.24021206666666664,19.998067000000002,20.000017,23.014120000000002,19.998096,20.0,20.0,19.998881,19.998881,19.998997,19.998997,19.998997,19.999237,19.999237,19.999237,19.99911,19.99911
2,28.828473,0.48047455,19.998676,20.001214,35.003637,19.998692000000002,19.999998,20.0,19.998685000000002,19.998685000000002,19.998828,19.998828,19.998828,19.999087,19.999087,19.999087,19.998934,19.998934
3,43.212533,0.7202088833333333,19.998967999999998,20.011954,55.317652,19.998973,19.999994,20.0,19.998659,19.998659,19.998807,19.998807,19.998807,19.999045000000002,19.999045000000002,19.999045000000002,19.998887,19.998887
4,57.623484,0.9603914,19.999166,20.053832,83.941509,19.999109,19.999987,20.0,19.998648,19.998648,19.998797,19.998797,19.998797,19.999017000000002,19.999017000000002,19.999017000000002,19.998857,19.998857
5,72.022576,1.2003762666666666,19.999574,20.161631,117.60694,19.999199,19.999979,20.0,19.998647000000002,19.998647000000002,19.998794,19.998794,19.998794,19.999001999999997,19.999001999999997,19.999001999999997,19.998838,19.998838
6,86.41845699999999,1.4403076166666664,20.000783,20.379077,139.28576,19.999279,19.999969,20.0,19.998666,19.998666,19.998798,19.998798,19.998798,19.999010000000002,19.999010000000002,19.999010000000002,19.998829,19.998829
7,100.82446,1.6804076666666667,20.003961999999998,20.742916,157.39717,19.999378,19.999959,19.999999,19.998732999999998,19.998732999999998,19.998813000000002,19.998813000000002,19.998813000000002,19.999075,19.999075,19.999075,19.998835,19.998835
8,115.22107,1.9203511666666666,20.011063,21.266894,176.37398000000002,19.999539000000002,19.999948999999997,19.999999,19.998908,19.998908,19.998851000000002,19.998851000000002,19.998851000000002,19.999273000000002,19.999273000000002,19.999273000000002,19.998866,19.998866
9,129.62649,2.1604414999999997,20.024825,21.945437,205.45441,19.999837,19.999939,19.999998,19.999311,19.999311,19.998935,19.998935,19.998935,19.999744,19.999744,19.999744,19.998949,19.998949
10,144.04386,2.400731,20.048586,22.764097,228.01958,20.000376,19.999931,19.999997,20.000125,20.000125,19.999103,19.999103,19.999103,20.000711,20.000711,20.000711,19.999124,19.999124
11,158.42878000000002,2.640479666666667,20.085889,23.704289000000003,251.70237999999998,20.0013,19.999924,19.999996,20.001610999999997,20.001610999999997,19.999409,19.999409,19.999409,20.002481,20.002481,20.002481,19.999453,19.999453
12,172.83005,2.8805008333333335,20.140220000000003,24.749782999999997,285.78738,20.002805,19.99992,19.999994,20.004103,20.004103,19.999933,19.999933,19.999933,20.005460999999997,20.005460999999997,20.005460999999997,20.000026000000002,20.000026000000002
13,187.23004,3.1205006666666666,20.214986,25.887037,310.04051,20.005162,19.999921,19.999992000000002,20.008012,20.008012,20.000791,20.000791,20.000791,20.010141,20.010141,20.010141,20.000975,20.000975
14,201.64205,3.3607008333333335,20.313232,27.100428000000004,326.81115,20.008633,19.99993,19.999991,20.013821,20.013821,20.002131,20.002131,20.002131,20.017082000000002,20.017082000000002,20.017082000000002,20.002497,20.002497
15,216.05405,3.600900833333333,20.437488000000002,28.377370000000003,340.78182000000004,20.013507,19.999952,19.999989000000003,20.022095,20.022095,20.004163000000002,20.004163000000002,20.004163000000002,20.026923,20.026923,20.026923,20.004852,20.004852
16,230.41062999999997,3.840177166666666,20.589445,29.70437,355.91733,20.020083,19.999994,19.999987,20.033431,20.033431,20.007154,20.007154,20.007154,20.040308,20.040308,20.040308,20.008357,20.008357
17,244.82262999999998,4.080377166666667,20.770857,31.073365000000003,379.8234,20.028654,20.000065,19.999986,20.048498000000002,20.048498000000002,20.011447,20.011447,20.011447,20.057973999999998,20.057973999999998,20.057973999999998,20.013394,20.013394
18,259.23464,4.3205773333333335,20.983213,32.480083,401.7021,20.039523000000003,20.000178,19.999985000000002,20.068004000000002,20.068004000000002,20.01744,20.01744,20.01744,20.080676,20.080676,20.080676,20.020397,20.020397
19,273.64665,4.5607775,21.226872,33.916739,418.57276,20.052977,20.000347,19.999986,20.092597,20.092597,20.025563000000002,20.025563000000002,20.025563000000002,20.109121,20.109121,20.109121,20.02982,20.02982
20,288.00322,4.800053666666667,21.50156,35.373451,432.99509000000006,20.069233999999998,20.00059,19.999989000000003,20.122874,20.122874,20.036246,20.036246,20.036246,20.143966,20.143966,20.143966,20.042112,20.042112
21,302.41523,5.040253833333334,21.807719,36.844558,446.31750999999997,20.088552,20.000928,19.999995000000002,20.159543,20.159543,20.049974,20.049974,20.049974,20.185959,20.185959,20.185959,20.057766,20.057766
22,316.82724,5.280454000000001,22.145643,38.328303000000005,457.91823,20.111193,20.001388000000002,20.000006,20.20335,20.20335,20.067255,20.067255,20.067255,20.235879999999998,20.235879999999998,20.235879999999998,20.077298000000003,20.077298000000003
23,331.23924,5.5206539999999995,22.514252,39.826113,467.45837,20.137328,20.001996,20.000024,20.254869,20.254869,20.088529,20.088529,20.088529,20.294313,20.294313,20.294313,20.101174,20.101174
24,345.65125,5.760854166666666,22.91281,41.34422,476.05240999999995,20.167127999999998,20.002782999999997,20.000051000000003,20.314692,20.314692,20.114228,20.114228,20.114228,20.36188,20.36188,20.36188,20.129839,20.129839
25,360.00782000000004,6.000130333333334,23.339665,42.884304,484.14095,20.200682,20.003781,20.000091,20.383198999999998,20.383198999999998,20.144717,20.144717,20.144717,20.439,20.439,20.439,20.163641000000002,20.163641000000002
26,374.41983,6.2403305,23.794819,44.445427,491.78798,20.238170999999998,20.005027,20.000146,20.461011,20.461011,20.180477,20.180477,20.180477,20.526384,20.526384,20.526384,20.203022,20.203022
27,388.83184,6.480530666666667,24.278591,46.009268,498.93399000000005,20.279769,20.006562,20.000223000000002,20.548829,20.548829,20.221929,20.221929,20.221929,20.624733,20.624733,20.624733,20.248441,20.248441
28,403.24384,6.720730666666666,24.789355,47.567657000000004,506.50468,20.325516,20.008426,20.000326,20.646976000000002,20.646976000000002,20.269326,20.269326,20.269326,20.734372,20.734372,20.734372,20.300199,20.300199
29,417.60042000000004,6.960007000000001,25.325092,49.130321,515.89278,20.375429999999998,20.010656,20.000460999999998,20.7557,20.7557,20.322875,20.322875,20.322875,20.855472,20.855472,20.855472,20.358527,20.358527
30,432.01243,7.200207166666667,25.885946,50.713476,526.34337,20.429726000000002,20.013299,20.000635,20.875685999999998,20.875685999999998,20.382903,20.382903,20.382903,20.988572,20.988572,20.988572,20.423839,20.423839
31,446.42443,7.440407166666666,26.472034000000004,52.302671000000004,536.28052,20.488669,20.016406,20.000857,21.007582,21.007582,20.44974,20.44974,20.44974,21.134307999999997,21.134307999999997,21.134307999999997,20.496582999999998,20.496582999999998
32,460.83644000000004,7.680607333333334,27.081406,53.87283000000001,545.5111,20.552221,20.020018,20.001136,21.151728,21.151728,20.523528,20.523528,20.523528,21.292752,21.292752,21.292752,20.576921,20.576921
33,475.24844,7.920807333333333,27.713009999999997,55.415365,554.05882,20.620410999999997,20.024182,20.001481,21.308848,21.308848,20.604516,20.604516,20.604516,21.464139000000003,21.464139000000003,21.464139000000003,20.665115,20.665115
34,489.60502,8.160083666666667,28.364301,56.925495999999995,561.96277,20.693185999999997,20.028938,20.001903,21.478142000000002,21.478142000000002,20.692978,20.692978,20.692978,21.648312,21.648312,21.648312,20.761186,20.761186
35,504.01703,8.400283833333333,29.035306,58.402603000000006,569.12233,20.770573000000002,20.034339000000003,20.002414,21.659931,21.659931,20.789392000000003,20.789392000000003,20.789392000000003,21.845743,21.845743,21.845743,20.865464000000003,20.865464000000003
36,518.42903,8.640483833333333,29.725571999999996,59.84634499999999,575.77913,20.85262,20.040448,20.003029,21.854503,21.854503,20.894026999999998,20.894026999999998,20.894026999999998,22.056691,22.056691,22.056691,20.978161,20.978161
37,532.84104,8.880684,30.432416999999997,61.251532999999995,582.10524,20.939401999999998,20.047304,20.00376,22.060962,22.060962,21.007043,21.007043,21.007043,22.280627,22.280627,22.280627,21.099097,21.099097
38,547.25305,9.120884166666666,31.153807,62.616395999999995,588.1758,21.030912,20.054954000000002,20.004622,22.279848,22.279848,21.128219,21.128219,21.128219,22.517701000000002,22.517701000000002,22.517701000000002,21.228687,21.228687
39,561.6096200000001,9.360160333333335,31.887007,63.93735,593.8723,21.126936999999998,20.063429,20.005629000000003,22.510921,22.510921,21.257103,21.257103,21.257103,22.767613,22.767613,22.767613,21.366904,21.366904
40,576.02163,9.600360499999999,32.631563,65.216121,599.31292,21.22749,20.072791,20.006798999999997,22.754116,22.754116,21.393604,21.393604,21.393604,23.030898,23.030898,23.030898,21.51405,21.51405
41,590.43363,9.8405605,33.387696999999996,66.454541,604.6247099999999,21.332743,20.083106,20.008152,23.010271,23.010271,21.537759,21.537759,21.537759,23.308146,23.308146,23.308146,21.670445,21.670445
42,604.84564,10.080760666666666,34.152231,67.657645,609.85657,21.442442,20.094402,20.009704,23.277892,23.277892,21.689845000000002,21.689845000000002,21.689845000000002,23.59842,23.59842,23.59842,21.835763,21.835763
43,619.20222,10.320037000000001,34.92139,68.857318,614.84497,21.55633,20.106699,20.011470000000003,23.557305,23.557305,21.849601999999997,21.849601999999997,21.849601999999997,23.90098,23.90098,23.90098,22.009532999999998,22.009532999999998
44,633.61422,10.560237,35.695572,70.067437,619.52746,21.674326,20.120057,20.013473,23.849028,23.849028,22.017733,22.017733,22.017733,24.216192000000003,24.216192000000003,24.216192000000003,22.192179,22.192179
45,648.0262299999999,10.800437166666665,36.474825,71.293002,623.98546,21.796851,20.134544,20.015738,24.153138000000002,24.153138000000002,22.194413,22.194413,22.194413,24.544512,24.544512,24.544512,22.383889,22.383889
46,662.4382400000001,11.040637333333335,37.257864,72.534064,628.2613200000001,21.923251999999998,20.150179,20.018280999999998,24.468805,24.468805,22.378951999999998,22.378951999999998,22.378951999999998,24.885473,24.885473,24.885473,22.584528,22.584528
47,676.85024,11.280837333333332,38.043997,73.79205300000001,632.31868,22.05361,20.167001000000003,20.021124,24.795675,24.795675,22.571175,22.571175,22.571175,25.238443,25.238443,25.238443,22.793791,22.793791
48,691.20682,11.520113666666667,38.831534000000005,75.063407,636.14877,22.18764,20.185009,20.024282,25.132325,25.132325,22.77038,22.77038,22.77038,25.601625,25.601625,25.601625,23.010685000000002,23.010685000000002
49,705.61882,11.760313666666667,39.621995,76.348748,639.86715,22.325924,20.204271,20.027781,25.479449,25.479449,22.977111999999998,22.977111999999998,22.977111999999998,25.976294,25.976294,25.976294,23.235625,23.235625
50,720.03083,12.000513833333335,40.416508,77.64884599999999,643.50951,22.468969,20.224854999999998,20.031653,25.83835,25.83835,23.192042,23.192042,23.192042,26.362454999999997,26.362454999999997,26.362454999999997,23.468781,23.468781
51,734.44284,12.240714,41.213421999999994,78.959696,647.04106,22.6159,20.246759,20.035912,26.208171,26.208171,23.415146,23.415146,23.415146,26.759395,26.759395,26.759395,23.709538000000002,23.709538000000002
52,748.8548400000001,12.480914000000002,42.013806,80.27989000000001,650.4066799999999,22.765784,20.270013,20.040581,26.588933,26.588933,23.645475,23.645475,23.645475,27.166653000000004,27.166653000000004,27.166653000000004,23.958209,23.958209
53,763.21142,12.720190333333333,42.815581,81.606084,653.6981599999999,22.920512,20.294597,20.045672,26.978694,26.978694,23.883091,23.883091,23.883091,27.583037,27.583037,27.583037,24.213711,24.213711
54,777.62343,12.960390499999999,43.619019,82.942836,656.9477400000001,23.079327,20.320582,20.051218,27.378642,27.378642,24.128328,24.128328,24.128328,28.009713,28.009713,28.009713,24.475279,24.475279
55,792.03543,13.2005905,44.428433,84.296838,660.146,23.241649,20.348045000000003,20.057251,27.788574,27.788574,24.380884,24.380884,24.380884,28.446073,28.446073,28.446073,24.745789000000002,24.745789000000002
56,806.44744,13.440790666666667,45.241976,85.67138299999999,663.23028,23.407534,20.376952,20.063784,28.2072,28.2072,24.640357,24.640357,24.640357,28.892487,28.892487,28.892487,25.025149,25.025149
57,820.80401,13.680066833333333,46.058083,87.074911,666.27227,23.576391,20.407279,20.070823999999998,28.633542,28.633542,24.905438,24.905438,24.905438,29.348237,29.348237,29.348237,25.311778,25.311778
58,835.2160200000001,13.920267,46.877677,88.534037,669.31795,23.749007000000002,20.439107999999997,20.078407000000002,29.068171999999997,29.068171999999997,25.177464,25.177464,25.177464,29.812599,29.812599,29.812599,25.604425,25.604425
59,849.6280300000001,14.160467166666669,47.703346,90.12441899999999,672.39369,23.925626,20.472523000000002,20.086568,29.512715999999998,29.512715999999998,25.4581,25.4581,25.4581,30.28639,30.28639,30.28639,25.903409,25.903409
60,864.0400300000001,14.400667166666668,48.534402,91.916793,675.48691,24.10606,20.507482999999997,20.095317,29.965606,29.965606,25.745631,25.745631,25.745631,30.768559999999997,30.768559999999997,30.768559999999997,26.209892,26.209892
61,878.45204,14.640867333333334,49.372131,93.939815,678.69057,24.290603,20.544009,20.104672,30.427049,30.427049,26.038527,26.038527,26.038527,31.258238000000002,31.258238000000002,31.258238000000002,26.5222,26.5222
62,892.8086199999999,14.880143666666665,50.217929999999996,96.229361,682.0086200000001,24.477574,20.582038,20.114635,30.895614000000002,30.895614000000002,26.337446000000003,26.337446000000003,26.337446000000003,31.755151,31.755151,31.755151,26.841813000000002,26.841813000000002
63,907.2206199999999,15.120343666666665,51.076906,98.774407,685.3594,24.668995000000002,20.621642,20.125241,31.372190000000003,31.372190000000003,26.642885999999997,26.642885999999997,26.642885999999997,32.259327,32.259327,32.259327,27.165746000000002,27.165746000000002
64,921.6326300000001,15.360543833333335,51.9537,101.48898,688.64206,24.865064999999998,20.662938,20.136539000000003,31.85665,31.85665,26.955706,26.955706,26.955706,32.773615,32.773615,32.773615,27.497761999999998,27.497761999999998
65,936.0446400000001,15.600744,52.85149200000001,104.15723,691.8618700000001,25.064748,20.70587,20.148528,32.350122999999996,32.350122999999996,27.275318,27.275318,27.275318,33.297213,33.297213,33.297213,27.835671,27.835671
66,950.40121,15.840020166666667,53.767965000000004,106.73698999999999,695.0411799999999,25.26759,20.75037,20.161202,32.85197,32.85197,27.600871,27.600871,27.600871,33.82997,33.82997,33.82997,28.181267,28.181267
67,964.8132199999999,16.080220333333333,54.703143999999995,109.239,698.19352,25.476801000000002,20.796537,20.174603,33.364492,33.364492,27.932893,27.932893,27.932893,34.373311,34.373311,34.373311,28.534836,28.534836
68,979.2252199999999,16.32042033333333,55.655067,111.67268999999999,701.26305,25.691016,20.84446,20.188776,33.887679,33.887679,28.273474,28.273474,28.273474,34.926679,34.926679,34.926679,28.896603999999996,28.896603999999996
69,993.63723,16.560620500000002,56.619099,114.03683000000001,704.2538599999999,25.911965,20.894084,20.203715,34.422127,34.422127,28.619564,28.619564,28.619564,35.489929,35.489929,35.489929,29.266137,29.266137
70,1008.0492,16.80082,57.592839,116.24726000000001,707.20166,26.138944,20.945449,20.219435999999998,34.967205,34.967205,28.973892,28.973892,28.973892,36.063714000000004,36.063714000000004,36.063714000000004,29.641308000000002,29.641308000000002
71,1022.4058,17.040096666666667,58.57101899999999,118.1261,710.1116900000001,26.369709000000004,20.998476999999998,20.235924,35.521705,35.521705,29.335015999999996,29.335015999999996,29.335015999999996,36.647421,36.647421,36.647421,30.022371000000003,30.022371000000003
72,1036.8178,17.28029666666667,59.54888199999999,119.77747,712.9574,26.606727000000003,21.05329,20.253227,36.088715,36.088715,29.703157,29.703157,29.703157,37.241640000000004,37.241640000000004,37.241640000000004,30.412859,30.412859
73,1051.2298,17.520496666666666,60.526309,121.28272,715.7284599999999,26.849937,21.110008999999998,20.271397,36.666046,36.666046,30.078947999999997,30.078947999999997,30.078947999999997,37.849309999999996,37.849309999999996,37.849309999999996,30.814161,30.814161
74,1065.6418,17.760696666666668,61.497206999999996,122.67922,718.45971,27.096338,21.168594,20.290419,37.251792,37.251792,30.462537,30.462537,30.462537,38.464121999999996,38.464121999999996,38.464121999999996,31.224763,31.224763
75,1080.0538,18.000896666666666,62.457547999999996,123.99168,721.15728,27.346434999999996,21.22908,20.310309,37.847314000000004,37.847314000000004,30.853165999999998,30.853165999999998,30.853165999999998,39.088718,39.088718,39.088718,31.638557000000002,31.638557000000002
76,1094.4104,18.240173333333335,63.401678000000004,125.23503999999998,723.79786,27.600609000000002,21.291361,20.331039999999998,38.449487,38.449487,31.251929999999998,31.251929999999998,31.251929999999998,39.722608,39.722608,39.722608,32.057434,32.057434
77,1108.8224,18.480373333333333,64.328926,126.43351000000001,726.35843,27.857995000000003,21.355564,20.352664,39.058805,39.058805,31.656011,31.656011,31.656011,40.363638,40.363638,40.363638,32.482403999999995,32.482403999999995
78,1123.2344,18.720573333333334,65.242611,127.60051999999999,728.88027,28.119059999999998,21.421869,20.375247,39.677073,39.677073,32.068126,32.068126,32.068126,41.011303999999996,41.011303999999996,41.011303999999996,32.916734999999996,32.916734999999996
79,1137.6464,18.960773333333336,66.139262,128.73623999999998,731.37157,28.381353999999998,21.490177,20.398771,40.300845,40.300845,32.486623,32.486623,32.486623,41.664488,41.664488,41.664488,33.356528000000004,33.356528000000004
80,1152.003,19.200049999999997,67.017677,129.84062,733.81488,28.64498,21.560331,20.423202,40.927376,40.927376,32.908632,32.908632,32.908632,42.320233,42.320233,42.320233,33.797976,33.797976
81,1166.415,19.44025,67.878178,130.91725,736.18237,28.913703,21.632494,20.448603,41.557757,41.557757,33.333472,33.333472,33.333472,42.982408,42.982408,42.982408,34.245807,34.245807
82,1180.827,19.68045,68.722851,131.96899,738.5144700000001,29.186261,21.706831,20.475042000000002,42.194482,42.194482,33.759831,33.759831,33.759831,43.651008000000004,43.651008000000004,43.651008000000004,34.701015000000005,34.701015000000005
83,1195.239,19.920650000000002,69.550555,132.99493,740.82728,29.46064,21.783178,20.502487,42.834632,42.834632,34.193058,34.193058,34.193058,44.320676,44.320676,44.320676,35.159925,35.159925
84,1209.651,20.16085,70.360106,133.99646,743.11783,29.733028000000004,21.861548000000003,20.530948000000002,43.473101,43.473101,34.63297,34.63297,34.63297,44.990176,44.990176,44.990176,35.618944,35.618944
85,1224.0076,20.400126666666665,71.15074,134.97302,745.34794,30.007159,21.941806,20.560382999999998,44.115606,44.115606,35.071709000000006,35.071709000000006,35.071709000000006,45.658266,45.658266,45.658266,36.080964,36.080964
86,1238.4196,20.640326666666667,71.925034,135.92768999999998,747.5457700000001,30.287311,22.024060000000002,20.590854,44.754560999999995,44.754560999999995,35.514655,35.514655,35.514655,46.326702000000004,46.326702000000004,46.326702000000004,36.545706,36.545706
87,1252.8316,20.880526666666665,72.683135,136.8634,749.72478,30.564334000000002,22.108477,20.622449,45.392084000000004,45.392084000000004,35.961147,35.961147,35.961147,46.995771000000005,46.995771000000005,46.995771000000005,37.012669,37.012669
88,1267.2436,21.120726666666666,73.42288,137.77917,751.88274,30.841146000000002,22.194912,20.655129000000002,46.026908,46.026908,36.406713,36.406713,36.406713,47.663721,47.663721,47.663721,37.475451,37.475451
89,1281.6002,21.360003333333335,74.14647099999999,138.67427,753.98271,31.124384000000003,22.283131,20.688837,46.662794,46.662794,36.849548999999996,36.849548999999996,36.849548999999996,48.328676,48.328676,48.328676,37.942181,37.942181
90,1296.0122,21.600203333333333,74.857027,139.55121,756.0472,31.407984000000003,22.373316,20.72364,47.297838,47.297838,37.294449,37.294449,37.294449,48.988417999999996,48.988417999999996,48.988417999999996,38.407915,38.407915
91,1310.4186,21.84031,75.54959699999999,140.41224,758.0973,31.687070000000002,22.465605,20.759610000000002,47.93056,47.93056,37.741642,37.741642,37.741642,49.647853000000005,49.647853000000005,49.647853000000005,38.876893,38.876893
92,1324.8177,22.080295,76.226469,141.25614,760.12875,31.96275,22.55976,20.796679,48.557037,48.557037,38.187851,38.187851,38.187851,50.302471999999995,50.302471999999995,50.302471999999995,39.346398,39.346398
93,1339.2297,22.320495,76.889038,142.08413000000002,762.11295,32.241078,22.65585,20.834876,49.183233,49.183233,38.635329,38.635329,38.635329,50.957096,50.957096,50.957096,39.817251,39.817251
94,1353.6417,22.560695,77.536199,142.89696999999998,764.05849,32.525234000000005,22.753817,20.874234,49.804433,49.804433,39.080712,39.080712,39.080712,51.603506,51.603506,51.603506,40.289547999999996,40.289547999999996
95,1368.0537,22.800895,78.16719300000001,143.69483,765.98626,32.802571,22.853628,20.914739,50.417815000000004,50.417815000000004,39.527117,39.527117,39.527117,52.248340999999996,52.248340999999996,52.248340999999996,40.752479,40.752479
96,1382.4103,23.040171666666666,78.782641,144.47673,767.90007,33.081437,22.955026,20.956306,51.028865,51.028865,39.969698,39.969698,39.969698,52.882978,52.882978,52.882978,41.221633000000004,41.221633000000004
97,1396.8223,23.280371666666667,79.385308,145.24479,769.7869400000001,33.364208000000005,23.058178,20.999022,51.635818,51.635818,40.408053,40.408053,40.408053,53.515516000000005,53.515516000000005,53.515516000000005,41.688171000000004,41.688171000000004
98,1411.2343,23.52057166666667,79.976945,146.00078,771.64234,33.64846,23.163261,21.042962,52.239402,52.239402,40.84825,40.84825,40.84825,54.148585,54.148585,54.148585,42.145425,42.145425
99,1425.6463,23.760771666666667,80.55017,146.74367,773.4846299999999,33.926963,23.270025,21.088054,52.83177,52.83177,41.289546,41.289546,41.289546,54.778278,54.778278,54.778278,42.599073,42.599073
100,1440.0029,24.000048333333332,81.109902,147.47249,775.31332,34.198761,23.378268,21.134216000000002,53.417854000000005,53.417854000000005,41.72533,41.72533,41.72533,55.394735,55.394735,55.394735,43.059139,43.059139
101,1454.4414,24.240689999999997,81.659499,148.19194,777.12677,34.475079,23.488212,21.181570999999998,53.997648,53.997648,42.157067,42.157067,42.157067,56.001443,56.001443,56.001443,43.512155,43.512155
102,1468.8534,24.48089,82.193303,148.92095,778.90574,34.748979999999996,23.599976,21.230167,54.570942,54.570942,42.586865,42.586865,42.586865,56.609303000000004,56.609303000000004,56.609303000000004,43.962127,43.962127
103,1483.21,24.720166666666668,82.71673299999999,149.66523,780.66671,35.025669,23.712937,21.279757999999998,55.134216,55.134216,43.013935,43.013935,43.013935,57.208091,57.208091,57.208091,44.406464,44.406464
104,1497.622,24.96036666666667,83.23063,150.42712,782.4137,35.299064,23.827413,21.330485999999997,55.693142,55.693142,43.439578999999995,43.439578999999995,43.439578999999995,57.797093000000004,57.797093000000004,57.797093000000004,44.852969,44.852969
105,1512.034,25.200566666666667,83.739683,151.20842,784.13961,35.571017,23.943547,21.382448999999998,56.248015,56.248015,43.860822999999996,43.860822999999996,43.860822999999996,58.384905,58.384905,58.384905,45.306779,45.306779
106,1526.446,25.440766666666665,84.242029,152.00805,785.822,35.847797,24.061123000000002,21.435544,56.801485,56.801485,44.274319,44.274319,44.274319,58.965326,58.965326,58.965326,45.759707,45.759707
