Time in Seconds,Time in Minutes,Displacement in m,Displacement in mm-O,Displacement in mm
0,0,0,0,0
0,0,0,0,0
0.1,0.001667,0.000058,-0.058087,0
0.1,0.001667,0.000058,-0.058087,0
0.2,0.003333,0.000125,-0.125122,0.067035
0.2,0.003333,0.000125,-0.125122,0.067035
0.3,0.005,0.000186,-0.186086,0.127999
0.3,0.005,0.000186,-0.186086,0.127999
0.45,0.0075,0.000258,-0.257902,0.199815
0.45,0.0075,0.000258,-0.257902,0.199815
0.675,0.01125,0.000331,-0.331298,0.273211
0.675,0.01125,0.000331,-0.331298,0.273211
1.0125,0.016875,0.000395,-0.394593,0.336506
1.0125,0.016875,0.000395,-0.394593,0.336506
1.51875,0.025312,0.000439,-0.439135,0.381048
1.51875,0.025312,0.000439,-0.439135,0.381048
2.278125,0.037969,0.000464,-0.4638,0.405713
2.278125,0.037969,0.000464,-0.4638,0.405713
3.417187,0.056953,0.000474,-0.474168,0.416081
3.417187,0.056953,0.000474,-0.474168,0.416081
5.125781,0.08543,0.000477,-0.477372,0.419285
5.125781,0.08543,0.000477,-0.477372,0.419285
7.688672,0.128145,0.000478,-0.478081,0.419994
7.688672,0.128145,0.000478,-0.478081,0.419994
11.533008,0.192217,0.000478,-0.478191,0.420104
11.533008,0.192217,0.000478,-0.478191,0.420104
17.299511,0.288325,0.000478,-0.478202,0.420115
17.299511,0.288325,0.000478,-0.478202,0.420115
25.949268,0.432488,0.000478,-0.478203,0.420116
25.949268,0.432488,0.000478,-0.478203,0.420116
38.923901,0.648732,0.000478,-0.478203,0.420116
38.923901,0.648732,0.000478,-0.478203,0.420116
58.385853,0.973098,0.000478,-0.478203,0.420116
58.385853,0.973098,0.000478,-0.478203,0.420116
97.309753,1.621829,0.000478,-0.478203,0.420116
97.309753,1.621829,0.000478,-0.478203,0.420116
157.309753,2.621829,0.000478,-0.478203,0.420116
157.309753,2.621829,0.000478,-0.478203,0.420116
217.309753,3.621829,0.000478,-0.478203,0.420116
217.309753,3.621829,0.000478,-0.478203,0.420116
277.309753,4.621829,0.000478,-0.478203,0.420116
277.309753,4.621829,0.000478,-0.478203,0.420116
337.309753,5.621829,0.000478,-0.478203,0.420116
337.309753,5.621829,0.000478,-0.478203,0.420116
397.309753,6.621829,0.000508,-0.507664,0.449577
397.309753,6.621829,0.000508,-0.507664,0.449577
457.309753,7.621829,0.000537,-0.536563,0.478476
457.309753,7.621829,0.000537,-0.536563,0.478476
517.309753,8.621829,0.00057,-0.57046,0.512373
517.309753,8.621829,0.00057,-0.57046,0.512373
577.309753,9.621829,0.000625,-0.625207,0.56712
577.309753,9.621829,0.000625,-0.625207,0.56712
637.309753,10.621829,0.000688,-0.687862,0.629775
637.309753,10.621829,0.000688,-0.687862,0.629775
697.309753,11.621829,0.00075,-0.750333,0.692246
697.309753,11.621829,0.00075,-0.750333,0.692246
757.309753,12.621829,0.000842,-0.842176,0.784089
757.309753,12.621829,0.000842,-0.842176,0.784089
817.309753,13.621829,0.000956,-0.9562,0.898113
817.309753,13.621829,0.000956,-0.9562,0.898113
877.309753,14.621829,0.001099,-1.099207,1.04112
877.309753,14.621829,0.001099,-1.099207,1.04112
937.309753,15.621829,0.001206,-1.205864,1.147777
937.309753,15.621829,0.001206,-1.205864,1.147777
997.309753,16.621829,0.001324,-1.323605,1.265518
997.309753,16.621829,0.001324,-1.323605,1.265518
1057.309814,17.62183,0.001497,-1.497299,1.439212
1057.309814,17.62183,0.001497,-1.497299,1.439212
1117.309814,18.62183,0.001657,-1.657257,1.59917
1117.309814,18.62183,0.001657,-1.657257,1.59917
1177.309814,19.62183,0.001821,-1.820519,1.762432
1177.309814,19.62183,0.001821,-1.820519,1.762432
1237.309814,20.62183,0.001971,-1.970621,1.912534
1237.309814,20.62183,0.001971,-1.970621,1.912534
1297.309814,21.62183,0.002128,-2.12798,2.069893
1297.309814,21.62183,0.002128,-2.12798,2.069893
1357.309814,22.62183,0.002253,-2.252546,2.194459
1357.309814,22.62183,0.002253,-2.252546,2.194459
1417.309814,23.62183,0.002355,-2.354903,2.296816
1417.309814,23.62183,0.002355,-2.354903,2.296816
1477.309814,24.62183,0.002469,-2.468972,2.410885
1477.309814,24.62183,0.002469,-2.468972,2.410885
1537.309814,25.62183,0.002632,-2.632083,2.573996
1537.309814,25.62183,0.002632,-2.632083,2.573996
1597.309814,26.62183,0.002756,-2.755625,2.697538
1597.309814,26.62183,0.002756,-2.755625,2.697538
1657.309814,27.62183,0.002838,-2.83753,2.779443
1657.309814,27.62183,0.002838,-2.83753,2.779443
1717.309814,28.62183,0.002933,-2.932529,2.874442
1717.309814,28.62183,0.002933,-2.932529,2.874442
1777.309814,29.62183,0.003031,-3.03066,2.972573
1777.309814,29.62183,0.003031,-3.03066,2.972573
1837.309814,30.62183,0.003127,-3.12692,3.068833
1837.309814,30.62183,0.003127,-3.12692,3.068833
1897.309814,31.62183,0.003215,-3.215137,3.15705
1897.309814,31.62183,0.003215,-3.215137,3.15705
1957.309814,32.62183,0.003298,-3.297783,3.239696
1957.309814,32.62183,0.003298,-3.297783,3.239696
2017.309814,33.62183,0.003379,-3.379142,3.321055
2017.309814,33.62183,0.003379,-3.379142,3.321055
2077.309814,34.62183,0.003422,-3.421957,3.36387
2077.309814,34.62183,0.003422,-3.421957,3.36387
2137.309814,35.62183,0.003448,-3.447647,3.38956
2137.309814,35.62183,0.003448,-3.447647,3.38956
2197.309814,36.62183,0.003498,-3.497653,3.439566
2197.309814,36.62183,0.003498,-3.497653,3.439566
2257.309814,37.62183,0.003564,-3.564493,3.506406
2257.309814,37.62183,0.003564,-3.564493,3.506406
