Time in Seconds,Time in Minutes,Displacement in m,,Displacement in mm
2677.309814,44.62183,0.00222,2.220056,-2.220056
2737.309814,45.62183,0.002202,2.202401,-2.202401
2737.309814,45.62183,0.002202,2.202401,-2.202401
2797.309814,46.62183,0.00218,2.179847,-2.179847
2797.309814,46.62183,0.00218,2.179847,-2.179847
2857.309814,47.62183,0.002139,2.139306,-2.139306
2857.309814,47.62183,0.002139,2.139306,-2.139306
2917.309814,48.62183,0.002136,2.136184,-2.136184
2917.309814,48.62183,0.002136,2.136184,-2.136184
2977.309814,49.62183,0.002139,2.13879,-2.13879
2977.309814,49.62183,0.002139,2.13879,-2.13879
3037.309814,50.62183,0.002132,2.132218,-2.132218
3037.309814,50.62183,0.002132,2.132218,-2.132218
3097.309814,51.62183,0.002208,2.207869,-2.207869
3097.309814,51.62183,0.002208,2.207869,-2.207869
3157.309814,52.62183,0.002296,2.296124,-2.296124
3157.309814,52.62183,0.002296,2.296124,-2.296124
3217.309814,53.62183,0.002432,2.431575,-2.431575
3217.309814,53.62183,0.002432,2.431575,-2.431575
3277.309814,54.62183,0.002588,2.587955,-2.587955
3277.309814,54.62183,0.002588,2.587955,-2.587955
3337.309814,55.62183,0.002755,2.755498,-2.755498
3337.309814,55.62183,0.002755,2.755498,-2.755498
3397.309814,56.62183,0.003028,3.027577,-3.027577
3397.309814,56.62183,0.003028,3.027577,-3.027577
3457.309814,57.62183,0.0033,3.299629,-3.299629
3457.309814,57.62183,0.0033,3.299629,-3.299629
3517.309814,58.62183,0.003567,3.566648,-3.566648
3517.309814,58.62183,0.003567,3.566648,-3.566648
3577.309814,59.62183,0.003983,3.983494,-3.983494
3577.309814,59.62183,0.003983,3.983494,-3.983494
3637.309814,60.62183,0.004372,4.372025,-4.372025
3637.309814,60.62183,0.004372,4.372025,-4.372025
3697.309814,61.62183,0.004443,4.443234,-4.443234
3697.309814,61.62183,0.004443,4.443234,-4.443234
3757.309814,62.62183,0.004551,4.551041,-4.551041
3757.309814,62.62183,0.004551,4.551041,-4.551041
3817.309814,63.62183,0.004735,4.735376,-4.735376
3817.309814,63.62183,0.004735,4.735376,-4.735376
3877.309814,64.62183,0.004927,4.927309,-4.927309
3877.309814,64.62183,0.004927,4.927309,-4.927309
3937.309814,65.62183,0.005003,5.003179,-5.003179
3937.309814,65.62183,0.005003,5.003179,-5.003179
3997.309814,66.62183,0.005083,5.082978,-5.082978
3997.309814,66.62183,0.005083,5.082978,-5.082978
4057.309814,67.62183,0.005235,5.23471,-5.23471
4057.309814,67.62183,0.005235,5.23471,-5.23471
4117.30957,68.621826,0.005388,5.387835,-5.387835
4117.30957,68.621826,0.005388,5.387835,-5.387835
4177.30957,69.621826,0.005605,5.604862,-5.604862
4177.30957,69.621826,0.005605,5.604862,-5.604862
4237.30957,70.621826,0.005849,5.849207,-5.849207
4237.30957,70.621826,0.005849,5.849207,-5.849207
4297.30957,71.621826,0.006159,6.159135,-6.159135
4297.30957,71.621826,0.006159,6.159135,-6.159135
4357.30957,72.621826,0.006441,6.440667,-6.440667
4357.30957,72.621826,0.006441,6.440667,-6.440667
4417.30957,73.621826,0.006723,6.723143,-6.723143
4417.30957,73.621826,0.006723,6.723143,-6.723143
4477.30957,74.621826,0.007022,7.021763,-7.021763
4477.30957,74.621826,0.007022,7.021763,-7.021763
4537.30957,75.621826,0.0072,7.200127,-7.200127
4537.30957,75.621826,0.0072,7.200127,-7.200127
4597.30957,76.621826,0.007273,7.273323,-7.273323
4597.30957,76.621826,0.007273,7.273323,-7.273323
4657.30957,77.621826,0.00744,7.440247,-7.440247
4657.30957,77.621826,0.00744,7.440247,-7.440247
4717.30957,78.621826,0.007615,7.615484,-7.615484
4717.30957,78.621826,0.007615,7.615484,-7.615484
4777.30957,79.621826,0.007876,7.876118,-7.876118
4777.30957,79.621826,0.007876,7.876118,-7.876118
4837.30957,80.621826,0.008097,8.096613,-8.096613
4837.30957,80.621826,0.008097,8.096613,-8.096613
4897.30957,81.621826,0.008325,8.324678,-8.324678
4897.30957,81.621826,0.008325,8.324678,-8.324678
4957.30957,82.621826,0.008555,8.555244,-8.555244
4957.30957,82.621826,0.008555,8.555244,-8.555244
5017.30957,83.621826,0.0087,8.699676,-8.699676
5017.30957,83.621826,0.0087,8.699676,-8.699676
5077.30957,84.621826,0.00874,8.739726,-8.739726
5077.30957,84.621826,0.00874,8.739726,-8.739726
5137.30957,85.621826,0.008804,8.804363,-8.804363
5137.30957,85.621826,0.008804,8.804363,-8.804363
5197.30957,86.621826,0.008915,8.914566,-8.914566
5197.30957,86.621826,0.008915,8.914566,-8.914566
5257.30957,87.621826,0.008972,8.971767,-8.971767
5257.30957,87.621826,0.008972,8.971767,-8.971767
5317.30957,88.621826,0.009031,9.031127,-9.031127
5317.30957,88.621826,0.009031,9.031127,-9.031127
5377.30957,89.621826,0.00909,9.089842,-9.089842
5377.30957,89.621826,0.00909,9.089842,-9.089842
5437.30957,90.621826,0.009097,9.0966,-9.0966
5437.30957,90.621826,0.009097,9.0966,-9.0966
5452.30957,90.871826,0.009092,9.091528,-9.091528
5452.30957,90.871826,0.009092,9.091528,-9.091528
5474.80957,91.246826,0.009086,9.086087,-9.086087
5474.80957,91.246826,0.009086,9.086087,-9.086087
5508.55957,91.809326,0.009032,9.032208,-9.032208
5508.55957,91.809326,0.009032,9.032208,-9.032208
5559.18457,92.653076,0.008934,8.9337,-8.9337
5559.18457,92.653076,0.008934,8.9337,-8.9337
5609.80957,93.496826,0.008837,8.83701,-8.83701
5609.80957,93.496826,0.008837,8.83701,-8.83701
5660.43457,94.340576,0.008742,8.741672,-8.741672
5660.43457,94.340576,0.008742,8.741672,-8.741672
5720.43457,95.340576,0.008623,8.623329,-8.623329
5720.43457,95.340576,0.008623,8.623329,-8.623329
5780.43457,96.340576,0.008514,8.514246,-8.514246
5780.43457,96.340576,0.008514,8.514246,-8.514246
5840.43457,97.340576,0.008406,8.405747,-8.405747
5840.43457,97.340576,0.008406,8.405747,-8.405747
5900.43457,98.340576,0.008314,8.313559,-8.313559
5900.43457,98.340576,0.008314,8.313559,-8.313559
5904.18457,98.403076,0.008297,8.296899,-8.296899
5904.18457,98.403076,0.008297,8.296899,-8.296899
5909.80957,98.496826,0.008271,8.27101,-8.27101
5909.80957,98.496826,0.008271,8.27101,-8.27101
5911.918945,98.531982,0.008263,8.263199,-8.263199
5911.918945,98.531982,0.008263,8.263199,-8.263199
5912.709961,98.545166,0.00826,8.260474,-8.260474
5912.709961,98.545166,0.00826,8.260474,-8.260474
5913.896484,98.564941,0.008257,8.256935,-8.256935
5913.896484,98.564941,0.008257,8.256935,-8.256935
5914.341797,98.572363,0.008256,8.255679,-8.255679
5914.341797,98.572363,0.008256,8.255679,-8.255679
5915.008789,98.58348,0.008252,8.25162,-8.25162
5915.008789,98.58348,0.008252,8.25162,-8.25162
5915.67627,98.594604,0.008246,8.246406,-8.246406
5915.67627,98.594604,0.008246,8.246406,-8.246406
5916.34375,98.605729,0.008241,8.241381,-8.241381
5916.34375,98.605729,0.008241,8.241381,-8.241381
5917.345215,98.62242,0.008236,8.23559,-8.23559
5917.345215,98.62242,0.008236,8.23559,-8.23559
5918.84668,98.647445,0.008229,8.229309,-8.229309
5918.84668,98.647445,0.008229,8.229309,-8.229309
5921.099121,98.684985,0.008222,8.222288,-8.222288
5921.099121,98.684985,0.008222,8.222288,-8.222288
5924.478027,98.7413,0.008212,8.212057,-8.212057
5924.478027,98.7413,0.008212,8.212057,-8.212057
5927.856934,98.797616,0.008202,8.201757,-8.201757
5927.856934,98.797616,0.008202,8.201757,-8.201757
5931.23584,98.853931,0.008192,8.192463,-8.192463
5931.23584,98.853931,0.008192,8.192463,-8.192463
5936.303711,98.938395,0.00818,8.180224,-8.180224
5936.303711,98.938395,0.00818,8.180224,-8.180224
5943.90625,99.065104,0.008166,8.166055,-8.166055
5943.90625,99.065104,0.008166,8.166055,-8.166055
5955.30957,99.25516,0.008149,8.148911,-8.148911
5955.30957,99.25516,0.008149,8.148911,-8.148911
5972.415039,99.540251,0.008106,8.106208,-8.106208
5972.415039,99.540251,0.008106,8.106208,-8.106208
5989.52002,99.825334,0.008033,8.032794,-8.032794
5989.52002,99.825334,0.008033,8.032794,-8.032794
6006.625488,100.110425,0.007985,7.985226,-7.985226
6006.625488,100.110425,0.007985,7.985226,-7.985226
6023.730469,100.395508,0.007956,7.955663,-7.955663
6023.730469,100.395508,0.007956,7.955663,-7.955663
6040.835938,100.680599,0.007936,7.935639,-7.935639
6040.835938,100.680599,0.007936,7.935639,-7.935639
6045.112305,100.751872,0.007931,7.931022,-7.931022
6045.112305,100.751872,0.007931,7.931022,-7.931022
6049.388672,100.823145,0.007929,7.929458,-7.929458
6049.388672,100.823145,0.007929,7.929458,-7.929458
6053.664551,100.894409,0.007929,7.92926,-7.92926
6053.664551,100.894409,0.007929,7.92926,-7.92926
6060.079102,101.001318,0.007929,7.929423,-7.929423
6060.079102,101.001318,0.007929,7.929423,-7.929423
6069.700684,101.161678,0.007919,7.918986,-7.918986
6069.700684,101.161678,0.007919,7.918986,-7.918986
6084.133301,101.402222,0.007901,7.900858,-7.900858
6084.133301,101.402222,0.007901,7.900858,-7.900858
6089.545898,101.492432,0.007885,7.884622,-7.884622
6089.545898,101.492432,0.007885,7.884622,-7.884622
6097.664062,101.627734,0.007839,7.839222,-7.839222
6097.664062,101.627734,0.007839,7.839222,-7.839222
6105.782227,101.763037,0.007801,7.801267,-7.801267
6105.782227,101.763037,0.007801,7.801267,-7.801267
6113.900391,101.89834,0.007767,7.766781,-7.766781
6113.900391,101.89834,0.007767,7.766781,-7.766781
6126.078125,102.101302,0.007753,7.752509,-7.752509
6126.078125,102.101302,0.007753,7.752509,-7.752509
6144.344238,102.405737,0.007723,7.722842,-7.722842
6144.344238,102.405737,0.007723,7.722842,-7.722842
6171.743652,102.862394,0.007676,7.675786,-7.675786
6171.743652,102.862394,0.007676,7.675786,-7.675786
6212.842285,103.547371,0.00762,7.619658,-7.619658
6212.842285,103.547371,0.00762,7.619658,-7.619658
6272.842285,104.547371,0.007519,7.518806,-7.518806
6272.842285,104.547371,0.007519,7.518806,-7.518806
6332.842285,105.547371,0.007437,7.436824,-7.436824
6332.842285,105.547371,0.007437,7.436824,-7.436824
6392.842285,106.547371,0.007338,7.338064,-7.338064
6392.842285,106.547371,0.007338,7.338064,-7.338064
6452.842285,107.547371,0.007228,7.227703,-7.227703
6452.842285,107.547371,0.007228,7.227703,-7.227703
6512.842285,108.547371,0.007148,7.148322,-7.148322
6512.842285,108.547371,0.007148,7.148322,-7.148322
6572.842285,109.547371,0.007064,7.063977,-7.063977
6572.842285,109.547371,0.007064,7.063977,-7.063977
6632.842285,110.547371,0.006979,6.979278,-6.979278
6632.842285,110.547371,0.006979,6.979278,-6.979278
6692.842285,111.547371,0.006915,6.915204,-6.915204
6692.842285,111.547371,0.006915,6.915204,-6.915204
6752.842285,112.547371,0.006854,6.854228,-6.854228
6752.842285,112.547371,0.006854,6.854228,-6.854228
6812.842285,113.547371,0.006816,6.815856,-6.815856
6812.842285,113.547371,0.006816,6.815856,-6.815856
6872.842285,114.547371,0.006766,6.766473,-6.766473
6872.842285,114.547371,0.006766,6.766473,-6.766473
6932.842285,115.547371,0.006698,6.697698,-6.697698
6932.842285,115.547371,0.006698,6.697698,-6.697698
6992.842285,116.547371,0.006623,6.62313,-6.62313
6992.842285,116.547371,0.006623,6.62313,-6.62313
7052.842285,117.547371,0.006549,6.549143,-6.549143
7052.842285,117.547371,0.006549,6.549143,-6.549143
7112.842285,118.547371,0.006548,6.547773,-6.547773
7112.842285,118.547371,0.006548,6.547773,-6.547773
7172.842285,119.547371,0.00653,6.52971,-6.52971
7172.842285,119.547371,0.00653,6.52971,-6.52971
7232.842285,120.547371,0.006476,6.475887,-6.475887
7232.842285,120.547371,0.006476,6.475887,-6.475887
7292.842285,121.547371,0.006448,6.447697,-6.447697
7292.842285,121.547371,0.006448,6.447697,-6.447697
7352.842285,122.547371,0.006387,6.386909,-6.386909
7352.842285,122.547371,0.006387,6.386909,-6.386909
7412.842285,123.547371,0.006354,6.354385,-6.354385
7412.842285,123.547371,0.006354,6.354385,-6.354385
7472.842285,124.547371,0.006373,6.372864,-6.372864
7472.842285,124.547371,0.006373,6.372864,-6.372864
7532.842285,125.547371,0.006357,6.356958,-6.356958
7532.842285,125.547371,0.006357,6.356958,-6.356958
7592.842285,126.547371,0.006352,6.351551,-6.351551
7592.842285,126.547371,0.006352,6.351551,-6.351551
7652.842285,127.547371,0.006368,6.368492,-6.368492
7652.842285,127.547371,0.006368,6.368492,-6.368492
7712.842285,128.547371,0.00641,6.409596,-6.409596
7712.842285,128.547371,0.00641,6.409596,-6.409596
7772.842285,129.547371,0.006419,6.419427,-6.419427
7772.842285,129.547371,0.006419,6.419427,-6.419427
7832.842285,130.547371,0.006454,6.453799,-6.453799
7832.842285,130.547371,0.006454,6.453799,-6.453799
7892.842285,131.547371,0.006467,6.466715,-6.466715
7892.842285,131.547371,0.006467,6.466715,-6.466715
7952.842285,132.547371,0.006418,6.417741,-6.417741
7952.842285,132.547371,0.006418,6.417741,-6.417741
8012.842285,133.547371,0.006365,6.364663,-6.364663
8012.842285,133.547371,0.006365,6.364663,-6.364663
8072.842285,134.547371,0.00635,6.349927,-6.349927
8072.842285,134.547371,0.00635,6.349927,-6.349927
8132.842285,135.547371,0.006339,6.338614,-6.338614
8132.842285,135.547371,0.006339,6.338614,-6.338614
8192.842773,136.54738,0.006342,6.342399,-6.342399
8192.842773,136.54738,0.006342,6.342399,-6.342399
8252.842773,137.54738,0.006355,6.35545,-6.35545
8252.842773,137.54738,0.006355,6.35545,-6.35545
8312.842773,138.54738,0.00642,6.419947,-6.419947
8312.842773,138.54738,0.00642,6.419947,-6.419947
8372.842773,139.54738,0.006511,6.510509,-6.510509
8372.842773,139.54738,0.006511,6.510509,-6.510509
8432.842773,140.54738,0.006532,6.532246,-6.532246
8432.842773,140.54738,0.006532,6.532246,-6.532246
