Time in Seconds,Time in Minutes,Load in N,Load in kN,Displacement in m,Displacement in mm-O,Displacement in mm
0,0,0,0,0,0,0
0.01,0.000167,17353.02344,17.353023,-0.001091,-1.091307,0
0.02,0.000333,18452.5,18.4525,-0.001142,-1.14167,0.050363
0.03,0.0005,18497.4082,18.497408,-0.001144,-1.144455,0.053148
0.04,0.000667,18499.2793,18.499279,-0.001145,-1.145327,0.05402
0.055,0.000917,18499.52734,18.499527,-0.001146,-1.146195,0.054888
0.07,0.001167,18499.65625,18.499656,-0.001147,-1.146827,0.05552
0.085,0.001417,18499.74023,18.49974,-0.001147,-1.147284,0.055977
0.1075,0.001792,18499.83594,18.499836,-0.001148,-1.147737,0.05643
0.14125,0.002354,18499.91211,18.499912,-0.001148,-1.148104,0.056797
0.191875,0.003198,18499.96094,18.499961,-0.001148,-1.148347,0.05704
0.267812,0.004464,18499.98633,18.499986,-0.001148,-1.148474,0.057167
0.381719,0.006362,18499.99609,18.499996,-0.001149,-1.148523,0.057216
0.552578,0.00921,18500,18.5,-0.001149,-1.148537,0.05723
0.808867,0.013481,18500,18.5,-0.001149,-1.14854,0.057233
1.193301,0.019888,18500,18.5,-0.001149,-1.14854,0.057233
1.769951,0.029499,18500,18.5,-0.001149,-1.14854,0.057233
2.634927,0.043915,18500,18.5,-0.001149,-1.14854,0.057233
3.93239,0.06554,18500,18.5,-0.001149,-1.14854,0.057233
6.527317,0.108789,18500,18.5,-0.001149,-1.14854,0.057233
11.717171,0.195286,18500,18.5,-0.001149,-1.14854,0.057233
22.096878,0.368281,18500,18.5,-0.001149,-1.14854,0.057233
42.856293,0.714272,18500,18.5,-0.001149,-1.14854,0.057233
84.375122,1.406252,18500,18.5,-0.001149,-1.14854,0.057233
144.375122,2.406252,18500,18.5,-0.001149,-1.14854,0.057233
204.375122,3.406252,18500,18.5,-0.001149,-1.14854,0.057233
264.375122,4.406252,18500,18.5,-0.001149,-1.14854,0.057233
324.375122,5.406252,18500,18.5,-0.001149,-1.14854,0.057233
384.375122,6.406252,18500,18.5,-0.001147,-1.146549,0.055242
444.375122,7.406252,18500,18.5,-0.001142,-1.141891,0.050584
504.375122,8.406252,18500.00195,18.500002,-0.001131,-1.131348,0.040041
564.375122,9.406252,18500.00195,18.500002,-0.001116,-1.115615,0.024308
624.375122,10.406252,18500.00195,18.500002,-0.001105,-1.105131,0.013824
684.375122,11.406252,18500.00195,18.500002,-0.001087,-1.087067,-0.00424
744.375122,12.406252,18500.00391,18.500004,-0.001058,-1.058313,-0.032994
804.375122,13.406252,18500.00391,18.500004,-0.001023,-1.023193,-0.068114
864.375122,14.406252,18500.00391,18.500004,-0.000987,-0.987412,-0.103895
924.375122,15.406252,18500.00391,18.500004,-0.000946,-0.945829,-0.145478
984.375122,16.406252,18500.00586,18.500006,-0.000897,-0.897195,-0.194112
1044.375122,17.406252,18500.00586,18.500006,-0.000846,-0.846177,-0.24513
1104.375122,18.406252,18500.00586,18.500006,-0.000783,-0.782737,-0.30857
1164.375122,19.406252,18500.00781,18.500008,-0.000714,-0.713577,-0.37773
1224.375122,20.406252,18500.00781,18.500008,-0.000648,-0.647984,-0.443323
1284.375122,21.406252,18500.00586,18.500006,-0.000587,-0.587044,-0.504263
1344.375122,22.406252,18500.00586,18.500006,-0.000528,-0.528058,-0.563249
1404.375122,23.406252,18500.00586,18.500006,-0.000462,-0.461819,-0.629488
1464.375122,24.406252,18500.00781,18.500008,-0.00039,-0.389722,-0.701585
1524.375122,25.406252,18500.00781,18.500008,-0.000316,-0.315884,-0.775423
1584.375122,26.406252,18500.00586,18.500006,-0.000252,-0.251668,-0.839639
1644.375122,27.406252,18500.00586,18.500006,-0.000193,-0.19259,-0.898717
1704.375122,28.406252,18500.00586,18.500006,-0.000136,-0.136064,-0.955243
1764.375122,29.406252,18500.00586,18.500006,-0.000081,-0.080926,-1.010381
1824.375122,30.406252,18500.00586,18.500006,-0.000017,-0.017339,-1.073968
1884.375122,31.406252,18500.00586,18.500006,0.000041,0.040687,-1.131994
1944.375122,32.406252,18500.00391,18.500004,0.000089,0.089111,-1.180418
2004.375122,33.406252,18500.00391,18.500004,0.000138,0.137973,-1.22928
2064.375,34.40625,18500.00391,18.500004,0.000185,0.184711,-1.276018
2124.375,35.40625,18500.00391,18.500004,0.000229,0.229376,-1.320683
2184.375,36.40625,18500.00586,18.500006,0.000281,0.280978,-1.372285
2244.375,37.40625,18500.00391,18.500004,0.00033,0.329691,-1.420998
2304.375,38.40625,18500.00391,18.500004,0.000367,0.367423,-1.45873
2364.375,39.40625,18500.00391,18.500004,0.000402,0.401548,-1.492855
2424.375,40.40625,18500.00391,18.500004,0.000439,0.438828,-1.530135
2484.375,41.40625,18500.00391,18.500004,0.000476,0.47573,-1.567037
2544.375,42.40625,18500.00391,18.500004,0.000518,0.5177,-1.609007
2604.375,43.40625,18500.00391,18.500004,0.000562,0.562079,-1.653386
2664.375,44.40625,18500.00391,18.500004,0.000599,0.598543,-1.68985
2724.375,45.40625,18500.00391,18.500004,0.000635,0.63466,-1.725967
2784.375,46.40625,18500.00195,18.500002,0.000665,0.665415,-1.756722
2844.375,47.40625,18500.00195,18.500002,0.000691,0.691008,-1.782315
2904.375,48.40625,18500.00391,18.500004,0.000727,0.726895,-1.818202
2964.375,49.40625,18500.00391,18.500004,0.000767,0.766625,-1.857932
3024.375,50.40625,18500.00391,18.500004,0.000798,0.798377,-1.889684
3084.375,51.40625,18500.00195,18.500002,0.000829,0.829434,-1.920741
3144.375,52.40625,18500.00195,18.500002,0.00086,0.859886,-1.951193
3204.375,53.40625,18500.00391,18.500004,0.000895,0.89474,-1.986047
3264.375,54.40625,18500.00391,18.500004,0.000931,0.930914,-2.022221
3324.375,55.40625,18500.00195,18.500002,0.000963,0.963073,-2.05438
3384.375,56.40625,18500.00195,18.500002,0.000993,0.993498,-2.084805
3444.375,57.40625,18500.00391,18.500004,0.001032,1.031512,-2.122819
3504.375,58.40625,18500.00391,18.500004,0.001068,1.068117,-2.159424
3564.375,59.40625,18500.00391,18.500004,0.001107,1.107397,-2.198704
3624.375,60.40625,18500.00391,18.500004,0.001151,1.150853,-2.24216
3684.375,61.40625,18500.00391,18.500004,0.001198,1.198094,-2.289401
3744.375,62.40625,18500.00391,18.500004,0.001246,1.246413,-2.33772
3804.375,63.40625,18500.00391,18.500004,0.001294,1.294413,-2.38572
3864.375,64.40625,18500.00391,18.500004,0.001348,1.347953,-2.43926
3924.375,65.40625,18500.00586,18.500006,0.001405,1.405342,-2.496649
3984.375,66.40625,18500.00586,18.500006,0.001484,1.483755,-2.575062
4044.375,67.40625,18500.00781,18.500008,0.001585,1.585129,-2.676436
4104.375,68.40625,18500.00781,18.500008,0.001686,1.686148,-2.777455
4164.375,69.40625,18500.01172,18.500012,0.001818,1.818104,-2.909411
4224.375,70.40625,18500.01367,18.500014,0.00199,1.990176,-3.081483
4284.375,71.40625,18500.01953,18.50002,0.002211,2.210675,-3.301982
4344.375,72.40625,18500.02344,18.500023,0.0025,2.499958,-3.591265
4404.375,73.40625,18500.02539,18.500025,0.002825,2.825096,-3.916403
4464.375,74.40625,18500.02344,18.500023,0.003116,3.115552,-4.206859
4524.375,75.40625,18500.02539,18.500025,0.00341,3.410112,-4.501419
4584.375,76.40625,18500.02344,18.500023,0.003695,3.695105,-4.786412
4644.375,77.40625,18500.02148,18.500021,0.003964,3.964485,-5.055792
4704.375,78.40625,18500.02344,18.500023,0.004257,4.256506,-5.347813
4764.375,79.40625,18500.02344,18.500023,0.004535,4.534954,-5.626261
4824.375,80.40625,18500.01953,18.50002,0.004768,4.768123,-5.85943
4884.375,81.40625,18500.01953,18.50002,0.004998,4.998277,-6.089584
4944.375,82.40625,18500.01758,18.500018,0.005209,5.208623,-6.29993
5004.375,83.40625,18500.01563,18.500016,0.005406,5.406018,-6.497325
5064.375,84.40625,18500.01758,18.500018,0.005618,5.617683,-6.70899
5124.375,85.40625,18500.01758,18.500018,0.005828,5.828131,-6.919438
5184.375,86.40625,18500.01367,18.500014,0.006002,6.002291,-7.093598
5244.375,87.40625,18500.01172,18.500012,0.006159,6.158986,-7.250293
5304.375,88.40625,18500.01172,18.500012,0.00631,6.310449,-7.401756
5364.375,89.40625,18500.01172,18.500012,0.00646,6.460254,-7.551561
5424.375,90.40625,18500.01172,18.500012,0.00661,6.609935,-7.701242
5484.375,91.40625,18500.01172,18.500012,0.006757,6.75736,-7.848667
5544.375,92.40625,18500.00977,18.50001,0.006882,6.882388,-7.973695
5604.375,93.40625,18500.00977,18.50001,0.007,6.999679,-8.090986
5664.375,94.40625,18500.00977,18.50001,0.007115,7.114707,-8.206014
5724.375,95.40625,18500.00781,18.500008,0.007228,7.227578,-8.318885
5784.375,96.40625,18500.00977,18.50001,0.007352,7.351507,-8.442814
5844.375,97.40625,18500.00977,18.50001,0.007476,7.475927,-8.567234
5904.375,98.40625,18500.00781,18.500008,0.007582,7.581507,-8.672814
5964.375,99.40625,18500.00781,18.500008,0.007687,7.68713,-8.778437
6024.375,100.40625,18500.00781,18.500008,0.007786,7.785775,-8.877082
6084.375,101.40625,18500.00781,18.500008,0.00788,7.880079,-8.971386
6144.375,102.40625,18500.00781,18.500008,0.007979,7.979138,-9.070445
6204.375,103.40625,18500.00781,18.500008,0.008086,8.086027,-9.177334
6219.375,103.65625,18500.00586,18.500006,0.008108,8.107643,-9.19895
6241.875,104.03125,18500.00586,18.500006,0.008141,8.14129,-9.232597
6264.375,104.40625,18500.00586,18.500006,0.008174,8.174361,-9.265668
6286.875,104.78125,18500.00586,18.500006,0.008207,8.207473,-9.29878
6309.375,105.15625,18500.00781,18.500008,0.008243,8.243009,-9.334316
6343.125,105.71875,18500.00781,18.500008,0.008301,8.301239,-9.392546
6376.875,106.28125,18500.00781,18.500008,0.008354,8.353801,-9.445108
6410.625,106.84375,18500.00586,18.500006,0.008401,8.400735,-9.492042
6461.25,107.6875,18500.00586,18.500006,0.008474,8.473662,-9.564969
6511.875,108.53125,18500.00781,18.500008,0.008559,8.558842,-9.650149
6562.5,109.375,18500.00781,18.500008,0.008646,8.645588,-9.736895
6613.125,110.21875,18500.00586,18.500006,0.008723,8.722638,-9.813945
6673.125,111.21875,18500.00586,18.500006,0.008803,8.802999,-9.894306
6733.125,112.21875,18500.00586,18.500006,0.008885,8.884973,-9.97628
6793.125,113.21875,18500.00586,18.500006,0.008969,8.969268,-10.060575
6853.125,114.21875,18500.00586,18.500006,0.009055,9.055409,-10.146716
6913.125,115.21875,18500.00586,18.500006,0.009149,9.149414,-10.240721
6973.125,116.21875,18500.00586,18.500006,0.009231,9.230806,-10.322113
7033.125,117.21875,18500.00586,18.500006,0.009314,9.314193,-10.4055
7093.125,118.21875,18500.00586,18.500006,0.009386,9.386406,-10.477713
7153.125,119.21875,18500.00586,18.500006,0.009459,9.459246,-10.550553
7213.125,120.21875,18500.00586,18.500006,0.00954,9.540498,-10.631805
7273.125,121.21875,18500.00586,18.500006,0.009622,9.622484,-10.713791
7333.125,122.21875,18500.00391,18.500004,0.009682,9.682327,-10.773634
7393.125,123.21875,18500.00391,18.500004,0.009749,9.749336,-10.840643
7453.125,124.21875,18500.00391,18.500004,0.009818,9.817595,-10.908902
7513.125,125.21875,18500.00391,18.500004,0.009884,9.883997,-10.975304
7573.125,126.21875,18500.00391,18.500004,0.009938,9.938474,-11.029781
7633.125,127.21875,18500.00586,18.500006,0.010024,10.024095,-11.115402
7693.125,128.21875,18500.00391,18.500004,0.010094,10.094029,-11.185336
7753.125,129.21875,18500.00391,18.500004,0.010155,10.154562,-11.245869
7813.125,130.21875,18500.00391,18.500004,0.010224,10.223974,-11.315281
7873.125,131.21875,18500.00391,18.500004,0.010289,10.288876,-11.380183
7933.125,132.21875,18500.00391,18.500004,0.010357,10.356635,-11.447942
7993.125,133.21875,18500.00586,18.500006,0.010433,10.43318,-11.524487
8053.125,134.21875,18500.00391,18.500004,0.010494,10.494308,-11.585615
8113.125,135.21875,18500.00391,18.500004,0.01055,10.549975,-11.641282
8173.125,136.21875,18500.00391,18.500004,0.0106,10.600432,-11.691739
8233.125,137.21875,18500.00391,18.500004,0.010658,10.658307,-11.749614
8293.125,138.21875,18500.00391,18.500004,0.01071,10.709674,-11.800981
8353.125,139.21875,18500.00391,18.500004,0.010774,10.77391,-11.865217
8413.125,140.21875,18500.00391,18.500004,0.010825,10.824529,-11.915836
8473.125,141.21875,18500.00195,18.500002,0.010869,10.869319,-11.960626
8533.125,142.21875,18500.00391,18.500004,0.01092,10.919866,-12.011173
8593.125,143.21875,18500.00391,18.500004,0.010974,10.974028,-12.065335
8653.125,144.21875,18500.00195,18.500002,0.01102,11.019682,-12.110989
8713.125,145.21875,18500.00391,18.500004,0.011071,11.070844,-12.162151
8773.125,146.21875,18500.00195,18.500002,0.011113,11.113341,-12.204648
8833.125,147.21875,18500.00195,18.500002,0.011156,11.155652,-12.246959
8893.125,148.21875,18500.00195,18.500002,0.011197,11.197087,-12.288394
8953.125,149.21875,18500.00195,18.500002,0.011239,11.238948,-12.330255
9013.125,150.21875,18500.00195,18.500002,0.011283,11.283495,-12.374802
9073.125,151.21875,18500.00391,18.500004,0.011334,11.333645,-12.424952
9133.125,152.21875,18500.00195,18.500002,0.011376,11.375644,-12.466951
9193.125,153.21875,18500.00195,18.500002,0.011417,11.416853,-12.50816
9253.125,154.21875,18500.00195,18.500002,0.011456,11.456042,-12.547349
9313.125,155.21875,18500.00195,18.500002,0.011488,11.487785,-12.579092
9373.125,156.21875,18500.00195,18.500002,0.011522,11.52183,-12.613137
9433.125,157.21875,18500.00195,18.500002,0.011563,11.563434,-12.654741
9493.125,158.21875,18500.00195,18.500002,0.011603,11.602673,-12.69398
9553.125,159.21875,18500.00195,18.500002,0.011641,11.640592,-12.731899
9613.125,160.21875,18500.00195,18.500002,0.011673,11.672756,-12.764063
9673.125,161.21875,18500.00195,18.500002,0.011709,11.708871,-12.800178
9733.125,162.21875,18500.00195,18.500002,0.011746,11.746102,-12.837409
9793.125,163.21875,18500.00195,18.500002,0.01179,11.790264,-12.881571
9853.125,164.21875,18500.00195,18.500002,0.011835,11.835249,-12.926556
9913.125,165.21875,18500.00195,18.500002,0.01188,11.879582,-12.970889
9973.125,166.21875,18500.00195,18.500002,0.011922,11.92245,-13.013757
10033.125,167.21875,18500.00195,18.500002,0.011973,11.972588,-13.063895
10093.125,168.21875,18500.00391,18.500004,0.012025,12.025372,-13.116679
10153.125,169.21875,18500.00391,18.500004,0.012094,12.093831,-13.185138
10213.125,170.21875,18500.00391,18.500004,0.012157,12.156838,-13.248145
10228.125,170.46875,18500.00391,18.500004,0.012173,12.172856,-13.264163
10250.625,170.84375,18500.00391,18.500004,0.012197,12.196911,-13.288218
10284.375,171.40625,18500.00391,18.500004,0.012233,12.233146,-13.324453
10335,172.25,18500.00391,18.500004,0.012288,12.287746,-13.379053
10395,173.25,18500.00391,18.500004,0.012355,12.354903,-13.44621
10410,173.5,18500.00391,18.500004,0.012373,12.373288,-13.464595
10425,173.75,18500.00391,18.500004,0.012392,12.391667,-13.482974
10440,174,18500.00391,18.500004,0.01241,12.410037,-13.501344
10445.625,174.09375,18500.16602,18.500166,0.012696,12.696413,-13.78772
10451.25,174.1875,18500.1543,18.500154,0.012967,12.966524,-14.057831
10452.65625,174.210938,18500.1582,18.500158,0.013036,13.035655,-14.126962
10454.0625,174.234375,18500.13281,18.500133,0.013094,13.093586,-14.184893
10454.41406,174.240234,18500.13281,18.500133,0.013107,13.107383,-14.19869
10454.45801,174.240967,18500.11523,18.500115,0.013108,13.107811,-14.199118
10454.50195,174.241699,18500.12109,18.500121,0.013109,13.108569,-14.199876
10454.50488,174.241748,18500.11914,18.500119,0.013109,13.10861,-14.199917
10454.50586,174.241764,18500.12109,18.500121,0.013109,13.108623,-14.19993
10454.50586,174.241764,18500.12305,18.500123,0.013109,13.108623,-14.19993
10454.50586,174.241764,18500.12109,18.500121,0.013109,13.108636,-14.199943
10454.50586,174.241764,18500.12305,18.500123,0.013109,13.108636,-14.199943
10454.50684,174.241781,18500.12109,18.500121,0.013109,13.108641,-14.199948
10454.50684,174.241781,18500.12305,18.500123,0.013109,13.108641,-14.199948
10454.50684,174.241781,18500.125,18.500125,0.013109,13.108641,-14.199948
10454.50684,174.241781,18500.125,18.500125,0.013109,13.108641,-14.199948
10454.50684,174.241781,18500.125,18.500125,0.013109,13.108641,-14.199948
10454.50684,174.241781,18500.125,18.500125,0.013109,13.108641,-14.199948
10454.50684,174.241781,18500.12109,18.500121,0.013109,13.108646,-14.199953
10454.50684,174.241781,18500.12305,18.500123,0.013109,13.108646,-14.199953
10454.50684,174.241781,18500.125,18.500125,0.013109,13.108646,-14.199953
10454.50684,174.241781,18500.125,18.500125,0.013109,13.108646,-14.199953
10454.50684,174.241781,18500.125,18.500125,0.013109,13.108646,-14.199953
10454.50684,174.241781,18500.125,18.500125,0.013109,13.108646,-14.199953
10454.50684,174.241781,18500.12109,18.500121,0.013109,13.108651,-14.199958
10454.50684,174.241781,18500.12305,18.500123,0.013109,13.108651,-14.199958
10454.50684,174.241781,18500.125,18.500125,0.013109,13.108651,-14.199958
10454.50684,174.241781,18500.125,18.500125,0.013109,13.108651,-14.199958
10454.50684,174.241781,18500.125,18.500125,0.013109,13.108651,-14.199958
10454.50684,174.241781,18500.125,18.500125,0.013109,13.108651,-14.199958
10454.50684,174.241781,18500.12109,18.500121,0.013109,13.108653,-14.19996
10454.50684,174.241781,18500.12305,18.500123,0.013109,13.108653,-14.19996
10454.50684,174.241781,18500.125,18.500125,0.013109,13.108653,-14.19996
10454.50684,174.241781,18500.125,18.500125,0.013109,13.108653,-14.19996
10454.50684,174.241781,18500.125,18.500125,0.013109,13.108653,-14.19996
10454.50684,174.241781,18500.125,18.500125,0.013109,13.108653,-14.19996
10454.50684,174.241781,18500.12109,18.500121,0.013109,13.108656,-14.199963
10454.50684,174.241781,18500.12305,18.500123,0.013109,13.108656,-14.199963
10454.50684,174.241781,18500.125,18.500125,0.013109,13.108656,-14.199963
10454.50684,174.241781,18500.125,18.500125,0.013109,13.108656,-14.199963
10454.50684,174.241781,18500.125,18.500125,0.013109,13.108656,-14.199963
10454.50684,174.241781,18500.125,18.500125,0.013109,13.108656,-14.199963
