Time in Seconds,Time in Minutes,Displacement in m,Displacement in mm
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.100000,0.001667,0.000069,0.068550
0.100000,0.001667,0.000069,0.068550
0.200000,0.003333,0.000126,0.125593
0.200000,0.003333,0.000126,0.125593
0.300000,0.005000,0.000172,0.172404
0.300000,0.005000,0.000172,0.172404
0.450000,0.007500,0.000226,0.225697
0.450000,0.007500,0.000226,0.225697
0.675000,0.011250,0.000282,0.281916
0.675000,0.011250,0.000282,0.281916
1.012500,0.016875,0.000336,0.336198
1.012500,0.016875,0.000336,0.336198
1.518750,0.025312,0.000383,0.383153
1.518750,0.025312,0.000383,0.383153
2.278125,0.037969,0.000419,0.418515
2.278125,0.037969,0.000419,0.418515
3.417187,0.056953,0.000441,0.440904
3.417187,0.056953,0.000441,0.440904
5.125781,0.085430,0.000452,0.452355
5.125781,0.085430,0.000452,0.452355
7.688672,0.128145,0.000457,0.456890
7.688672,0.128145,0.000457,0.456890
11.533008,0.192217,0.000458,0.458228
11.533008,0.192217,0.000458,0.458228
17.299511,0.288325,0.000459,0.458512
17.299511,0.288325,0.000459,0.458512
25.949268,0.432488,0.000459,0.458555
25.949268,0.432488,0.000459,0.458555
38.923901,0.648732,0.000459,0.458559
38.923901,0.648732,0.000459,0.458559
58.385853,0.973098,0.000459,0.458559
58.385853,0.973098,0.000459,0.458559
87.578781,1.459646,0.000459,0.458559
87.578781,1.459646,0.000459,0.458559
145.964630,2.432744,0.000459,0.458559
145.964630,2.432744,0.000459,0.458559
205.964630,3.432744,0.000459,0.458559
205.964630,3.432744,0.000459,0.458559
265.964630,4.432744,0.000459,0.458559
265.964630,4.432744,0.000459,0.458559
325.964630,5.432744,0.000459,0.458560
325.964630,5.432744,0.000459,0.458560
385.964630,6.432744,0.000482,0.482465
385.964630,6.432744,0.000482,0.482465
445.964630,7.432744,0.000530,0.529884
445.964630,7.432744,0.000530,0.529884
505.964630,8.432744,0.000575,0.575405
505.964630,8.432744,0.000575,0.575405
565.964600,9.432743,0.000584,0.584128
565.964600,9.432743,0.000584,0.584128
625.964600,10.432743,0.000587,0.587071
625.964600,10.432743,0.000587,0.587071
685.964600,11.432743,0.000690,0.689947
685.964600,11.432743,0.000690,0.689947
745.964600,12.432743,0.000797,0.797333
745.964600,12.432743,0.000797,0.797333
805.964600,13.432743,0.000890,0.889865
805.964600,13.432743,0.000890,0.889865
865.964600,14.432743,0.001027,1.027026
865.964600,14.432743,0.001027,1.027026
925.964600,15.432743,0.001216,1.215589
925.964600,15.432743,0.001216,1.215589
985.964600,16.432743,0.001300,1.300159
985.964600,16.432743,0.001300,1.300159
1045.964600,17.432743,0.001398,1.398390
1045.964600,17.432743,0.001398,1.398390
1105.964600,18.432743,0.001551,1.551317
1105.964600,18.432743,0.001551,1.551317
1165.964600,19.432743,0.001692,1.691694
1165.964600,19.432743,0.001692,1.691694
1225.964600,20.432743,0.001835,1.834982
1225.964600,20.432743,0.001835,1.834982
1285.964600,21.432743,0.001947,1.946565
1285.964600,21.432743,0.001947,1.946565
1345.964600,22.432743,0.002041,2.041120
1345.964600,22.432743,0.002041,2.041120
1405.964600,23.432743,0.002160,2.159781
1405.964600,23.432743,0.002160,2.159781
1465.964600,24.432743,0.002298,2.297660
1465.964600,24.432743,0.002298,2.297660
1525.964600,25.432743,0.002457,2.457083
1525.964600,25.432743,0.002457,2.457083
1585.964600,26.432743,0.002559,2.559345
1585.964600,26.432743,0.002559,2.559345
1645.964600,27.432743,0.002626,2.626346
1645.964600,27.432743,0.002626,2.626346
1705.964600,28.432743,0.002682,2.682270
1705.964600,28.432743,0.002682,2.682270
1765.964600,29.432743,0.002742,2.741796
1765.964600,29.432743,0.002742,2.741796
1825.964600,30.432743,0.002774,2.773537
1825.964600,30.432743,0.002774,2.773537
1885.964600,31.432743,0.002868,2.867549
1885.964600,31.432743,0.002868,2.867549
1945.964600,32.432743,0.002955,2.955477
1945.964600,32.432743,0.002955,2.955477
2005.964600,33.432743,0.003013,3.013227
2005.964600,33.432743,0.003013,3.013227
2065.964600,34.432743,0.003079,3.079246
2065.964600,34.432743,0.003079,3.079246
2125.964600,35.432743,0.003131,3.130573
2125.964600,35.432743,0.003131,3.130573
2185.964600,36.432743,0.003157,3.156984
2185.964600,36.432743,0.003157,3.156984
2245.964600,37.432743,0.003160,3.159815
2245.964600,37.432743,0.003160,3.159815
2305.964600,38.432743,0.003236,3.235636
2305.964600,38.432743,0.003236,3.235636
2365.964600,39.432743,0.003283,3.282513
2365.964600,39.432743,0.003283,3.282513
2425.964600,40.432743,0.003293,3.293063
2425.964600,40.432743,0.003293,3.293063
2485.964600,41.432743,0.003308,3.307912
2485.964600,41.432743,0.003308,3.307912
2545.964600,42.432743,0.003327,3.327428
2545.964600,42.432743,0.003327,3.327428
2605.964600,43.432743,0.003346,3.346014
2605.964600,43.432743,0.003346,3.346014
2665.964600,44.432743,0.003391,3.390978
2665.964600,44.432743,0.003391,3.390978
2725.964600,45.432743,0.003477,3.476935
2725.964600,45.432743,0.003477,3.476935
2785.964600,46.432743,0.003533,3.533275
2785.964600,46.432743,0.003533,3.533275
2845.964600,47.432743,0.003520,3.520201
2845.964600,47.432743,0.003520,3.520201
2905.964600,48.432743,0.003518,3.517756
2905.964600,48.432743,0.003518,3.517756
2965.964600,49.432743,0.003562,3.561694
2965.964600,49.432743,0.003562,3.561694
3025.964600,50.432743,0.003602,3.601748
3025.964600,50.432743,0.003602,3.601748
3085.964600,51.432743,0.003652,3.652064
3085.964600,51.432743,0.003652,3.652064
3145.964600,52.432743,0.003661,3.660834
3145.964600,52.432743,0.003661,3.660834
3205.964600,53.432743,0.003704,3.703511
3205.964600,53.432743,0.003704,3.703511
3265.964600,54.432743,0.003766,3.765743
3265.964600,54.432743,0.003766,3.765743
