Time in Seconds,Time in Minutes,Displacement in m,Displacement in mm-O,Displacement in mm
2226.314697,37.105245,0.002501,2.500817,-2.500817
2226.314697,37.105245,0.002501,2.500817,-2.500817
2286.314697,38.105245,0.002526,2.526086,-2.526086
2286.314697,38.105245,0.002526,2.526086,-2.526086
2346.314697,39.105245,0.002624,2.623621,-2.623621
2346.314697,39.105245,0.002624,2.623621,-2.623621
2406.314697,40.105245,0.002646,2.646288,-2.646288
2406.314697,40.105245,0.002646,2.646288,-2.646288
2466.314697,41.105245,0.002667,2.667229,-2.667229
2466.314697,41.105245,0.002667,2.667229,-2.667229
2526.314697,42.105245,0.002683,2.683306,-2.683306
2526.314697,42.105245,0.002683,2.683306,-2.683306
2586.314697,43.105245,0.002746,2.746449,-2.746449
2586.314697,43.105245,0.002746,2.746449,-2.746449
2646.314697,44.105245,0.002755,2.755465,-2.755465
2646.314697,44.105245,0.002755,2.755465,-2.755465
2706.314697,45.105245,0.00279,2.789593,-2.789593
2706.314697,45.105245,0.00279,2.789593,-2.789593
2766.314697,46.105245,0.002797,2.79658,-2.79658
2766.314697,46.105245,0.002797,2.79658,-2.79658
2826.314697,47.105245,0.00281,2.809599,-2.809599
2826.314697,47.105245,0.00281,2.809599,-2.809599
2886.314697,48.105245,0.002862,2.862288,-2.862288
2886.314697,48.105245,0.002862,2.862288,-2.862288
2946.314697,49.105245,0.00291,2.910142,-2.910142
2946.314697,49.105245,0.00291,2.910142,-2.910142
3006.314697,50.105245,0.002923,2.923212,-2.923212
3006.314697,50.105245,0.002923,2.923212,-2.923212
3066.314697,51.105245,0.002937,2.937345,-2.937345
3066.314697,51.105245,0.002937,2.937345,-2.937345
3126.314697,52.105245,0.002953,2.95348,-2.95348
3126.314697,52.105245,0.002953,2.95348,-2.95348
3186.314697,53.105245,0.003008,3.007809,-3.007809
3186.314697,53.105245,0.003008,3.007809,-3.007809
3246.314697,54.105245,0.00302,3.019559,-3.019559
3246.314697,54.105245,0.00302,3.019559,-3.019559
3306.314697,55.105245,0.003035,3.035481,-3.035481
3306.314697,55.105245,0.003035,3.035481,-3.035481
3366.314697,56.105245,0.003047,3.046973,-3.046973
3366.314697,56.105245,0.003047,3.046973,-3.046973
3426.314697,57.105245,0.003071,3.071473,-3.071473
3426.314697,57.105245,0.003071,3.071473,-3.071473
3486.314697,58.105245,0.003092,3.092014,-3.092014
3486.314697,58.105245,0.003092,3.092014,-3.092014
3546.314697,59.105245,0.003194,3.194444,-3.194444
3546.314697,59.105245,0.003194,3.194444,-3.194444
3606.314697,60.105245,0.003223,3.223389,-3.223389
3606.314697,60.105245,0.003223,3.223389,-3.223389
3666.314697,61.105245,0.00329,3.290266,-3.290266
3666.314697,61.105245,0.00329,3.290266,-3.290266
3726.314697,62.105245,0.003323,3.322512,-3.322512
3726.314697,62.105245,0.003323,3.322512,-3.322512
3786.314697,63.105245,0.003385,3.384988,-3.384988
3786.314697,63.105245,0.003385,3.384988,-3.384988
3846.314697,64.105245,0.003466,3.466391,-3.466391
3846.314697,64.105245,0.003466,3.466391,-3.466391
3906.314697,65.105245,0.003547,3.547063,-3.547063
3906.314697,65.105245,0.003547,3.547063,-3.547063
3966.314697,66.105245,0.00362,3.619706,-3.619706
3966.314697,66.105245,0.00362,3.619706,-3.619706
4026.314697,67.105245,0.003845,3.845033,-3.845033
4026.314697,67.105245,0.003845,3.845033,-3.845033
4086.314697,68.105245,0.004036,4.036037,-4.036037
4086.314697,68.105245,0.004036,4.036037,-4.036037
4146.314941,69.105249,0.004268,4.268199,-4.268199
4146.314941,69.105249,0.004268,4.268199,-4.268199
4206.314941,70.105249,0.004683,4.683197,-4.683197
4206.314941,70.105249,0.004683,4.683197,-4.683197
4266.314941,71.105249,0.005134,5.133671,-5.133671
4266.314941,71.105249,0.005134,5.133671,-5.133671
4326.314941,72.105249,0.005701,5.700503,-5.700503
4326.314941,72.105249,0.005701,5.700503,-5.700503
4386.314941,73.105249,0.006339,6.339236,-6.339236
4386.314941,73.105249,0.006339,6.339236,-6.339236
4446.314941,74.105249,0.006905,6.904722,-6.904722
4446.314941,74.105249,0.006905,6.904722,-6.904722
4506.314941,75.105249,0.007339,7.338798,-7.338798
4506.314941,75.105249,0.007339,7.338798,-7.338798
4566.314941,76.105249,0.007759,7.759244,-7.759244
4566.314941,76.105249,0.007759,7.759244,-7.759244
4626.314941,77.105249,0.008001,8.000577,-8.000577
4626.314941,77.105249,0.008001,8.000577,-8.000577
4686.314941,78.105249,0.008294,8.293835,-8.293835
4686.314941,78.105249,0.008294,8.293835,-8.293835
4746.314941,79.105249,0.008603,8.603363,-8.603363
4746.314941,79.105249,0.008603,8.603363,-8.603363
4806.314941,80.105249,0.008836,8.836351,-8.836351
4806.314941,80.105249,0.008836,8.836351,-8.836351
4866.314941,81.105249,0.009025,9.025113,-9.025113
4866.314941,81.105249,0.009025,9.025113,-9.025113
4926.314941,82.105249,0.009173,9.173189,-9.173189
4926.314941,82.105249,0.009173,9.173189,-9.173189
4986.314941,83.105249,0.009326,9.326044,-9.326044
4986.314941,83.105249,0.009326,9.326044,-9.326044
5046.314941,84.105249,0.009394,9.394333,-9.394333
5046.314941,84.105249,0.009394,9.394333,-9.394333
5106.314941,85.105249,0.009484,9.484198,-9.484198
5106.314941,85.105249,0.009484,9.484198,-9.484198
5166.314941,86.105249,0.009582,9.581641,-9.581641
5166.314941,86.105249,0.009582,9.581641,-9.581641
5226.314941,87.105249,0.009661,9.660962,-9.660962
5226.314941,87.105249,0.009661,9.660962,-9.660962
5286.314941,88.105249,0.009689,9.688685,-9.688685
5286.314941,88.105249,0.009689,9.688685,-9.688685
5346.314941,89.105249,0.00975,9.750014,-9.750014
5346.314941,89.105249,0.00975,9.750014,-9.750014
5406.314941,90.105249,0.00986,9.859627,-9.859627
5406.314941,90.105249,0.00986,9.859627,-9.859627
5466.314941,91.105249,0.009956,9.955965,-9.955965
5466.314941,91.105249,0.009956,9.955965,-9.955965
5526.314941,92.105249,0.009946,9.946174,-9.946174
5526.314941,92.105249,0.009946,9.946174,-9.946174
5586.314941,93.105249,0.009997,9.996779,-9.996779
5586.314941,93.105249,0.009997,9.996779,-9.996779
5646.314941,94.105249,0.010019,10.019056,-10.019056
5646.314941,94.105249,0.010019,10.019056,-10.019056
5706.314941,95.105249,0.010069,10.068689,-10.068689
5706.314941,95.105249,0.010069,10.068689,-10.068689
5766.314941,96.105249,0.010118,10.11825,-10.11825
5766.314941,96.105249,0.010118,10.11825,-10.11825
5826.314941,97.105249,0.010231,10.231417,-10.231417
5826.314941,97.105249,0.010231,10.231417,-10.231417
5886.314941,98.105249,0.010288,10.288424,-10.288424
5886.314941,98.105249,0.010288,10.288424,-10.288424
5946.314941,99.105249,0.010376,10.375901,-10.375901
5946.314941,99.105249,0.010376,10.375901,-10.375901
6006.314941,100.105249,0.010428,10.427602,-10.427602
6006.314941,100.105249,0.010428,10.427602,-10.427602
6066.314941,101.105249,0.01049,10.489622,-10.489622
6066.314941,101.105249,0.01049,10.489622,-10.489622
6126.314941,102.105249,0.010472,10.471819,-10.471819
6126.314941,102.105249,0.010472,10.471819,-10.471819
6186.314941,103.105249,0.010484,10.483536,-10.483536
6186.314941,103.105249,0.010484,10.483536,-10.483536
6246.314941,104.105249,0.010557,10.557063,-10.557063
6246.314941,104.105249,0.010557,10.557063,-10.557063
6306.314941,105.105249,0.010609,10.609083,-10.609083
6306.314941,105.105249,0.010609,10.609083,-10.609083
6366.314941,106.105249,0.010649,10.648528,-10.648528
6366.314941,106.105249,0.010649,10.648528,-10.648528
6426.314941,107.105249,0.010699,10.699353,-10.699353
6426.314941,107.105249,0.010699,10.699353,-10.699353
6486.314941,108.105249,0.010792,10.791671,-10.791671
6486.314941,108.105249,0.010792,10.791671,-10.791671
6546.314941,109.105249,0.010826,10.826096,-10.826096
6546.314941,109.105249,0.010826,10.826096,-10.826096
6606.314941,110.105249,0.010795,10.795167,-10.795167
6606.314941,110.105249,0.010795,10.795167,-10.795167
6666.314941,111.105249,0.010824,10.824173,-10.824173
6666.314941,111.105249,0.010824,10.824173,-10.824173
6726.314941,112.105249,0.010874,10.873904,-10.873904
6726.314941,112.105249,0.010874,10.873904,-10.873904
6786.314941,113.105249,0.010885,10.884576,-10.884576
6786.314941,113.105249,0.010885,10.884576,-10.884576
6846.314941,114.105249,0.010959,10.959088,-10.959088
6846.314941,114.105249,0.010959,10.959088,-10.959088
6906.314941,115.105249,0.010948,10.947861,-10.947861
6906.314941,115.105249,0.010948,10.947861,-10.947861
6966.314941,116.105249,0.010981,10.981306,-10.981306
6966.314941,116.105249,0.010981,10.981306,-10.981306
7026.314941,117.105249,0.011018,11.017506,-11.017506
7026.314941,117.105249,0.011018,11.017506,-11.017506
7086.314941,118.105249,0.011058,11.057995,-11.057995
7086.314941,118.105249,0.011058,11.057995,-11.057995
7146.314941,119.105249,0.01108,11.079968,-11.079968
7146.314941,119.105249,0.01108,11.079968,-11.079968
7206.314941,120.105249,0.011108,11.10846,-11.10846
7206.314941,120.105249,0.011108,11.10846,-11.10846
7266.314941,121.105249,0.011137,11.13714,-11.13714
7266.314941,121.105249,0.011137,11.13714,-11.13714
7326.314941,122.105249,0.011145,11.144661,-11.144661
7326.314941,122.105249,0.011145,11.144661,-11.144661
7386.314941,123.105249,0.011099,11.099169,-11.099169
7386.314941,123.105249,0.011099,11.099169,-11.099169
7446.314941,124.105249,0.011077,11.07699,-11.07699
7446.314941,124.105249,0.011077,11.07699,-11.07699
7506.314941,125.105249,0.011056,11.055859,-11.055859
7506.314941,125.105249,0.011056,11.055859,-11.055859
7566.314941,126.105249,0.011009,11.008573,-11.008573
7566.314941,126.105249,0.011009,11.008573,-11.008573
7626.314941,127.105249,0.010995,10.994815,-10.994815
7626.314941,127.105249,0.010995,10.994815,-10.994815
7686.314941,128.105249,0.011027,11.027277,-11.027277
7686.314941,128.105249,0.011027,11.027277,-11.027277
7746.314941,129.105249,0.010979,10.979242,-10.979242
7746.314941,129.105249,0.010979,10.979242,-10.979242
7806.314941,130.105249,0.010982,10.982166,-10.982166
7806.314941,130.105249,0.010982,10.982166,-10.982166
7866.314941,131.105249,0.010938,10.937864,-10.937864
7866.314941,131.105249,0.010938,10.937864,-10.937864
7926.314941,132.105249,0.010942,10.942199,-10.942199
7926.314941,132.105249,0.010942,10.942199,-10.942199
7986.314941,133.105249,0.010962,10.961556,-10.961556
7986.314941,133.105249,0.010962,10.961556,-10.961556
8046.314941,134.105249,0.010979,10.979073,-10.979073
8046.314941,134.105249,0.010979,10.979073,-10.979073
8106.314941,135.105249,0.010933,10.932866,-10.932866
8106.314941,135.105249,0.010933,10.932866,-10.932866
