,TimeStamp,Time in Minutes,Kyowa PG 500 KUM -Load in bar-(bar),Load in kN,Stud2-Axial-O,Stud2-Axial,Stud3-Axial-O,Stud3-Axial,Stud4-Axial-O,Stud4-Axial,Stud5-Axial-O,Stud5-Axial,Stud3-Top-O,Stud3-Top,Stud3-Mid-O,Stud3-Mid,Stud3-Bottom-O,Stud3-Bottom,Stud4-Top-O,Stud4-Top,Stud4-Mid-O,Stud4-Mid,Stud4-Bottom-O,Stud4-Bottom,Pb1-Top-Left,Pb1-Top-Right,Pb1-Mid-Mid,Pb1-Bottom-Left,Pb1-Bottom-Right,Pb1-Pb2-Mid-Left,Pb1-Pb2-Mid-Mid,Pb1-Pb2-Mid-Right,Pb2-Top-Left,Pb2-Top-Right,Pb2-Mid-Mid,Pb2-Bottom-Left,Pb2-Bottom-Right,Pb3-Top-Left,Pb3-Top-Right,Pb3-Mid-Mid,Pb3-Bottom-Left,Pb3-Bottom-Right,Pb3-Pb4-Mid-Left,Pb3-Pb4-Mid-Mid,Pb3-Pb4-Mid-Right,Pb4-Top-Left,Pb4-Top-Right,Pb4-Mid-Mid,Pb4-Bottom-Left,Pb4-Bottom-Right,Pb4-Top of stud,Pb4-Inbetween stud,Stud2-Mid-Fire-HF,Stud2-Mid-Fire-CF,Stud2-Mid-Amb-HF,Stud2-Mid-Amb-CF,Stud3-Top-Fire-HF,Stud3-Top-Fire-CF,Stud3-Top-Amb-HF,Stud3-Top-Amb-CF,Stud3-Mid-Fire-HF,Stud3-Mid-Fire-CF,Stud3-Mid-Amb-HF,Stud3-Mid-Amb-CF,Stud3-Bottom-Fire-HF,Stud3-Bottom-Fire-CF,Stud3-Bottom-Amb-HF,Stud3-Bottom-Amb-CF,Stud4-Top-Fire-HF,Stud4-Top-Fire-CF,Stud4-Top-Amb-HF,Stud4-Top-Amb-CF,Stud4-Mid-Fire-HF,Stud4-Mid-Fire-CF,Stud4-Mid-Amb-HF,Stud4-Mid-Amb-CF,Stud4-Bottom-Fire-HF,Stud4-Bottom-Fire-CF,Stud4-Bottom-Amb-HF,Stud4-Bottom-Amb-CF,Stud5-Mid-Fire-HF,Stud5-Mid-Fire-CF,Stud5-Mid-Amb-HF,Stud5-Mid-Amb-CF,Furnace-Top-Left,Furnace-Top-Right,Furnace-Bottom-Left,Furnace-Bottom-Right,Average-Pb1,Average-Pb1-Pb2,Average-Pb2,Average-Pb3,Average-Pb3-Pb4,Average-Pb4,Average-Furnace,Time2
689,47:05.4,10,-104.92905400000001,33.71370505,13.297507000000001,0.257792,11.916568,0.36944499999999997,12.732835000000001,0.413787,11.342635000000001,0.545132,-0.5746979999999999,-2.052493,-1.021323,-1.3333030000000001,-4.239628,-1.605868,-0.026272000000000004,-1.50242,0.341534,-0.35467,-3.127987,-1.3891209999999998,-2186628.75,489.829224,558.477722,501.963745,436.158386,81.852692,79.630493,21.447557,21.035378,43.282356,41.93399,39.161590999999994,37.783344,23.820292000000002,23.621927,23.085546,22.176668,22.216904,20.943711999999998,20.872643,20.826802999999998,21.185825,20.133213,21.190224,20.987694,20.531816,20.482257999999998,21.140463,30.641438,24.720673,23.303179,23.10634,34.411427,26.785884999999997,24.649611,23.626547,32.052658,24.952744,23.021772,22.368814,31.583073,23.255129,21.678925,21.016397,36.559227,28.023103999999996,24.697601000000002,23.680124,34.794525,25.365783999999998,23.80736,22.601379,31.520490999999996,23.711069000000002,21.854502,21.542423,33.037449,24.11973,22.786983,21.698359,602.1770019999999,609.272705,654.774414,637.995361,496.6072693,80.74159250000001,40.54032025,22.9842674,20.88105267,21.0072044,626.0548705,1.0
761,48:05.1,11,-105.281319,33.82688779,13.333631,0.293916,11.937914,0.390791,12.75254,0.433492,11.441154,0.643651,-0.9490719999999999,-2.4268669999999997,-1.192091,-1.504071,-4.288888,-1.655128,-0.262718,-1.738866,0.262719,-0.433485,-3.147691,-1.408825,-2573944.0,513.816895,562.036865,492.815582,437.59143099999994,85.496674,83.47236600000001,21.471853,21.050886,52.305927000000004,47.177181,45.15934,43.017162,25.288538,24.843404999999997,24.173054,22.920561,23.033327,21.112454999999997,21.070099,20.993944,21.172401,20.115606,21.186982999999998,20.988851999999998,20.545248,20.471605,21.168468,34.365017,27.095553999999996,24.881006,24.498703,38.514247999999995,29.704471999999996,26.717261999999998,25.165857,35.781132,27.167376,24.31362,23.23757,35.094097,24.955513,22.301531,21.445938,41.227534999999996,31.138044,26.712425,25.140257000000002,39.126537,27.972731,25.239653,23.802511,35.121971,25.402214,22.645531,22.077461,36.691559000000005,26.219038,24.100109,22.657549,603.5207519999999,611.7990110000001,652.67688,635.387268,501.56519330000003,84.48451999999999,46.914902500000004,24.051776999999998,21.05883267,21.012390399999997,625.8459778,1.0
834,49:05.6,12,-105.503799,33.89837062,13.353334,0.313619,11.941197,0.394074,12.75254,0.433492,11.472351,0.674848,-1.093567,-2.5713619999999997,-1.3086719999999998,-1.620652,-4.321727,-1.6879669999999998,-0.400645,-1.876793,0.216743,-0.47946099999999997,-3.177246,-1.43838,-6929844.0,550.022766,604.721375,563.2813110000001,519.1601559999999,87.266212,85.903976,21.480415,21.058294,59.668673999999996,53.095154,50.759468,48.793159,26.961336,26.463917,25.420429000000002,23.901566,23.945894,21.391560000000002,21.344122,21.265670999999998,21.164301000000002,20.107267,21.183975,20.997648,20.528111,20.453079000000002,21.204573,38.717166999999996,29.925131,27.023267999999998,26.159133999999998,43.30164,33.169983,29.552670000000003,27.180727,40.131347999999996,29.909977,26.155216,24.468473,39.218498,26.922657,23.161329000000002,22.05179,46.622334,34.726418,29.315163000000002,27.06839,44.107525,31.005945,27.190165000000004,25.229736,39.511864,27.409046000000004,23.612459,22.746536,40.855286,28.738401,25.841127,23.939660999999997,636.222229,640.137756,694.2265620000001,685.997559,559.296402,86.585094,53.07911375,25.338628399999997,21.33378433,21.015721600000003,664.1460265,1.0
906,50:05.1,13,-105.51086399999998,33.9006406,13.356619,0.316904,11.942839999999999,0.395717,12.731193,0.412145,11.518326,0.720823,-1.32673,-2.804525,-1.43839,-1.75037,-4.400543,-1.7667830000000002,-0.538572,-2.01472,0.078816,-0.617388,-3.193666,-1.4548,-12183235.0,571.586365,613.963257,596.626709,554.173218,88.15655500000001,86.73281899999999,21.495224,21.080745999999998,64.172218,58.481739000000005,55.356033,54.094498,28.684387,28.327583,26.683409,24.963354000000002,24.890001,21.782562,21.697664000000003,21.625021,21.189297,20.103792000000002,21.195084,20.994175,20.541542,20.436867000000003,21.253637,43.321598,32.771648,29.407049,27.951340000000002,48.068577000000005,36.592312,32.762032,29.245096000000004,44.738673999999996,32.647995,28.154885999999998,25.805634,43.521645,28.953289,24.226374,22.710248999999997,51.953434,38.183258,32.253128000000004,29.085415,49.019474,34.007378,29.332622999999998,26.686403000000002,44.084633000000004,29.503978999999998,24.812954,23.460255,45.175194,31.290995000000002,27.774209999999997,25.310444,653.892395,654.928589,711.232788,706.565063,584.0873872999999,87.444687,58.026121999999994,26.709746799999998,21.701749,21.034747,681.6547088,1.0
978,51:04.8,14,-105.579727,33.92276629,13.363187,0.323472,11.934629,0.387506,12.698353,0.379305,11.549522999999999,0.75202,-1.4909290000000002,-2.9687240000000004,-1.612442,-1.924422,-4.499063,-1.865303,-0.660079,-2.136227,-0.09851900000000001,-0.794723,-3.295469,-1.556603,-15395146.0,591.080994,620.632751,619.0644530000001,573.88031,88.411911,87.493706,21.495455,21.084681,67.79714200000001,62.230976,60.048698,58.340683,30.7043,29.990103,28.232385999999998,25.956589,26.067888,22.200024,22.176668,22.009466,21.219151999999998,20.090124,21.205036,21.00112,20.57234,20.429687,21.327923000000002,47.933647,36.15279,31.339144,29.604115000000004,52.086418,40.40765,35.524002,31.727018,48.861149,35.950768,30.214832,27.519046999999997,47.462092999999996,31.407469,25.304448999999998,23.554028,56.5378,42.0196,34.858971000000004,31.58353,53.26543,37.510498,31.371244,28.595886,48.101345,31.985981,26.019037,24.376625,49.068256,34.323406,29.657622999999997,27.049051000000002,662.410522,666.070923,721.040649,716.397034,601.164627,87.9528085,62.10437475,28.1902532,22.12871933,21.0651142,691.479782,1.0
1051,52:05.1,15,-105.56250800000001,33.91723382,13.361545000000001,0.32183,11.919852,0.372729,12.6885,0.369452,11.549522999999999,0.75202,-1.6879680000000001,-3.165763,-1.766789,-2.078769,-4.574594,-1.940834,-0.840698,-2.316846,-0.266002,-0.9622059999999999,-3.3348769999999996,-1.596011,-14969284.0,610.5742190000001,633.6062009999999,634.410828,590.68103,88.61460100000001,88.483887,21.503323,21.113382,70.24511700000001,65.49314100000001,63.568160999999996,62.343777,32.746918,32.093674,29.718939000000002,27.160471,27.311695,22.801311,22.758093,22.54775,21.285805,20.088966,21.236511,21.05135,20.614254000000003,20.436405,21.442235999999998,52.152905,39.550777000000004,33.534766999999995,31.568401,56.351643,44.24942,38.421314,34.21228,53.222637,39.346188,32.474628,29.367769,51.574261,33.877922,26.589907,24.501242,61.104732999999996,45.789967,37.657299,34.110519000000004,57.558197,41.031878999999996,33.664722,30.510193,52.256577,34.555217999999996,27.404444,25.389302999999998,53.391552000000004,37.459431,31.765753000000004,28.85309,670.176514,672.2023929999999,729.170532,726.145569,617.3180695,88.54924399999999,65.412549,29.8063394,22.70238467,21.1260312,699.4237519999999,1.0
1123,53:04.8,16,-105.428978,33.87433063,13.368113000000001,0.328398,11.898506,0.351383,12.667154,0.34810599999999997,11.546239,0.748736,-1.8488830000000003,-3.326678,-1.9835330000000002,-2.295513,-4.6468419999999995,-2.013082,-0.9523530000000001,-2.428501,-0.413782,-1.1099860000000001,-3.449816,-1.71095,-16801634.0,620.779785,637.980835,631.9104,612.819763,90.528389,89.208145,21.495224,21.089773,71.88760400000001,67.825577,65.859421,65.221375,34.755444,34.05975,31.170151,28.301601,28.546460999999997,23.456329,23.404127,23.141460000000002,21.362404,20.073908,21.284416,21.077738,20.661722,20.412319,21.599802,56.881512,42.755309999999994,35.901684,33.602489,60.028048999999996,47.824703,41.018471000000005,36.552611999999996,57.251006999999994,42.6693,34.676136,31.195145,55.819607,36.250248,27.945128999999998,25.521411999999998,65.09590899999999,49.329071,40.141129,36.475716,61.261551000000004,44.340988,35.800312,32.332157,56.212013,37.105553,28.825740999999997,26.428213,57.378429000000004,40.537708,33.777275,30.633865000000004,678.960327,685.898926,736.9882200000001,733.514282,625.8726958,89.868267,67.69849425,31.3666814,23.333972,21.1972164,708.8404387999999,1.0
1196,54:05.3,17,-105.664482,33.94999807,13.356619,0.316904,11.888655,0.341532,12.654017999999999,0.33497,11.572511,0.775008,-2.11817,-3.595965,-2.229832,-2.5418119999999997,-4.774916999999999,-2.1411569999999998,-1.1395389999999999,-2.615687,-0.6403760000000001,-1.3365799999999999,-3.5713230000000005,-1.832457,-22080816.0,625.480713,661.87085,650.5313110000001,640.659912,91.85279799999999,90.05056,21.498463,21.093014,73.123497,69.717995,67.37056700000001,66.909912,36.672165,35.970627,32.506237,29.446327,29.621340000000004,24.205368,24.057863,23.834145,21.483885,20.075067999999998,21.342039,21.134211999999998,20.713587,20.409307000000002,21.750870000000003,60.728683,45.498131,37.865162,35.230488,63.254768000000006,50.790146,43.213627,38.439766,60.913799,45.574886,36.669201,32.807594,59.267487,38.334755,29.322056,26.480732,68.521233,52.254546999999995,42.195793,38.423367,64.40999599999999,47.107075,37.796333000000004,33.959122,59.553062,39.414691999999995,30.28805,27.437584,61.145340000000004,43.315929,35.746196999999995,32.185547,694.8895259999999,700.662659,755.094116,748.309204,644.6356965,90.951679,69.28049275,32.8433392,24.03245867,21.2849186,724.7388762999999,1.0
1268,55:05.0,18,-105.322372,33.84007812,13.364828,0.325113,11.867308999999999,0.320186,12.640882000000001,0.321834,11.577436,0.779933,-2.344764,-3.8225589999999996,-2.476131,-2.7881110000000002,-5.004795,-2.371035,-1.3168739999999999,-2.793022,-0.8571190000000001,-1.553323,-3.7256690000000003,-1.9868029999999999,-27677486.0,634.942688,677.9238280000001,666.7950440000001,654.685974,93.326279,90.76351899999999,21.508411,21.101578,74.180077,71.012794,68.436378,67.75012199999999,38.396716999999995,37.67075,33.963009,30.428729999999998,30.717836,25.006718,24.808571,24.537239000000003,21.615536,20.068117,21.437376,21.224014,20.82935,20.391937,21.995129000000002,63.451149,48.282578,39.504581,36.848048999999996,66.011749,53.700954,44.949593,40.224365,63.822796,48.511459,38.389198,34.428802000000005,61.846118999999995,40.442215000000004,30.530615,27.528021000000003,71.04995,55.129940000000005,44.043602,40.310326,67.286591,49.908798,39.479778,35.582695,62.438407999999995,41.705063,31.536078999999997,28.577267,64.156975,46.206215,37.261070000000004,33.686455,708.180908,711.7197269999999,772.529724,757.8436280000001,658.5868835,92.044899,70.34484275,34.2354084,24.784176000000002,21.420281,737.5684967999999,1.0
1341,56:05.7,19,-106.549332,34.23430037,13.363187,0.323472,11.859098,0.311975,12.626925,0.307877,11.593857,0.796354,-2.4170119999999997,-3.894807,-2.528675,-2.840655,-5.034351,-2.400591,-1.31359,-2.7897380000000003,-0.891601,-1.587805,-3.8537440000000003,-2.114878,-29673666.0,640.081421,675.712158,670.445374,647.700195,94.474327,91.31910699999999,21.52993,21.099031,75.180458,71.87149000000001,69.166206,68.207787,40.104282,39.002464,35.238941,31.254995,31.688741999999998,25.753082,25.61639,25.213823,21.82235,20.071360000000002,21.586384,21.325609,20.945795,20.380589999999998,22.290434,65.355583,50.682091,40.902332,38.565037,68.16256,56.281493999999995,46.337016999999996,41.920818,66.095749,51.177402,39.795372,35.8857,63.916934999999995,42.227352,31.624792,28.519794,72.900627,57.671668999999994,45.456692,41.948296,69.116508,52.242153,40.860058,36.984676,63.771915,43.681065000000004,32.575171999999995,29.621340000000004,66.625473,48.715454,38.494431,35.09227,710.55188,723.756958,770.68988,754.060974,658.484787,92.89671700000001,71.10648525,35.4578848,25.527765,21.5941144,739.7649230000001,1.0
