Time in Seconds,Time in Minutes,Displacement in m,Displacement in mm
0.000000,0.000000,0.000000,-0.000000
0.000000,0.000000,0.000000,-0.000000
0.010000,0.000167,0.000078,-0.077918
0.010000,0.000167,0.000078,-0.077918
0.020000,0.000333,0.000171,-0.170675
0.020000,0.000333,0.000171,-0.170675
0.030000,0.000500,0.000254,-0.253776
0.030000,0.000500,0.000254,-0.253776
0.040000,0.000667,0.000325,-0.325021
0.040000,0.000667,0.000325,-0.325021
0.055000,0.000917,0.000406,-0.406158
0.055000,0.000917,0.000406,-0.406158
0.070000,0.001167,0.000467,-0.466696
0.070000,0.001167,0.000467,-0.466696
0.085000,0.001417,0.000511,-0.511328
0.085000,0.001417,0.000511,-0.511328
0.107500,0.001792,0.000555,-0.555073
0.107500,0.001792,0.000555,-0.555073
0.141250,0.002354,0.000591,-0.590727
0.141250,0.002354,0.000591,-0.590727
0.191875,0.003198,0.000614,-0.614393
0.191875,0.003198,0.000614,-0.614393
0.267812,0.004464,0.000627,-0.626679
0.267812,0.004464,0.000627,-0.626679
0.381719,0.006362,0.000631,-0.631481
0.381719,0.006362,0.000631,-0.631481
0.552578,0.009210,0.000633,-0.632851
0.552578,0.009210,0.000633,-0.632851
0.808867,0.013481,0.000633,-0.633129
0.808867,0.013481,0.000633,-0.633129
1.193301,0.019888,0.000633,-0.633169
1.193301,0.019888,0.000633,-0.633169
1.769951,0.029499,0.000633,-0.633172
1.769951,0.029499,0.000633,-0.633172
2.634927,0.043915,0.000633,-0.633173
2.634927,0.043915,0.000633,-0.633173
3.932390,0.065540,0.000633,-0.633173
3.932390,0.065540,0.000633,-0.633173
6.527317,0.108789,0.000633,-0.633173
6.527317,0.108789,0.000633,-0.633173
11.717171,0.195286,0.000633,-0.633173
11.717171,0.195286,0.000633,-0.633173
22.096878,0.368281,0.000633,-0.633173
22.096878,0.368281,0.000633,-0.633173
42.856293,0.714272,0.000633,-0.633173
42.856293,0.714272,0.000633,-0.633173
84.375122,1.406252,0.000633,-0.633173
84.375122,1.406252,0.000633,-0.633173
144.375122,2.406252,0.000633,-0.633173
144.375122,2.406252,0.000633,-0.633173
204.375122,3.406252,0.000633,-0.633173
204.375122,3.406252,0.000633,-0.633173
264.375122,4.406252,0.000633,-0.633173
264.375122,4.406252,0.000633,-0.633173
324.375122,5.406252,0.000633,-0.633173
324.375122,5.406252,0.000633,-0.633173
384.375122,6.406252,0.000653,-0.652951
384.375122,6.406252,0.000653,-0.652951
444.375122,7.406252,0.000689,-0.689285
444.375122,7.406252,0.000689,-0.689285
504.375122,8.406252,0.000693,-0.693166
504.375122,8.406252,0.000693,-0.693166
564.375122,9.406252,0.000711,-0.710736
564.375122,9.406252,0.000711,-0.710736
624.375122,10.406252,0.000781,-0.781084
624.375122,10.406252,0.000781,-0.781084
684.375122,11.406252,0.000834,-0.834477
684.375122,11.406252,0.000834,-0.834477
744.375122,12.406252,0.000896,-0.895998
744.375122,12.406252,0.000896,-0.895998
804.375122,13.406252,0.001027,-1.026548
804.375122,13.406252,0.001027,-1.026548
864.375122,14.406252,0.001132,-1.132231
864.375122,14.406252,0.001132,-1.132231
924.375122,15.406252,0.001208,-1.208216
924.375122,15.406252,0.001208,-1.208216
984.375122,16.406252,0.001282,-1.281785
984.375122,16.406252,0.001282,-1.281785
1044.375122,17.406252,0.001348,-1.348192
1044.375122,17.406252,0.001348,-1.348192
1104.375122,18.406252,0.001446,-1.445627
1104.375122,18.406252,0.001446,-1.445627
1164.375122,19.406252,0.001559,-1.559259
1164.375122,19.406252,0.001559,-1.559259
1224.375122,20.406252,0.001613,-1.612990
1224.375122,20.406252,0.001613,-1.612990
1284.375122,21.406252,0.001717,-1.716957
1284.375122,21.406252,0.001717,-1.716957
1344.375122,22.406252,0.001833,-1.833341
1344.375122,22.406252,0.001833,-1.833341
1404.375122,23.406252,0.001941,-1.941234
1404.375122,23.406252,0.001941,-1.941234
1464.375122,24.406252,0.002019,-2.018775
1464.375122,24.406252,0.002019,-2.018775
1524.375122,25.406252,0.002100,-2.099527
1524.375122,25.406252,0.002100,-2.099527
1584.375122,26.406252,0.002144,-2.143526
1584.375122,26.406252,0.002144,-2.143526
1644.375122,27.406252,0.002219,-2.218624
1644.375122,27.406252,0.002219,-2.218624
1704.375122,28.406252,0.002291,-2.291231
1704.375122,28.406252,0.002291,-2.291231
1764.375122,29.406252,0.002349,-2.348784
1764.375122,29.406252,0.002349,-2.348784
1824.375122,30.406252,0.002394,-2.394469
1824.375122,30.406252,0.002394,-2.394469
1884.375122,31.406252,0.002465,-2.465243
1884.375122,31.406252,0.002465,-2.465243
1944.375122,32.406252,0.002518,-2.518344
1944.375122,32.406252,0.002518,-2.518344
2004.375122,33.406252,0.002557,-2.557263
2004.375122,33.406252,0.002557,-2.557263
2064.375000,34.406250,0.002594,-2.593708
2064.375000,34.406250,0.002594,-2.593708
2124.375000,35.406250,0.002626,-2.625760
2124.375000,35.406250,0.002626,-2.625760
2184.375000,36.406250,0.002641,-2.641213
2184.375000,36.406250,0.002641,-2.641213
2244.375000,37.406250,0.002650,-2.649650
2244.375000,37.406250,0.002650,-2.649650
2304.375000,38.406250,0.002713,-2.713230
2304.375000,38.406250,0.002713,-2.713230
2364.375000,39.406250,0.002755,-2.755272
2364.375000,39.406250,0.002755,-2.755272
2424.375000,40.406250,0.002770,-2.770197
2424.375000,40.406250,0.002770,-2.770197
2484.375000,41.406250,0.002788,-2.788311
2484.375000,41.406250,0.002788,-2.788311
2544.375000,42.406250,0.002819,-2.818921
2544.375000,42.406250,0.002819,-2.818921
2604.375000,43.406250,0.002859,-2.858875
2604.375000,43.406250,0.002859,-2.858875
2664.375000,44.406250,0.002871,-2.871283
2664.375000,44.406250,0.002871,-2.871283
2724.375000,45.406250,0.002880,-2.880218
2724.375000,45.406250,0.002880,-2.880218
