Time in Seconds,Time in Minutes,Displacement in m,Displacement in mm
0.000000,0.000000,0.000000,0.000000
0.000000,0.000000,0.000000,0.000000
0.015625,0.000260,0.000002,0.001576
0.015625,0.000260,0.000002,0.001576
0.031250,0.000521,0.000002,0.002399
0.031250,0.000521,0.000002,0.002399
0.046875,0.000781,0.000003,0.003020
0.046875,0.000781,0.000003,0.003020
0.062500,0.001042,0.000004,0.004129
0.062500,0.001042,0.000004,0.004129
0.078125,0.001302,0.000007,0.006513
0.078125,0.001302,0.000007,0.006513
0.093750,0.001563,0.000011,0.011165
0.093750,0.001563,0.000011,0.011165
0.109375,0.001823,0.000020,0.019762
0.109375,0.001823,0.000020,0.019762
0.132812,0.002214,0.000045,0.044679
0.132812,0.002214,0.000045,0.044679
0.167969,0.002799,0.000082,0.081900
0.167969,0.002799,0.000082,0.081900
0.220703,0.003678,0.000123,0.122998
0.220703,0.003678,0.000123,0.122998
0.299805,0.004997,0.000168,0.167557
0.299805,0.004997,0.000168,0.167557
0.418457,0.006974,0.000215,0.214999
0.418457,0.006974,0.000215,0.214999
0.596436,0.009941,0.000266,0.265711
0.596436,0.009941,0.000266,0.265711
0.863403,0.014390,0.000323,0.322961
0.863403,0.014390,0.000323,0.322961
1.263855,0.021064,0.000391,0.391456
1.263855,0.021064,0.000391,0.391456
1.864532,0.031076,0.000473,0.472651
1.864532,0.031076,0.000473,0.472651
2.465210,0.041087,0.000538,0.537777
2.465210,0.041087,0.000538,0.537777
3.065887,0.051098,0.000590,0.589969
3.065887,0.051098,0.000590,0.589969
3.666565,0.061109,0.000632,0.631779
3.666565,0.061109,0.000632,0.631779
4.267242,0.071121,0.000665,0.665166
4.267242,0.071121,0.000665,0.665166
4.867920,0.081132,0.000692,0.691719
4.867920,0.081132,0.000692,0.691719
5.768936,0.096149,0.000720,0.720293
5.768936,0.096149,0.000720,0.720293
7.120461,0.118674,0.000747,0.746998
7.120461,0.118674,0.000747,0.746998
9.147747,0.152462,0.000768,0.767719
9.147747,0.152462,0.000768,0.767719
12.188677,0.203145,0.000780,0.780390
12.188677,0.203145,0.000780,0.780390
16.750072,0.279168,0.000786,0.786164
16.750072,0.279168,0.000786,0.786164
23.592163,0.393203,0.000788,0.788094
23.592163,0.393203,0.000788,0.788094
33.855301,0.564255,0.000789,0.788609
33.855301,0.564255,0.000789,0.788609
49.250008,0.820833,0.000789,0.788695
49.250008,0.820833,0.000789,0.788695
72.342072,1.205701,0.000789,0.788704
72.342072,1.205701,0.000789,0.788704
106.980164,1.783003,0.000789,0.788704
106.980164,1.783003,0.000789,0.788704
158.937302,2.648955,0.000789,0.788704
158.937302,2.648955,0.000789,0.788704
159.874802,2.664580,0.000789,0.788704
159.874802,2.664580,0.000789,0.788704
160.343552,2.672393,0.000789,0.788704
160.343552,2.672393,0.000789,0.788704
161.046677,2.684111,0.000789,0.788704
161.046677,2.684111,0.000789,0.788704
161.398239,2.689971,0.000789,0.788704
161.398239,2.689971,0.000789,0.788704
162.101364,2.701689,0.000789,0.788704
162.101364,2.701689,0.000789,0.788704
163.507614,2.725127,0.000789,0.788704
163.507614,2.725127,0.000789,0.788704
164.034958,2.733916,0.000789,0.788704
164.034958,2.733916,0.000789,0.788704
165.089645,2.751494,0.000789,0.788704
165.089645,2.751494,0.000789,0.788704
165.616989,2.760283,0.000789,0.788704
165.616989,2.760283,0.000789,0.788704
166.671677,2.777861,0.000789,0.788704
166.671677,2.777861,0.000789,0.788704
168.781052,2.813018,0.000789,0.788704
168.781052,2.813018,0.000789,0.788704
169.572067,2.826201,0.000789,0.788704
169.572067,2.826201,0.000789,0.788704
171.154099,2.852568,0.000789,0.788704
171.154099,2.852568,0.000789,0.788704
172.736130,2.878935,0.000789,0.788704
172.736130,2.878935,0.000789,0.788704
173.329391,2.888823,0.000789,0.788704
173.329391,2.888823,0.000789,0.788704
174.515915,2.908599,0.000789,0.788704
174.515915,2.908599,0.000789,0.788704
175.109177,2.918486,0.000789,0.788704
175.109177,2.918486,0.000789,0.788704
176.295700,2.938262,0.000789,0.788704
176.295700,2.938262,0.000789,0.788704
176.888962,2.948149,0.000789,0.788704
176.888962,2.948149,0.000789,0.788704
177.111435,2.951857,0.000789,0.788704
177.111435,2.951857,0.000789,0.788704
177.556381,2.959273,0.000789,0.788704
177.556381,2.959273,0.000789,0.788704
178.446274,2.974105,0.000789,0.788704
178.446274,2.974105,0.000789,0.788704
178.779984,2.979666,0.000789,0.788704
178.779984,2.979666,0.000789,0.788704
179.447403,2.990790,0.000789,0.788704
179.447403,2.990790,0.000789,0.788704
180.782242,3.013037,0.000789,0.788704
180.782242,3.013037,0.000789,0.788704
181.032516,3.017209,0.000789,0.788704
181.032516,3.017209,0.000789,0.788704
181.533081,3.025551,0.000789,0.788704
181.533081,3.025551,0.000789,0.788704
182.534210,3.042237,0.000789,0.788704
182.534210,3.042237,0.000789,0.788704
182.909637,3.048494,0.000789,0.788704
182.909637,3.048494,0.000789,0.788704
183.097351,3.051623,0.000789,0.788704
183.097351,3.051623,0.000789,0.788704
183.472778,3.057880,0.000789,0.788704
183.472778,3.057880,0.000789,0.788704
183.660477,3.061008,0.000789,0.788704
183.660477,3.061008,0.000789,0.788704
184.035904,3.067265,0.000789,0.788704
184.035904,3.067265,0.000789,0.788704
184.223618,3.070394,0.000789,0.788704
184.223618,3.070394,0.000789,0.788704
184.599045,3.076651,0.000789,0.788704
184.599045,3.076651,0.000789,0.788704
185.349884,3.089165,0.000789,0.788704
185.349884,3.089165,0.000789,0.788704
185.631454,3.093858,0.000789,0.788704
185.631454,3.093858,0.000789,0.788704
185.772247,3.096204,0.000789,0.788704
185.772247,3.096204,0.000789,0.788704
186.053802,3.100897,0.000789,0.788704
186.053802,3.100897,0.000789,0.788704
186.194595,3.103243,0.000789,0.788704
