Time in Seconds,Time in Minutes,Load in N,Load in kN,Displacement in m,Displacement in mm-O,,Displacement in mm
190.424698,3.173745,27000,27,-0.00175,-1.749743,0.924386,0
191.493774,3.191563,27000,27,-0.00175,-1.749743,0.924386,0
193.097397,3.21829,27000,27,-0.00175,-1.749743,0.924386,0
195.502823,3.25838,27000,27,-0.00175,-1.749743,0.924386,0
195.728333,3.262139,27000,27,-0.00175,-1.749743,0.924386,0
196.179352,3.269656,27000,27,-0.00175,-1.749743,0.924386,0
196.34848,3.272475,27000,27,-0.00175,-1.749743,0.924386,0
196.686737,3.278112,27000,27,-0.00175,-1.749743,0.924386,0
197.363266,3.289388,27000,27,-0.00175,-1.749743,0.924386,0
197.616959,3.293616,27000,27,-0.00175,-1.749743,0.924386,0
197.743805,3.29573,27000,27,-0.00175,-1.749743,0.924386,0
197.997513,3.299959,27000,27,-0.00175,-1.749743,0.924386,0
198.124359,3.302073,27000,27,-0.00175,-1.749743,0.924386,0
198.378052,3.306301,27000,27,-0.00175,-1.749743,0.924386,0
198.504898,3.308415,27000,27,-0.00175,-1.749743,0.924386,0
198.758591,3.312643,27000,27,-0.00175,-1.749743,0.924386,0
199.265991,3.3211,27000,27,-0.00175,-1.749743,0.924386,0
199.456268,3.324271,27000,27,-0.00175,-1.749743,0.924386,0
199.551407,3.325857,27000,27,-0.00175,-1.749743,0.924386,0
199.741669,3.329028,27000,27,-0.00175,-1.749743,0.924386,0
200.122223,3.33537,27000,27,-0.00175,-1.749743,0.924386,0
200.312485,3.338541,27000,27,-0.00175,-1.749743,0.924386,0
200.693039,3.344884,27000,27,-0.00175,-1.749743,0.924386,0
200.835739,3.347262,27000,27,-0.00175,-1.749743,0.924386,0
200.907089,3.348451,27000,27,-0.00175,-1.749743,0.924386,0
201.049805,3.35083,27000,27,-0.00175,-1.749743,0.924386,0
201.121155,3.352019,27000,27,-0.00175,-1.749743,0.924386,0
201.263855,3.354398,27000,27,-0.00175,-1.749743,0.924386,0
201.549271,3.359155,27000,27,-0.00175,-1.749743,0.924386,0
201.977371,3.36629,27000,27,-0.00175,-1.749743,0.924386,0
202.619553,3.376993,27000,27,-0.00175,-1.749743,0.924386,0
203.582809,3.393047,27000,27,-0.00175,-1.749743,0.924386,0
205.027679,3.417128,27000,27,-0.00175,-1.749743,0.924386,0
205.388901,3.423148,27000,27,-0.00175,-1.749743,0.924386,0
205.750122,3.429169,27000,27,-0.00175,-1.749743,0.924386,0
205.93074,3.432179,27000,27,-0.00175,-1.749743,0.924386,0
206.291962,3.438199,27000,27,-0.00175,-1.749743,0.924386,0
206.472565,3.441209,27000,27,-0.00175,-1.749743,0.924386,0
206.833786,3.44723,27000,27,-0.00175,-1.749743,0.924386,0
207.556229,3.45927,27000,27,-0.00175,-1.749743,0.924386,0
207.827148,3.463786,27000,27,-0.00175,-1.749743,0.924386,0
207.962601,3.466043,27000,27,-0.00175,-1.749743,0.924386,0
208.233521,3.470559,27000,27,-0.00175,-1.749743,0.924386,0
208.368973,3.472816,27000,27,-0.00175,-1.749743,0.924386,0
208.639893,3.477332,27000,27,-0.00175,-1.749743,0.924386,0
208.77536,3.479589,27000,27,-0.00175,-1.749743,0.924386,0
209.046265,3.484104,27000,27,-0.00175,-1.749743,0.924386,0
209.588104,3.493135,27000,27,-0.00175,-1.749743,0.924386,0
209.859009,3.49765,27000,27,-0.00175,-1.749743,0.924386,0
210.400848,3.506681,27000,27,-0.00175,-1.749743,0.924386,0
210.604034,3.510067,27000,27,-0.00175,-1.749743,0.924386,0
210.705627,3.51176,27000,27,-0.00175,-1.749743,0.924386,0
210.908813,3.515147,27000,27,-0.00175,-1.749743,0.924386,0
211.315186,3.52192,27000,27,-0.00175,-1.749743,0.924386,0
211.924744,3.532079,27000,27,-0.00175,-1.749743,0.924386,0
212.534302,3.542238,27000,27,-0.00175,-1.749743,0.924386,0
212.686691,3.544778,27000,27,-0.00175,-1.749743,0.924386,0
212.99147,3.549858,27000,27,-0.00175,-1.749743,0.924386,0
213.601044,3.560017,27000,27,-0.00175,-1.749743,0.924386,0
213.82962,3.563827,27000,27,-0.00175,-1.749743,0.924386,0
213.943909,3.565732,27000,27,-0.00175,-1.749743,0.924386,0
214.172501,3.569542,27000,27,-0.00175,-1.749743,0.924386,0
214.286789,3.571446,27000,27,-0.00175,-1.749743,0.924386,0
214.515381,3.575256,27000,27,-0.00175,-1.749743,0.924386,0
214.629669,3.577161,27000,27,-0.00175,-1.749743,0.924386,0
214.858261,3.580971,27000,27,-0.00175,-1.749743,0.924386,0
215.31543,3.58859,27000,27,-0.00175,-1.749743,0.924386,0
215.486862,3.591448,27000,27,-0.00175,-1.749743,0.924386,0
215.572586,3.592876,27000,27,-0.00175,-1.749743,0.924386,0
215.744019,3.595734,27000,27,-0.00175,-1.749743,0.924386,0
216.086899,3.601448,27000,27,-0.00175,-1.749743,0.924386,0
216.215485,3.603591,27000,27,-0.00175,-1.749743,0.924386,0
216.27977,3.604663,27000,27,-0.00175,-1.749743,0.924386,0
216.408356,3.606806,27000,27,-0.00175,-1.749743,0.924386,0
216.665512,3.611092,27000,27,-0.00175,-1.749743,0.924386,0
216.761948,3.612699,27000,27,-0.00175,-1.749743,0.924386,0
216.810165,3.613503,27000,27,-0.00175,-1.749743,0.924386,0
216.906586,3.61511,27000,27,-0.00175,-1.749743,0.924386,0
217.099457,3.618324,27000,27,-0.00175,-1.749743,0.924386,0
217.292328,3.621539,27000,27,-0.00175,-1.749743,0.924386,0
217.485199,3.624753,27000,27,-0.00175,-1.749743,0.924386,0
217.774506,3.629575,27000,27,-0.00175,-1.749743,0.924386,0
218.20845,3.636808,27000,27,-0.00175,-1.749743,0.924386,0
218.85939,3.647657,27000,27,-0.00175,-1.749743,0.924386,0
219.835785,3.66393,27000,27,-0.00175,-1.749743,0.924386,0
221.300385,3.68834,27000,27,-0.00175,-1.749743,0.924386,0
221.437683,3.690628,27000,27,-0.00175,-1.749743,0.924386,0
221.712296,3.695205,27000,27,-0.00175,-1.749743,0.924386,0
222.124222,3.70207,27000,27,-0.00175,-1.749743,0.924386,0
222.278687,3.704645,27000,27,-0.00175,-1.749743,0.924386,0
222.587631,3.709794,27000,27,-0.00175,-1.749743,0.924386,0
223.205505,3.720092,27000,27,-0.00175,-1.749743,0.924386,0
223.43721,3.723954,27000,27,-0.00175,-1.749743,0.924386,0
223.553055,3.725884,27000,27,-0.00175,-1.749743,0.924386,0
223.78476,3.729746,27000,27,-0.00175,-1.749743,0.924386,0
223.90062,3.731677,27000,27,-0.00175,-1.749743,0.924386,0
224.132309,3.735538,27000,27,-0.00175,-1.749743,0.924386,0
224.595718,3.743262,27000,27,-0.00175,-1.749743,0.924386,0
224.769501,3.746158,27000,27,-0.00175,-1.749743,0.924386,0
224.856384,3.747606,27000,27,-0.00175,-1.749743,0.924386,0
225.030167,3.750503,27000,27,-0.00175,-1.749743,0.924386,0
225.377716,3.756295,27000,27,-0.00175,-1.749743,0.924386,0
226.07283,3.767881,27000,27,-0.00175,-1.749743,0.924386,0
227.115494,3.785258,27000,27,-0.00175,-1.749743,0.924386,0
228.679504,3.811325,27000,27,-0.00175,-1.749743,0.924386,0
228.826126,3.813769,27000,27,-0.00175,-1.749743,0.924386,0
229.11937,3.818656,27000,27,-0.00175,-1.749743,0.924386,0
229.55925,3.825987,27000,27,-0.00175,-1.749743,0.924386,0
229.724197,3.828737,27000,27,-0.00175,-1.749743,0.924386,0
230.054108,3.834235,27000,27,-0.00175,-1.749743,0.924386,0
230.713928,3.845232,27000,27,-0.00175,-1.749743,0.924386,0
230.961349,3.849356,27000,27,-0.00175,-1.749743,0.924386,0
231.085068,3.851418,27000,27,-0.00175,-1.749743,0.924386,0
231.332504,3.855542,27000,27,-0.00175,-1.749743,0.924386,0
231.456207,3.857603,27000,27,-0.00175,-1.749743,0.924386,0
231.703644,3.861727,27000,27,-0.00175,-1.749743,0.924386,0
232.198502,3.869975,27000,27,-0.00175,-1.749743,0.924386,0
232.384079,3.873068,27000,27,-0.00175,-1.749743,0.924386,0
232.476868,3.874614,27000,27,-0.00175,-1.749743,0.924386,0
232.66243,3.877707,27000,27,-0.00175,-1.749743,0.924386,0
232.755219,3.879254,27000,27,-0.00175,-1.749743,0.924386,0
232.940796,3.882347,27000,27,-0.00175,-1.749743,0.924386,0
233.311935,3.888532,27000,27,-0.00175,-1.749743,0.924386,0
233.868652,3.897811,27000,27,-0.00175,-1.749743,0.924386,0
234.70372,3.911729,27000,27,-0.00175,-1.749743,0.924386,0
235.956345,3.932606,27000,27,-0.00175,-1.749743,0.924386,0
236.426071,3.940435,27000,27,-0.00175,-1.749743,0.924386,0
237.130661,3.952178,27000,27,-0.00175,-1.749743,0.924386,0
237.394882,3.956581,27000,27,-0.00175,-1.749743,0.924386,0
237.92334,3.965389,27000,27,-0.00175,-1.749743,0.924386,0
238.980225,3.983004,27000,27,-0.00175,-1.749743,0.924386,0
239.376556,3.989609,27000,27,-0.00175,-1.749743,0.924386,0
239.574722,3.992912,27000,27,-0.00175,-1.749743,0.924386,0
239.971069,3.999518,27000,27,-0.00175,-1.749743,0.924386,0
240.763733,4.012729,27000,27,-0.00175,-1.749743,0.924386,0
241.060989,4.017683,27000,27,-0.00175,-1.749743,0.924386,0
241.20961,4.02016,27000,27,-0.00175,-1.749743,0.924386,0
241.506866,4.025114,27000,27,-0.00175,-1.749743,0.924386,0
241.655487,4.027591,27000,27,-0.00175,-1.749743,0.924386,0
241.952728,4.032545,27000,27,-0.00175,-1.749743,0.924386,0
242.101364,4.035023,27000,27,-0.00175,-1.749743,0.924386,0
242.398605,4.039977,27000,27,-0.00175,-1.749743,0.924386,0
242.993118,4.049885,27000,27,-0.00175,-1.749743,0.924386,0
243.884872,4.064748,27000,27,-0.00175,-1.749743,0.924386,0
244.776611,4.07961,27000,27,-0.00175,-1.749743,0.924386,0
244.999557,4.083326,27000,27,-0.00175,-1.749743,0.924386,0
245.445435,4.090757,27000,27,-0.00175,-1.749743,0.924386,0
246.337189,4.10562,27000,27,-0.00175,-1.749743,0.924386,0
246.6716,4.111193,27000,27,-0.00175,-1.749743,0.924386,0
246.838791,4.11398,27000,27,-0.00175,-1.749743,0.924386,0
247.173203,4.119553,27000,27,-0.00175,-1.749743,0.924386,0
247.340408,4.12234,27000,27,-0.00175,-1.749743,0.924386,0
247.67482,4.127914,27000,27,-0.00175,-1.749743,0.924386,0
247.842026,4.1307,27000,27,-0.00175,-1.749743,0.924386,0
248.176422,4.136274,27000,27,-0.00175,-1.749743,0.924386,0
248.845245,4.147421,27000,27,-0.00175,-1.749743,0.924386,0
249.848465,4.164141,27000,27,-0.00175,-1.749743,0.924386,0
250.22467,4.170411,27000,27,-0.00175,-1.749743,0.924386,0
250.412781,4.173546,27000,27,-0.00175,-1.749743,0.924386,0
250.788986,4.179816,27000,27,-0.00175,-1.749743,0.924386,0
250.977081,4.182951,27000,27,-0.00175,-1.749743,0.924386,0
251.353302,4.189222,27000,27,-0.00175,-1.749743,0.924386,0
251.541397,4.192357,27000,27,-0.00175,-1.749743,0.924386,0
251.917603,4.198627,27000,27,-0.00175,-1.749743,0.924386,0
252.670029,4.211167,27000,27,-0.00175,-1.749743,0.924386,0
252.952179,4.21587,27000,27,-0.00175,-1.749743,0.924386,0
253.093262,4.218221,27000,27,-0.00175,-1.749743,0.924386,0
253.375412,4.222924,27000,27,-0.00175,-1.749743,0.924386,0
253.939728,4.232329,27000,27,-0.00175,-1.749743,0.924386,0
254.151337,4.235856,27000,27,-0.00175,-1.749743,0.924386,0
254.257156,4.237619,27000,27,-0.00175,-1.749743,0.924386,0
254.468765,4.241146,27000,27,-0.00175,-1.749743,0.924386,0
254.574585,4.24291,27000,27,-0.00175,-1.749743,0.924386,0
254.786194,4.246437,27000,27,-0.00175,-1.749743,0.924386,0
255.209427,4.25349,27000,27,-0.00175,-1.749743,0.924386,0
255.368149,4.256136,27000,27,-0.00175,-1.749743,0.924386,0
255.447495,4.257458,27000,27,-0.00175,-1.749743,0.924386,0
