Time in Seconds,Time in Minutes,Load in N,Load in kN,Displacement in m,Displacement in mm-O,Displacement in mm
0,0,0,0,0,0,0
0.1,0.001667,27013.66406,27.013664,-0.001291,-1.291373,0
0.2,0.003333,28715.52148,28.715521,-0.001349,-1.34877,0.057397
0.3,0.005,28786.63086,28.786631,-0.001351,-1.351343,0.05997
0.45,0.0075,28789.5332,28.789533,-0.001352,-1.351963,0.06059
0.675,0.01125,28789.74023,28.78974,-0.001352,-1.352498,0.061125
1.0125,0.016875,28789.85156,28.789852,-0.001353,-1.352955,0.061582
1.51875,0.025312,28789.92969,28.78993,-0.001353,-1.353278,0.061905
2.278125,0.037969,28789.97461,28.789975,-0.001353,-1.353458,0.062085
3.417187,0.056953,28789.99219,28.789992,-0.001354,-1.353534,0.062161
5.125781,0.08543,28789.99805,28.789998,-0.001354,-1.353558,0.062185
7.688672,0.128145,28790,28.79,-0.001354,-1.353563,0.06219
11.533008,0.192217,28790,28.79,-0.001354,-1.353564,0.062191
17.299511,0.288325,28790,28.79,-0.001354,-1.353564,0.062191
25.949268,0.432488,28790,28.79,-0.001354,-1.353564,0.062191
38.923901,0.648732,28790,28.79,-0.001354,-1.353564,0.062191
58.385853,0.973098,28790,28.79,-0.001354,-1.353564,0.062191
97.309753,1.621829,28790,28.79,-0.001354,-1.353564,0.062191
157.309753,2.621829,28790,28.79,-0.001354,-1.353564,0.062191
217.309753,3.621829,28790,28.79,-0.001354,-1.353564,0.062191
277.309753,4.621829,28790,28.79,-0.001354,-1.353564,0.062191
337.309753,5.621829,28790,28.79,-0.001354,-1.353564,0.062191
397.309753,6.621829,28790.00391,28.790004,-0.001351,-1.350632,0.059259
457.309753,7.621829,28790.00586,28.790006,-0.001347,-1.346777,0.055404
517.309753,8.621829,28790.00586,28.790006,-0.001342,-1.342303,0.05093
577.309753,9.621829,28790.01172,28.790012,-0.001334,-1.334365,0.042992
637.309753,10.621829,28790.01758,28.790018,-0.001323,-1.322827,0.031454
697.309753,11.621829,28790.01953,28.79002,-0.00131,-1.309958,0.018585
757.309753,12.621829,28790.03125,28.790031,-0.00129,-1.289531,-0.001842
817.309753,13.621829,28790.02734,28.790027,-0.001271,-1.270982,-0.020391
877.309753,14.621829,28790.03516,28.790035,-0.001247,-1.246935,-0.044438
937.309753,15.621829,28790.04297,28.790043,-0.001218,-1.218074,-0.073299
997.309753,16.621829,28790.04102,28.790041,-0.001191,-1.19059,-0.100783
1057.309814,17.62183,28790.05273,28.790053,-0.001155,-1.155252,-0.136121
1117.309814,18.62183,28790.0625,28.790063,-0.001112,-1.112288,-0.179085
1177.309814,19.62183,28790.06836,28.790068,-0.001065,-1.065117,-0.226256
1237.309814,20.62183,28790.06445,28.790064,-0.001021,-1.021366,-0.270007
1297.309814,21.62183,28790.07031,28.79007,-0.000974,-0.973547,-0.317826
1357.309814,22.62183,28790.07031,28.79007,-0.000925,-0.924716,-0.366657
1417.309814,23.62183,28790.07422,28.790074,-0.000873,-0.873406,-0.417967
1477.309814,24.62183,28790.08789,28.790088,-0.000812,-0.811693,-0.47968
1537.309814,25.62183,28790.08008,28.79008,-0.000756,-0.756241,-0.535132
1597.309814,26.62183,28790.06836,28.790068,-0.000708,-0.707698,-0.583675
1657.309814,27.62183,28790.06836,28.790068,-0.00066,-0.659987,-0.631386
1717.309814,28.62183,28790.06836,28.790068,-0.000611,-0.611447,-0.679926
1777.309814,29.62183,28790.06445,28.790064,-0.000565,-0.565488,-0.725885
1837.309814,30.62183,28790.07422,28.790074,-0.000512,-0.512423,-0.77895
1897.309814,31.62183,28790.07031,28.79007,-0.000462,-0.462372,-0.829001
1957.309814,32.62183,28790.05469,28.790055,-0.000423,-0.422825,-0.868548
2017.309814,33.62183,28790.06055,28.790061,-0.00038,-0.379805,-0.911568
2077.309814,34.62183,28790.05664,28.790057,-0.000338,-0.338332,-0.953041
2137.309814,35.62183,28790.05273,28.790053,-0.0003,-0.30021,-0.991163
2197.309814,36.62183,28790.05859,28.790059,-0.000258,-0.258058,-1.033315
2257.309814,37.62183,28790.04883,28.790049,-0.000222,-0.221628,-1.069745
2317.309814,38.62183,28790.04492,28.790045,-0.000188,-0.187898,-1.103475
2377.309814,39.62183,28790.05078,28.790051,-0.00015,-0.149879,-1.141494
2437.309814,40.62183,28790.04492,28.790045,-0.000117,-0.116697,-1.174676
2497.309814,41.62183,28790.04297,28.790043,-0.000085,-0.084915,-1.206458
2557.309814,42.62183,28790.04883,28.790049,-0.000048,-0.048269,-1.243104
2617.309814,43.62183,28790.04688,28.790047,-0.000013,-0.013238,-1.278135
2677.309814,44.62183,28790.03906,28.790039,0.000017,0.016532,-1.307905
2737.309814,45.62183,28790.03711,28.790037,0.000044,0.044102,-1.335475
2797.309814,46.62183,28790.03711,28.790037,0.000072,0.071773,-1.363146
2857.309814,47.62183,28790.03516,28.790035,0.000099,0.099221,-1.390594
2917.309814,48.62183,28790.04102,28.790041,0.00013,0.130188,-1.421561
2977.309814,49.62183,28790.03906,28.790039,0.00016,0.159944,-1.451317
3037.309814,50.62183,28790.03516,28.790035,0.000187,0.186635,-1.478008
3097.309814,51.62183,28790.0332,28.790033,0.000213,0.212965,-1.504338
3157.309814,52.62183,28790.0332,28.790033,0.000239,0.239357,-1.53073
3217.309814,53.62183,28790.03516,28.790035,0.000266,0.266371,-1.557744
3277.309814,54.62183,28790.03711,28.790037,0.000295,0.295202,-1.586575
3337.309814,55.62183,28790.03516,28.790035,0.000323,0.323096,-1.614469
3397.309814,56.62183,28790.03906,28.790039,0.000353,0.3534,-1.644773
3457.309814,57.62183,28790.0293,28.790029,0.000377,0.376777,-1.66815
3517.309814,58.62183,28790.03516,28.790035,0.000405,0.40506,-1.696433
3577.309814,59.62183,28790.04102,28.790041,0.000439,0.438538,-1.729911
